date,open,high,low,close,volume
2022-07-04,462.5,477.5,462.5,472.5,6400
2022-07-05,475.0,475.0,452.5,465.0,17000
2022-07-06,482.5,492.5,462.5,462.5,5000
2022-07-07,477.5,477.5,465.0,472.5,800
2022-07-08,472.5,472.5,455.0,467.5,10000
2022-07-11,470.0,470.0,465.0,467.5,10400
2022-07-12,467.5,482.5,467.5,482.5,2000
2022-07-13,480.0,480.0,472.5,475.0,1800
2022-07-14,472.5,472.5,470.0,470.0,8000
2022-07-15,467.5,467.5,450.0,467.5,34400
2022-07-18,477.5,477.5,462.5,470.0,4400
2022-07-19,477.5,482.5,465.0,482.5,5800
2022-07-20,480.0,480.0,475.0,475.0,400
2022-07-21,475.0,497.5,475.0,477.5,36000
2022-07-22,477.5,490.0,477.5,490.0,2000
2022-07-25,485.0,485.0,480.0,482.5,11000
2022-07-26,482.5,482.5,480.0,480.0,800
2022-07-27,480.0,480.0,477.5,480.0,2200
2022-07-28,480.0,480.0,477.5,480.0,15600
2022-07-29,480.0,480.0,465.0,480.0,19000
2022-08-01,482.5,482.5,482.5,482.5,600
2022-08-02,485.0,490.0,467.5,472.5,16600
2022-08-03,475.0,475.0,475.0,475.0,5000
2022-08-04,485.0,490.0,477.5,485.0,3000
2022-08-05,477.5,482.5,475.0,482.5,11200
2022-08-08,480.0,485.0,480.0,482.5,5800
2022-08-09,487.5,487.5,485.0,485.0,1000
2022-08-10,487.5,487.5,482.5,482.5,22000
2022-08-11,482.5,482.5,480.0,480.0,2800
2022-08-12,475.0,485.0,475.0,485.0,13400
2022-08-15,485.0,485.0,485.0,485.0,8000
2022-08-16,492.5,492.5,482.5,485.0,3400
2022-08-18,487.5,487.5,485.0,485.0,3800
2022-08-19,487.5,490.0,487.5,487.5,9000
2022-08-22,492.5,492.5,482.5,482.5,7600
2022-08-23,487.5,487.5,485.0,485.0,11600
2022-08-24,485.0,500.0,477.5,492.5,36200
2022-08-25,492.5,525.0,482.5,487.5,45400
2022-08-26,487.5,497.5,477.5,477.5,29000
2022-08-29,477.5,490.0,477.5,487.5,8600
2022-08-30,490.0,490.0,490.0,490.0,2200
2022-08-31,490.0,490.0,487.5,487.5,28400
2022-09-01,497.5,497.5,487.5,487.5,7600
2022-09-02,497.5,497.5,490.0,490.0,1600
2022-09-05,490.0,495.0,487.5,490.0,10400
2022-09-06,485.0,490.0,475.0,490.0,22800
2022-09-07,490.0,492.5,490.0,492.5,37200
2022-09-08,495.0,495.0,482.5,495.0,23200
2022-09-09,495.0,500.0,487.5,490.0,14800
2022-09-12,490.0,490.0,482.5,487.5,27200
2022-09-13,485.0,490.0,482.5,490.0,18200
2022-09-14,485.0,490.0,485.0,487.5,12400
2022-09-15,490.0,490.0,485.0,487.5,18400
2022-09-16,495.0,495.0,477.5,490.0,69000
2022-09-19,480.0,490.0,480.0,490.0,47800
2022-09-20,490.0,492.5,482.5,490.0,2600
2022-09-21,487.5,500.0,485.0,487.5,9000
2022-09-22,485.0,500.0,485.0,495.0,9600
2022-09-23,485.0,487.5,485.0,487.5,4200
2022-09-26,487.5,492.5,485.0,485.0,11600
2022-09-27,490.0,490.0,482.5,487.5,3800
2022-09-28,490.0,490.0,487.5,487.5,17800
2022-09-29,490.0,490.0,485.0,485.0,19800
2022-09-30,485.0,485.0,475.0,475.0,79800
2022-10-03,475.0,477.5,475.0,475.0,156800
2022-10-04,475.0,485.0,475.0,480.0,57600
2022-10-05,480.0,485.0,480.0,485.0,1400
2022-10-06,485.0,485.0,480.0,480.0,2000
2022-10-07,485.0,485.0,485.0,485.0,200
2022-10-10,485.0,485.0,475.0,480.0,12800
2022-10-11,480.0,480.0,475.0,475.0,13600
2022-10-12,475.0,477.5,475.0,477.5,165600
2022-10-13,477.5,477.5,477.5,477.5,1600
2022-10-14,480.0,482.5,477.5,482.5,2400
2022-10-17,472.5,495.0,470.0,485.0,45000
2022-10-18,485.0,485.0,482.5,482.5,21000
2022-10-19,482.5,482.5,475.0,475.0,13400
2022-10-20,475.0,487.5,475.0,475.0,12600
2022-10-21,475.0,477.5,475.0,475.0,10000
2022-10-24,475.0,485.0,472.5,485.0,25400
2022-10-25,490.0,490.0,487.5,487.5,2000
2022-10-26,487.5,487.5,487.5,487.5,2600
2022-10-27,487.5,487.5,485.0,485.0,3800
2022-10-28,475.0,485.0,470.0,482.5,119400
2022-10-31,480.0,480.0,480.0,480.0,5200
2022-11-01,477.5,477.5,472.5,472.5,5600
2022-11-02,472.5,477.5,470.0,470.0,45400
2022-11-03,470.0,485.0,467.5,467.5,8600
2022-11-04,470.0,472.5,470.0,472.5,1000
2022-11-07,475.0,475.0,472.5,472.5,8200
2022-11-08,472.5,475.0,472.5,475.0,1400
2022-11-09,475.0,475.0,475.0,475.0,5000
2022-11-10,477.5,477.5,472.5,472.5,5400
