date,open,high,low,close,volume
2022-07-04,825.0,830.0,820.0,825.0,31769500
2022-07-05,825.0,870.0,820.0,865.0,79542800
2022-07-06,865.0,875.0,855.0,865.0,34193200
2022-07-07,865.0,865.0,855.0,860.0,14226800
2022-07-08,860.0,900.0,860.0,890.0,43068100
2022-07-11,895.0,910.0,890.0,910.0,40356000
2022-07-12,910.0,930.0,910.0,930.0,57078200
2022-07-13,930.0,960.0,925.0,950.0,93015400
2022-07-14,950.0,955.0,930.0,945.0,49183500
2022-07-15,945.0,945.0,915.0,925.0,56369800
2022-07-18,925.0,930.0,875.0,885.0,45433500
2022-07-19,885.0,910.0,870.0,910.0,39005300
2022-07-20,910.0,920.0,900.0,915.0,24439200
2022-07-21,910.0,915.0,890.0,895.0,27505400
2022-07-22,895.0,895.0,855.0,860.0,32646900
2022-07-25,860.0,870.0,850.0,855.0,25986900
2022-07-26,860.0,875.0,850.0,850.0,31252200
2022-07-27,850.0,875.0,850.0,865.0,25849900
2022-07-28,865.0,900.0,860.0,890.0,35029100
2022-07-29,890.0,895.0,840.0,855.0,48501200
2022-08-01,855.0,860.0,835.0,850.0,49260500
2022-08-02,850.0,925.0,850.0,900.0,93513200
2022-08-03,900.0,915.0,890.0,900.0,38943800
2022-08-04,900.0,900.0,875.0,885.0,59194800
2022-08-05,890.0,895.0,850.0,860.0,33883300
2022-08-08,860.0,880.0,855.0,870.0,34873300
2022-08-09,870.0,895.0,860.0,880.0,35432000
2022-08-10,885.0,905.0,875.0,900.0,42747900
2022-08-11,900.0,905.0,885.0,895.0,17399000
2022-08-12,895.0,910.0,890.0,900.0,19258500
2022-08-15,900.0,930.0,890.0,895.0,30811600
2022-08-16,895.0,900.0,880.0,885.0,20395300
2022-08-18,885.0,885.0,865.0,875.0,17837400
2022-08-19,875.0,900.0,875.0,885.0,20523200
2022-08-22,885.0,905.0,880.0,900.0,33752400
2022-08-23,900.0,900.0,890.0,890.0,21329800
2022-08-24,890.0,900.0,885.0,895.0,32184400
2022-08-25,895.0,895.0,845.0,855.0,49099900
2022-08-26,855.0,855.0,805.0,805.0,47790900
2022-08-29,805.0,805.0,775.0,795.0,37066000
2022-08-30,795.0,810.0,790.0,800.0,48736800
2022-08-31,800.0,800.0,775.0,780.0,36100700
2022-09-01,780.0,790.0,775.0,790.0,29292600
2022-09-02,790.0,810.0,785.0,805.0,25533900
2022-09-05,800.0,830.0,800.0,820.0,33643600
2022-09-06,825.0,850.0,820.0,835.0,29773600
2022-09-07,840.0,840.0,815.0,815.0,36134600
2022-09-08,820.0,845.0,815.0,845.0,35064800
2022-09-09,850.0,860.0,835.0,845.0,33602700
2022-09-12,850.0,865.0,840.0,865.0,24133600
2022-09-13,865.0,870.0,805.0,805.0,53180100
2022-09-14,800.0,825.0,780.0,815.0,46121000
2022-09-15,820.0,830.0,810.0,810.0,26490900
2022-09-16,810.0,875.0,800.0,875.0,155780200
2022-09-19,875.0,875.0,825.0,845.0,31620300
2022-09-20,845.0,850.0,825.0,835.0,18301900
2022-09-21,835.0,840.0,815.0,825.0,9833200
2022-09-22,820.0,835.0,815.0,830.0,21709800
2022-09-23,830.0,830.0,810.0,825.0,15974900
2022-09-26,825.0,840.0,810.0,820.0,21703100
2022-09-27,820.0,835.0,805.0,805.0,27701000
2022-09-28,805.0,830.0,805.0,810.0,16960000
2022-09-29,815.0,825.0,805.0,825.0,26330200
2022-09-30,820.0,830.0,780.0,795.0,50128400
2022-10-03,800.0,840.0,785.0,825.0,24384200
2022-10-04,825.0,840.0,815.0,830.0,24173500
2022-10-05,825.0,845.0,820.0,835.0,24051700
2022-10-06,835.0,845.0,820.0,820.0,16974200
2022-10-07,820.0,845.0,820.0,840.0,18160200
2022-10-10,840.0,845.0,835.0,840.0,23417900
2022-10-11,840.0,840.0,815.0,825.0,19239000
2022-10-12,825.0,825.0,815.0,820.0,19839000
2022-10-13,820.0,820.0,790.0,795.0,23346000
2022-10-14,795.0,800.0,760.0,770.0,59747200
2022-10-17,770.0,780.0,735.0,780.0,34538400
2022-10-18,785.0,795.0,775.0,790.0,27798700
2022-10-19,790.0,790.0,780.0,785.0,12567700
2022-10-20,785.0,785.0,770.0,775.0,10445900
2022-10-21,775.0,800.0,770.0,780.0,18897500
2022-10-24,780.0,785.0,765.0,765.0,14541500
2022-10-25,765.0,770.0,750.0,755.0,15469500
2022-10-26,750.0,755.0,735.0,750.0,28362700
2022-10-27,745.0,755.0,745.0,750.0,27330800
2022-10-28,750.0,750.0,725.0,730.0,32622600
2022-10-31,730.0,785.0,725.0,785.0,29138100
2022-11-01,785.0,790.0,775.0,785.0,19830300
2022-11-02,785.0,800.0,770.0,790.0,34608900
2022-11-03,790.0,790.0,760.0,775.0,22133000
2022-11-04,770.0,785.0,755.0,785.0,16883900
2022-11-07,785.0,785.0,770.0,785.0,15594800
2022-11-08,780.0,780.0,755.0,760.0,30652900
2022-11-09,755.0,770.0,740.0,740.0,11449700
2022-11-10,745.0,750.0,730.0,730.0,14135200
2022-11-11,735.0,745.0,730.0,735.0,6368800
2022-11-14,735.0,740.0,720.0,725.0,10347000
2022-11-15,730.0,735.0,720.0,720.0,4740200
2022-11-16,720.0,730.0,715.0,725.0,7863700
2022-11-17,730.0,755.0,725.0,750.0,8355700
2022-11-18,755.0,755.0,730.0,740.0,2274800
2022-11-21,740.0,770.0,740.0,760.0,20403800
2022-11-22,760.0,800.0,760.0,790.0,21565600
2022-11-23,790.0,815.0,780.0,800.0,26235700
2022-11-24,805.0,830.0,800.0,820.0,18029300
2022-11-25,830.0,830.0,800.0,805.0,11888000
2022-11-28,815.0,815.0,790.0,800.0,6661700
2022-11-29,800.0,800.0,770.0,800.0,5752700
2022-11-30,800.0,800.0,770.0,770.0,4754500
2022-12-01,770.0,795.0,760.0,760.0,19701000
2022-12-02,765.0,765.0,715.0,720.0,80865000
2022-12-05,720.0,740.0,700.0,725.0,49003500
2022-12-06,725.0,735.0,720.0,725.0,15612100
2022-12-07,725.0,735.0,720.0,725.0,14554800
2022-12-08,725.0,730.0,720.0,730.0,12459400
2022-12-09,730.0,730.0,710.0,720.0,16111300
2022-12-12,725.0,730.0,715.0,725.0,11901700
2022-12-13,725.0,740.0,720.0,735.0,20982400
2022-12-14,740.0,740.0,710.0,715.0,28466300
2022-12-15,715.0,720.0,700.0,710.0,42920800
2022-12-16,710.0,710.0,665.0,665.0,171044100
2022-12-19,640.0,660.0,620.0,645.0,45558000
2022-12-20,650.0,650.0,630.0,635.0,3838000
2022-12-21,635.0,655.0,620.0,645.0,8156800
2022-12-22,645.0,655.0,630.0,640.0,2043700
2022-12-23,640.0,645.0,630.0,630.0,15354100
2022-12-26,635.0,640.0,625.0,630.0,7893100
2022-12-27,635.0,640.0,630.0,635.0,11761600
2022-12-28,635.0,655.0,630.0,650.0,21268800
2022-12-29,650.0,660.0,630.0,640.0,22949200
2022-12-30,640.0,645.0,630.0,630.0,8615700
2023-01-02,630.0,635.0,620.0,625.0,12435500
2023-01-03,625.0,630.0,610.0,620.0,55965000
2023-01-04,620.0,630.0,615.0,620.0,17522700
2023-01-05,620.0,625.0,605.0,620.0,8914000
2023-01-06,620.0,625.0,610.0,625.0,7466500
2023-01-09,625.0,625.0,610.0,620.0,1470800
2023-01-10,620.0,625.0,600.0,605.0,7272500
2023-01-11,605.0,605.0,590.0,595.0,15081900
2023-01-12,600.0,640.0,600.0,630.0,13472800
2023-01-13,630.0,640.0,625.0,630.0,3407100
2023-01-16,630.0,660.0,625.0,660.0,10600500
2023-01-17,660.0,680.0,655.0,680.0,7523400
2023-01-18,685.0,685.0,665.0,675.0,4110800
2023-01-19,675.0,675.0,660.0,670.0,2053300
2023-01-20,670.0,680.0,660.0,670.0,5673100
2023-01-24,670.0,675.0,655.0,665.0,1041600
2023-01-25,665.0,670.0,660.0,670.0,999000
2023-01-26,670.0,680.0,665.0,665.0,3617300
2023-01-27,670.0,675.0,660.0,660.0,3753800
2023-01-30,665.0,665.0,655.0,660.0,1376700
2023-01-31,660.0,660.0,640.0,650.0,4333800
2023-02-01,650.0,660.0,645.0,655.0,5836500
2023-02-02,655.0,680.0,655.0,675.0,8139800
2023-02-03,675.0,685.0,665.0,670.0,1288000
2023-02-06,670.0,670.0,650.0,650.0,9177700
2023-02-07,650.0,660.0,645.0,650.0,3009600
2023-02-08,650.0,660.0,650.0,660.0,3081600
2023-02-09,660.0,670.0,650.0,665.0,2926000
2023-02-10,665.0,670.0,630.0,630.0,6604800
2023-02-13,635.0,650.0,630.0,645.0,2155200
2023-02-14,645.0,660.0,640.0,650.0,18499000
2023-02-15,655.0,655.0,635.0,635.0,23285800
2023-02-16,640.0,650.0,635.0,640.0,20122600
2023-02-17,640.0,655.0,635.0,640.0,20088700
2023-02-20,640.0,640.0,630.0,640.0,20229600
2023-02-21,640.0,650.0,635.0,640.0,19814400
2023-02-22,640.0,645.0,625.0,625.0,12108700
2023-02-23,635.0,635.0,625.0,625.0,3700500
2023-02-24,630.0,630.0,610.0,615.0,11786100
2023-02-27,615.0,625.0,605.0,615.0,5280400
2023-02-28,615.0,635.0,605.0,625.0,7782700
2023-03-01,625.0,625.0,610.0,615.0,5939400
2023-03-02,615.0,620.0,610.0,615.0,1908200
2023-03-03,615.0,620.0,605.0,605.0,8136300
2023-03-06,605.0,610.0,600.0,610.0,6349100
2023-03-07,610.0,615.0,605.0,615.0,2742700
2023-03-08,615.0,620.0,605.0,610.0,3976300
2023-03-09,610.0,620.0,605.0,620.0,4351800
2023-03-10,620.0,620.0,610.0,615.0,799100
2023-03-13,615.0,615.0,595.0,610.0,1993700
2023-03-14,610.0,615.0,605.0,605.0,3693100
2023-03-15,605.0,615.0,605.0,605.0,1513600
2023-03-16,605.0,605.0,570.0,575.0,13441100
2023-03-17,575.0,590.0,565.0,575.0,10537000
2023-03-20,580.0,580.0,570.0,570.0,2387100
2023-03-21,570.0,575.0,565.0,570.0,3086200
2023-03-24,570.0,605.0,570.0,590.0,20953400
2023-03-27,590.0,595.0,580.0,590.0,561900
2023-03-28,595.0,610.0,585.0,600.0,7747600
2023-03-29,600.0,605.0,575.0,580.0,9152000
2023-03-30,585.0,590.0,575.0,585.0,4211200
2023-03-31,585.0,600.0,580.0,595.0,1423500
2023-04-03,595.0,605.0,585.0,605.0,1714800
2023-04-04,605.0,605.0,590.0,595.0,17143400
2023-04-05,590.0,605.0,585.0,605.0,2515300
2023-04-06,595.0,625.0,595.0,620.0,4222300
2023-04-10,620.0,635.0,610.0,620.0,5950300
2023-04-11,625.0,625.0,595.0,600.0,3874500
2023-04-12,600.0,605.0,575.0,575.0,15728600
2023-04-13,580.0,590.0,575.0,585.0,6485300
2023-04-14,595.0,595.0,580.0,585.0,3700000
2023-04-17,585.0,590.0,570.0,580.0,6747900
2023-04-18,580.0,580.0,565.0,570.0,5517500
2023-04-26,570.0,620.0,565.0,610.0,16718500
2023-04-27,610.0,635.0,590.0,615.0,15277500
2023-04-28,615.0,620.0,585.0,600.0,7542200
2023-05-02,600.0,600.0,585.0,600.0,13321000
2023-05-03,595.0,625.0,595.0,625.0,6447300
2023-05-04,625.0,630.0,615.0,630.0,7200900
2023-05-05,630.0,635.0,620.0,630.0,15633500
2023-05-08,635.0,650.0,625.0,650.0,30242400
2023-05-09,650.0,655.0,630.0,635.0,12280800
2023-05-10,640.0,680.0,635.0,670.0,16658000
2023-05-11,670.0,675.0,650.0,665.0,5541600
2023-05-12,665.0,730.0,660.0,705.0,30791400
2023-05-15,715.0,730.0,685.0,690.0,22668400
2023-05-16,685.0,695.0,665.0,685.0,10256000
2023-05-17,685.0,695.0,680.0,690.0,3477800
2023-05-19,690.0,715.0,675.0,700.0,17130800
2023-05-22,700.0,705.0,690.0,700.0,3036800
2023-05-23,700.0,725.0,695.0,715.0,13102600
2023-05-24,715.0,715.0,700.0,715.0,3284200
2023-05-25,715.0,715.0,690.0,700.0,4040100
2023-05-26,690.0,700.0,675.0,690.0,4621900
2023-05-29,695.0,700.0,690.0,695.0,4365000
2023-05-30,695.0,700.0,685.0,695.0,2996400
2023-05-31,695.0,695.0,680.0,685.0,3926600
2023-06-05,690.0,730.0,680.0,730.0,16617100
2023-06-06,730.0,735.0,710.0,720.0,8858900
2023-06-07,720.0,760.0,715.0,745.0,20779600
2023-06-08,750.0,750.0,725.0,735.0,4761600
