date,open,high,low,close,volume
2022-07-04,226.0,230.0,218.0,220.0,4349100
2022-07-05,220.0,232.0,218.0,226.0,1170800
2022-07-06,228.0,238.0,218.0,226.0,1223600
2022-07-07,228.0,258.0,226.0,256.0,9935300
2022-07-08,256.0,258.0,240.0,242.0,5674400
2022-07-11,246.0,254.0,234.0,240.0,1825800
2022-07-12,238.0,252.0,230.0,238.0,5963700
2022-07-13,238.0,242.0,234.0,238.0,791400
2022-07-14,238.0,242.0,234.0,238.0,2959500
2022-07-15,238.0,244.0,234.0,242.0,1749000
2022-07-18,242.0,244.0,240.0,242.0,747400
2022-07-19,242.0,244.0,232.0,232.0,1930800
2022-07-20,232.0,238.0,232.0,234.0,691900
2022-07-21,234.0,240.0,220.0,232.0,1746700
2022-07-22,232.0,234.0,224.0,226.0,1739000
2022-07-25,226.0,230.0,222.0,222.0,2026900
2022-07-26,222.0,230.0,222.0,228.0,1354100
2022-07-27,228.0,232.0,222.0,224.0,1464900
2022-07-28,228.0,230.0,222.0,224.0,2095300
2022-07-29,224.0,236.0,224.0,226.0,1348200
2022-08-01,226.0,228.0,218.0,220.0,1279600
2022-08-02,220.0,222.0,206.0,206.0,3275200
2022-08-03,206.0,206.0,199.0,204.0,1638300
2022-08-04,204.0,208.0,202.0,204.0,1390700
2022-08-05,204.0,212.0,200.0,206.0,1785500
2022-08-08,208.0,210.0,204.0,210.0,1610200
2022-08-09,210.0,210.0,202.0,206.0,1040300
2022-08-10,204.0,216.0,200.0,202.0,1263300
2022-08-11,206.0,206.0,200.0,204.0,2558500
2022-08-12,204.0,206.0,200.0,204.0,2464800
2022-08-15,204.0,204.0,198.0,202.0,2032600
2022-08-16,200.0,206.0,199.0,204.0,1570100
2022-08-18,204.0,206.0,200.0,204.0,714700
2022-08-19,204.0,216.0,202.0,212.0,2864200
2022-08-22,210.0,216.0,208.0,210.0,1694600
2022-08-23,210.0,224.0,208.0,216.0,2926800
2022-08-24,216.0,240.0,216.0,240.0,7148300
2022-08-25,242.0,272.0,234.0,250.0,11740200
2022-08-26,250.0,258.0,250.0,254.0,4875900
2022-08-29,254.0,254.0,238.0,238.0,4531100
2022-08-30,236.0,236.0,222.0,222.0,2619000
2022-08-31,228.0,240.0,222.0,224.0,2110000
2022-09-01,222.0,230.0,216.0,226.0,2387100
2022-09-02,226.0,228.0,222.0,226.0,2691400
2022-09-05,224.0,246.0,222.0,242.0,10137500
2022-09-06,246.0,250.0,238.0,244.0,3237200
2022-09-07,244.0,248.0,238.0,240.0,1894400
2022-09-08,240.0,256.0,236.0,240.0,6601400
2022-09-09,236.0,244.0,224.0,242.0,10853000
2022-09-12,244.0,244.0,236.0,236.0,1494800
2022-09-13,238.0,240.0,232.0,238.0,1615000
2022-09-14,240.0,256.0,232.0,238.0,9007500
2022-09-15,238.0,242.0,230.0,230.0,4768400
2022-09-16,234.0,254.0,234.0,238.0,4141100
2022-09-19,238.0,246.0,238.0,242.0,5358200
2022-09-20,244.0,246.0,236.0,240.0,5257900
2022-09-21,240.0,252.0,240.0,246.0,7722300
2022-09-22,246.0,264.0,242.0,264.0,14996400
2022-09-23,264.0,288.0,262.0,264.0,13614800
2022-09-26,262.0,302.0,262.0,298.0,37764500
2022-09-27,308.0,310.0,278.0,278.0,12577900
2022-09-28,274.0,274.0,260.0,260.0,10443000
2022-09-29,256.0,266.0,242.0,242.0,10337000
2022-09-30,236.0,256.0,226.0,240.0,22667300
2022-10-03,240.0,244.0,228.0,228.0,7334600
2022-10-04,228.0,238.0,226.0,228.0,4694000
2022-10-05,230.0,236.0,228.0,230.0,3823700
2022-10-06,232.0,244.0,228.0,234.0,5952600
2022-10-07,234.0,238.0,232.0,234.0,2275000
2022-10-10,234.0,234.0,226.0,228.0,3400300
2022-10-11,228.0,230.0,226.0,226.0,2457700
2022-10-12,228.0,230.0,212.0,224.0,3531500
2022-10-13,224.0,236.0,222.0,232.0,4470500
2022-10-14,234.0,238.0,216.0,224.0,5618600
2022-10-17,224.0,226.0,218.0,224.0,2935400
2022-10-18,224.0,228.0,220.0,228.0,2034700
2022-10-19,228.0,232.0,224.0,226.0,1981400
2022-10-20,228.0,232.0,226.0,232.0,1294300
2022-10-21,232.0,234.0,228.0,230.0,3237700
2022-10-24,230.0,234.0,228.0,232.0,2947700
2022-10-25,236.0,236.0,226.0,230.0,2090000
2022-10-26,228.0,234.0,226.0,230.0,1328700
2022-10-27,230.0,232.0,226.0,228.0,1205900
2022-10-28,228.0,234.0,228.0,232.0,2444500
2022-10-31,234.0,234.0,232.0,234.0,1524200
2022-11-01,234.0,238.0,234.0,238.0,3098500
2022-11-02,238.0,242.0,238.0,238.0,1929200
2022-11-03,240.0,240.0,234.0,236.0,1256300
2022-11-04,236.0,236.0,230.0,236.0,760100
2022-11-07,232.0,236.0,230.0,232.0,1388900
2022-11-08,232.0,234.0,226.0,234.0,887400
2022-11-09,234.0,240.0,234.0,236.0,1838500
2022-11-10,236.0,242.0,226.0,230.0,1731400
2022-11-11,230.0,234.0,228.0,232.0,869600
2022-11-14,232.0,232.0,228.0,232.0,1244100
2022-11-15,234.0,236.0,226.0,232.0,1906000
2022-11-16,232.0,232.0,228.0,230.0,1087400
2022-11-17,230.0,232.0,228.0,230.0,999600
2022-11-18,230.0,230.0,226.0,230.0,1009800
2022-11-21,230.0,232.0,228.0,230.0,1314900
2022-11-22,230.0,232.0,228.0,232.0,1402700
2022-11-23,232.0,232.0,230.0,232.0,981900
2022-11-24,232.0,232.0,226.0,230.0,1442600
2022-11-25,230.0,230.0,226.0,230.0,704000
2022-11-28,228.0,228.0,224.0,226.0,521900
2022-11-29,226.0,226.0,220.0,222.0,753100
2022-11-30,222.0,228.0,220.0,224.0,1161800
2022-12-01,224.0,230.0,222.0,228.0,1191100
2022-12-02,228.0,230.0,226.0,228.0,608700
2022-12-05,228.0,232.0,226.0,228.0,1198900
2022-12-06,228.0,230.0,220.0,226.0,740300
2022-12-07,226.0,226.0,220.0,220.0,969700
2022-12-08,220.0,222.0,206.0,210.0,1267400
2022-12-09,210.0,216.0,200.0,206.0,654500
2022-12-12,206.0,208.0,199.0,206.0,738600
2022-12-13,206.0,208.0,202.0,208.0,1106200
2022-12-14,208.0,208.0,200.0,204.0,767100
2022-12-15,202.0,206.0,200.0,204.0,1121900
2022-12-16,202.0,208.0,198.0,204.0,1336000
2022-12-19,204.0,206.0,199.0,206.0,1000000
2022-12-20,204.0,204.0,198.0,204.0,692700
2022-12-21,204.0,204.0,195.0,202.0,570400
2022-12-22,200.0,202.0,196.0,202.0,659800
2022-12-23,192.0,202.0,192.0,198.0,594100
2022-12-26,197.0,202.0,192.0,197.0,566500
2022-12-27,197.0,199.0,192.0,197.0,545800
2022-12-28,197.0,199.0,193.0,196.0,350000
2022-12-29,196.0,200.0,196.0,200.0,537700
2022-12-30,200.0,202.0,193.0,200.0,782900
2023-01-02,200.0,200.0,193.0,196.0,1077000
2023-01-03,196.0,197.0,190.0,195.0,603100
2023-01-04,195.0,196.0,193.0,195.0,370500
2023-01-05,195.0,195.0,191.0,193.0,838500
2023-01-06,193.0,195.0,192.0,193.0,459000
2023-01-09,193.0,198.0,191.0,196.0,466000
2023-01-10,194.0,197.0,188.0,195.0,775600
2023-01-11,195.0,199.0,194.0,196.0,265300
2023-01-12,197.0,197.0,190.0,194.0,385100
2023-01-13,194.0,195.0,192.0,194.0,250600
2023-01-16,194.0,195.0,191.0,194.0,330700
2023-01-17,194.0,197.0,194.0,197.0,448900
2023-01-18,197.0,197.0,192.0,194.0,291600
2023-01-19,194.0,197.0,192.0,196.0,241500
2023-01-20,196.0,226.0,195.0,204.0,3974600
2023-01-24,204.0,210.0,202.0,204.0,1836500
2023-01-25,204.0,208.0,200.0,204.0,1120000
2023-01-26,204.0,206.0,198.0,206.0,1126500
2023-01-27,204.0,212.0,202.0,208.0,1263400
2023-01-30,208.0,208.0,202.0,208.0,413700
2023-01-31,208.0,208.0,204.0,206.0,786000
2023-02-01,206.0,210.0,206.0,210.0,581000
2023-02-02,208.0,210.0,206.0,208.0,1045100
2023-02-03,208.0,216.0,206.0,212.0,1806000
2023-02-06,210.0,220.0,210.0,218.0,2068300
2023-02-07,216.0,216.0,206.0,216.0,968800
2023-02-08,216.0,220.0,210.0,220.0,1042700
2023-02-09,220.0,224.0,216.0,220.0,775000
2023-02-10,220.0,226.0,214.0,224.0,1985600
2023-02-13,224.0,228.0,224.0,226.0,1266100
2023-02-14,226.0,254.0,224.0,234.0,8608500
2023-02-15,234.0,244.0,234.0,238.0,2556600
2023-02-16,240.0,250.0,236.0,238.0,1897200
2023-02-17,238.0,254.0,236.0,240.0,14761700
2023-02-20,240.0,266.0,224.0,224.0,47334500
2023-02-21,226.0,250.0,216.0,224.0,25409600
2023-02-22,224.0,254.0,210.0,246.0,34928500
2023-02-23,250.0,250.0,230.0,230.0,15615000
2023-02-24,226.0,230.0,216.0,230.0,1919100
2023-02-27,228.0,228.0,220.0,220.0,875000
2023-02-28,218.0,220.0,208.0,212.0,1283000
2023-03-01,212.0,220.0,208.0,214.0,1119700
2023-03-02,214.0,218.0,212.0,214.0,1108200
2023-03-03,214.0,218.0,212.0,214.0,750100
2023-03-06,214.0,214.0,206.0,210.0,615700
2023-03-07,210.0,230.0,202.0,216.0,3520400
2023-03-08,216.0,220.0,214.0,216.0,1475200
2023-03-09,214.0,216.0,210.0,216.0,1374600
2023-03-10,216.0,216.0,210.0,210.0,935500
2023-03-13,210.0,212.0,204.0,208.0,1330000
2023-03-14,206.0,212.0,204.0,212.0,1010000
2023-03-15,212.0,214.0,204.0,208.0,1220300
2023-03-16,204.0,212.0,204.0,208.0,1230600
2023-03-17,208.0,210.0,206.0,208.0,1142300
2023-03-20,206.0,210.0,204.0,208.0,1122700
2023-03-21,206.0,208.0,204.0,208.0,1019700
2023-03-24,208.0,210.0,208.0,210.0,980100
2023-03-27,210.0,218.0,210.0,214.0,1491200
2023-03-28,214.0,216.0,212.0,216.0,1491700
2023-03-29,216.0,218.0,212.0,214.0,974200
2023-03-30,214.0,218.0,212.0,214.0,1182500
2023-03-31,214.0,216.0,210.0,212.0,597300
2023-04-03,210.0,214.0,206.0,212.0,620000
2023-04-04,212.0,212.0,210.0,212.0,1027600
2023-04-05,212.0,212.0,208.0,212.0,896700
2023-04-06,212.0,214.0,206.0,206.0,773600
2023-04-10,208.0,208.0,200.0,200.0,755100
2023-04-11,200.0,212.0,200.0,208.0,1019600
2023-04-12,206.0,208.0,202.0,206.0,742300
2023-04-13,206.0,210.0,204.0,206.0,709300
2023-04-14,204.0,208.0,202.0,206.0,909700
2023-04-17,208.0,208.0,202.0,206.0,837200
2023-04-18,206.0,208.0,204.0,206.0,521700
2023-04-26,204.0,206.0,202.0,204.0,338500
2023-04-27,204.0,206.0,202.0,206.0,381700
2023-04-28,206.0,212.0,206.0,208.0,894900
2023-05-02,208.0,210.0,206.0,210.0,546900
2023-05-03,210.0,212.0,206.0,208.0,852500
2023-05-04,208.0,210.0,204.0,206.0,473900
2023-05-05,208.0,208.0,204.0,206.0,503100
2023-05-08,206.0,208.0,204.0,204.0,770800
2023-05-09,204.0,212.0,202.0,206.0,663100
2023-05-10,206.0,208.0,202.0,206.0,677100
2023-05-11,204.0,206.0,204.0,206.0,503100
2023-05-12,206.0,206.0,202.0,204.0,700500
2023-05-15,204.0,206.0,202.0,204.0,877700
2023-05-16,204.0,204.0,200.0,202.0,459000
2023-05-17,202.0,202.0,200.0,202.0,473000
2023-05-19,200.0,200.0,198.0,200.0,440500
2023-05-22,200.0,202.0,199.0,202.0,486800
2023-05-23,199.0,202.0,198.0,200.0,516600
2023-05-24,200.0,200.0,199.0,200.0,521800
2023-05-25,200.0,202.0,195.0,202.0,594200
2023-05-26,200.0,202.0,194.0,196.0,581400
2023-05-29,196.0,200.0,195.0,197.0,609900
2023-05-30,197.0,198.0,195.0,198.0,729200
2023-05-31,198.0,199.0,195.0,198.0,408900
2023-06-05,198.0,199.0,193.0,193.0,435400
2023-06-06,196.0,197.0,193.0,196.0,323600
2023-06-07,195.0,200.0,195.0,198.0,533700
2023-06-08,197.0,198.0,196.0,196.0,548800
2023-06-09,196.0,196.0,195.0,195.0,420900
2023-06-12,195.0,197.0,195.0,197.0,544700
2023-06-13,197.0,200.0,195.0,197.0,577100
2023-06-14,197.0,198.0,196.0,198.0,547100
2023-06-15,198.0,198.0,193.0,193.0,586500
2023-06-16,195.0,206.0,195.0,195.0,1649300
2023-06-19,196.0,198.0,193.0,196.0,416300
2023-06-20,196.0,199.0,189.0,198.0,745900
2023-06-21,200.0,206.0,192.0,196.0,750600
2023-06-22,196.0,198.0,192.0,198.0,763900
2023-06-23,197.0,210.0,195.0,210.0,958100
2023-06-26,260.0,260.0,200.0,228.0,10620700
2023-06-27,228.0,246.0,220.0,228.0,11873700
2023-07-03,228.0,236.0,224.0,226.0,10586300
2023-07-04,228.0,240.0,226.0,230.0,8151700
2023-07-05,230.0,244.0,230.0,234.0,8469000
2023-07-06,234.0,248.0,232.0,244.0,7171800
2023-07-07,244.0,262.0,242.0,254.0,8168200
2023-07-10,252.0,276.0,250.0,276.0,7649700
2023-07-11,342.0,342.0,258.0,272.0,6548300
2023-07-12,336.0,336.0,270.0,272.0,4772900
2023-07-13,276.0,294.0,272.0,286.0,4994900
2023-07-14,286.0,310.0,286.0,310.0,7573700
2023-07-17,380.0,380.0,294.0,304.0,5372800
2023-07-18,304.0,310.0,294.0,300.0,5163000
2023-07-20,300.0,310.0,300.0,306.0,3926900
2023-07-21,306.0,320.0,300.0,316.0,6213200
2023-07-24,316.0,330.0,316.0,320.0,3818500
2023-07-25,320.0,328.0,312.0,322.0,4177500
2023-07-26,322.0,328.0,320.0,322.0,3507000
2023-07-27,322.0,326.0,312.0,316.0,4138600
2023-07-28,320.0,322.0,310.0,320.0,3641100
2023-07-31,320.0,330.0,296.0,324.0,5841700
2023-08-01,324.0,328.0,320.0,320.0,5442200
2023-08-02,322.0,330.0,314.0,324.0,6190000
2023-08-03,324.0,344.0,324.0,342.0,6894900
2023-08-04,362.0,362.0,342.0,360.0,5909700
2023-08-07,360.0,374.0,360.0,372.0,5235300
2023-08-08,374.0,414.0,372.0,408.0,7124500
2023-08-09,408.0,414.0,394.0,406.0,5961000
2023-08-10,406.0,412.0,404.0,410.0,4443200
2023-08-11,408.0,414.0,400.0,408.0,4747300
2023-08-14,408.0,414.0,400.0,408.0,4806100
2023-08-15,408.0,436.0,408.0,424.0,7720200
2023-08-16,426.0,428.0,410.0,410.0,4399900
2023-08-18,408.0,414.0,400.0,406.0,5381300
2023-08-21,406.0,410.0,402.0,404.0,4723200
2023-08-22,404.0,410.0,344.0,366.0,11447400
2023-08-23,366.0,400.0,366.0,398.0,5142300
2023-08-24,396.0,406.0,392.0,396.0,4212900
2023-08-25,396.0,404.0,396.0,402.0,4284500
2023-08-28,404.0,444.0,402.0,442.0,8431500
2023-08-29,450.0,450.0,390.0,424.0,6456500
2023-08-30,424.0,436.0,408.0,408.0,6042200
2023-08-31,408.0,408.0,364.0,374.0,3048400
2023-09-01,376.0,376.0,364.0,366.0,2967500
2023-09-04,366.0,406.0,366.0,394.0,6837300
2023-09-05,392.0,396.0,370.0,378.0,4655100
2023-09-06,378.0,378.0,364.0,370.0,3436600
2023-09-07,370.0,380.0,354.0,358.0,4184800
2023-09-08,360.0,378.0,356.0,370.0,8054300
2023-09-11,370.0,388.0,368.0,378.0,5262300
2023-09-12,378.0,378.0,358.0,372.0,3487100
2023-09-13,372.0,406.0,366.0,402.0,6771600
2023-09-14,404.0,404.0,366.0,380.0,6701100
2023-09-15,382.0,382.0,372.0,372.0,2844300
2023-09-18,372.0,390.0,368.0,386.0,5734700
2023-09-19,386.0,386.0,364.0,376.0,3848300
2023-09-20,376.0,392.0,370.0,378.0,4548100
2023-09-21,376.0,382.0,374.0,378.0,4051100
2023-09-22,368.0,394.0,368.0,382.0,4472200
2023-09-25,382.0,386.0,366.0,378.0,4704600
2023-09-26,378.0,386.0,372.0,378.0,3251900
2023-09-27,378.0,398.0,376.0,394.0,6439500
2023-09-29,394.0,412.0,384.0,406.0,5283100
2023-10-02,406.0,412.0,380.0,406.0,6464900
2023-10-03,406.0,408.0,392.0,394.0,3098000
2023-10-04,394.0,394.0,384.0,384.0,3905600
2023-10-05,384.0,424.0,380.0,424.0,7765500
2023-10-06,424.0,430.0,408.0,424.0,5650100
2023-10-09,424.0,428.0,410.0,412.0,4193700
2023-10-10,412.0,416.0,408.0,414.0,4027200
2023-10-11,412.0,426.0,410.0,416.0,5038200
2023-10-12,416.0,418.0,384.0,388.0,4689800
2023-10-13,388.0,398.0,386.0,392.0,3108900
2023-10-16,392.0,400.0,390.0,394.0,3528600
2023-10-17,394.0,412.0,388.0,388.0,4942100
2023-10-18,388.0,392.0,374.0,388.0,5280700
2023-10-19,388.0,394.0,386.0,388.0,3205100
2023-10-20,388.0,394.0,386.0,392.0,2665900
2023-10-23,392.0,396.0,380.0,384.0,2683900
2023-10-24,384.0,400.0,384.0,396.0,4511300
2023-10-25,396.0,404.0,394.0,398.0,5105500
2023-10-26,398.0,402.0,390.0,396.0,3209800
2023-10-27,396.0,396.0,374.0,376.0,3105600
2023-10-30,378.0,390.0,376.0,384.0,4312200
2023-10-31,384.0,396.0,382.0,394.0,4799100
2023-11-01,392.0,398.0,382.0,388.0,2654600
2023-11-02,388.0,400.0,386.0,396.0,4392800
2023-11-03,396.0,400.0,390.0,394.0,2668200
2023-11-06,394.0,418.0,394.0,412.0,5145200
2023-11-07,414.0,418.0,404.0,412.0,2628100
2023-11-08,412.0,414.0,396.0,406.0,2717300
2023-11-09,406.0,408.0,398.0,398.0,2750800
2023-11-10,396.0,398.0,388.0,396.0,3390000
2023-11-13,396.0,400.0,388.0,396.0,3360100
2023-11-14,396.0,398.0,390.0,392.0,2706200
2023-11-15,394.0,398.0,390.0,392.0,2611100
2023-11-16,392.0,398.0,388.0,390.0,2886200
2023-11-17,392.0,396.0,388.0,390.0,2324200
2023-11-20,390.0,394.0,388.0,392.0,2654800
2023-11-21,392.0,394.0,388.0,388.0,2676300
2023-11-22,390.0,394.0,388.0,392.0,2951700
