date,open,high,low,close,volume
2022-07-04,740.0,740.0,720.0,730.0,6577000
2022-07-05,735.0,735.0,725.0,735.0,3016800
2022-07-06,735.0,735.0,720.0,725.0,14772900
2022-07-07,730.0,730.0,715.0,720.0,5372000
2022-07-08,720.0,730.0,720.0,720.0,2721000
2022-07-11,720.0,730.0,720.0,725.0,886500
2022-07-12,725.0,730.0,720.0,730.0,607700
2022-07-13,730.0,730.0,720.0,730.0,1839700
2022-07-14,725.0,730.0,720.0,725.0,1553900
2022-07-15,725.0,725.0,715.0,720.0,4173800
2022-07-18,720.0,725.0,715.0,720.0,3884100
2022-07-19,720.0,720.0,715.0,715.0,2003000
2022-07-20,725.0,725.0,715.0,720.0,7136300
2022-07-21,720.0,725.0,715.0,720.0,2760000
2022-07-22,720.0,720.0,715.0,715.0,3758900
2022-07-25,720.0,725.0,715.0,715.0,8321700
2022-07-26,720.0,720.0,710.0,715.0,8337800
2022-07-27,715.0,715.0,710.0,715.0,8140800
2022-07-28,715.0,725.0,715.0,715.0,8583000
2022-07-29,720.0,720.0,710.0,710.0,9628300
2022-08-01,710.0,720.0,710.0,715.0,8644600
2022-08-02,715.0,715.0,710.0,710.0,3317500
2022-08-03,710.0,715.0,710.0,715.0,4249900
2022-08-04,715.0,715.0,710.0,715.0,4439900
2022-08-05,715.0,720.0,710.0,715.0,6997600
2022-08-08,715.0,720.0,710.0,720.0,7447100
2022-08-09,720.0,725.0,715.0,725.0,2709400
2022-08-10,725.0,725.0,715.0,715.0,3510400
2022-08-11,720.0,725.0,715.0,720.0,5402100
2022-08-12,720.0,725.0,715.0,720.0,5302000
2022-08-15,720.0,730.0,720.0,725.0,6679600
2022-08-16,725.0,730.0,725.0,725.0,2325800
2022-08-18,725.0,730.0,720.0,725.0,2895800
2022-08-19,725.0,725.0,720.0,725.0,3851000
2022-08-22,725.0,725.0,720.0,720.0,3271200
2022-08-23,720.0,725.0,720.0,720.0,2590800
2022-08-24,720.0,725.0,715.0,725.0,4433300
2022-08-25,725.0,725.0,720.0,720.0,4272600
2022-08-26,720.0,725.0,720.0,720.0,1832500
2022-08-29,720.0,725.0,715.0,720.0,2781900
2022-08-30,720.0,720.0,715.0,720.0,4344700
2022-08-31,720.0,725.0,715.0,720.0,4301600
2022-09-01,720.0,725.0,715.0,725.0,3315000
2022-09-02,725.0,725.0,720.0,725.0,3194500
2022-09-05,725.0,730.0,720.0,720.0,4291100
2022-09-06,725.0,730.0,720.0,720.0,6357600
2022-09-07,720.0,725.0,720.0,720.0,3627600
2022-09-08,720.0,730.0,720.0,725.0,10402900
2022-09-09,725.0,730.0,720.0,725.0,3458100
2022-09-12,725.0,730.0,720.0,720.0,3774800
2022-09-13,725.0,730.0,720.0,720.0,7682200
2022-09-14,720.0,725.0,715.0,720.0,16193000
2022-09-15,720.0,725.0,715.0,725.0,11992200
2022-09-16,725.0,725.0,720.0,720.0,5090100
2022-09-19,720.0,725.0,720.0,720.0,2893900
2022-09-20,720.0,725.0,715.0,720.0,6874700
2022-09-21,720.0,720.0,715.0,715.0,13378300
2022-09-22,720.0,720.0,710.0,720.0,3630400
2022-09-23,720.0,720.0,715.0,720.0,2245700
2022-09-26,720.0,720.0,710.0,710.0,7079400
2022-09-27,715.0,720.0,710.0,715.0,2287800
2022-09-28,715.0,720.0,710.0,715.0,4247300
2022-09-29,715.0,715.0,710.0,710.0,5088800
2022-09-30,710.0,715.0,705.0,710.0,8050500
2022-10-03,710.0,715.0,705.0,710.0,5572700
2022-10-04,710.0,715.0,705.0,705.0,4978700
2022-10-05,705.0,715.0,705.0,710.0,4667700
2022-10-06,710.0,715.0,705.0,710.0,2889400
2022-10-07,710.0,710.0,705.0,705.0,4258800
2022-10-10,705.0,710.0,705.0,705.0,2263900
2022-10-11,705.0,710.0,700.0,700.0,4415600
2022-10-12,700.0,710.0,700.0,700.0,7311900
2022-10-13,700.0,705.0,700.0,700.0,5245500
2022-10-14,705.0,710.0,690.0,695.0,8557000
2022-10-17,695.0,700.0,690.0,695.0,6606800
2022-10-18,700.0,700.0,690.0,700.0,3276900
2022-10-19,700.0,700.0,690.0,695.0,4702600
2022-10-20,695.0,695.0,675.0,695.0,51728300
2022-10-21,695.0,695.0,685.0,690.0,17670700
2022-10-24,690.0,695.0,690.0,695.0,8023100
2022-10-25,695.0,695.0,690.0,690.0,7310300
2022-10-26,695.0,695.0,690.0,695.0,1731300
2022-10-27,690.0,695.0,690.0,695.0,5175600
2022-10-28,695.0,695.0,690.0,695.0,4354100
2022-10-31,695.0,705.0,690.0,705.0,8259000
2022-11-01,705.0,710.0,700.0,700.0,5397300
2022-11-02,700.0,710.0,700.0,705.0,3160700
2022-11-03,705.0,705.0,700.0,700.0,2126400
2022-11-04,700.0,705.0,700.0,700.0,2285800
2022-11-07,700.0,710.0,700.0,710.0,8046100
2022-11-08,710.0,710.0,705.0,710.0,3579900
2022-11-09,710.0,710.0,700.0,705.0,10030900
2022-11-10,705.0,705.0,695.0,700.0,9231700
2022-11-11,705.0,710.0,700.0,700.0,8003000
2022-11-14,700.0,705.0,695.0,700.0,7034500
2022-11-15,700.0,710.0,700.0,710.0,4412600
2022-11-16,710.0,710.0,700.0,700.0,2305400
2022-11-17,700.0,710.0,700.0,705.0,11081000
2022-11-18,705.0,715.0,705.0,710.0,4023500
2022-11-21,715.0,715.0,700.0,700.0,15267000
2022-11-22,705.0,710.0,700.0,705.0,2177400
2022-11-23,705.0,710.0,700.0,710.0,2223600
2022-11-24,710.0,710.0,705.0,710.0,2497600
2022-11-25,710.0,715.0,705.0,710.0,2201900
2022-11-28,710.0,715.0,705.0,710.0,3424400
2022-11-29,710.0,715.0,705.0,710.0,3580900
2022-11-30,710.0,730.0,705.0,730.0,13133800
2022-12-01,730.0,730.0,720.0,720.0,4724300
2022-12-02,720.0,725.0,715.0,715.0,4600400
2022-12-05,715.0,725.0,715.0,720.0,3552400
