date,open,high,low,close,volume
2022-07-04,675.0,675.0,645.0,645.0,11500
2022-07-05,650.0,650.0,625.0,645.0,15600
2022-07-06,655.0,705.0,620.0,705.0,55300
2022-07-07,710.0,710.0,670.0,700.0,4600
2022-07-08,700.0,700.0,665.0,685.0,21700
2022-07-11,700.0,700.0,650.0,675.0,16400
2022-07-12,670.0,675.0,660.0,665.0,6000
2022-07-13,680.0,680.0,650.0,650.0,31200
2022-07-14,650.0,730.0,650.0,685.0,63700
2022-07-15,675.0,740.0,645.0,735.0,91500
2022-07-18,735.0,735.0,685.0,685.0,82400
2022-07-19,670.0,715.0,640.0,665.0,42800
2022-07-20,670.0,680.0,640.0,665.0,30200
2022-07-21,665.0,670.0,635.0,670.0,47300
2022-07-22,670.0,670.0,650.0,665.0,4000
2022-07-25,645.0,670.0,620.0,645.0,167200
2022-07-26,665.0,665.0,640.0,655.0,197700
2022-07-27,655.0,675.0,655.0,665.0,20600
2022-07-28,665.0,665.0,655.0,660.0,26000
2022-07-29,660.0,675.0,650.0,670.0,48200
2022-08-01,670.0,680.0,650.0,670.0,78800
2022-08-02,650.0,680.0,635.0,670.0,56100
2022-08-03,680.0,680.0,635.0,670.0,52700
2022-08-04,670.0,670.0,650.0,650.0,1300
2022-08-05,660.0,740.0,650.0,725.0,102500
2022-08-08,725.0,725.0,680.0,715.0,20000
2022-08-09,715.0,730.0,680.0,690.0,22800
2022-08-10,685.0,690.0,685.0,690.0,1800
2022-08-11,695.0,720.0,680.0,690.0,2900
2022-08-12,710.0,710.0,700.0,700.0,8800
2022-08-15,705.0,715.0,670.0,715.0,59400
2022-08-16,710.0,740.0,685.0,720.0,34500
2022-08-18,675.0,695.0,675.0,685.0,205700
2022-08-19,685.0,690.0,680.0,685.0,67200
2022-08-22,680.0,685.0,665.0,665.0,65300
2022-08-23,660.0,705.0,660.0,685.0,20300
2022-08-24,700.0,700.0,650.0,660.0,81800
2022-08-25,660.0,685.0,660.0,685.0,80100
2022-08-26,685.0,695.0,670.0,695.0,118900
2022-08-29,670.0,675.0,670.0,670.0,38000
2022-08-30,685.0,690.0,670.0,670.0,176900
2022-08-31,675.0,700.0,670.0,695.0,354000
2022-09-01,715.0,770.0,700.0,750.0,577800
2022-09-02,750.0,770.0,720.0,750.0,71000
2022-09-05,740.0,745.0,705.0,730.0,223700
2022-09-06,730.0,730.0,715.0,725.0,8800
2022-09-07,740.0,740.0,700.0,715.0,31500
2022-09-08,705.0,705.0,705.0,705.0,8400
2022-09-09,680.0,720.0,680.0,695.0,3600
2022-09-12,700.0,740.0,685.0,740.0,30600
2022-09-13,710.0,720.0,690.0,715.0,143900
2022-09-14,695.0,710.0,690.0,705.0,31400
2022-09-15,720.0,725.0,675.0,710.0,46500
2022-09-16,710.0,710.0,685.0,705.0,16600
2022-09-19,695.0,710.0,675.0,705.0,81900
2022-09-20,695.0,705.0,660.0,705.0,188600
2022-09-21,675.0,700.0,670.0,700.0,168500
2022-09-22,695.0,705.0,675.0,680.0,128700
2022-09-23,675.0,700.0,670.0,670.0,175600
2022-09-26,670.0,695.0,670.0,675.0,1500
2022-09-27,675.0,675.0,675.0,675.0,9800
2022-09-28,650.0,680.0,635.0,655.0,66300
2022-09-29,650.0,655.0,630.0,655.0,391700
2022-09-30,635.0,650.0,615.0,645.0,114500
2022-10-03,645.0,645.0,630.0,645.0,4900
2022-10-04,645.0,655.0,625.0,650.0,199700
2022-10-05,645.0,645.0,630.0,630.0,100300
2022-10-06,640.0,645.0,625.0,630.0,236800
2022-10-07,630.0,645.0,630.0,635.0,16000
2022-10-10,630.0,640.0,630.0,640.0,18300
2022-10-11,635.0,645.0,630.0,640.0,7000
2022-10-12,630.0,645.0,630.0,640.0,17400
2022-10-13,635.0,635.0,630.0,635.0,7200
2022-10-14,655.0,655.0,630.0,635.0,14900
2022-10-17,630.0,635.0,630.0,635.0,1100
2022-10-18,650.0,650.0,635.0,640.0,1100
2022-10-19,635.0,640.0,635.0,640.0,5200
2022-10-20,640.0,640.0,635.0,640.0,9900
2022-10-21,640.0,650.0,640.0,650.0,9300
2022-10-24,640.0,655.0,640.0,655.0,33100
2022-10-25,655.0,655.0,655.0,655.0,9000
2022-10-26,655.0,670.0,640.0,650.0,70300
2022-10-27,650.0,660.0,645.0,645.0,2800
2022-10-28,640.0,640.0,635.0,635.0,15700
2022-10-31,635.0,640.0,635.0,635.0,14000
2022-11-01,635.0,635.0,630.0,635.0,19600
2022-11-02,630.0,635.0,630.0,635.0,79600
2022-11-03,635.0,650.0,635.0,650.0,36400
2022-11-04,645.0,650.0,645.0,650.0,2200
2022-11-07,635.0,645.0,635.0,640.0,13500
2022-11-08,640.0,640.0,640.0,640.0,400
2022-11-09,635.0,645.0,635.0,645.0,2100
2022-11-10,640.0,640.0,640.0,640.0,8600
2022-11-11,640.0,640.0,630.0,630.0,79100
2022-11-14,640.0,640.0,640.0,640.0,1500
2022-11-15,640.0,645.0,635.0,645.0,4100
2022-11-16,645.0,645.0,635.0,635.0,29800
2022-11-17,635.0,640.0,635.0,640.0,186900
2022-11-18,640.0,690.0,640.0,690.0,777400
2022-11-21,690.0,805.0,665.0,735.0,2108700
2022-11-22,750.0,750.0,685.0,725.0,1506700
2022-11-23,725.0,730.0,675.0,720.0,1043100
2022-11-24,715.0,730.0,690.0,720.0,65300
2022-11-25,675.0,710.0,675.0,690.0,318600
2022-11-28,695.0,735.0,680.0,725.0,4060400
2022-11-29,720.0,745.0,700.0,730.0,1862100
2022-11-30,730.0,730.0,710.0,710.0,200100
2022-12-01,715.0,720.0,695.0,700.0,459100
2022-12-02,700.0,710.0,695.0,695.0,154400
2022-12-05,695.0,710.0,695.0,700.0,50600
2022-12-06,700.0,710.0,695.0,700.0,100800
2022-12-07,695.0,710.0,695.0,695.0,140500
2022-12-08,690.0,700.0,685.0,695.0,152800
2022-12-09,690.0,700.0,690.0,695.0,20700
2022-12-12,700.0,700.0,690.0,695.0,30400
2022-12-13,685.0,695.0,680.0,690.0,95700
2022-12-14,645.0,695.0,645.0,685.0,73300
2022-12-15,690.0,700.0,685.0,695.0,76200
2022-12-16,695.0,695.0,680.0,680.0,52100
2022-12-19,680.0,700.0,675.0,700.0,34600
2022-12-20,680.0,690.0,680.0,680.0,61200
2022-12-21,675.0,685.0,670.0,675.0,153200
2022-12-22,680.0,685.0,670.0,685.0,92800
2022-12-23,685.0,685.0,665.0,680.0,14700
2022-12-26,680.0,680.0,665.0,675.0,24500
2022-12-27,675.0,680.0,630.0,675.0,65800
2022-12-28,675.0,680.0,665.0,670.0,31600
2022-12-29,670.0,685.0,630.0,665.0,43100
2022-12-30,665.0,665.0,655.0,665.0,12100
2023-01-02,675.0,675.0,640.0,675.0,36700
2023-01-03,675.0,675.0,640.0,655.0,31400
2023-01-04,675.0,675.0,645.0,670.0,3800
2023-01-05,630.0,675.0,630.0,665.0,11300
2023-01-06,645.0,655.0,635.0,655.0,39700
2023-01-09,655.0,655.0,640.0,655.0,4700
2023-01-10,655.0,655.0,630.0,640.0,6800
2023-01-11,630.0,665.0,620.0,665.0,24200
2023-01-12,660.0,660.0,640.0,660.0,3800
2023-01-13,645.0,650.0,620.0,630.0,39500
2023-01-16,630.0,640.0,615.0,640.0,65500
2023-01-17,625.0,640.0,625.0,625.0,34300
2023-01-18,615.0,620.0,585.0,585.0,246700
2023-01-19,560.0,560.0,545.0,550.0,232400
2023-01-20,550.0,575.0,515.0,570.0,99600
2023-01-24,570.0,570.0,555.0,555.0,16900
2023-01-25,585.0,585.0,550.0,555.0,67100
2023-01-26,555.0,575.0,525.0,565.0,11800
2023-01-27,560.0,565.0,535.0,560.0,22800
2023-01-30,555.0,560.0,550.0,555.0,1200
2023-01-31,585.0,585.0,540.0,555.0,4300
2023-02-01,555.0,560.0,520.0,525.0,79000
2023-02-02,505.0,505.0,490.0,490.0,194100
2023-02-03,500.0,500.0,460.0,480.0,36200
2023-02-06,480.0,498.0,470.0,478.0,21400
2023-02-07,482.0,510.0,482.0,510.0,59600
2023-02-08,505.0,510.0,500.0,510.0,700
2023-02-09,510.0,525.0,486.0,510.0,2200
2023-02-10,515.0,515.0,486.0,486.0,5100
2023-02-13,510.0,520.0,488.0,505.0,8800
2023-02-14,505.0,510.0,494.0,510.0,4800
2023-02-15,490.0,505.0,484.0,500.0,1800
2023-02-16,500.0,510.0,484.0,510.0,9000
2023-02-17,500.0,510.0,486.0,510.0,600
2023-02-20,480.0,510.0,480.0,498.0,14600
2023-02-21,498.0,498.0,486.0,488.0,15500
2023-02-22,488.0,496.0,482.0,492.0,8200
2023-02-23,492.0,496.0,492.0,496.0,300
2023-02-24,496.0,498.0,480.0,498.0,18400
2023-02-27,498.0,498.0,498.0,498.0,1700
2023-02-28,498.0,498.0,472.0,490.0,4700
2023-03-01,488.0,488.0,468.0,480.0,32000
2023-03-02,480.0,480.0,448.0,480.0,36400
2023-03-03,480.0,486.0,480.0,480.0,1300
2023-03-06,480.0,490.0,448.0,448.0,224000
2023-03-07,446.0,448.0,436.0,446.0,8500
2023-03-08,446.0,446.0,440.0,440.0,10500
2023-03-09,440.0,440.0,416.0,430.0,19600
2023-03-10,430.0,444.0,422.0,444.0,84500
2023-03-13,444.0,472.0,444.0,450.0,17400
2023-03-14,432.0,448.0,430.0,448.0,14400
2023-03-15,426.0,440.0,418.0,418.0,52000
2023-03-16,418.0,418.0,390.0,394.0,55800
2023-03-17,372.0,378.0,368.0,368.0,22800
2023-03-20,360.0,360.0,350.0,352.0,2200
2023-03-21,344.0,348.0,328.0,344.0,94100
2023-03-24,342.0,342.0,324.0,338.0,13500
2023-03-27,354.0,364.0,322.0,348.0,30200
2023-03-28,362.0,362.0,348.0,350.0,41400
2023-03-29,334.0,362.0,334.0,354.0,6100
2023-03-30,352.0,354.0,352.0,354.0,12400
2023-03-31,338.0,360.0,338.0,356.0,3500
2023-04-03,354.0,384.0,348.0,366.0,7200
2023-04-04,386.0,386.0,350.0,366.0,2700
2023-04-05,356.0,366.0,346.0,366.0,2500
2023-04-06,364.0,364.0,346.0,360.0,2500
2023-04-10,342.0,346.0,342.0,346.0,4200
2023-04-11,346.0,356.0,342.0,356.0,3400
2023-04-12,356.0,356.0,332.0,332.0,106200
2023-04-13,332.0,342.0,310.0,310.0,239500
2023-04-14,320.0,320.0,302.0,302.0,125200
2023-04-17,308.0,310.0,302.0,310.0,18200
2023-04-18,310.0,310.0,310.0,310.0,1100
2023-04-26,304.0,308.0,292.0,308.0,142000
2023-04-27,302.0,310.0,300.0,308.0,4100
2023-04-28,308.0,308.0,300.0,306.0,62700
2023-05-02,306.0,310.0,292.0,310.0,10900
2023-05-03,300.0,310.0,300.0,310.0,37000
2023-05-04,312.0,314.0,312.0,314.0,500
2023-05-05,306.0,306.0,306.0,306.0,7200
2023-05-08,306.0,328.0,306.0,328.0,86900
2023-05-09,328.0,332.0,308.0,326.0,42800
2023-05-10,326.0,338.0,324.0,332.0,58000
2023-05-11,332.0,332.0,324.0,330.0,24900
2023-05-12,334.0,346.0,326.0,330.0,33900
2023-05-15,332.0,332.0,324.0,328.0,111500
2023-05-16,330.0,334.0,328.0,332.0,18500
2023-05-17,332.0,334.0,312.0,332.0,57600
2023-05-19,314.0,328.0,314.0,324.0,10300
2023-05-22,330.0,330.0,316.0,328.0,2500
2023-05-23,320.0,324.0,318.0,324.0,21300
2023-05-24,324.0,400.0,324.0,346.0,717800
2023-05-25,358.0,364.0,330.0,346.0,47400
2023-05-26,346.0,354.0,344.0,354.0,91200
2023-05-29,360.0,360.0,330.0,346.0,102400
2023-05-30,352.0,352.0,332.0,338.0,76300
2023-05-31,344.0,350.0,316.0,340.0,236400
2023-06-05,340.0,350.0,334.0,340.0,197800
2023-06-06,352.0,352.0,340.0,340.0,10200
2023-06-07,320.0,348.0,300.0,324.0,126800
2023-06-08,318.0,324.0,300.0,314.0,81100
2023-06-09,314.0,330.0,314.0,330.0,9200
2023-06-12,330.0,336.0,330.0,336.0,7500
2023-06-13,330.0,340.0,330.0,334.0,3300
2023-06-14,348.0,348.0,348.0,348.0,100
2023-06-15,348.0,348.0,326.0,328.0,2300
2023-06-16,328.0,328.0,302.0,310.0,37800
2023-06-19,310.0,326.0,304.0,312.0,23700
2023-06-20,312.0,336.0,310.0,332.0,17800
2023-06-21,332.0,332.0,312.0,330.0,9000
2023-06-22,330.0,330.0,314.0,328.0,13600
2023-06-23,328.0,328.0,316.0,328.0,3800
2023-06-26,328.0,328.0,312.0,326.0,600
2023-06-27,326.0,326.0,316.0,320.0,3700
2023-07-03,320.0,350.0,320.0,336.0,55000
2023-07-04,336.0,348.0,330.0,340.0,108500
2023-07-05,342.0,342.0,334.0,334.0,10200
2023-07-06,334.0,334.0,324.0,326.0,36200
2023-07-07,338.0,338.0,324.0,338.0,53500
2023-07-10,336.0,336.0,326.0,336.0,15900
2023-07-11,332.0,418.0,328.0,414.0,164100
2023-07-12,406.0,414.0,360.0,372.0,394600
2023-07-13,372.0,382.0,362.0,376.0,38300
2023-07-14,378.0,382.0,374.0,374.0,55000
2023-07-17,370.0,380.0,352.0,370.0,27800
2023-07-18,368.0,380.0,366.0,376.0,31800
2023-07-20,374.0,378.0,374.0,378.0,9200
2023-07-21,376.0,398.0,372.0,382.0,96300
2023-07-24,386.0,406.0,386.0,392.0,101200
2023-07-25,394.0,412.0,394.0,412.0,75500
2023-07-26,412.0,422.0,412.0,420.0,108400
2023-07-27,420.0,428.0,416.0,428.0,40900
2023-07-28,428.0,466.0,428.0,462.0,151900
2023-07-31,470.0,488.0,462.0,480.0,144600
2023-08-01,480.0,480.0,446.0,454.0,56500
2023-08-02,454.0,470.0,450.0,470.0,40000
2023-08-03,470.0,470.0,452.0,470.0,13700
2023-08-04,470.0,498.0,470.0,488.0,49400
2023-08-07,488.0,494.0,470.0,474.0,30900
2023-08-08,476.0,496.0,476.0,490.0,62400
2023-08-09,490.0,490.0,478.0,490.0,72000
2023-08-10,490.0,490.0,480.0,482.0,3000
2023-08-11,482.0,482.0,474.0,480.0,12100
2023-08-14,490.0,490.0,454.0,488.0,16500
2023-08-15,488.0,496.0,454.0,472.0,12000
2023-08-16,472.0,478.0,464.0,476.0,48700
2023-08-18,476.0,476.0,470.0,476.0,4000
2023-08-21,470.0,470.0,450.0,454.0,29300
2023-08-22,454.0,456.0,454.0,454.0,57100
2023-08-23,454.0,454.0,452.0,452.0,17400
2023-08-24,452.0,452.0,452.0,452.0,11900
2023-08-25,450.0,474.0,422.0,474.0,34400
2023-08-28,474.0,474.0,474.0,474.0,6400
2023-08-29,474.0,474.0,474.0,474.0,800
2023-08-30,474.0,474.0,458.0,474.0,43800
2023-08-31,456.0,472.0,456.0,472.0,2100
2023-09-01,472.0,472.0,462.0,472.0,184900
2023-09-04,464.0,472.0,460.0,472.0,5100
2023-09-05,472.0,472.0,472.0,472.0,200
2023-09-06,460.0,470.0,460.0,462.0,14000
2023-09-07,462.0,500.0,462.0,490.0,14100
2023-09-08,490.0,498.0,480.0,488.0,22000
2023-09-11,486.0,486.0,484.0,484.0,7400
2023-09-12,464.0,484.0,464.0,484.0,4300
2023-09-13,460.0,468.0,418.0,454.0,207800
2023-09-14,452.0,454.0,432.0,454.0,64800
2023-09-15,456.0,456.0,448.0,454.0,12600
2023-09-18,478.0,478.0,444.0,446.0,76100
2023-09-19,430.0,474.0,430.0,474.0,108200
2023-09-20,472.0,472.0,450.0,468.0,2800
2023-09-21,468.0,472.0,452.0,472.0,8900
2023-09-22,472.0,472.0,452.0,472.0,21100
2023-09-25,454.0,472.0,454.0,472.0,1900
2023-09-26,458.0,472.0,450.0,472.0,6700
2023-09-27,452.0,468.0,450.0,466.0,5400
2023-09-29,462.0,462.0,460.0,460.0,1100
2023-10-02,458.0,458.0,458.0,458.0,100
2023-10-03,400.0,400.0,400.0,400.0,50000
2023-10-04,400.0,418.0,390.0,416.0,67800
2023-10-05,416.0,424.0,408.0,412.0,6100
2023-10-06,412.0,412.0,400.0,404.0,11500
2023-10-09,406.0,406.0,400.0,400.0,3200
2023-10-10,400.0,404.0,392.0,404.0,6000
2023-10-11,404.0,410.0,404.0,410.0,1100
2023-10-12,408.0,410.0,408.0,410.0,3100
2023-10-13,402.0,430.0,402.0,430.0,58300
2023-10-16,408.0,428.0,404.0,404.0,38100
2023-10-17,404.0,448.0,388.0,448.0,10500
2023-10-18,438.0,438.0,422.0,430.0,4700
2023-10-19,436.0,436.0,436.0,436.0,2000
2023-10-20,436.0,436.0,436.0,436.0,300
2023-10-23,436.0,436.0,436.0,436.0,43200
2023-10-24,436.0,470.0,436.0,458.0,83400
2023-10-25,464.0,466.0,436.0,466.0,63600
2023-10-26,464.0,464.0,376.0,414.0,71200
2023-10-27,392.0,462.0,392.0,450.0,500
2023-10-30,440.0,450.0,440.0,450.0,27600
2023-10-31,450.0,450.0,448.0,450.0,82000
2023-11-01,450.0,450.0,450.0,450.0,0
2023-11-02,446.0,450.0,446.0,446.0,28100
2023-11-03,446.0,450.0,446.0,450.0,12300
2023-11-06,450.0,458.0,450.0,458.0,5100
2023-11-07,458.0,458.0,458.0,458.0,0
2023-11-08,458.0,458.0,458.0,458.0,0
2023-11-09,450.0,450.0,450.0,450.0,5000
2023-11-10,450.0,450.0,450.0,450.0,0
2023-11-13,450.0,450.0,450.0,450.0,0
2023-11-14,450.0,450.0,450.0,450.0,100
2023-11-15,374.0,440.0,374.0,440.0,13500
2023-11-16,440.0,452.0,432.0,450.0,21700
2023-11-17,440.0,448.0,434.0,446.0,25800
2023-11-20,444.0,448.0,442.0,446.0,9000
2023-11-21,446.0,446.0,446.0,446.0,0
2023-11-22,448.0,456.0,448.0,456.0,42000
2023-11-23,456.0,456.0,456.0,456.0,94000
2023-11-24,458.0,458.0,456.0,456.0,3100
2023-11-27,440.0,448.0,440.0,448.0,4600
2023-11-28,448.0,448.0,448.0,448.0,1000
2023-11-29,448.0,448.0,448.0,448.0,0
2023-11-30,448.0,448.0,448.0,448.0,0
2023-12-01,448.0,448.0,448.0,448.0,600
2023-12-04,448.0,470.0,442.0,442.0,10700
2023-12-05,442.0,442.0,438.0,438.0,22400
2023-12-06,438.0,466.0,438.0,466.0,2400
2023-12-07,464.0,486.0,450.0,450.0,73900
2023-12-08,450.0,450.0,450.0,450.0,0
2023-12-11,450.0,450.0,450.0,450.0,300
2023-12-12,450.0,450.0,450.0,450.0,0
2023-12-13,448.0,448.0,448.0,448.0,100
2023-12-14,448.0,448.0,448.0,448.0,5500
2023-12-15,448.0,448.0,448.0,448.0,0
2023-12-18,406.0,444.0,406.0,444.0,5300
2023-12-19,450.0,450.0,430.0,448.0,400
2023-12-20,446.0,446.0,400.0,412.0,156700
2023-12-21,412.0,412.0,364.0,410.0,18000
2023-12-22,400.0,410.0,400.0,400.0,11500
2023-12-27,380.0,414.0,378.0,414.0,21200
2023-12-28,412.0,412.0,412.0,412.0,100
2023-12-29,408.0,412.0,408.0,412.0,13600
2024-01-02,410.0,410.0,410.0,410.0,2700
2024-01-03,408.0,410.0,408.0,410.0,2200
2024-01-04,410.0,410.0,410.0,410.0,100
2024-01-05,410.0,410.0,410.0,410.0,0
2024-01-08,410.0,410.0,410.0,410.0,100
2024-01-09,410.0,410.0,400.0,400.0,9400
2024-01-10,400.0,400.0,400.0,400.0,5500
2024-01-11,400.0,400.0,400.0,400.0,5000
2024-01-12,400.0,400.0,400.0,400.0,100
2024-01-15,400.0,400.0,400.0,400.0,100
2024-01-16,400.0,400.0,400.0,400.0,1500
2024-01-17,400.0,400.0,380.0,400.0,1600
2024-01-18,400.0,400.0,382.0,382.0,4600
2024-01-19,384.0,392.0,382.0,382.0,3900
2024-01-22,380.0,392.0,370.0,392.0,14900
2024-01-23,392.0,392.0,392.0,392.0,0
2024-01-24,392.0,400.0,320.0,388.0,88400
2024-01-25,368.0,392.0,366.0,392.0,4700
2024-01-26,392.0,394.0,392.0,392.0,400
2024-01-29,392.0,392.0,392.0,392.0,900
2024-01-30,392.0,392.0,392.0,392.0,100
2024-01-31,392.0,392.0,392.0,392.0,0
2024-02-01,392.0,392.0,392.0,392.0,200
2024-02-02,392.0,392.0,392.0,392.0,1100
2024-02-05,392.0,392.0,392.0,392.0,0
2024-02-06,392.0,392.0,392.0,392.0,0
2024-02-07,392.0,392.0,392.0,392.0,0
2024-02-12,390.0,390.0,390.0,390.0,13300
2024-02-13,356.0,390.0,356.0,362.0,52600
2024-02-15,362.0,392.0,342.0,390.0,20800
2024-02-16,346.0,378.0,346.0,354.0,55300
2024-02-19,354.0,356.0,334.0,342.0,21100
2024-02-20,340.0,356.0,322.0,350.0,32400
2024-02-21,352.0,352.0,324.0,334.0,35900
2024-02-22,330.0,340.0,320.0,340.0,23300
2024-02-23,340.0,340.0,320.0,322.0,4700
2024-02-26,322.0,402.0,322.0,398.0,150100
2024-02-27,400.0,400.0,356.0,356.0,31300
2024-02-28,356.0,360.0,340.0,340.0,8000
2024-02-29,340.0,340.0,336.0,336.0,5300
2024-03-01,336.0,336.0,320.0,336.0,5400
2024-03-04,348.0,348.0,324.0,348.0,22400
2024-03-05,330.0,346.0,330.0,346.0,3400
2024-03-06,346.0,346.0,346.0,346.0,1000
2024-03-07,346.0,346.0,314.0,344.0,28500
2024-03-08,330.0,332.0,330.0,330.0,7000
2024-03-13,330.0,344.0,330.0,330.0,6800
2024-03-14,334.0,340.0,330.0,340.0,700
2024-03-15,340.0,356.0,330.0,356.0,5200
2024-03-18,354.0,356.0,354.0,356.0,8000
2024-03-19,350.0,398.0,350.0,380.0,49900
2024-03-20,380.0,380.0,352.0,370.0,4700
2024-03-21,358.0,458.0,318.0,414.0,89700
2024-03-22,406.0,432.0,380.0,380.0,64400
2024-03-25,414.0,414.0,344.0,392.0,77600
2024-03-26,408.0,408.0,370.0,404.0,39300
2024-03-27,404.0,404.0,404.0,404.0,10000
2024-03-28,320.0,404.0,320.0,380.0,27500
2024-04-01,392.0,392.0,362.0,372.0,16500
2024-04-02,370.0,370.0,370.0,370.0,29600
2024-04-03,370.0,396.0,358.0,358.0,59300
2024-04-04,358.0,390.0,358.0,390.0,2100
2024-04-05,390.0,398.0,390.0,398.0,5900
2024-04-16,396.0,396.0,364.0,386.0,13200
2024-04-17,378.0,380.0,376.0,380.0,6100
2024-04-18,362.0,384.0,362.0,384.0,1200
2024-04-19,356.0,378.0,356.0,378.0,4600
2024-04-22,376.0,382.0,376.0,382.0,4600
2024-04-23,362.0,362.0,352.0,360.0,2600
2024-04-24,360.0,380.0,350.0,372.0,17400
2024-04-25,376.0,376.0,374.0,374.0,1300
2024-04-26,382.0,382.0,376.0,376.0,200
