date,open,high,low,close,volume
2022-07-04,116.05,123.38,109.95,111.17,917967
2022-07-05,111.17,117.27,111.17,113.0,178616
2022-07-06,112.39,119.11,112.39,117.27,264240
2022-07-07,114.83,117.27,113.0,113.61,143580
2022-07-08,116.66,116.66,114.22,116.05,72854
2022-07-11,117.27,117.27,113.61,116.05,112474
2022-07-12,121.55,121.55,113.0,113.61,150784
2022-07-13,116.05,117.27,113.61,113.61,371148
2022-07-14,114.83,119.11,109.95,113.0,1290262
2022-07-15,113.0,114.83,111.17,111.17,342007
2022-07-18,111.78,114.22,111.17,111.78,368529
2022-07-19,111.78,113.0,111.17,111.78,465286
2022-07-20,111.78,114.22,110.56,110.56,656018
2022-07-21,110.56,111.17,109.33,110.56,1437444
2022-07-22,110.56,114.83,110.56,113.61,475764
2022-07-25,113.61,116.66,113.0,116.05,527008
2022-07-26,117.27,120.94,108.11,111.17,1096911
2022-07-27,111.17,111.17,108.72,111.17,560243
2022-07-28,109.33,111.78,109.33,111.17,612796
2022-07-29,111.17,113.0,109.95,110.56,748027
2022-08-01,110.56,111.78,109.33,111.78,292400
2022-08-02,111.78,116.05,111.78,113.0,1004901
2022-08-03,115.44,134.38,115.44,128.27,7710138
2022-08-04,129.49,153.92,129.49,153.92,16539289
2022-08-05,156.37,179.58,144.15,144.15,28462712
2022-08-08,142.93,142.93,134.38,134.38,4288103
2022-08-09,127.05,141.71,125.83,136.82,3197413
2022-08-10,139.26,140.49,129.49,130.71,1023565
2022-08-11,133.16,135.6,127.05,134.38,2287632
2022-08-12,134.38,138.04,125.83,131.93,1835934
2022-08-15,131.93,134.38,124.6,124.6,2648794
2022-08-16,124.6,131.93,116.05,116.05,5628626
2022-08-18,109.95,119.72,109.95,114.22,3005863
2022-08-19,115.44,123.38,113.61,120.94,2188583
2022-08-22,125.83,125.83,117.89,120.33,499340
2022-08-23,120.33,120.33,113.0,115.44,1272416
2022-08-24,115.44,122.16,113.0,118.5,508180
2022-08-25,122.16,122.16,114.22,116.05,353631
2022-08-26,122.16,122.16,111.17,115.44,1254735
2022-08-29,109.33,118.5,107.5,108.72,4579357
2022-08-30,103.23,111.78,103.23,108.72,1033552
2022-08-31,108.11,112.39,108.11,109.33,737386
2022-09-01,109.33,112.39,108.11,109.95,1024056
2022-09-02,111.78,129.49,110.56,128.27,8472082
2022-09-05,122.16,130.71,119.72,119.72,4521074
2022-09-06,114.22,123.38,114.22,123.38,882276
2022-09-07,124.6,124.6,120.33,120.94,753103
2022-09-08,121.55,123.38,116.05,120.33,545181
2022-09-09,120.33,122.16,116.66,116.66,946454
2022-09-12,116.05,119.11,115.44,115.44,715611
2022-09-13,115.44,134.38,115.44,122.16,5101945
2022-09-14,122.16,124.6,113.61,113.61,4770089
2022-09-15,113.61,116.05,112.39,114.22,926316
2022-09-16,113.61,116.05,111.78,111.78,1725097
2022-09-19,111.78,118.5,111.17,113.0,1133420
2022-09-20,113.61,116.66,113.0,113.0,455463
2022-09-21,115.44,117.27,110.56,113.0,1541241
2022-09-22,111.78,114.22,109.33,110.56,960861
2022-09-23,110.56,114.22,107.5,108.72,1666649
2022-09-26,108.72,108.72,104.45,106.28,1197761
2022-09-27,106.28,110.56,106.28,109.95,931392
2022-09-28,109.95,109.95,106.89,109.33,781262
2022-09-29,109.95,110.56,107.5,109.33,601336
2022-09-30,115.44,124.6,109.33,112.39,9871216
2022-10-03,112.39,114.22,106.89,109.33,897174
2022-10-04,108.72,112.39,108.11,111.78,1736393
2022-10-05,111.78,115.44,108.11,109.95,259001
2022-10-06,109.95,112.39,108.11,112.39,703332
2022-10-07,112.39,112.39,108.11,108.11,985746
2022-10-10,107.5,113.0,106.89,108.72,1980988
2022-10-11,109.33,116.05,108.72,108.72,1298284
2022-10-12,111.78,114.22,103.84,106.28,2929734
2022-10-13,106.89,115.44,106.89,114.22,4717863
2022-10-14,114.83,120.33,112.39,116.66,3595412
2022-10-17,116.66,118.5,112.39,117.27,1952337
2022-10-18,117.27,120.94,114.22,117.27,1094455
2022-10-19,117.89,117.89,114.22,114.22,546490
2022-10-20,114.22,131.93,113.61,131.93,8155778
2022-10-21,131.93,131.93,123.38,127.05,5305938
2022-10-24,125.83,129.49,123.38,123.38,2361796
2022-10-25,124.6,128.27,118.5,125.83,4876342
2022-10-26,128.27,144.15,127.05,140.49,32787652
2022-10-27,140.49,142.93,134.38,135.6,7782174
2022-10-28,136.82,145.37,135.6,140.49,9330783
2022-10-31,140.49,147.82,135.6,136.82,21087050
2022-11-01,136.82,160.03,128.27,133.16,48842009
2022-11-02,134.38,166.14,128.27,166.14,48892270
2022-11-03,167.36,184.46,157.59,158.81,76720248
2022-11-04,160.03,161.25,147.82,147.82,9159043
2022-11-07,145.37,157.59,138.04,149.04,13817804
2022-11-08,149.04,149.04,140.49,141.71,4761248
2022-11-09,142.93,142.93,135.6,136.82,2741458
2022-11-10,136.82,138.04,131.93,135.6,2591002
2022-11-11,136.82,141.71,133.16,136.82,2597550
2022-11-14,135.6,138.04,134.38,135.6,869342
2022-11-15,135.6,136.82,129.49,129.49,3216568
2022-11-16,129.49,152.7,123.38,131.93,60373982
2022-11-17,134.38,144.15,133.16,138.04,10501040
2022-11-18,142.93,142.93,134.38,136.82,2638480
2022-11-21,136.82,139.26,130.71,133.16,2587727
2022-11-22,131.93,136.82,130.71,135.6,2476890
2022-11-23,135.6,162.47,131.93,157.59,45307172
2022-11-24,160.03,162.47,146.59,146.59,34911239
2022-11-25,139.26,146.59,139.26,142.93,6182321
2022-11-28,135.6,177.13,134.38,139.26,106772335
2022-11-29,130.71,144.15,130.71,136.82,8053782
2022-11-30,136.82,151.48,135.6,146.59,16836601
2022-12-01,146.59,155.14,146.59,146.59,17044851
2022-12-02,147.82,149.04,140.49,142.93,6116997
2022-12-05,145.37,150.26,142.93,149.04,9390376
2022-12-06,149.04,149.04,142.93,145.37,4348679
2022-12-07,145.37,146.59,139.26,145.37,4608663
2022-12-08,145.37,145.37,135.6,136.82,4225726
2022-12-09,130.71,142.93,130.71,136.82,1225429
2022-12-12,135.6,145.37,134.38,134.38,2529771
2022-12-13,136.82,140.49,130.71,133.16,1258991
2022-12-14,129.49,138.04,129.49,131.93,1231159
2022-12-15,125.83,134.38,125.83,131.93,1013087
2022-12-16,130.71,134.38,130.71,133.16,755558
2022-12-19,133.16,135.6,128.27,128.27,1138495
2022-12-20,128.27,133.16,124.6,125.83,974286
2022-12-21,125.83,135.6,120.33,122.16,13802087
2022-12-22,116.05,131.93,116.05,120.94,11058663
2022-12-23,116.05,124.6,116.05,124.6,2237698
2022-12-26,125.83,127.05,122.16,124.6,903396
2022-12-27,123.38,125.83,120.94,123.38,586929
2022-12-28,122.16,122.16,117.89,117.89,1118849
2022-12-29,118.5,122.16,114.83,121.55,696456
2022-12-30,121.55,122.16,116.05,117.89,639810
2023-01-02,119.11,138.04,119.11,134.38,17265706
2023-01-03,136.82,141.71,131.93,133.16,17099369
2023-01-04,133.16,136.82,130.71,134.38,3179077
2023-01-05,133.16,134.38,128.27,133.16,4097208
2023-01-06,130.71,134.38,130.71,130.71,2263893
2023-01-09,129.49,162.47,129.49,162.47,80072375
2023-01-10,163.7,200.34,162.47,197.9,205698647
2023-01-11,195.46,205.23,184.46,199.12,92146910
2023-01-12,199.12,216.23,185.69,185.69,76546052
2023-01-13,178.36,227.22,173.47,173.47,223052597
2023-01-16,177.13,197.9,163.7,196.68,30952536
2023-01-17,199.12,239.44,196.68,229.66,293115414
2023-01-18,229.66,247.99,213.78,213.78,89704564
2023-01-19,212.56,218.67,199.12,199.12,53348512
2023-01-20,210.0,268.0,210.0,268.0,13162300
2023-01-24,286.0,286.0,250.0,250.0,13910200
2023-01-25,234.0,260.0,234.0,234.0,27945600
2023-01-26,250.0,250.0,218.0,218.0,10862400
2023-01-27,204.0,204.0,204.0,204.0,643700
2023-01-30,190.0,190.0,190.0,190.0,1129700
2023-01-31,190.0,190.0,177.0,177.0,2366400
