Date,Open,High,Low,Close,Volume
2025-01-09 00:00:00,262.0,262.0,238.0,262.0,431569700
2025-01-10 00:00:00,244.0,278.0,220.0,250.0,432473100
2025-01-13 00:00:00,252.0,302.0,246.0,294.0,119935900
2025-01-14 00:00:00,298.0,326.0,222.0,224.0,435176600
2025-01-15 00:00:00,220.0,220.0,168.0,168.0,227220300
2025-01-16 00:00:00,127.0,130.0,110.0,110.0,382868800
2025-01-17 00:00:00,89.0,105.0,74.0,75.0,507443400
2025-01-20 00:00:00,75.0,75.0,75.0,75.0,0
2025-01-21 00:00:00,77.0,91.0,77.0,86.0,212159500
2025-01-22 00:00:00,87.0,88.0,77.0,77.0,57550800
2025-01-23 00:00:00,78.0,79.0,71.0,72.0,37185600
2025-01-24 00:00:00,72.0,72.0,63.0,63.0,33512700
2025-01-30 00:00:00,63.0,63.0,63.0,63.0,0
2025-01-31 00:00:00,63.0,63.0,63.0,63.0,0
2025-02-03 00:00:00,62.0,62.0,57.0,57.0,8848100
2025-02-04 00:00:00,61.0,62.0,61.0,62.0,19122900
2025-02-05 00:00:00,61.0,64.0,57.0,63.0,8059700
2025-02-06 00:00:00,62.0,62.0,59.0,60.0,4539800
2025-02-07 00:00:00,60.0,60.0,59.0,59.0,2819300
2025-02-10 00:00:00,57.0,57.0,54.0,54.0,6153200
2025-02-11 00:00:00,53.0,54.0,51.0,51.0,18520000
2025-02-12 00:00:00,54.0,68.0,54.0,68.0,167974600
2025-02-13 00:00:00,76.0,86.0,65.0,80.0,302113800
2025-02-14 00:00:00,81.0,81.0,70.0,71.0,64412300
2025-02-17 00:00:00,72.0,73.0,65.0,68.0,33393000
2025-02-18 00:00:00,69.0,71.0,65.0,66.0,37760400
2025-02-19 00:00:00,66.0,80.0,66.0,74.0,131300700
2025-02-20 00:00:00,74.0,75.0,68.0,68.0,30997800
2025-02-21 00:00:00,67.0,72.0,62.0,66.0,34232800
2025-02-24 00:00:00,65.0,67.0,63.0,64.0,14604100
2025-02-25 00:00:00,64.0,65.0,60.0,60.0,12602500
2025-02-26 00:00:00,60.0,60.0,56.0,56.0,14847100
2025-02-27 00:00:00,56.0,61.0,54.0,58.0,21549800
2025-02-28 00:00:00,57.0,57.0,51.0,53.0,15487900
2025-03-03 00:00:00,53.0,57.0,51.0,53.0,23858400
2025-03-04 00:00:00,53.0,53.0,50.0,50.0,32108300
2025-03-05 00:00:00,50.0,51.0,50.0,50.0,15875400
2025-03-06 00:00:00,50.0,67.0,50.0,67.0,134400500
2025-03-07 00:00:00,72.0,77.0,64.0,64.0,166442300
2025-03-10 00:00:00,64.0,64.0,55.0,56.0,25146500
2025-03-11 00:00:00,57.0,57.0,53.0,54.0,12675100
2025-03-12 00:00:00,54.0,55.0,53.0,55.0,7627400
2025-03-13 00:00:00,55.0,65.0,55.0,56.0,64682900
2025-03-14 00:00:00,56.0,58.0,52.0,53.0,12227900
2025-03-17 00:00:00,53.0,53.0,51.0,52.0,7477300
2025-03-18 00:00:00,52.0,53.0,50.0,51.0,17996100
2025-03-19 00:00:00,51.0,51.0,50.0,51.0,8526500
2025-03-20 00:00:00,51.0,51.0,50.0,51.0,5770700
2025-03-21 00:00:00,51.0,51.0,50.0,50.0,17143700
2025-03-24 00:00:00,50.0,51.0,50.0,50.0,4059100
2025-03-25 00:00:00,50.0,50.0,50.0,50.0,4794200
2025-03-26 00:00:00,50.0,59.0,50.0,53.0,189959800
2025-03-27 00:00:00,53.0,56.0,50.0,51.0,24769500
2025-04-08 00:00:00,50.0,51.0,50.0,50.0,12090900
2025-04-09 00:00:00,50.0,51.0,50.0,50.0,8413400
2025-04-10 00:00:00,51.0,51.0,50.0,51.0,8716000
2025-04-11 00:00:00,51.0,51.0,50.0,51.0,4996100
2025-04-14 00:00:00,51.0,51.0,50.0,50.0,10879500
2025-04-15 00:00:00,51.0,51.0,50.0,50.0,10168400
2025-04-16 00:00:00,50.0,51.0,50.0,51.0,4563500
2025-04-17 00:00:00,51.0,51.0,50.0,50.0,5231800
2025-04-21 00:00:00,50.0,51.0,50.0,50.0,3353200
2025-04-22 00:00:00,50.0,50.0,50.0,50.0,1410000
2025-04-23 00:00:00,50.0,51.0,50.0,51.0,7144300
2025-04-24 00:00:00,51.0,51.0,50.0,51.0,3640300
2025-04-25 00:00:00,51.0,51.0,50.0,51.0,1627500
2025-04-28 00:00:00,50.0,52.0,50.0,52.0,4994100
2025-04-29 00:00:00,52.0,62.0,52.0,55.0,52571400
2025-04-30 00:00:00,55.0,57.0,53.0,54.0,5913500
2025-05-02 00:00:00,54.0,55.0,51.0,52.0,9298000
2025-05-05 00:00:00,52.0,52.0,51.0,52.0,6160300
2025-05-06 00:00:00,52.0,52.0,51.0,52.0,4803900
2025-05-07 00:00:00,52.0,52.0,50.0,51.0,4846000
2025-05-08 00:00:00,51.0,59.0,51.0,53.0,42507000
2025-05-09 00:00:00,54.0,54.0,52.0,53.0,7581800
2025-05-14 00:00:00,53.0,55.0,52.0,53.0,6479700
2025-05-15 00:00:00,53.0,54.0,53.0,54.0,6108500
2025-05-16 00:00:00,54.0,56.0,53.0,54.0,11198800
2025-05-19 00:00:00,55.0,55.0,53.0,54.0,7485600
2025-05-20 00:00:00,53.0,56.0,53.0,55.0,2200500
