date,open,high,low,close,volume
2022-07-04,3170.0,3260.0,3020.0,3220.0,2672500
2022-07-05,3220.0,3430.0,3210.0,3380.0,2280900
2022-07-06,3360.0,3380.0,3190.0,3200.0,2327600
2022-07-07,3220.0,3270.0,3190.0,3260.0,1597600
2022-07-08,3270.0,3450.0,3270.0,3320.0,2349900
2022-07-11,3320.0,3450.0,3320.0,3440.0,2827900
2022-07-12,3440.0,3490.0,3400.0,3460.0,2431800
2022-07-13,3460.0,3500.0,3400.0,3410.0,1728500
2022-07-14,3410.0,3490.0,3360.0,3450.0,736600
2022-07-15,3420.0,3450.0,3380.0,3390.0,585100
2022-07-18,3300.0,3390.0,3300.0,3340.0,750700
2022-07-19,3340.0,3450.0,3300.0,3440.0,457600
2022-07-20,3460.0,3530.0,3450.0,3510.0,1075300
2022-07-21,3520.0,3540.0,3470.0,3530.0,875200
2022-07-22,3530.0,3590.0,3440.0,3550.0,1074500
2022-07-25,3560.0,3660.0,3540.0,3640.0,2344400
2022-07-26,3650.0,3760.0,3640.0,3750.0,1943200
2022-07-27,3760.0,3900.0,3750.0,3900.0,5363900
2022-07-28,3900.0,3980.0,3830.0,3930.0,4967000
2022-07-29,3930.0,4150.0,3930.0,4040.0,4205300
2022-08-01,4040.0,4070.0,3850.0,3990.0,2364500
2022-08-02,4000.0,4000.0,3900.0,3920.0,1507600
2022-08-03,3920.0,4050.0,3900.0,3990.0,1364500
2022-08-04,3990.0,4000.0,3780.0,3850.0,1382400
2022-08-05,3840.0,3910.0,3750.0,3910.0,1305100
2022-08-08,3910.0,3910.0,3760.0,3820.0,958300
2022-08-09,3820.0,4040.0,3820.0,4010.0,1905100
2022-08-10,4010.0,4040.0,3930.0,3970.0,1938800
2022-08-11,4010.0,4100.0,3970.0,4000.0,3366200
2022-08-12,4000.0,4190.0,3980.0,4150.0,4325100
2022-08-15,4160.0,4190.0,4120.0,4140.0,1869400
2022-08-16,4140.0,4170.0,3980.0,4000.0,2774300
2022-08-18,3990.0,4070.0,3990.0,4050.0,945300
2022-08-19,4050.0,4130.0,4030.0,4130.0,1322600
2022-08-22,4270.0,4550.0,4230.0,4290.0,6081600
2022-08-23,4280.0,4420.0,4260.0,4400.0,2690700
2022-08-24,4390.0,4430.0,4340.0,4430.0,2366100
2022-08-25,4450.0,4450.0,4360.0,4370.0,1650700
2022-08-26,4370.0,4420.0,4310.0,4370.0,2522800
2022-08-29,4370.0,4390.0,4280.0,4370.0,2364200
2022-08-30,4380.0,4420.0,4330.0,4350.0,1822100
2022-08-31,4350.0,4370.0,4300.0,4340.0,1963100
2022-09-01,4340.0,4520.0,4340.0,4480.0,3803200
2022-09-02,4500.0,4600.0,4500.0,4550.0,2716900
2022-09-05,4550.0,4680.0,4530.0,4670.0,4663400
2022-09-06,4670.0,4790.0,4670.0,4770.0,3345900
2022-09-07,4800.0,4800.0,4670.0,4680.0,3364600
2022-09-08,4660.0,4670.0,4610.0,4630.0,1897800
2022-09-09,4640.0,4700.0,4560.0,4700.0,1700100
2022-09-12,4700.0,5250.0,4650.0,4970.0,7639400
2022-09-13,4970.0,5200.0,4970.0,5125.0,7413400
2022-09-14,5150.0,5500.0,5150.0,5425.0,10684600
2022-09-15,5500.0,5800.0,5475.0,5725.0,7132700
2022-09-16,5750.0,5800.0,5500.0,5650.0,5514300
2022-09-19,5650.0,5700.0,5400.0,5475.0,6282000
2022-09-20,5450.0,5550.0,5250.0,5375.0,7227400
2022-09-21,5400.0,5450.0,5200.0,5325.0,7999800
2022-09-22,4960.0,4960.0,4960.0,4960.0,467600
2022-09-23,4660.0,4760.0,4620.0,4730.0,5352900
2022-09-26,4730.0,4730.0,4440.0,4620.0,4953500
2022-09-27,4700.0,4700.0,4580.0,4630.0,1547000
2022-09-28,4630.0,4640.0,4520.0,4520.0,1371700
2022-09-29,4520.0,4590.0,4490.0,4510.0,1245700
2022-09-30,4510.0,4600.0,4300.0,4540.0,2625600
2022-10-03,4570.0,4570.0,4470.0,4530.0,1561500
2022-10-04,4530.0,4680.0,4530.0,4670.0,2670000
2022-10-05,4690.0,4800.0,4660.0,4710.0,2440600
2022-10-06,4710.0,4750.0,4660.0,4720.0,1787400
2022-10-07,4730.0,4840.0,4700.0,4830.0,2622000
2022-10-10,4800.0,4820.0,4580.0,4630.0,2750900
2022-10-11,4630.0,4670.0,4540.0,4560.0,1258300
2022-10-12,4510.0,4630.0,4510.0,4570.0,1511300
2022-10-13,4610.0,4670.0,4560.0,4590.0,856500
2022-10-14,4570.0,4600.0,4550.0,4560.0,780500
2022-10-17,4560.0,4570.0,4410.0,4570.0,1450500
2022-10-18,4600.0,4650.0,4460.0,4480.0,1190500
2022-10-19,4480.0,4510.0,4450.0,4460.0,836200
2022-10-20,4470.0,4690.0,4470.0,4640.0,1307300
2022-10-21,4660.0,4720.0,4630.0,4700.0,1321400
2022-10-24,4700.0,4760.0,4660.0,4680.0,1413200
2022-10-25,4680.0,4690.0,4560.0,4640.0,1015600
