date,open,high,low,close,volume
2022-07-04,2700.0,2720.0,2630.0,2680.0,1402100
2022-07-05,2690.0,2730.0,2620.0,2630.0,952200
2022-07-06,2660.0,2670.0,2590.0,2590.0,5893600
2022-07-07,2590.0,2740.0,2590.0,2710.0,1534500
2022-07-08,2750.0,2800.0,2700.0,2710.0,2043300
2022-07-11,2720.0,2800.0,2710.0,2710.0,1315300
2022-07-12,2720.0,2790.0,2720.0,2750.0,2293700
2022-07-13,2800.0,2800.0,2630.0,2630.0,4881500
2022-07-14,2650.0,2690.0,2530.0,2530.0,6320200
2022-07-15,2540.0,2840.0,2540.0,2800.0,3893500
2022-07-18,2830.0,2870.0,2610.0,2610.0,5541700
2022-07-19,2600.0,2710.0,2600.0,2700.0,2214700
2022-07-20,2750.0,2840.0,2710.0,2790.0,6482600
2022-07-21,2790.0,2800.0,2670.0,2670.0,4954700
2022-07-22,2700.0,2760.0,2700.0,2740.0,1151500
2022-07-25,2780.0,2790.0,2730.0,2770.0,802300
2022-07-26,2770.0,2810.0,2750.0,2760.0,615600
2022-07-27,2810.0,2810.0,2750.0,2800.0,1006700
2022-07-28,2840.0,2850.0,2780.0,2800.0,2014700
2022-07-29,2810.0,2840.0,2800.0,2810.0,2100700
2022-08-01,2810.0,2880.0,2800.0,2840.0,3381500
2022-08-02,2850.0,2850.0,2700.0,2700.0,1833400
2022-08-03,2800.0,2860.0,2730.0,2860.0,4592900
2022-08-04,2860.0,2970.0,2860.0,2920.0,4101300
2022-08-05,2970.0,2970.0,2810.0,2930.0,3579800
2022-08-08,2930.0,2940.0,2840.0,2850.0,4462000
2022-08-09,2860.0,2910.0,2840.0,2840.0,4261300
2022-08-10,2890.0,2890.0,2850.0,2850.0,738500
2022-08-11,2860.0,3070.0,2860.0,3020.0,10584000
2022-08-12,3030.0,3070.0,2990.0,3030.0,3133800
2022-08-15,3030.0,3050.0,2960.0,3030.0,2113700
2022-08-16,3020.0,3030.0,2970.0,3020.0,2568500
2022-08-18,3050.0,3050.0,2970.0,2990.0,1595100
2022-08-19,3000.0,3050.0,2990.0,3010.0,1855400
2022-08-22,3000.0,3010.0,2930.0,2960.0,1484900
2022-08-23,2960.0,3000.0,2900.0,2980.0,1045800
2022-08-24,2970.0,3030.0,2970.0,3000.0,1101900
2022-08-25,3030.0,3050.0,2970.0,2970.0,689600
2022-08-26,2970.0,3000.0,2940.0,2990.0,1025700
2022-08-29,2980.0,2990.0,2900.0,2930.0,1434200
2022-08-30,2930.0,2940.0,2910.0,2910.0,1458900
2022-08-31,2960.0,2970.0,2900.0,2960.0,1292700
2022-09-01,2960.0,3070.0,2930.0,3050.0,4210400
2022-09-02,3050.0,3070.0,2970.0,3030.0,2334200
2022-09-05,3030.0,3030.0,2950.0,2960.0,2135300
2022-09-06,2960.0,2970.0,2890.0,2910.0,3652100
2022-09-07,2910.0,2930.0,2870.0,2880.0,2042500
2022-09-08,2890.0,2970.0,2890.0,2960.0,1485500
2022-09-09,2960.0,2990.0,2890.0,2900.0,2024800
2022-09-12,2900.0,2910.0,2860.0,2880.0,2115100
2022-09-13,2900.0,2960.0,2880.0,2920.0,1193700
2022-09-14,2970.0,2970.0,2880.0,2950.0,633800
2022-09-15,2950.0,3020.0,2950.0,2960.0,3883400
2022-09-16,3000.0,3000.0,2900.0,2950.0,2960500
2022-09-19,2950.0,3000.0,2890.0,2900.0,1881600
2022-09-20,2930.0,2940.0,2890.0,2900.0,881100
2022-09-21,2950.0,2950.0,2810.0,2820.0,3300700
2022-09-22,2810.0,2870.0,2780.0,2830.0,2978800
2022-09-23,2830.0,2880.0,2810.0,2810.0,1653100
2022-09-26,2810.0,2820.0,2730.0,2730.0,5611100
2022-09-27,2730.0,2760.0,2720.0,2750.0,3189300
2022-09-28,2800.0,2800.0,2720.0,2750.0,2241100
2022-09-29,2760.0,2790.0,2690.0,2690.0,3833500
2022-09-30,2700.0,2750.0,2670.0,2730.0,2322700
2022-10-03,2730.0,2730.0,2670.0,2680.0,3620700
2022-10-04,2700.0,2800.0,2700.0,2760.0,4266200
2022-10-05,2810.0,2850.0,2790.0,2830.0,3353500
2022-10-06,2840.0,2860.0,2800.0,2850.0,4005800
2022-10-07,2850.0,2860.0,2790.0,2800.0,1650400
2022-10-10,2800.0,2820.0,2770.0,2800.0,1813600
2022-10-11,2800.0,2830.0,2770.0,2770.0,1871200
2022-10-12,2770.0,2780.0,2680.0,2730.0,4208000
2022-10-13,2730.0,2760.0,2670.0,2700.0,2096000
2022-10-14,2710.0,2750.0,2630.0,2730.0,3830100
2022-10-17,2730.0,2730.0,2680.0,2680.0,1928200
2022-10-18,2700.0,2730.0,2680.0,2710.0,735600
2022-10-19,2720.0,2720.0,2650.0,2660.0,1283900
2022-10-20,2680.0,2790.0,2650.0,2790.0,5264500
2022-10-21,2800.0,2840.0,2740.0,2780.0,6411100
2022-10-24,2830.0,2860.0,2720.0,2720.0,6084600
2022-10-25,2740.0,2810.0,2690.0,2790.0,5543700
2022-10-26,2820.0,2860.0,2760.0,2780.0,3690900
2022-10-27,2790.0,3020.0,2780.0,2980.0,11291700
2022-10-28,2980.0,3020.0,2910.0,2910.0,5192700
2022-10-31,2920.0,3000.0,2900.0,2950.0,4812100
2022-11-01,2970.0,3140.0,2970.0,3110.0,10725500
2022-11-02,3120.0,3280.0,3070.0,3260.0,22065600
2022-11-03,3300.0,3330.0,3170.0,3310.0,14459400
2022-11-04,3310.0,3360.0,3220.0,3230.0,6897600
2022-11-07,3230.0,3380.0,3230.0,3360.0,6284500
2022-11-08,3360.0,3380.0,3140.0,3210.0,8848000
2022-11-09,3260.0,3310.0,3140.0,3180.0,4347500
2022-11-10,3170.0,3200.0,3060.0,3140.0,4826400
2022-11-11,3220.0,3250.0,3170.0,3170.0,4534700
2022-11-14,3180.0,3200.0,3090.0,3100.0,3252200
2022-11-15,3100.0,3140.0,3060.0,3090.0,2244900
2022-11-16,3120.0,3120.0,3020.0,3070.0,3340800
2022-11-17,3070.0,3120.0,3070.0,3070.0,4220400
