Date,Open,High,Low,Close,Volume
2022-05-20 00:00:00,75.0,80.0,73.0,78.0,170822000
2022-05-23 00:00:00,79.0,80.0,74.0,74.0,35287100
2022-05-24 00:00:00,75.0,77.0,74.0,75.0,35793700
2022-05-25 00:00:00,75.0,77.0,73.0,74.0,18064600
2022-05-27 00:00:00,75.0,77.0,74.0,75.0,24050900
2022-05-30 00:00:00,75.0,76.0,74.0,75.0,11445900
2022-05-31 00:00:00,76.0,76.0,74.0,75.0,14071700
2022-06-02 00:00:00,75.0,76.0,74.0,75.0,34333800
2022-06-03 00:00:00,75.0,75.0,74.0,74.0,10827100
2022-06-06 00:00:00,75.0,75.0,73.0,74.0,7001300
2022-06-07 00:00:00,74.0,74.0,72.0,74.0,16480900
2022-06-08 00:00:00,74.0,75.0,73.0,73.0,13359100
2022-06-09 00:00:00,75.0,75.0,73.0,73.0,21351900
2022-06-10 00:00:00,74.0,74.0,72.0,72.0,19029300
2022-06-13 00:00:00,73.0,73.0,70.0,71.0,14656800
2022-06-14 00:00:00,71.0,72.0,70.0,71.0,13202100
2022-06-15 00:00:00,71.0,73.0,70.0,70.0,19146000
2022-06-16 00:00:00,70.0,72.0,69.0,70.0,20522900
2022-06-17 00:00:00,70.0,71.0,68.0,70.0,36440400
2022-06-20 00:00:00,70.0,71.0,69.0,69.0,8465900
2022-06-21 00:00:00,69.0,71.0,69.0,71.0,16066400
2022-06-22 00:00:00,72.0,75.0,71.0,72.0,50391500
2022-06-23 00:00:00,73.0,73.0,69.0,71.0,29276800
2022-06-24 00:00:00,71.0,71.0,70.0,70.0,5430000
2022-06-27 00:00:00,71.0,71.0,70.0,71.0,2634600
2022-06-28 00:00:00,71.0,72.0,70.0,70.0,9437700
2022-06-29 00:00:00,70.0,71.0,70.0,70.0,4825400
2022-06-30 00:00:00,70.0,71.0,69.0,69.0,7372800
2022-07-01 00:00:00,69.0,70.0,68.0,68.0,8404400
2022-07-04 00:00:00,69.0,69.0,64.0,65.0,19459600
2022-07-05 00:00:00,65.0,67.0,65.0,66.0,9122400
2022-07-06 00:00:00,66.0,67.0,65.0,66.0,12781500
2022-07-07 00:00:00,67.0,69.0,66.0,67.0,19614800
2022-07-08 00:00:00,67.0,68.0,66.0,68.0,11092000
2022-07-11 00:00:00,69.0,69.0,67.0,67.0,2233500
2022-07-12 00:00:00,68.0,69.0,67.0,67.0,7234900
2022-07-13 00:00:00,67.0,68.0,66.0,66.0,12762500
2022-07-14 00:00:00,67.0,67.0,66.0,67.0,1704300
2022-07-15 00:00:00,66.0,68.0,66.0,66.0,7909200
2022-07-18 00:00:00,69.0,72.0,65.0,67.0,130202200
2022-07-19 00:00:00,68.0,69.0,66.0,68.0,29341100
2022-07-20 00:00:00,68.0,69.0,67.0,68.0,11355800
2022-07-21 00:00:00,68.0,69.0,66.0,68.0,10882300
2022-07-22 00:00:00,68.0,68.0,67.0,67.0,12025300
2022-07-25 00:00:00,67.0,69.0,67.0,67.0,17484300
2022-07-26 00:00:00,67.0,68.0,66.0,66.0,12963000
2022-07-27 00:00:00,67.0,68.0,66.0,67.0,33155700
2022-07-28 00:00:00,67.0,69.0,67.0,69.0,21223300
2022-07-29 00:00:00,70.0,72.0,69.0,70.0,35212800
2022-08-01 00:00:00,71.0,75.0,70.0,70.0,160353300
2022-08-02 00:00:00,70.0,71.0,68.0,69.0,32760500
