date,open,high,low,close,volume
2022-07-04,498.0,498.0,488.0,492.0,429634400
2022-07-05,492.0,505.0,492.0,500.0,446978000
2022-07-06,500.0,505.0,492.0,498.0,475541000
2022-07-07,498.0,505.0,496.0,505.0,418050700
2022-07-08,505.0,520.0,492.0,496.0,460320400
2022-07-11,496.0,498.0,486.0,490.0,456457600
2022-07-12,490.0,498.0,488.0,492.0,497656800
2022-07-13,492.0,496.0,490.0,492.0,395872400
2022-07-14,492.0,510.0,492.0,498.0,478167000
2022-07-15,498.0,515.0,494.0,498.0,456472400
2022-07-18,498.0,510.0,496.0,500.0,408718400
2022-07-19,500.0,510.0,496.0,510.0,429356900
2022-07-20,510.0,515.0,500.0,505.0,422976000
2022-07-21,505.0,515.0,496.0,500.0,409874400
2022-07-22,500.0,505.0,494.0,500.0,456297200
2022-07-25,500.0,505.0,490.0,492.0,423935400
2022-07-26,492.0,498.0,488.0,494.0,433216800
2022-07-27,494.0,510.0,494.0,505.0,408128900
2022-07-28,505.0,520.0,500.0,505.0,435427600
2022-07-29,505.0,510.0,494.0,500.0,426516600
2022-08-01,500.0,500.0,500.0,500.0,0
2022-08-02,500.0,500.0,500.0,500.0,0
2022-08-03,500.0,500.0,500.0,500.0,0
2022-08-04,500.0,500.0,500.0,500.0,0
2022-08-05,500.0,500.0,500.0,500.0,0
2022-08-08,500.0,500.0,500.0,500.0,0
2022-08-09,500.0,500.0,500.0,500.0,0
2022-08-10,500.0,500.0,500.0,500.0,0
2022-08-11,500.0,500.0,500.0,500.0,0
2022-08-12,500.0,500.0,500.0,500.0,0
2022-08-15,490.0,494.0,482.0,494.0,3747800
2022-08-16,498.0,498.0,460.0,460.0,5049400
2022-08-18,460.0,460.0,432.0,436.0,208623700
2022-08-19,434.0,450.0,434.0,442.0,258038100
2022-08-22,442.0,448.0,434.0,442.0,229456600
2022-08-23,442.0,448.0,440.0,442.0,236836600
2022-08-24,442.0,450.0,440.0,450.0,243531400
2022-08-25,450.0,456.0,448.0,450.0,250018000
2022-08-26,450.0,450.0,440.0,450.0,282466500
2022-08-29,450.0,458.0,448.0,456.0,250357800
2022-08-30,456.0,468.0,456.0,468.0,256840700
2022-08-31,468.0,478.0,460.0,478.0,246787300
2022-09-01,478.0,478.0,470.0,476.0,218369400
2022-09-02,476.0,484.0,474.0,484.0,251917800
2022-09-05,484.0,486.0,478.0,480.0,214650400
2022-09-06,480.0,488.0,478.0,482.0,257283100
2022-09-07,482.0,500.0,480.0,500.0,258274500
2022-09-08,500.0,505.0,496.0,500.0,261644000
2022-09-09,500.0,500.0,492.0,496.0,253130100
2022-09-12,496.0,500.0,494.0,496.0,225477300
2022-09-13,496.0,510.0,496.0,500.0,248900200
2022-09-14,500.0,500.0,492.0,496.0,263866400
2022-09-15,496.0,498.0,490.0,494.0,300070300
2022-09-16,492.0,496.0,486.0,488.0,267092600
2022-09-19,488.0,492.0,486.0,490.0,286385300
2022-09-20,490.0,498.0,490.0,494.0,331355600
2022-09-21,494.0,505.0,492.0,500.0,273146800
2022-09-22,500.0,520.0,498.0,505.0,334662600
2022-09-23,505.0,510.0,492.0,492.0,319744100
2022-09-26,492.0,496.0,484.0,490.0,316172600
2022-09-27,490.0,505.0,488.0,500.0,342043400
2022-09-28,500.0,520.0,494.0,500.0,315421200
2022-09-29,500.0,505.0,494.0,500.0,315948200
2022-09-30,500.0,505.0,490.0,505.0,361354600
2022-10-03,505.0,515.0,496.0,500.0,332020400
2022-10-04,500.0,505.0,496.0,500.0,313475200
2022-10-05,500.0,510.0,494.0,498.0,313753200
2022-10-06,498.0,505.0,494.0,498.0,322864000
2022-10-07,498.0,500.0,492.0,498.0,319770400
2022-10-10,498.0,500.0,490.0,490.0,305626300
2022-10-11,490.0,492.0,480.0,490.0,329610500
2022-10-12,490.0,498.0,490.0,494.0,334371900
2022-10-13,494.0,505.0,492.0,500.0,338178800
2022-10-14,500.0,505.0,494.0,498.0,321355700
2022-10-17,498.0,505.0,490.0,496.0,318526600
2022-10-18,496.0,505.0,494.0,500.0,283509600
2022-10-19,500.0,505.0,496.0,498.0,334009100
2022-10-20,498.0,510.0,496.0,505.0,338843400
2022-10-21,505.0,515.0,498.0,505.0,349180900
2022-10-24,505.0,520.0,496.0,496.0,355650900
2022-10-25,496.0,498.0,492.0,496.0,350413700
2022-10-26,496.0,510.0,496.0,505.0,348520600
2022-10-27,505.0,530.0,500.0,500.0,352036400
2022-10-28,500.0,520.0,498.0,505.0,349739500
2022-10-31,505.0,520.0,500.0,510.0,301936500
2022-11-01,510.0,515.0,490.0,498.0,329527100
2022-11-02,498.0,505.0,494.0,500.0,338418800
2022-11-03,500.0,505.0,490.0,496.0,341123600
2022-11-04,496.0,498.0,482.0,484.0,325993800
2022-11-07,484.0,486.0,464.0,468.0,355112100
2022-11-08,468.0,470.0,454.0,468.0,357951800
2022-11-09,468.0,478.0,466.0,478.0,371705100
2022-11-10,476.0,478.0,468.0,476.0,338301700
2022-11-11,478.0,484.0,470.0,470.0,346595000
2022-11-14,470.0,470.0,462.0,468.0,346457200
2022-11-15,468.0,468.0,458.0,462.0,315776400
2022-11-16,462.0,470.0,456.0,460.0,341038200
2022-11-17,460.0,460.0,452.0,458.0,351944800
2022-11-18,458.0,468.0,458.0,466.0,326417700
2022-11-21,466.0,476.0,464.0,466.0,355278800
2022-11-22,466.0,466.0,460.0,466.0,365779900
2022-11-23,466.0,472.0,464.0,468.0,303897000
2022-11-24,468.0,472.0,466.0,470.0,325755300
2022-11-25,470.0,474.0,466.0,470.0,368020600
2022-11-28,470.0,476.0,466.0,470.0,360834100
2022-11-29,470.0,480.0,466.0,480.0,418218700
2022-11-30,480.0,488.0,474.0,482.0,440365800
2022-12-01,482.0,482.0,466.0,470.0,421439400
2022-12-02,470.0,472.0,460.0,466.0,451466400
2022-12-05,466.0,478.0,464.0,466.0,441642700
2022-12-06,466.0,470.0,460.0,462.0,421233600
2022-12-07,462.0,464.0,448.0,462.0,476831700
2022-12-08,460.0,462.0,452.0,460.0,454420200
2022-12-09,460.0,466.0,452.0,456.0,419319000
2022-12-12,456.0,456.0,442.0,452.0,459756100
2022-12-13,452.0,460.0,448.0,456.0,440342600
2022-12-14,456.0,466.0,456.0,458.0,439763900
2022-12-15,458.0,458.0,440.0,446.0,434456800
2022-12-16,446.0,460.0,444.0,458.0,451014000
2022-12-19,458.0,466.0,454.0,460.0,408457000
2022-12-20,460.0,464.0,454.0,460.0,445619800
2022-12-21,460.0,470.0,458.0,462.0,357015300
2022-12-22,462.0,468.0,454.0,462.0,428851200
2022-12-23,462.0,466.0,454.0,462.0,567135100
2022-12-26,462.0,472.0,460.0,466.0,408692400
2022-12-27,466.0,474.0,466.0,470.0,385938600
2022-12-28,470.0,472.0,460.0,470.0,402352900
2022-12-29,470.0,480.0,468.0,476.0,386626000
2022-12-30,476.0,486.0,472.0,476.0,440723000
2023-01-02,476.0,476.0,466.0,472.0,368787000
2023-01-03,472.0,482.0,468.0,472.0,431693900
2023-01-04,472.0,480.0,466.0,472.0,356329700
2023-01-05,472.0,472.0,462.0,472.0,387221400
2023-01-06,472.0,482.0,470.0,474.0,446179900
2023-01-09,472.0,484.0,470.0,478.0,425111800
2023-01-10,478.0,494.0,476.0,480.0,381358700
2023-01-11,480.0,482.0,468.0,470.0,403319300
2023-01-12,470.0,472.0,462.0,466.0,421729000
2023-01-13,466.0,474.0,462.0,468.0,485632200
2023-01-16,468.0,474.0,462.0,470.0,447899900
2023-01-17,470.0,478.0,466.0,468.0,431980800
2023-01-18,468.0,476.0,466.0,466.0,376706400
2023-01-19,466.0,478.0,466.0,476.0,456784000
2023-01-20,476.0,478.0,468.0,474.0,424328000
2023-01-24,474.0,482.0,470.0,474.0,63602900
2023-01-25,474.0,480.0,468.0,478.0,65352700
2023-01-26,478.0,488.0,476.0,486.0,63896000
2023-01-27,486.0,492.0,478.0,488.0,61128400
2023-01-30,488.0,494.0,484.0,490.0,62237800
2023-01-31,490.0,510.0,488.0,494.0,102165300
2023-02-01,494.0,500.0,488.0,488.0,61675200
2023-02-02,488.0,505.0,486.0,498.0,73111600
2023-02-03,498.0,510.0,496.0,500.0,54316100
2023-02-06,500.0,505.0,484.0,492.0,51066900
2023-02-07,492.0,500.0,488.0,500.0,62729200
2023-02-08,500.0,500.0,480.0,484.0,53739600
2023-02-09,484.0,484.0,462.0,470.0,52879500
2023-02-10,470.0,472.0,462.0,470.0,75319200
2023-02-13,470.0,472.0,462.0,464.0,52477000
2023-02-14,464.0,468.0,460.0,468.0,69026400
2023-02-15,468.0,470.0,462.0,466.0,51444200
2023-02-16,466.0,476.0,464.0,476.0,70542000
2023-02-17,476.0,480.0,472.0,480.0,63849100
2023-02-20,480.0,480.0,470.0,480.0,68789200
2023-02-21,480.0,484.0,474.0,478.0,52997600
2023-02-22,478.0,482.0,470.0,478.0,69164300
2023-02-23,478.0,482.0,474.0,478.0,53431000
2023-02-24,478.0,482.0,472.0,478.0,58963400
2023-02-27,478.0,478.0,464.0,468.0,50805000
2023-02-28,468.0,480.0,464.0,480.0,95723800
2023-03-01,480.0,480.0,464.0,466.0,47564000
2023-03-02,466.0,470.0,464.0,466.0,62671400
2023-03-03,466.0,470.0,458.0,464.0,38603400
2023-03-06,464.0,466.0,458.0,464.0,50781600
2023-03-07,464.0,466.0,460.0,466.0,57440100
2023-03-08,466.0,466.0,460.0,464.0,56945600
2023-03-09,464.0,470.0,462.0,470.0,65538600
2023-03-10,470.0,470.0,464.0,470.0,73221700
2023-03-13,470.0,476.0,468.0,476.0,54451700
2023-03-14,476.0,478.0,472.0,474.0,52814000
2023-03-15,474.0,476.0,464.0,468.0,63105700
2023-03-16,468.0,468.0,462.0,466.0,43131900
2023-03-17,466.0,470.0,462.0,470.0,53473000
2023-03-20,470.0,472.0,464.0,470.0,61911600
2023-03-21,470.0,476.0,466.0,470.0,46925400
2023-03-24,470.0,482.0,470.0,478.0,63257600
2023-03-27,478.0,486.0,476.0,484.0,55060700
2023-03-28,484.0,492.0,482.0,490.0,43060400
2023-03-29,490.0,498.0,488.0,494.0,57760800
2023-03-30,494.0,496.0,486.0,488.0,61285300
2023-03-31,488.0,494.0,486.0,494.0,64762600
2023-04-03,494.0,510.0,492.0,505.0,67481200
2023-04-04,505.0,515.0,498.0,500.0,56163600
2023-04-05,500.0,505.0,488.0,490.0,49801700
2023-04-06,490.0,490.0,480.0,484.0,60808400
2023-04-10,484.0,492.0,482.0,488.0,77762600
2023-04-11,488.0,496.0,486.0,494.0,63075500
2023-04-12,494.0,498.0,484.0,494.0,55145400
2023-04-13,494.0,494.0,474.0,490.0,61478300
2023-04-14,490.0,494.0,482.0,492.0,53185500
2023-04-17,492.0,496.0,486.0,490.0,65803900
2023-04-18,490.0,505.0,490.0,494.0,56662200
2023-04-26,494.0,498.0,484.0,494.0,60076200
2023-04-27,494.0,494.0,484.0,488.0,91342000
2023-04-28,488.0,490.0,478.0,484.0,124614400
2023-05-02,484.0,484.0,472.0,482.0,256724000
2023-05-03,482.0,486.0,472.0,474.0,293923500
2023-05-04,474.0,474.0,464.0,472.0,266227500
2023-05-05,472.0,472.0,460.0,464.0,241569200
2023-05-08,464.0,470.0,456.0,470.0,255382300
2023-05-09,470.0,478.0,464.0,470.0,231704400
2023-05-10,470.0,476.0,464.0,476.0,226805500
2023-05-11,476.0,476.0,464.0,470.0,235882800
2023-05-12,470.0,470.0,462.0,468.0,237838700
2023-05-15,468.0,472.0,464.0,470.0,249909900
2023-05-16,470.0,476.0,466.0,470.0,241800200
2023-05-17,470.0,474.0,464.0,474.0,245453200
2023-05-19,474.0,478.0,470.0,476.0,206348500
2023-05-22,476.0,480.0,470.0,480.0,245765000
2023-05-23,480.0,488.0,474.0,488.0,211324600
2023-05-24,488.0,498.0,486.0,494.0,258310600
2023-05-25,494.0,496.0,488.0,496.0,238659300
2023-05-26,496.0,496.0,488.0,490.0,238424500
2023-05-29,490.0,490.0,478.0,480.0,190688800
