Date,Open,High,Low,Close,Volume
2022-05-20 00:00:00,180.0,192.0,180.0,191.0,12672900
2022-05-23 00:00:00,192.0,195.0,185.0,185.0,9283000
2022-05-24 00:00:00,186.0,202.0,185.0,198.0,21284100
2022-05-25 00:00:00,199.0,200.0,194.0,198.0,8919800
2022-05-27 00:00:00,202.0,206.0,198.0,204.0,19746400
2022-05-30 00:00:00,210.0,214.0,196.0,204.0,9555900
2022-05-31 00:00:00,206.0,208.0,197.0,198.0,5989200
2022-06-02 00:00:00,200.0,214.0,199.0,210.0,21296900
2022-06-03 00:00:00,218.0,218.0,200.0,202.0,16855200
2022-06-06 00:00:00,202.0,204.0,192.0,192.0,12920500
2022-06-07 00:00:00,192.0,197.0,188.0,188.0,12920700
2022-06-08 00:00:00,188.0,192.0,188.0,191.0,5541500
2022-06-09 00:00:00,191.0,193.0,189.0,189.0,4168500
2022-06-10 00:00:00,189.0,198.0,188.0,190.0,8047700
2022-06-13 00:00:00,190.0,190.0,180.0,181.0,10378600
2022-06-14 00:00:00,181.0,184.0,177.0,183.0,5452500
2022-06-15 00:00:00,184.0,193.0,181.0,188.0,9035500
2022-06-16 00:00:00,192.0,193.0,184.0,185.0,5836700
2022-06-17 00:00:00,185.0,185.0,180.0,182.0,3810500
2022-06-20 00:00:00,184.0,184.0,179.0,179.0,3712800
2022-06-21 00:00:00,179.0,187.0,179.0,183.0,9689000
2022-06-22 00:00:00,184.0,185.0,179.0,181.0,4063700
2022-06-23 00:00:00,181.0,182.0,176.0,177.0,4860300
2022-06-24 00:00:00,178.0,183.0,178.0,179.0,3566400
2022-06-27 00:00:00,179.0,183.0,178.0,180.0,2844400
2022-06-28 00:00:00,181.0,188.0,180.0,180.0,9518600
2022-06-29 00:00:00,183.0,185.0,180.0,182.0,5797800
2022-06-30 00:00:00,183.0,196.0,182.0,189.0,42696100
2022-07-01 00:00:00,191.0,198.0,182.0,182.0,43352100
2022-07-04 00:00:00,183.0,183.0,170.0,170.0,24375600
2022-07-05 00:00:00,160.0,168.0,160.0,164.0,14694900
2022-07-06 00:00:00,163.0,169.0,163.0,166.0,5760300
2022-07-07 00:00:00,168.0,172.0,163.0,168.0,4274800
2022-07-08 00:00:00,168.0,171.0,168.0,170.0,4382500
2022-07-11 00:00:00,172.0,172.0,169.0,170.0,3704000
2022-07-12 00:00:00,170.0,173.0,167.0,169.0,3452900
2022-07-13 00:00:00,170.0,171.0,163.0,167.0,2656700
2022-07-14 00:00:00,166.0,167.0,163.0,164.0,1948400
2022-07-15 00:00:00,164.0,166.0,160.0,163.0,2827600
2022-07-18 00:00:00,164.0,167.0,163.0,164.0,2475400
2022-07-19 00:00:00,164.0,168.0,163.0,166.0,3693700
2022-07-20 00:00:00,170.0,170.0,165.0,169.0,3051300
2022-07-21 00:00:00,171.0,172.0,168.0,168.0,3498500
2022-07-22 00:00:00,169.0,178.0,166.0,177.0,6566700
2022-07-25 00:00:00,179.0,182.0,169.0,173.0,5928800
2022-07-26 00:00:00,173.0,175.0,167.0,170.0,3331200
2022-07-27 00:00:00,170.0,178.0,169.0,173.0,9272800
2022-07-28 00:00:00,175.0,175.0,170.0,171.0,4253300
2022-07-29 00:00:00,172.0,175.0,170.0,171.0,2217900
2022-08-01 00:00:00,171.0,172.0,166.0,168.0,4591700
2022-08-02 00:00:00,169.0,171.0,166.0,171.0,2203800
2022-08-03 00:00:00,173.0,181.0,171.0,174.0,12432600
2022-08-04 00:00:00,175.0,179.0,173.0,174.0,5362800
2022-08-05 00:00:00,175.0,176.0,172.0,173.0,2587900
2022-08-08 00:00:00,173.0,175.0,171.0,171.0,3704900
2022-08-09 00:00:00,172.0,175.0,170.0,171.0,4112900
2022-08-10 00:00:00,171.0,172.0,169.0,171.0,1367300
2022-08-11 00:00:00,172.0,173.0,169.0,169.0,3467900
2022-08-12 00:00:00,170.0,172.0,169.0,169.0,2464900
2022-08-15 00:00:00,170.0,171.0,168.0,168.0,3172200
2022-08-16 00:00:00,169.0,169.0,167.0,167.0,1910700
2022-08-18 00:00:00,170.0,173.0,169.0,171.0,5696500
2022-08-19 00:00:00,171.0,172.0,169.0,170.0,2372600
2022-08-22 00:00:00,172.0,202.0,171.0,194.0,91096700
2022-08-23 00:00:00,195.0,196.0,188.0,190.0,19940000
2022-08-24 00:00:00,190.0,194.0,190.0,192.0,10711600
2022-08-25 00:00:00,199.0,199.0,185.0,185.0,13099200
2022-08-26 00:00:00,185.0,189.0,182.0,183.0,7343000
2022-08-29 00:00:00,183.0,187.0,181.0,186.0,9752400
2022-08-30 00:00:00,188.0,190.0,185.0,185.0,6450000
2022-08-31 00:00:00,187.0,187.0,180.0,180.0,8135600
2022-09-01 00:00:00,180.0,185.0,179.0,181.0,5422400
2022-09-02 00:00:00,181.0,184.0,180.0,183.0,4228300
2022-09-05 00:00:00,183.0,185.0,180.0,181.0,3133500
2022-09-06 00:00:00,181.0,182.0,172.0,175.0,14661100
2022-09-07 00:00:00,175.0,175.0,170.0,172.0,6190700
2022-09-08 00:00:00,172.0,183.0,170.0,175.0,19510200
2022-09-09 00:00:00,176.0,176.0,174.0,176.0,1976000
2022-09-12 00:00:00,176.0,181.0,173.0,174.0,12892600
2022-09-13 00:00:00,174.0,175.0,172.0,173.0,2680900
2022-09-14 00:00:00,173.0,174.0,172.0,174.0,1060300
2022-09-15 00:00:00,174.0,175.0,172.0,173.0,3321600
2022-09-16 00:00:00,172.0,173.0,166.0,167.0,8561200
2022-09-19 00:00:00,167.0,170.0,162.0,164.0,3444000
2022-09-20 00:00:00,165.0,169.0,164.0,167.0,2972300
2022-09-21 00:00:00,167.0,168.0,164.0,165.0,1885400
2022-09-22 00:00:00,165.0,166.0,162.0,164.0,1912300
2022-09-23 00:00:00,165.0,166.0,162.0,164.0,2680500
2022-09-26 00:00:00,166.0,166.0,161.0,162.0,2066000
2022-09-27 00:00:00,162.0,165.0,160.0,162.0,2365300
2022-09-28 00:00:00,162.0,164.0,160.0,160.0,3364200
2022-09-29 00:00:00,160.0,162.0,151.0,151.0,8776300
2022-09-30 00:00:00,151.0,151.0,141.0,147.0,7864800
2022-10-03 00:00:00,138.0,147.0,138.0,142.0,1810800
2022-10-04 00:00:00,142.0,154.0,142.0,150.0,7255800
2022-10-05 00:00:00,152.0,195.0,152.0,181.0,173728200
2022-10-06 00:00:00,182.0,183.0,169.0,169.0,25713200
2022-10-07 00:00:00,170.0,175.0,161.0,166.0,13576700
2022-10-10 00:00:00,157.0,172.0,157.0,166.0,22683700
2022-10-11 00:00:00,156.0,169.0,156.0,163.0,10569500
2022-10-12 00:00:00,169.0,169.0,153.0,154.0,11098500
2022-10-13 00:00:00,161.0,161.0,148.0,149.0,6612100
2022-10-14 00:00:00,154.0,154.0,139.0,141.0,10133900
2022-10-17 00:00:00,141.0,146.0,135.0,138.0,7275500
2022-10-18 00:00:00,138.0,143.0,136.0,139.0,3212000
2022-10-19 00:00:00,131.0,142.0,131.0,140.0,4482300
2022-10-20 00:00:00,140.0,147.0,138.0,146.0,4674200
2022-10-21 00:00:00,147.0,147.0,141.0,142.0,3588700
2022-10-24 00:00:00,142.0,144.0,141.0,142.0,1604700
2022-10-25 00:00:00,143.0,145.0,141.0,142.0,3879000
