date,open,high,low,close,volume
2022-07-04,138.0,148.0,138.0,138.0,4078800
2022-07-05,130.0,172.0,129.0,134.0,35643300
2022-07-06,126.0,180.0,126.0,180.0,51723000
2022-07-07,190.0,242.0,190.0,242.0,65540200
2022-07-08,246.0,284.0,226.0,250.0,51650300
2022-07-11,252.0,282.0,234.0,250.0,36708700
2022-07-12,250.0,258.0,234.0,234.0,9847800
2022-07-13,226.0,252.0,218.0,218.0,15523000
2022-07-14,218.0,240.0,204.0,222.0,17910300
2022-07-15,224.0,234.0,208.0,208.0,14369300
2022-07-18,200.0,210.0,194.0,194.0,26239700
2022-07-19,194.0,210.0,181.0,181.0,21866600
2022-07-20,173.0,191.0,169.0,169.0,48902000
2022-07-21,158.0,171.0,158.0,158.0,27889700
2022-07-22,155.0,155.0,147.0,147.0,12965300
2022-07-25,145.0,145.0,137.0,137.0,20467900
2022-07-26,128.0,151.0,128.0,129.0,90599600
2022-07-27,140.0,140.0,120.0,121.0,53623900
2022-07-28,122.0,127.0,121.0,125.0,21123000
2022-07-29,126.0,131.0,123.0,123.0,18590700
2022-08-01,124.0,127.0,122.0,123.0,7575700
2022-08-02,124.0,126.0,116.0,124.0,8641400
2022-08-03,124.0,126.0,121.0,123.0,2981200
2022-08-04,123.0,125.0,121.0,122.0,4334700
2022-08-05,122.0,122.0,119.0,119.0,4643900
2022-08-08,120.0,124.0,117.0,119.0,6811000
2022-08-09,120.0,123.0,119.0,119.0,2735500
2022-08-10,119.0,121.0,117.0,118.0,3118400
2022-08-11,118.0,120.0,113.0,115.0,7295500
2022-08-12,115.0,128.0,114.0,126.0,31592900
2022-08-15,128.0,135.0,126.0,126.0,34106200
2022-08-16,126.0,130.0,121.0,121.0,8672900
2022-08-18,121.0,123.0,120.0,122.0,3209700
2022-08-19,122.0,123.0,120.0,120.0,3360000
2022-08-22,121.0,125.0,117.0,120.0,5645500
2022-08-23,120.0,122.0,118.0,120.0,2055400
2022-08-24,120.0,122.0,118.0,120.0,1740600
2022-08-25,120.0,121.0,118.0,121.0,4101200
2022-08-26,121.0,124.0,120.0,121.0,4149600
2022-08-29,121.0,121.0,119.0,120.0,2302700
2022-08-30,121.0,122.0,118.0,119.0,4599700
2022-08-31,119.0,129.0,118.0,126.0,19246000
2022-09-01,127.0,134.0,125.0,126.0,20154200
2022-09-02,126.0,127.0,120.0,120.0,6635600
2022-09-05,120.0,124.0,119.0,121.0,2876100
2022-09-06,122.0,123.0,120.0,121.0,2297700
2022-09-07,122.0,126.0,120.0,122.0,4221700
2022-09-08,125.0,129.0,123.0,125.0,6867600
2022-09-09,127.0,130.0,124.0,125.0,8770700
2022-09-12,125.0,128.0,123.0,124.0,5157300
2022-09-13,124.0,127.0,123.0,124.0,3564000
2022-09-14,124.0,126.0,121.0,123.0,3835800
2022-09-15,124.0,126.0,123.0,123.0,2098500
2022-09-16,123.0,124.0,119.0,121.0,5152900
2022-09-19,121.0,123.0,119.0,121.0,2102300
