Date,Open,High,Low,Close,Volume
2022-05-20 00:00:00,58.0,64.0,56.0,60.0,51814200
2022-05-23 00:00:00,61.0,62.0,59.0,60.0,29056300
2022-05-24 00:00:00,60.0,61.0,58.0,59.0,36478900
2022-05-25 00:00:00,59.0,59.0,58.0,59.0,1115900
2022-05-27 00:00:00,59.0,59.0,56.0,58.0,36534000
2022-05-30 00:00:00,58.0,62.0,57.0,59.0,23481900
2022-05-31 00:00:00,59.0,62.0,59.0,61.0,38341100
2022-06-02 00:00:00,61.0,63.0,60.0,60.0,18848900
2022-06-03 00:00:00,60.0,81.0,60.0,81.0,118655000
2022-06-06 00:00:00,89.0,109.0,83.0,109.0,259916100
2022-06-07 00:00:00,119.0,129.0,102.0,102.0,123143300
2022-06-08 00:00:00,95.0,95.0,95.0,95.0,1271500
2022-06-09 00:00:00,89.0,89.0,89.0,89.0,9719900
2022-06-10 00:00:00,83.0,83.0,83.0,83.0,2865200
2022-06-13 00:00:00,78.0,85.0,78.0,78.0,104768000
2022-06-14 00:00:00,73.0,77.0,73.0,73.0,44775700
2022-06-15 00:00:00,68.0,74.0,68.0,68.0,56468800
2022-06-16 00:00:00,64.0,75.0,64.0,64.0,193747800
2022-06-17 00:00:00,64.0,74.0,61.0,68.0,204704100
2022-06-20 00:00:00,69.0,69.0,64.0,64.0,33055500
2022-06-21 00:00:00,63.0,64.0,61.0,61.0,22093900
2022-06-22 00:00:00,64.0,67.0,61.0,61.0,45916200
2022-06-23 00:00:00,62.0,63.0,59.0,59.0,17494100
2022-06-24 00:00:00,60.0,62.0,58.0,60.0,11820700
2022-06-27 00:00:00,62.0,62.0,58.0,59.0,9242900
2022-06-28 00:00:00,60.0,60.0,57.0,57.0,9215900
2022-06-29 00:00:00,59.0,65.0,56.0,61.0,48132000
2022-06-30 00:00:00,64.0,64.0,57.0,57.0,23770600
2022-07-01 00:00:00,55.0,60.0,54.0,54.0,18163800
2022-07-04 00:00:00,54.0,58.0,54.0,55.0,14658300
2022-07-05 00:00:00,56.0,57.0,53.0,54.0,9307400
2022-07-06 00:00:00,55.0,59.0,53.0,55.0,11448000
2022-07-07 00:00:00,55.0,60.0,54.0,56.0,19291700
2022-07-08 00:00:00,56.0,57.0,54.0,56.0,9697300
2022-07-11 00:00:00,56.0,56.0,53.0,54.0,20656000
2022-07-12 00:00:00,54.0,55.0,53.0,54.0,5034000
2022-07-13 00:00:00,54.0,54.0,53.0,54.0,5745700
2022-07-14 00:00:00,54.0,56.0,53.0,53.0,9478300
2022-07-15 00:00:00,54.0,54.0,52.0,53.0,9228000
2022-07-18 00:00:00,53.0,54.0,52.0,52.0,4588900
2022-07-19 00:00:00,52.0,53.0,51.0,52.0,4680600
2022-07-20 00:00:00,52.0,54.0,52.0,54.0,6437500
2022-07-21 00:00:00,54.0,54.0,53.0,53.0,2106200
2022-07-22 00:00:00,53.0,54.0,52.0,52.0,2301800
2022-07-25 00:00:00,52.0,54.0,52.0,53.0,5703000
2022-07-26 00:00:00,53.0,53.0,52.0,53.0,6217000
2022-07-27 00:00:00,53.0,55.0,52.0,55.0,7655800
2022-07-28 00:00:00,55.0,55.0,53.0,55.0,8569600
2022-07-29 00:00:00,55.0,55.0,53.0,54.0,5181400
2022-08-01 00:00:00,54.0,55.0,53.0,54.0,2733600
2022-08-02 00:00:00,54.0,54.0,53.0,54.0,2836500
2022-08-03 00:00:00,54.0,54.0,53.0,53.0,2373800
2022-08-04 00:00:00,53.0,54.0,52.0,53.0,3168100
2022-08-05 00:00:00,53.0,53.0,52.0,52.0,1731900
2022-08-08 00:00:00,53.0,54.0,52.0,54.0,3725000
2022-08-09 00:00:00,54.0,54.0,52.0,53.0,3446400
2022-08-10 00:00:00,52.0,54.0,52.0,54.0,2638900
2022-08-11 00:00:00,54.0,54.0,52.0,53.0,1950400
2022-08-12 00:00:00,53.0,54.0,52.0,53.0,1970100
2022-08-15 00:00:00,53.0,53.0,52.0,53.0,2439200
2022-08-16 00:00:00,53.0,53.0,52.0,52.0,3009500
2022-08-18 00:00:00,52.0,53.0,52.0,53.0,1484600
2022-08-19 00:00:00,53.0,53.0,52.0,53.0,3152600
2022-08-22 00:00:00,53.0,53.0,50.0,50.0,40495000
2022-08-23 00:00:00,50.0,50.0,50.0,50.0,3823900
2022-08-24 00:00:00,50.0,50.0,50.0,50.0,2194400
2022-08-25 00:00:00,50.0,54.0,50.0,50.0,17634400
2022-08-26 00:00:00,50.0,50.0,50.0,50.0,262696500
2022-08-29 00:00:00,50.0,50.0,50.0,50.0,71373100
2022-08-30 00:00:00,50.0,50.0,50.0,50.0,38693000
2022-08-31 00:00:00,50.0,50.0,50.0,50.0,30050500
2022-09-01 00:00:00,50.0,50.0,50.0,50.0,18743200
2022-09-02 00:00:00,50.0,50.0,50.0,50.0,6639700
2022-09-05 00:00:00,50.0,50.0,50.0,50.0,3815500
2022-09-06 00:00:00,50.0,50.0,50.0,50.0,1971000
2022-09-07 00:00:00,50.0,50.0,50.0,50.0,5771700
2022-09-08 00:00:00,50.0,50.0,50.0,50.0,1555000
2022-09-09 00:00:00,50.0,50.0,50.0,50.0,6624500
2022-09-12 00:00:00,50.0,50.0,50.0,50.0,4548300
2022-09-13 00:00:00,50.0,50.0,50.0,50.0,5063500
2022-09-14 00:00:00,50.0,50.0,50.0,50.0,6754400
2022-09-15 00:00:00,50.0,50.0,50.0,50.0,941600
2022-09-16 00:00:00,50.0,50.0,50.0,50.0,3151500
2022-09-19 00:00:00,50.0,50.0,50.0,50.0,1793400
2022-09-20 00:00:00,50.0,50.0,50.0,50.0,3375000
2022-09-21 00:00:00,50.0,50.0,50.0,50.0,3761300
2022-09-22 00:00:00,50.0,50.0,50.0,50.0,834900
2022-09-23 00:00:00,50.0,50.0,50.0,50.0,1706400
2022-09-26 00:00:00,50.0,50.0,50.0,50.0,2028000
2022-09-27 00:00:00,50.0,50.0,50.0,50.0,944900
2022-09-28 00:00:00,50.0,50.0,50.0,50.0,177300
2022-09-29 00:00:00,50.0,50.0,50.0,50.0,499700
2022-09-30 00:00:00,50.0,50.0,50.0,50.0,45500
2022-10-03 00:00:00,50.0,50.0,50.0,50.0,506000
2022-10-04 00:00:00,50.0,50.0,50.0,50.0,239600
2022-10-05 00:00:00,50.0,50.0,50.0,50.0,1361000
2022-10-06 00:00:00,50.0,50.0,50.0,50.0,1645000
2022-10-07 00:00:00,50.0,50.0,50.0,50.0,28900
2022-10-10 00:00:00,50.0,50.0,50.0,50.0,2652700
2022-10-11 00:00:00,50.0,50.0,50.0,50.0,133000
2022-10-12 00:00:00,50.0,50.0,50.0,50.0,45600
2022-10-13 00:00:00,50.0,50.0,50.0,50.0,2507600
2022-10-14 00:00:00,50.0,50.0,50.0,50.0,25200
2022-10-17 00:00:00,50.0,50.0,50.0,50.0,26000
2022-10-18 00:00:00,50.0,50.0,50.0,50.0,35700
2022-10-19 00:00:00,50.0,50.0,50.0,50.0,123700
2022-10-20 00:00:00,50.0,50.0,50.0,50.0,209100
2022-10-21 00:00:00,50.0,50.0,50.0,50.0,45500
2022-10-24 00:00:00,50.0,50.0,50.0,50.0,60700
2022-10-25 00:00:00,50.0,50.0,50.0,50.0,114700
2022-10-26 00:00:00,50.0,50.0,50.0,50.0,71000
2022-10-27 00:00:00,50.0,50.0,50.0,50.0,54900
2022-10-28 00:00:00,50.0,50.0,50.0,50.0,28300
2022-10-31 00:00:00,50.0,50.0,50.0,50.0,19000
2022-11-01 00:00:00,50.0,50.0,50.0,50.0,79200
2022-11-02 00:00:00,50.0,50.0,50.0,50.0,21500
2022-11-03 00:00:00,50.0,50.0,50.0,50.0,24500
2022-11-04 00:00:00,50.0,50.0,50.0,50.0,144500
2022-11-07 00:00:00,50.0,50.0,50.0,50.0,700
2022-11-08 00:00:00,50.0,50.0,50.0,50.0,13500
2022-11-09 00:00:00,50.0,50.0,50.0,50.0,16900
2022-11-10 00:00:00,50.0,50.0,50.0,50.0,71000
2022-11-11 00:00:00,50.0,50.0,50.0,50.0,92700
2022-11-14 00:00:00,50.0,50.0,50.0,50.0,46900
2022-11-15 00:00:00,50.0,50.0,50.0,50.0,74200
2022-11-16 00:00:00,50.0,50.0,50.0,50.0,26300
2022-11-17 00:00:00,50.0,50.0,50.0,50.0,66900
2022-11-18 00:00:00,50.0,50.0,50.0,50.0,17900
2022-11-21 00:00:00,50.0,50.0,50.0,50.0,1000
2022-11-22 00:00:00,50.0,50.0,50.0,50.0,3800
2022-11-23 00:00:00,50.0,50.0,50.0,50.0,3700
2022-11-24 00:00:00,50.0,50.0,50.0,50.0,50000
2022-11-25 00:00:00,50.0,50.0,50.0,50.0,1200
2022-11-28 00:00:00,50.0,50.0,50.0,50.0,1400
2022-11-29 00:00:00,50.0,50.0,50.0,50.0,72800
2022-11-30 00:00:00,50.0,50.0,50.0,50.0,10500
2022-12-01 00:00:00,50.0,50.0,50.0,50.0,4800
2022-12-02 00:00:00,50.0,50.0,50.0,50.0,22600
2022-12-05 00:00:00,50.0,50.0,50.0,50.0,5800
2022-12-06 00:00:00,50.0,50.0,50.0,50.0,900
2022-12-07 00:00:00,50.0,50.0,50.0,50.0,1200
2022-12-08 00:00:00,50.0,50.0,50.0,50.0,13600
2022-12-09 00:00:00,50.0,50.0,50.0,50.0,2300
2022-12-12 00:00:00,50.0,50.0,50.0,50.0,18000
2022-12-13 00:00:00,50.0,50.0,50.0,50.0,1700
2022-12-14 00:00:00,50.0,50.0,50.0,50.0,60100
2022-12-15 00:00:00,50.0,50.0,50.0,50.0,64100
2022-12-16 00:00:00,50.0,50.0,50.0,50.0,5600
2022-12-19 00:00:00,50.0,50.0,50.0,50.0,10600
2022-12-20 00:00:00,50.0,50.0,50.0,50.0,38400
2022-12-21 00:00:00,50.0,50.0,50.0,50.0,1900
2022-12-22 00:00:00,50.0,50.0,50.0,50.0,6700
2022-12-23 00:00:00,50.0,50.0,50.0,50.0,6000
2022-12-26 00:00:00,50.0,50.0,50.0,50.0,1200
2022-12-27 00:00:00,50.0,50.0,50.0,50.0,16300
2022-12-28 00:00:00,50.0,50.0,50.0,50.0,6065400
2022-12-29 00:00:00,50.0,50.0,50.0,50.0,156600
2022-12-30 00:00:00,50.0,50.0,50.0,50.0,48500
2023-01-02 00:00:00,50.0,50.0,50.0,50.0,5600
2023-01-03 00:00:00,50.0,50.0,50.0,50.0,30400
2023-01-04 00:00:00,50.0,50.0,50.0,50.0,18700
2023-01-05 00:00:00,50.0,50.0,50.0,50.0,13600
2023-01-06 00:00:00,50.0,50.0,50.0,50.0,5100
2023-01-09 00:00:00,50.0,50.0,50.0,50.0,1100
2023-01-10 00:00:00,50.0,50.0,50.0,50.0,1000
2023-01-11 00:00:00,50.0,50.0,50.0,50.0,88900
2023-01-12 00:00:00,50.0,50.0,50.0,50.0,20200
2023-01-13 00:00:00,50.0,50.0,50.0,50.0,296300
2023-01-16 00:00:00,50.0,50.0,50.0,50.0,8700
2023-01-17 00:00:00,50.0,50.0,50.0,50.0,14400
2023-01-18 00:00:00,50.0,50.0,50.0,50.0,300
2023-01-19 00:00:00,50.0,50.0,50.0,50.0,202100
2023-01-20 00:00:00,50.0,50.0,50.0,50.0,1300
2023-01-24 00:00:00,50.0,50.0,50.0,50.0,852200
2023-01-25 00:00:00,50.0,50.0,50.0,50.0,200
2023-01-26 00:00:00,50.0,50.0,50.0,50.0,3300
2023-01-27 00:00:00,50.0,50.0,50.0,50.0,14100
2023-01-30 00:00:00,50.0,50.0,50.0,50.0,1800
2023-01-31 00:00:00,50.0,50.0,50.0,50.0,400
2023-02-01 00:00:00,50.0,50.0,50.0,50.0,25400
2023-02-02 00:00:00,50.0,50.0,50.0,50.0,20600
2023-02-03 00:00:00,50.0,50.0,50.0,50.0,29200
2023-02-06 00:00:00,50.0,50.0,50.0,50.0,20800
2023-02-07 00:00:00,50.0,50.0,50.0,50.0,20300
2023-02-08 00:00:00,50.0,50.0,50.0,50.0,20300
2023-02-09 00:00:00,50.0,50.0,50.0,50.0,22200
2023-02-10 00:00:00,50.0,50.0,50.0,50.0,28900
2023-02-13 00:00:00,50.0,50.0,50.0,50.0,21000
2023-02-14 00:00:00,50.0,50.0,50.0,50.0,20300
2023-02-15 00:00:00,50.0,50.0,50.0,50.0,31200
2023-02-16 00:00:00,50.0,50.0,50.0,50.0,21000
2023-02-17 00:00:00,50.0,50.0,50.0,50.0,29600
2023-02-20 00:00:00,50.0,50.0,50.0,50.0,21600
2023-02-21 00:00:00,50.0,50.0,50.0,50.0,20400
2023-02-22 00:00:00,50.0,50.0,50.0,50.0,30000
2023-02-23 00:00:00,50.0,50.0,50.0,50.0,20400
2023-02-24 00:00:00,50.0,50.0,50.0,50.0,4100
2023-02-27 00:00:00,50.0,50.0,50.0,50.0,100
2023-02-28 00:00:00,50.0,50.0,50.0,50.0,111900
2023-03-01 00:00:00,50.0,50.0,50.0,50.0,100
2023-03-02 00:00:00,50.0,50.0,50.0,50.0,400
2023-03-03 00:00:00,50.0,50.0,50.0,50.0,11800
2023-03-06 00:00:00,50.0,50.0,50.0,50.0,200
2023-03-07 00:00:00,50.0,50.0,50.0,50.0,600
2023-03-08 00:00:00,50.0,50.0,50.0,50.0,500
2023-03-09 00:00:00,50.0,50.0,50.0,50.0,800
2023-03-10 00:00:00,50.0,50.0,50.0,50.0,400
2023-03-13 00:00:00,50.0,50.0,50.0,50.0,2600
2023-03-14 00:00:00,50.0,50.0,50.0,50.0,500
2023-03-15 00:00:00,50.0,50.0,50.0,50.0,500
2023-03-16 00:00:00,50.0,50.0,50.0,50.0,0
2023-03-17 00:00:00,50.0,50.0,50.0,50.0,6500
2023-03-20 00:00:00,50.0,50.0,50.0,50.0,7200
2023-03-21 00:00:00,50.0,50.0,50.0,50.0,700
2023-03-24 00:00:00,50.0,50.0,50.0,50.0,50300
2023-03-27 00:00:00,50.0,50.0,50.0,50.0,200100
2023-03-28 00:00:00,50.0,50.0,50.0,50.0,0
2023-03-29 00:00:00,50.0,50.0,50.0,50.0,113100
2023-03-30 00:00:00,50.0,50.0,50.0,50.0,4000
2023-03-31 00:00:00,50.0,50.0,50.0,50.0,1800
2023-04-03 00:00:00,50.0,50.0,50.0,50.0,23000
2023-04-04 00:00:00,50.0,50.0,50.0,50.0,0
2023-04-05 00:00:00,50.0,50.0,50.0,50.0,16100
2023-04-06 00:00:00,50.0,50.0,50.0,50.0,200
2023-04-10 00:00:00,50.0,50.0,50.0,50.0,100
2023-04-11 00:00:00,50.0,50.0,50.0,50.0,100
2023-04-12 00:00:00,50.0,50.0,50.0,50.0,300
2023-04-13 00:00:00,50.0,50.0,50.0,50.0,1000
2023-04-14 00:00:00,50.0,50.0,50.0,50.0,100
2023-04-17 00:00:00,50.0,50.0,50.0,50.0,600
2023-04-18 00:00:00,50.0,50.0,50.0,50.0,2400
2023-04-26 00:00:00,50.0,50.0,50.0,50.0,2100
2023-04-27 00:00:00,50.0,50.0,50.0,50.0,1300
2023-04-28 00:00:00,50.0,50.0,50.0,50.0,1100
2023-05-02 00:00:00,50.0,50.0,50.0,50.0,33700
2023-05-03 00:00:00,50.0,50.0,50.0,50.0,50100
2023-05-04 00:00:00,50.0,50.0,50.0,50.0,2500
2023-05-05 00:00:00,50.0,50.0,50.0,50.0,300
2023-05-08 00:00:00,50.0,50.0,50.0,50.0,0
2023-05-09 00:00:00,50.0,50.0,50.0,50.0,300
2023-05-10 00:00:00,50.0,50.0,50.0,50.0,121200
2023-05-11 00:00:00,50.0,50.0,50.0,50.0,3500
2023-05-12 00:00:00,50.0,50.0,50.0,50.0,0
2023-05-15 00:00:00,50.0,50.0,50.0,50.0,0
2023-05-16 00:00:00,50.0,50.0,50.0,50.0,1600
2023-05-17 00:00:00,50.0,50.0,50.0,50.0,300
