date,open,high,low,close,volume
2022-07-04,492.0,492.0,470.0,474.0,18285200
2022-07-05,472.0,494.0,472.0,490.0,25462800
2022-07-06,488.0,488.0,476.0,478.0,16859400
2022-07-07,482.0,482.0,474.0,478.0,25351500
2022-07-08,482.0,505.0,480.0,498.0,25156500
2022-07-11,500.0,515.0,492.0,498.0,20046100
2022-07-12,500.0,505.0,484.0,490.0,13710700
2022-07-13,490.0,490.0,478.0,478.0,16635800
2022-07-14,478.0,478.0,470.0,470.0,14705000
2022-07-15,474.0,474.0,466.0,468.0,10948000
2022-07-18,476.0,496.0,470.0,494.0,32073200
2022-07-19,500.0,515.0,494.0,500.0,20494600
2022-07-20,505.0,510.0,496.0,500.0,22936800
2022-07-21,500.0,510.0,494.0,505.0,26415000
2022-07-22,505.0,525.0,500.0,525.0,20901000
2022-07-25,525.0,525.0,505.0,510.0,16431700
2022-07-26,510.0,520.0,505.0,510.0,19624700
2022-07-27,510.0,525.0,510.0,520.0,21553600
2022-07-28,525.0,535.0,515.0,525.0,23678500
2022-07-29,535.0,545.0,530.0,530.0,28445800
2022-08-01,540.0,555.0,530.0,535.0,23086000
2022-08-02,535.0,540.0,515.0,515.0,21124500
2022-08-03,525.0,535.0,515.0,530.0,16941800
2022-08-04,530.0,535.0,520.0,525.0,24956600
2022-08-05,530.0,535.0,515.0,530.0,24323900
2022-08-08,530.0,540.0,520.0,535.0,24159600
2022-08-09,540.0,540.0,525.0,525.0,20302300
2022-08-10,525.0,540.0,525.0,535.0,24557100
2022-08-11,535.0,540.0,525.0,530.0,22066700
2022-08-12,535.0,540.0,525.0,535.0,14335400
2022-08-15,535.0,540.0,525.0,535.0,21117700
2022-08-16,535.0,535.0,525.0,530.0,17057500
2022-08-18,530.0,535.0,510.0,510.0,18684500
2022-08-19,510.0,535.0,500.0,530.0,29020200
2022-08-22,530.0,535.0,515.0,530.0,23078200
2022-08-23,515.0,530.0,515.0,525.0,20819400
2022-08-24,530.0,535.0,520.0,535.0,23599200
