date,open,high,low,close,volume
2022-07-04,4730.0,4850.0,4450.0,4780.0,8500
2022-07-05,4600.0,4760.0,4470.0,4740.0,3400
2022-07-06,4740.0,4800.0,4740.0,4770.0,3500
2022-07-07,4550.0,4800.0,4550.0,4770.0,77500
2022-07-08,4760.0,5400.0,4760.0,4970.0,185100
2022-07-11,4900.0,4910.0,4690.0,4890.0,84700
2022-07-12,4890.0,4890.0,4890.0,4890.0,200
2022-07-13,4700.0,4890.0,4650.0,4890.0,6300
2022-07-14,4870.0,4880.0,4550.0,4790.0,396600
2022-07-15,4770.0,4900.0,4500.0,4710.0,336100
2022-07-18,4710.0,4860.0,4650.0,4800.0,4800
2022-07-19,4790.0,4900.0,4560.0,4840.0,149200
2022-07-20,4800.0,4800.0,4700.0,4800.0,6400
2022-07-21,4700.0,4800.0,4470.0,4800.0,65700
2022-07-22,4900.0,4900.0,4800.0,4850.0,800
2022-07-25,4850.0,4850.0,4640.0,4850.0,207200
2022-07-26,4850.0,4850.0,4850.0,4850.0,100
2022-07-27,4900.0,4900.0,4750.0,4880.0,2000
2022-07-28,4860.0,4860.0,4860.0,4860.0,200
2022-07-29,4760.0,4850.0,4540.0,4850.0,393400
2022-08-01,4840.0,4900.0,4700.0,4890.0,5400
2022-08-02,4890.0,4890.0,4890.0,4890.0,0
2022-08-03,4890.0,4890.0,4890.0,4890.0,0
2022-08-04,4890.0,4890.0,4560.0,4880.0,120200
2022-08-05,4880.0,4880.0,4880.0,4880.0,0
2022-08-08,4830.0,4880.0,4750.0,4880.0,500
2022-08-09,4750.0,4870.0,4730.0,4860.0,2700
2022-08-10,4860.0,4880.0,4860.0,4880.0,500
2022-08-11,4880.0,4880.0,4880.0,4880.0,100
2022-08-12,4870.0,4880.0,4540.0,4540.0,552400
2022-08-15,4450.0,4450.0,4230.0,4400.0,35700
2022-08-16,4350.0,4460.0,4230.0,4460.0,9800
2022-08-18,4360.0,4360.0,4150.0,4360.0,8600
2022-08-19,4350.0,4350.0,4090.0,4090.0,15500
2022-08-22,4100.0,4100.0,4070.0,4100.0,5300
2022-08-23,4100.0,4100.0,4070.0,4070.0,2800
2022-08-24,4150.0,4190.0,4070.0,4070.0,1800
2022-08-25,4070.0,4110.0,4070.0,4100.0,700
2022-08-26,4210.0,4810.0,4100.0,4660.0,27000
2022-08-29,4660.0,4660.0,4600.0,4620.0,4500
2022-08-30,4590.0,4590.0,4300.0,4450.0,14200
2022-08-31,4380.0,4860.0,4140.0,4560.0,24800
2022-09-01,4560.0,4700.0,4250.0,4250.0,118900
2022-09-02,4250.0,4700.0,4120.0,4700.0,78600
2022-09-05,4680.0,4680.0,4380.0,4380.0,40500
2022-09-06,4360.0,4700.0,4100.0,4490.0,38100
2022-09-07,4470.0,4470.0,4180.0,4440.0,111700
2022-09-08,4300.0,4460.0,4250.0,4430.0,1600
2022-09-09,4430.0,4600.0,4350.0,4520.0,6400
2022-09-12,4520.0,4600.0,4210.0,4310.0,36700
2022-09-13,4310.0,4490.0,4310.0,4370.0,5800
2022-09-14,4370.0,4390.0,4270.0,4380.0,2600
2022-09-15,4380.0,4380.0,4080.0,4170.0,32700
2022-09-16,4170.0,4250.0,4120.0,4120.0,7300
2022-09-19,4120.0,4140.0,4100.0,4100.0,4600
2022-09-20,4130.0,4130.0,4060.0,4060.0,3800
2022-09-21,4080.0,4080.0,4060.0,4060.0,2100
2022-09-22,4080.0,4080.0,4050.0,4060.0,1500
2022-09-23,4060.0,4060.0,4050.0,4050.0,1400
2022-09-26,4050.0,4140.0,4050.0,4060.0,2000
2022-09-27,4070.0,4070.0,4060.0,4060.0,2100
