date,open,high,low,close,volume
2022-07-04,2790.0,2790.0,2650.0,2740.0,159500
2022-07-05,2740.0,2790.0,2720.0,2770.0,24500
2022-07-06,2790.0,2790.0,2730.0,2760.0,6500
2022-07-07,2760.0,2800.0,2720.0,2800.0,21600
2022-07-08,2800.0,2800.0,2800.0,2800.0,8100
2022-07-11,2800.0,2800.0,2710.0,2770.0,24500
2022-07-12,2790.0,2800.0,2780.0,2780.0,3800
2022-07-13,2780.0,2790.0,2770.0,2770.0,4200
2022-07-14,2770.0,2850.0,2770.0,2810.0,44400
2022-07-15,2810.0,2830.0,2740.0,2830.0,38800
2022-07-18,2830.0,2830.0,2810.0,2830.0,20400
2022-07-19,2830.0,2830.0,2790.0,2790.0,10700
2022-07-20,2790.0,2820.0,2770.0,2810.0,7500
2022-07-21,2800.0,2840.0,2800.0,2840.0,13400
2022-07-22,2840.0,2840.0,2800.0,2840.0,12100
2022-07-25,2840.0,2840.0,2790.0,2830.0,37800
2022-07-26,2830.0,2830.0,2800.0,2830.0,9000
2022-07-27,2820.0,2850.0,2810.0,2850.0,49000
2022-07-28,2850.0,2860.0,2820.0,2860.0,14900
2022-07-29,2860.0,2860.0,2830.0,2850.0,61300
2022-08-01,2850.0,2860.0,2810.0,2810.0,8200
2022-08-02,2810.0,2810.0,2800.0,2800.0,30500
2022-08-03,2800.0,2810.0,2790.0,2800.0,53000
2022-08-04,2800.0,2830.0,2800.0,2810.0,65000
2022-08-05,2810.0,2810.0,2790.0,2800.0,38200
2022-08-08,2820.0,2860.0,2820.0,2840.0,57000
2022-08-09,2860.0,2890.0,2830.0,2860.0,91300
2022-08-10,2900.0,2900.0,2860.0,2860.0,16100
2022-08-11,2870.0,2880.0,2840.0,2840.0,12700
2022-08-12,2830.0,2830.0,2650.0,2760.0,419900
2022-08-15,2760.0,2890.0,2760.0,2850.0,92100
2022-08-16,2840.0,2840.0,2810.0,2840.0,74500
2022-08-18,2840.0,2840.0,2800.0,2820.0,4000
2022-08-19,2820.0,2830.0,2800.0,2830.0,19400
2022-08-22,2840.0,2840.0,2740.0,2790.0,62000
2022-08-23,2800.0,2800.0,2740.0,2760.0,39200
2022-08-24,2770.0,2800.0,2740.0,2750.0,54700
2022-08-25,2750.0,2770.0,2740.0,2770.0,53300
2022-08-26,2770.0,2770.0,2740.0,2750.0,68400
2022-08-29,2750.0,2750.0,2720.0,2720.0,46400
2022-08-30,2730.0,2750.0,2730.0,2740.0,23200
2022-08-31,2740.0,2750.0,2710.0,2720.0,78600
2022-09-01,2720.0,2740.0,2710.0,2720.0,18000
2022-09-02,2720.0,2740.0,2710.0,2710.0,54300
2022-09-05,2730.0,2730.0,2710.0,2720.0,42500
2022-09-06,2720.0,2720.0,2710.0,2720.0,13100
2022-09-07,2740.0,2740.0,2710.0,2710.0,26700
2022-09-08,2710.0,2740.0,2710.0,2720.0,11900
2022-09-09,2740.0,2740.0,2700.0,2710.0,80200
2022-09-12,2730.0,2740.0,2720.0,2740.0,11900
2022-09-13,2740.0,2750.0,2700.0,2740.0,66500
2022-09-14,2720.0,2740.0,2710.0,2740.0,35300
2022-09-15,2740.0,2760.0,2710.0,2750.0,37700
2022-09-16,2750.0,2770.0,2730.0,2760.0,24900
2022-09-19,2760.0,2770.0,2720.0,2730.0,22900
2022-09-20,2740.0,2750.0,2730.0,2730.0,9100
2022-09-21,2740.0,2750.0,2730.0,2740.0,39500
2022-09-22,2730.0,2750.0,2700.0,2750.0,79700
2022-09-23,2750.0,2790.0,2700.0,2790.0,57100
2022-09-26,2750.0,2800.0,2740.0,2750.0,56600
2022-09-27,2750.0,2750.0,2710.0,2720.0,11200
2022-09-28,2720.0,2740.0,2710.0,2740.0,9300
2022-09-29,2740.0,2780.0,2740.0,2750.0,30300
2022-09-30,2750.0,2750.0,2670.0,2700.0,50300
2022-10-03,2700.0,2740.0,2680.0,2690.0,33600
2022-10-04,2700.0,2720.0,2690.0,2720.0,33300
2022-10-05,2680.0,2720.0,2680.0,2700.0,700
2022-10-06,2700.0,2730.0,2700.0,2730.0,1500
2022-10-07,2690.0,2720.0,2690.0,2720.0,17500
2022-10-10,2710.0,2710.0,2690.0,2700.0,35300
2022-10-11,2700.0,2740.0,2680.0,2710.0,22900
2022-10-12,2700.0,2720.0,2700.0,2710.0,52300
2022-10-13,2700.0,2700.0,2690.0,2700.0,5700
2022-10-14,2690.0,2690.0,2640.0,2680.0,242900
2022-10-17,2680.0,2680.0,2580.0,2650.0,39200
2022-10-18,2680.0,2730.0,2650.0,2690.0,3000
2022-10-19,2700.0,2710.0,2650.0,2700.0,18200
2022-10-20,2700.0,2700.0,2660.0,2700.0,14300
2022-10-21,2690.0,2700.0,2670.0,2700.0,43600
2022-10-24,2700.0,2700.0,2680.0,2700.0,18900
2022-10-25,2700.0,2700.0,2670.0,2670.0,23000
2022-10-26,2670.0,2700.0,2670.0,2700.0,18800
2022-10-27,2700.0,2720.0,2700.0,2720.0,8300
2022-10-28,2720.0,2720.0,2710.0,2720.0,1500
2022-10-31,2740.0,2740.0,2700.0,2740.0,12000
2022-11-01,2740.0,2740.0,2700.0,2710.0,16100
2022-11-02,2700.0,2740.0,2690.0,2710.0,21700
2022-11-03,2710.0,2720.0,2690.0,2720.0,1400
2022-11-04,2720.0,2730.0,2720.0,2720.0,20200
2022-11-07,2730.0,2740.0,2660.0,2720.0,34900
2022-11-08,2720.0,2720.0,2700.0,2700.0,19700
2022-11-09,2730.0,2740.0,2700.0,2730.0,59300
2022-11-10,2730.0,2730.0,2670.0,2710.0,13800
2022-11-11,2710.0,2720.0,2680.0,2720.0,10200
2022-11-14,2720.0,2740.0,2700.0,2740.0,25300
2022-11-15,2740.0,2740.0,2720.0,2720.0,14700
2022-11-16,2720.0,2730.0,2720.0,2720.0,3300
2022-11-17,2710.0,2740.0,2710.0,2710.0,5000
2022-11-18,2710.0,2730.0,2680.0,2690.0,30100
2022-11-21,2690.0,2700.0,2680.0,2690.0,22800
2022-11-22,2690.0,2700.0,2680.0,2700.0,18200
2022-11-23,2700.0,2720.0,2680.0,2710.0,8200
2022-11-24,2710.0,2730.0,2710.0,2730.0,8400
2022-11-25,2730.0,2750.0,2730.0,2730.0,35900
2022-11-28,2730.0,2750.0,2650.0,2730.0,36500
2022-11-29,2730.0,2740.0,2690.0,2740.0,4900
2022-11-30,2740.0,2740.0,2680.0,2690.0,16300
2022-12-01,2700.0,2710.0,2690.0,2690.0,137300
2022-12-02,2690.0,2700.0,2680.0,2700.0,4500
2022-12-05,2700.0,2710.0,2690.0,2690.0,3200
2022-12-06,2700.0,2700.0,2690.0,2700.0,4600
2022-12-07,2710.0,2710.0,2680.0,2690.0,12400
2022-12-08,2680.0,2700.0,2670.0,2690.0,8000
2022-12-09,2690.0,2700.0,2690.0,2700.0,15300
2022-12-12,2680.0,2700.0,2680.0,2680.0,6900
2022-12-13,2680.0,2700.0,2680.0,2690.0,10200
2022-12-14,2700.0,2700.0,2700.0,2700.0,7400
2022-12-15,2700.0,2700.0,2680.0,2700.0,182000
2022-12-16,2700.0,2700.0,2650.0,2650.0,67400
2022-12-19,2710.0,2710.0,2660.0,2700.0,34700
2022-12-20,2700.0,2700.0,2650.0,2690.0,24800
2022-12-21,2690.0,2700.0,2680.0,2690.0,4100
2022-12-22,2660.0,2700.0,2650.0,2700.0,15000
2022-12-23,2700.0,2700.0,2690.0,2690.0,5900
2022-12-26,2690.0,2700.0,2690.0,2690.0,5800
