Date,Open,High,Low,Close,Volume
2023-03-01 00:00:00,256.0,276.0,254.0,266.0,339856500
2023-03-02 00:00:00,266.0,323.0,265.0,299.0,338220500
2023-03-03 00:00:00,300.0,308.0,285.0,302.0,222685500
2023-03-06 00:00:00,301.0,314.0,301.0,312.0,124184000
2023-03-07 00:00:00,312.0,322.0,311.0,316.0,79788000
2023-03-08 00:00:00,315.0,332.0,315.0,326.0,96791500
2023-03-09 00:00:00,327.0,332.0,318.0,328.0,101430000
2023-03-10 00:00:00,327.0,340.0,324.0,340.0,68045000
2023-03-13 00:00:00,338.0,349.0,338.0,347.0,60104000
2023-03-14 00:00:00,347.0,380.0,346.0,364.0,137999000
2023-03-15 00:00:00,369.0,402.0,365.0,400.0,160892500
2023-03-16 00:00:00,400.0,436.0,386.0,404.0,227078000
2023-03-17 00:00:00,410.0,416.0,380.0,408.0,240718500
2023-03-20 00:00:00,408.0,424.0,406.0,410.0,78903500
2023-03-21 00:00:00,410.0,420.0,404.0,416.0,62949500
2023-03-24 00:00:00,416.0,438.0,414.0,424.0,91844500
2023-03-27 00:00:00,424.0,432.0,395.0,426.0,129329500
2023-03-28 00:00:00,426.0,434.0,418.0,428.0,106369000
2023-03-29 00:00:00,428.0,430.0,412.0,412.0,68024000
2023-03-30 00:00:00,406.0,412.0,384.0,384.0,71653000
2023-03-31 00:00:00,380.0,408.0,358.0,404.0,187998500
2023-04-03 00:00:00,404.0,416.0,395.0,406.0,86621500
2023-04-04 00:00:00,406.0,408.0,396.0,398.0,28749000
2023-04-05 00:00:00,398.0,398.0,371.0,375.0,113466500
2023-04-06 00:00:00,374.0,378.0,349.0,349.0,92962000
2023-04-10 00:00:00,349.0,355.0,325.0,352.0,168082500
2023-04-11 00:00:00,352.0,358.0,347.0,353.0,44129500
2023-04-12 00:00:00,352.0,353.0,329.0,334.0,105642000
2023-04-13 00:00:00,334.0,339.0,311.0,317.0,47069500
2023-04-14 00:00:00,317.0,320.0,307.0,318.0,25288500
2023-04-17 00:00:00,317.0,346.0,317.0,341.0,40576000
2023-04-18 00:00:00,341.0,348.0,331.0,342.0,36448500
