date,open,high,low,close,volume
2022-07-04,106.0,106.0,100.0,100.0,42812200
2022-07-05,100.0,107.0,98.0,104.0,31644900
2022-07-06,104.0,107.0,101.0,102.0,29118300
2022-07-07,102.0,106.0,102.0,103.0,16347800
2022-07-08,104.0,105.0,102.0,103.0,10501400
2022-07-11,103.0,115.0,103.0,112.0,128693800
2022-07-12,112.0,113.0,105.0,107.0,30447000
2022-07-13,107.0,111.0,104.0,105.0,23261400
2022-07-14,107.0,109.0,103.0,106.0,24492000
2022-07-15,107.0,108.0,103.0,103.0,22049900
2022-07-18,104.0,108.0,103.0,105.0,19667200
2022-07-19,104.0,108.0,104.0,106.0,23109300
2022-07-20,106.0,112.0,106.0,109.0,55076200
2022-07-21,109.0,110.0,106.0,106.0,20991500
2022-07-22,107.0,112.0,106.0,107.0,63548200
2022-07-25,108.0,109.0,104.0,106.0,26494800
2022-07-26,106.0,107.0,103.0,105.0,28594300
2022-07-27,106.0,106.0,103.0,104.0,20618400
2022-07-28,104.0,114.0,104.0,108.0,194463600
2022-07-29,109.0,113.0,106.0,108.0,138725200
2022-08-01,110.0,112.0,105.0,106.0,37727700
2022-08-02,106.0,108.0,104.0,105.0,52941000
2022-08-03,105.0,106.0,100.0,101.0,78757300
2022-08-04,102.0,104.0,100.0,100.0,68784500
2022-08-05,100.0,102.0,100.0,101.0,24666700
2022-08-08,101.0,102.0,98.0,100.0,27680000
2022-08-09,101.0,101.0,98.0,99.0,24626700
2022-08-10,98.0,101.0,98.0,99.0,20697600
2022-08-11,99.0,101.0,99.0,100.0,17757100
2022-08-12,100.0,101.0,98.0,99.0,33377700
2022-08-15,100.0,101.0,98.0,98.0,31328900
2022-08-16,98.0,100.0,98.0,99.0,10656500
2022-08-18,100.0,102.0,98.0,100.0,58466200
2022-08-19,100.0,101.0,98.0,98.0,20581500
2022-08-22,98.0,100.0,95.0,95.0,34021300
2022-08-23,95.0,97.0,95.0,95.0,18787300
2022-08-24,95.0,100.0,95.0,97.0,48767500
2022-08-25,97.0,99.0,96.0,97.0,18398500
2022-08-26,97.0,98.0,93.0,94.0,36773700
2022-08-29,94.0,95.0,91.0,92.0,27250000
2022-08-30,92.0,95.0,91.0,93.0,29165300
2022-08-31,94.0,95.0,93.0,93.0,32931000
2022-09-01,93.0,95.0,92.0,92.0,20194600
2022-09-02,92.0,96.0,92.0,95.0,72646900
2022-09-05,95.0,101.0,94.0,97.0,154319800
2022-09-06,99.0,99.0,94.0,95.0,42058800
2022-09-07,96.0,97.0,94.0,95.0,26170400
2022-09-08,96.0,97.0,94.0,96.0,25333800
2022-09-09,96.0,96.0,94.0,95.0,23197400
2022-09-12,95.0,96.0,93.0,94.0,33078900
2022-09-13,94.0,98.0,93.0,95.0,66336400
2022-09-14,93.0,96.0,93.0,95.0,16982900
2022-09-15,95.0,96.0,94.0,94.0,21367800
2022-09-16,93.0,95.0,92.0,93.0,23422700
2022-09-19,93.0,94.0,90.0,91.0,27626300
2022-09-20,91.0,92.0,87.0,88.0,33920900
2022-09-21,90.0,90.0,87.0,88.0,22478300
2022-09-22,88.0,89.0,86.0,88.0,39315200
2022-09-23,89.0,90.0,87.0,88.0,12669600
2022-09-26,88.0,89.0,85.0,86.0,13993900
2022-09-27,87.0,87.0,85.0,86.0,9000800
2022-09-28,86.0,87.0,86.0,87.0,9770100
2022-09-29,87.0,88.0,83.0,84.0,20234900
2022-09-30,84.0,85.0,80.0,85.0,29688600
2022-10-03,84.0,88.0,83.0,85.0,43753900
2022-10-04,86.0,88.0,85.0,86.0,19486900
2022-10-05,86.0,89.0,86.0,87.0,23290000
2022-10-06,88.0,89.0,87.0,88.0,6040200
2022-10-07,88.0,89.0,86.0,86.0,14362600
2022-10-10,86.0,88.0,84.0,85.0,13763300
2022-10-11,85.0,86.0,84.0,84.0,9595000
2022-10-12,84.0,86.0,83.0,83.0,13351700
2022-10-13,84.0,85.0,83.0,84.0,6695800
2022-10-14,84.0,86.0,83.0,84.0,16028300
2022-10-17,84.0,85.0,80.0,80.0,23642500
2022-10-18,80.0,86.0,80.0,83.0,45629300
2022-10-19,83.0,84.0,81.0,82.0,9821000
2022-10-20,83.0,84.0,81.0,83.0,7943600
2022-10-21,84.0,87.0,83.0,84.0,18310400
2022-10-24,84.0,86.0,83.0,84.0,20719700
2022-10-25,84.0,85.0,82.0,83.0,18175500
2022-10-26,83.0,84.0,82.0,84.0,5079100
2022-10-27,84.0,85.0,83.0,83.0,11655000
2022-10-28,83.0,85.0,83.0,84.0,11594500
2022-10-31,84.0,85.0,83.0,83.0,14133000
2022-11-01,84.0,84.0,81.0,82.0,15651000
2022-11-02,82.0,83.0,81.0,82.0,6077200
2022-11-03,82.0,84.0,82.0,82.0,9232400
2022-11-04,82.0,83.0,80.0,81.0,13594900
2022-11-07,81.0,82.0,80.0,81.0,5931000
2022-11-08,81.0,82.0,80.0,81.0,7745600
2022-11-09,81.0,87.0,81.0,86.0,50445500
2022-11-10,86.0,87.0,82.0,82.0,24267100
2022-11-11,83.0,86.0,83.0,84.0,27139000
2022-11-14,84.0,86.0,83.0,83.0,9705200
2022-11-15,83.0,87.0,83.0,85.0,41563700
2022-11-16,85.0,86.0,83.0,83.0,9352700
2022-11-17,83.0,85.0,82.0,83.0,16941500
2022-11-18,83.0,84.0,82.0,83.0,18392600
2022-11-21,83.0,84.0,80.0,82.0,25045800
2022-11-22,83.0,83.0,80.0,81.0,17381500
2022-11-23,81.0,83.0,80.0,81.0,20862100
2022-11-24,81.0,83.0,81.0,82.0,14249500
2022-11-25,82.0,82.0,80.0,81.0,13892400
2022-11-28,82.0,82.0,80.0,80.0,9889600
2022-11-29,80.0,81.0,76.0,76.0,65022500
2022-11-30,76.0,78.0,72.0,72.0,242436000
2022-12-01,80.0,80.0,67.0,71.0,74207700
2022-12-02,71.0,73.0,68.0,70.0,35842400
2022-12-05,70.0,71.0,68.0,68.0,23726900
2022-12-06,69.0,69.0,66.0,66.0,21565700
2022-12-07,66.0,68.0,65.0,67.0,14420000
2022-12-08,67.0,68.0,65.0,66.0,15336300
2022-12-09,67.0,67.0,64.0,65.0,17675300
2022-12-12,65.0,66.0,64.0,64.0,9783600
2022-12-13,64.0,69.0,63.0,66.0,57199800
2022-12-14,66.0,67.0,64.0,65.0,14766400
2022-12-15,65.0,66.0,64.0,64.0,8165000
2022-12-16,65.0,66.0,64.0,64.0,6725100
2022-12-19,64.0,68.0,63.0,64.0,39134100
2022-12-20,64.0,67.0,64.0,66.0,12095000
2022-12-21,66.0,68.0,64.0,65.0,12658100
2022-12-22,66.0,67.0,64.0,64.0,8956000
2022-12-23,65.0,66.0,64.0,65.0,7064000
2022-12-26,65.0,66.0,64.0,64.0,7499400
2022-12-27,64.0,67.0,64.0,65.0,12935100
2022-12-28,65.0,66.0,65.0,65.0,6921600
2022-12-29,65.0,66.0,64.0,65.0,7473800
2022-12-30,65.0,66.0,64.0,65.0,6648300
2023-01-02,65.0,69.0,64.0,66.0,46355000
2023-01-03,66.0,68.0,65.0,67.0,21490300
2023-01-04,67.0,68.0,65.0,66.0,24298500
2023-01-05,66.0,67.0,62.0,64.0,29255000
2023-01-06,64.0,65.0,61.0,63.0,17664200
2023-01-09,63.0,64.0,61.0,61.0,8620800
2023-01-10,61.0,63.0,60.0,60.0,13146200
2023-01-11,61.0,61.0,59.0,60.0,14076200
2023-01-12,60.0,63.0,59.0,60.0,41304700
2023-01-13,62.0,62.0,59.0,60.0,8084300
2023-01-16,61.0,61.0,59.0,60.0,12583700
2023-01-17,60.0,63.0,59.0,59.0,47432600
2023-01-18,55.0,60.0,55.0,58.0,17297300
2023-01-19,58.0,60.0,57.0,59.0,11516600
2023-01-20,59.0,60.0,58.0,59.0,12883700
2023-01-24,59.0,61.0,59.0,61.0,19632900
2023-01-25,61.0,62.0,60.0,60.0,7515100
2023-01-26,60.0,61.0,59.0,60.0,19860400
2023-01-27,61.0,62.0,60.0,60.0,23808700
2023-01-30,69.0,69.0,60.0,61.0,48673400
2023-01-31,62.0,62.0,60.0,61.0,9177200
2023-02-01,61.0,62.0,60.0,60.0,8672800
2023-02-02,61.0,62.0,60.0,62.0,11144900
2023-02-03,62.0,63.0,61.0,61.0,13576200
2023-02-06,61.0,62.0,61.0,62.0,6837800
2023-02-07,62.0,62.0,59.0,61.0,26796700
2023-02-08,61.0,64.0,60.0,61.0,43825300
