Date,Open,High,Low,Close,Volume
2022-05-20 00:00:00,858.0,958.0,854.0,958.0,11500
2022-05-23 00:00:00,980.0,980.0,980.0,980.0,500
2022-05-24 00:00:00,968.0,968.0,940.0,940.0,4000
2022-05-25 00:00:00,940.0,940.0,928.0,928.0,1500
2022-05-27 00:00:00,924.0,924.0,880.0,880.0,7500
2022-05-30 00:00:00,880.0,880.0,880.0,880.0,2500
2022-05-31 00:00:00,880.0,880.0,880.0,880.0,1000
2022-06-02 00:00:00,880.0,880.0,864.0,880.0,2500
2022-06-03 00:00:00,880.0,880.0,878.0,878.0,1500
2022-06-06 00:00:00,878.0,878.0,870.0,870.0,6000
2022-06-07 00:00:00,870.0,870.0,870.0,870.0,1500
2022-06-08 00:00:00,872.0,872.0,872.0,872.0,500
2022-06-09 00:00:00,874.0,874.0,874.0,874.0,1500
2022-06-10 00:00:00,874.0,874.0,874.0,874.0,2500
2022-06-13 00:00:00,876.0,876.0,814.0,814.0,27500
2022-06-14 00:00:00,814.0,836.0,814.0,836.0,2500
2022-06-15 00:00:00,996.0,996.0,910.0,910.0,28500
2022-06-16 00:00:00,910.0,930.0,850.0,854.0,6000
2022-06-17 00:00:00,854.0,866.0,804.0,866.0,7500
2022-06-20 00:00:00,910.0,910.0,810.0,816.0,5500
2022-06-21 00:00:00,850.0,850.0,850.0,850.0,500
2022-06-22 00:00:00,840.0,960.0,828.0,936.0,49500
2022-06-23 00:00:00,932.0,932.0,906.0,906.0,2500
2022-06-24 00:00:00,906.0,920.0,906.0,920.0,1000
2022-06-27 00:00:00,918.0,920.0,856.0,878.0,11500
2022-06-28 00:00:00,878.0,878.0,864.0,864.0,5500
2022-06-29 00:00:00,860.0,860.0,830.0,840.0,5000
2022-06-30 00:00:00,840.0,840.0,834.0,834.0,4500
2022-07-01 00:00:00,820.0,820.0,776.0,800.0,19000
2022-07-04 00:00:00,858.0,858.0,788.0,788.0,31500
2022-07-05 00:00:00,788.0,900.0,788.0,870.0,20000
2022-07-06 00:00:00,840.0,840.0,814.0,814.0,10000
2022-07-07 00:00:00,814.0,814.0,814.0,814.0,0
2022-07-08 00:00:00,814.0,814.0,814.0,814.0,3500
2022-07-11 00:00:00,814.0,814.0,814.0,814.0,0
2022-07-12 00:00:00,778.0,796.0,760.0,796.0,9000
2022-07-13 00:00:00,794.0,794.0,762.0,762.0,2000
2022-07-14 00:00:00,762.0,856.0,732.0,810.0,15500
2022-07-15 00:00:00,846.0,846.0,768.0,768.0,9000
2022-07-18 00:00:00,768.0,770.0,760.0,760.0,4000
2022-07-19 00:00:00,760.0,760.0,754.0,754.0,4000
2022-07-20 00:00:00,740.0,786.0,720.0,772.0,15000
2022-07-21 00:00:00,780.0,854.0,728.0,768.0,29000
2022-07-22 00:00:00,792.0,842.0,722.0,776.0,50000
2022-07-25 00:00:00,768.0,834.0,756.0,784.0,48500
2022-07-26 00:00:00,802.0,980.0,800.0,980.0,526500
2022-07-27 00:00:00,998.0,1225.0,986.0,1020.0,334500
2022-07-28 00:00:00,1130.0,1130.0,988.0,1015.0,32000
2022-07-29 00:00:00,1005.0,1015.0,946.0,1000.0,12000
2022-08-01 00:00:00,1000.0,1000.0,962.0,962.0,10500
2022-08-02 00:00:00,962.0,962.0,906.0,908.0,173000
2022-08-03 00:00:00,908.0,910.0,908.0,908.0,18500
2022-08-04 00:00:00,908.0,1040.0,908.0,1030.0,50500
2022-08-05 00:00:00,1025.0,1030.0,960.0,980.0,40500
2022-08-08 00:00:00,980.0,1040.0,970.0,1000.0,17000
2022-08-09 00:00:00,1030.0,1060.0,980.0,982.0,11500
2022-08-10 00:00:00,1000.0,1200.0,954.0,1010.0,34000
2022-08-11 00:00:00,1000.0,1005.0,1000.0,1005.0,1500
2022-08-12 00:00:00,1040.0,1040.0,970.0,992.0,4500
2022-08-15 00:00:00,992.0,992.0,966.0,966.0,1500
2022-08-16 00:00:00,976.0,990.0,972.0,990.0,6500
2022-08-18 00:00:00,962.0,990.0,962.0,990.0,1500
2022-08-19 00:00:00,1000.0,1000.0,1000.0,1000.0,500
2022-08-22 00:00:00,990.0,990.0,960.0,978.0,11500
2022-08-23 00:00:00,978.0,978.0,978.0,978.0,0
2022-08-24 00:00:00,986.0,986.0,978.0,986.0,5500
2022-08-25 00:00:00,970.0,982.0,960.0,982.0,2500
2022-08-26 00:00:00,962.0,990.0,962.0,990.0,2000
2022-08-29 00:00:00,990.0,990.0,990.0,990.0,0
2022-08-30 00:00:00,960.0,960.0,960.0,960.0,500
2022-08-31 00:00:00,960.0,980.0,960.0,980.0,1500
2022-09-01 00:00:00,978.0,978.0,912.0,978.0,5000
2022-09-02 00:00:00,986.0,986.0,914.0,914.0,10500
2022-09-05 00:00:00,930.0,954.0,910.0,954.0,7000
2022-09-06 00:00:00,940.0,946.0,940.0,944.0,1500
2022-09-07 00:00:00,944.0,966.0,944.0,966.0,1500
2022-09-08 00:00:00,956.0,956.0,956.0,956.0,500
2022-09-09 00:00:00,950.0,950.0,950.0,950.0,6500
2022-09-12 00:00:00,970.0,970.0,970.0,970.0,500
2022-09-13 00:00:00,940.0,960.0,940.0,944.0,3500
2022-09-14 00:00:00,942.0,942.0,930.0,930.0,1500
2022-09-15 00:00:00,964.0,964.0,930.0,950.0,5000
2022-09-16 00:00:00,948.0,948.0,884.0,948.0,6500
2022-09-19 00:00:00,942.0,942.0,942.0,942.0,1500
2022-09-20 00:00:00,942.0,942.0,942.0,942.0,0
2022-09-21 00:00:00,940.0,940.0,940.0,940.0,500
2022-09-22 00:00:00,938.0,938.0,876.0,936.0,4000
2022-09-23 00:00:00,936.0,970.0,936.0,970.0,14500
2022-09-26 00:00:00,990.0,990.0,970.0,990.0,5500
2022-09-27 00:00:00,964.0,964.0,964.0,964.0,1500
2022-09-28 00:00:00,950.0,960.0,950.0,960.0,1000
2022-09-29 00:00:00,968.0,968.0,968.0,968.0,500
2022-09-30 00:00:00,930.0,938.0,912.0,912.0,2000
2022-10-03 00:00:00,932.0,970.0,932.0,938.0,10500
2022-10-04 00:00:00,958.0,988.0,958.0,988.0,1500
2022-10-05 00:00:00,980.0,980.0,968.0,968.0,2500
2022-10-06 00:00:00,976.0,976.0,976.0,976.0,500
2022-10-07 00:00:00,978.0,978.0,960.0,974.0,3000
2022-10-10 00:00:00,970.0,970.0,970.0,970.0,500
2022-10-11 00:00:00,968.0,968.0,968.0,968.0,1000
2022-10-12 00:00:00,968.0,968.0,968.0,968.0,0
2022-10-13 00:00:00,968.0,968.0,968.0,968.0,0
2022-10-14 00:00:00,968.0,968.0,968.0,968.0,0
2022-10-17 00:00:00,968.0,968.0,968.0,968.0,0
2022-10-18 00:00:00,956.0,956.0,936.0,936.0,1000
2022-10-19 00:00:00,936.0,980.0,936.0,980.0,2000
2022-10-20 00:00:00,940.0,940.0,940.0,940.0,2500
2022-10-21 00:00:00,940.0,940.0,910.0,928.0,3500
2022-10-24 00:00:00,924.0,980.0,924.0,960.0,8000
2022-10-25 00:00:00,960.0,960.0,960.0,960.0,0
2022-10-26 00:00:00,920.0,938.0,920.0,938.0,2000
2022-10-27 00:00:00,936.0,936.0,936.0,936.0,500
2022-10-28 00:00:00,916.0,934.0,916.0,934.0,1500
2022-10-31 00:00:00,954.0,954.0,934.0,934.0,3500
2022-11-01 00:00:00,934.0,934.0,934.0,934.0,0
2022-11-02 00:00:00,934.0,934.0,934.0,934.0,0
2022-11-03 00:00:00,932.0,932.0,932.0,932.0,500
2022-11-04 00:00:00,932.0,932.0,932.0,932.0,0
2022-11-07 00:00:00,932.0,932.0,932.0,932.0,0
2022-11-08 00:00:00,930.0,950.0,930.0,942.0,8000
2022-11-09 00:00:00,946.0,954.0,946.0,954.0,8000
2022-11-10 00:00:00,954.0,954.0,954.0,954.0,0
2022-11-11 00:00:00,948.0,948.0,894.0,894.0,2000
2022-11-14 00:00:00,914.0,954.0,896.0,896.0,7000
2022-11-15 00:00:00,916.0,954.0,914.0,940.0,2500
2022-11-16 00:00:00,954.0,958.0,948.0,948.0,2000
2022-11-17 00:00:00,958.0,958.0,926.0,934.0,2000
2022-11-18 00:00:00,934.0,934.0,934.0,934.0,500
2022-11-21 00:00:00,936.0,936.0,936.0,936.0,500
2022-11-22 00:00:00,936.0,938.0,936.0,936.0,4500
2022-11-23 00:00:00,948.0,948.0,948.0,948.0,500
2022-11-24 00:00:00,948.0,948.0,948.0,948.0,0
2022-11-25 00:00:00,948.0,948.0,948.0,948.0,0
2022-11-28 00:00:00,948.0,948.0,948.0,948.0,0
2022-11-29 00:00:00,928.0,946.0,928.0,946.0,1000
2022-11-30 00:00:00,950.0,950.0,950.0,950.0,500
2022-12-01 00:00:00,950.0,950.0,950.0,950.0,0
2022-12-02 00:00:00,950.0,950.0,950.0,950.0,0
2022-12-05 00:00:00,950.0,950.0,950.0,950.0,0
2022-12-06 00:00:00,900.0,934.0,900.0,934.0,2000
2022-12-07 00:00:00,934.0,934.0,934.0,934.0,0
2022-12-08 00:00:00,948.0,948.0,948.0,948.0,500
2022-12-09 00:00:00,948.0,948.0,948.0,948.0,0
2022-12-12 00:00:00,948.0,948.0,948.0,948.0,0
2022-12-13 00:00:00,948.0,948.0,948.0,948.0,0
2022-12-14 00:00:00,948.0,948.0,948.0,948.0,0
2022-12-15 00:00:00,958.0,958.0,958.0,958.0,500
2022-12-16 00:00:00,958.0,958.0,958.0,958.0,0
2022-12-19 00:00:00,958.0,958.0,958.0,958.0,0
2022-12-20 00:00:00,958.0,958.0,958.0,958.0,0
2022-12-21 00:00:00,958.0,958.0,958.0,958.0,1000
2022-12-22 00:00:00,958.0,958.0,958.0,958.0,0
2022-12-23 00:00:00,958.0,958.0,958.0,958.0,0
2022-12-26 00:00:00,958.0,958.0,958.0,958.0,0
2022-12-27 00:00:00,958.0,958.0,958.0,958.0,0
2022-12-28 00:00:00,958.0,958.0,958.0,958.0,0
2022-12-29 00:00:00,954.0,990.0,940.0,988.0,43000
2022-12-30 00:00:00,978.0,980.0,978.0,988.0,18000
2023-01-02 00:00:00,988.0,988.0,988.0,988.0,0
2023-01-03 00:00:00,974.0,974.0,970.0,970.0,1000
2023-01-04 00:00:00,970.0,970.0,970.0,970.0,0
2023-01-05 00:00:00,990.0,990.0,990.0,990.0,500
2023-01-06 00:00:00,990.0,990.0,990.0,990.0,0
2023-01-09 00:00:00,990.0,990.0,990.0,990.0,0
2023-01-10 00:00:00,990.0,990.0,990.0,990.0,0
2023-01-11 00:00:00,990.0,990.0,990.0,990.0,0
2023-01-12 00:00:00,990.0,990.0,990.0,990.0,0
2023-01-13 00:00:00,990.0,990.0,990.0,990.0,0
2023-01-16 00:00:00,990.0,990.0,990.0,990.0,0
2023-01-17 00:00:00,986.0,986.0,986.0,986.0,500
2023-01-18 00:00:00,986.0,986.0,986.0,986.0,0
2023-01-19 00:00:00,986.0,986.0,986.0,986.0,0
2023-01-20 00:00:00,986.0,986.0,986.0,986.0,0
2023-01-24 00:00:00,986.0,986.0,986.0,986.0,0
2023-01-25 00:00:00,986.0,986.0,986.0,986.0,0
2023-01-26 00:00:00,986.0,986.0,986.0,986.0,0
2023-01-27 00:00:00,986.0,986.0,986.0,986.0,0
2023-01-30 00:00:00,986.0,986.0,986.0,986.0,0
2023-01-31 00:00:00,980.0,980.0,980.0,980.0,5000
2023-02-01 00:00:00,980.0,980.0,980.0,980.0,0
2023-02-02 00:00:00,980.0,980.0,980.0,980.0,0
2023-02-03 00:00:00,980.0,980.0,980.0,980.0,0
2023-02-06 00:00:00,960.0,976.0,960.0,976.0,1000
