Date,Open,High,Low,Close,Volume
2022-05-20 00:00:00,83.0,85.0,83.0,84.0,12575400
2022-05-23 00:00:00,84.0,88.0,84.0,85.0,60025400
2022-05-24 00:00:00,85.0,86.0,83.0,83.0,26582900
2022-05-25 00:00:00,84.0,85.0,83.0,83.0,22309000
2022-05-27 00:00:00,85.0,86.0,83.0,84.0,35682200
2022-05-30 00:00:00,92.0,94.0,86.0,88.0,171618800
2022-05-31 00:00:00,88.0,91.0,88.0,89.0,30224400
2022-06-02 00:00:00,89.0,93.0,89.0,91.0,56777600
2022-06-03 00:00:00,91.0,97.0,89.0,97.0,297404600
2022-06-06 00:00:00,98.0,101.0,95.0,96.0,283432600
2022-06-07 00:00:00,96.0,98.0,92.0,94.0,61947800
2022-06-08 00:00:00,95.0,96.0,90.0,93.0,156377100
2022-06-09 00:00:00,93.0,95.0,92.0,92.0,48511500
2022-06-10 00:00:00,93.0,94.0,90.0,90.0,60325800
2022-06-13 00:00:00,89.0,90.0,86.0,87.0,52485200
2022-06-14 00:00:00,85.0,90.0,85.0,87.0,68041700
2022-06-15 00:00:00,87.0,89.0,86.0,86.0,44290500
2022-06-16 00:00:00,87.0,91.0,85.0,87.0,88013900
2022-06-17 00:00:00,87.0,88.0,85.0,86.0,29632200
2022-06-20 00:00:00,86.0,88.0,85.0,86.0,32208200
2022-06-21 00:00:00,88.0,91.0,86.0,89.0,63001700
2022-06-22 00:00:00,91.0,91.0,87.0,88.0,42251700
2022-06-23 00:00:00,88.0,89.0,87.0,87.0,18023500
2022-06-24 00:00:00,89.0,89.0,87.0,89.0,14309100
2022-06-27 00:00:00,90.0,91.0,87.0,89.0,31035200
2022-06-28 00:00:00,89.0,90.0,87.0,88.0,17088900
2022-06-29 00:00:00,88.0,89.0,87.0,87.0,90191400
2022-06-30 00:00:00,88.0,88.0,86.0,86.0,38977000
2022-07-01 00:00:00,86.0,87.0,84.0,84.0,38368800
2022-07-04 00:00:00,84.0,86.0,82.0,85.0,27643200
2022-07-05 00:00:00,90.0,90.0,84.0,86.0,17418900
2022-07-06 00:00:00,86.0,87.0,84.0,85.0,15927500
2022-07-07 00:00:00,85.0,87.0,84.0,85.0,24739200
2022-07-08 00:00:00,86.0,86.0,84.0,85.0,14048400
2022-07-11 00:00:00,86.0,99.0,86.0,96.0,646871600
2022-07-12 00:00:00,96.0,97.0,90.0,90.0,214842000
2022-07-13 00:00:00,90.0,93.0,88.0,88.0,51547200
2022-07-14 00:00:00,87.0,91.0,85.0,88.0,47322200
2022-07-15 00:00:00,88.0,89.0,86.0,86.0,42706900
2022-07-18 00:00:00,87.0,88.0,86.0,87.0,24020600
2022-07-19 00:00:00,87.0,91.0,86.0,88.0,66226500
2022-07-20 00:00:00,89.0,91.0,88.0,89.0,49018600
2022-07-21 00:00:00,90.0,90.0,88.0,89.0,20324200
2022-07-22 00:00:00,89.0,92.0,89.0,90.0,60047200
2022-07-25 00:00:00,90.0,92.0,89.0,90.0,32083200
2022-07-26 00:00:00,90.0,92.0,89.0,89.0,36449400
2022-07-27 00:00:00,89.0,90.0,88.0,89.0,29599700
2022-07-28 00:00:00,90.0,96.0,89.0,93.0,206275400
2022-07-29 00:00:00,93.0,97.0,92.0,93.0,170085400
2022-08-01 00:00:00,94.0,95.0,91.0,91.0,39337100
2022-08-02 00:00:00,91.0,92.0,88.0,89.0,139648700
2022-08-03 00:00:00,89.0,90.0,87.0,88.0,47462300
2022-08-04 00:00:00,88.0,90.0,88.0,89.0,41408700
2022-08-05 00:00:00,90.0,90.0,88.0,89.0,27141400
