date,open,high,low,close,volume
2022-07-04,194.0,195.0,186.0,195.0,29800
2022-07-05,194.0,195.0,192.0,195.0,3300
2022-07-06,195.0,200.0,192.0,192.0,100800
2022-07-07,199.0,199.0,192.0,192.0,2000
2022-07-08,192.0,198.0,192.0,197.0,700
2022-07-11,197.0,198.0,196.0,197.0,8000
2022-07-12,198.0,198.0,192.0,198.0,5800
2022-07-13,198.0,198.0,198.0,198.0,500
2022-07-14,198.0,198.0,193.0,196.0,1600
2022-07-15,196.0,196.0,193.0,193.0,3700
2022-07-18,196.0,196.0,192.0,192.0,1700
2022-07-19,192.0,194.0,191.0,191.0,6900
2022-07-20,193.0,193.0,191.0,192.0,4800
2022-07-21,192.0,195.0,190.0,195.0,8600
2022-07-22,195.0,195.0,195.0,195.0,200
2022-07-25,195.0,195.0,195.0,195.0,0
2022-07-26,195.0,262.0,195.0,246.0,268300
2022-07-27,238.0,240.0,230.0,230.0,242900
2022-07-28,230.0,230.0,214.0,214.0,88800
2022-07-29,212.0,246.0,200.0,232.0,272200
2022-08-01,216.0,216.0,216.0,216.0,10700
2022-08-02,212.0,212.0,202.0,202.0,178800
2022-08-03,195.0,216.0,192.0,210.0,10900
2022-08-04,210.0,210.0,200.0,210.0,35100
2022-08-05,198.0,210.0,198.0,210.0,13900
2022-08-08,208.0,210.0,206.0,208.0,2600
2022-08-09,208.0,208.0,202.0,204.0,4700
2022-08-10,202.0,202.0,200.0,200.0,20400
2022-08-11,200.0,200.0,198.0,200.0,26800
2022-08-12,200.0,200.0,198.0,200.0,14700
2022-08-15,198.0,200.0,195.0,195.0,41000
2022-08-16,196.0,196.0,192.0,192.0,25100
2022-08-18,194.0,195.0,193.0,195.0,4500
2022-08-19,195.0,196.0,193.0,194.0,13700
2022-08-22,194.0,197.0,192.0,193.0,36300
2022-08-23,194.0,194.0,191.0,194.0,8000
2022-08-24,194.0,194.0,181.0,194.0,12700
2022-08-25,194.0,194.0,190.0,191.0,26600
2022-08-26,191.0,193.0,189.0,191.0,37200
2022-08-29,191.0,191.0,191.0,191.0,20400
2022-08-30,190.0,190.0,187.0,187.0,195100
2022-08-31,190.0,190.0,190.0,190.0,49500
2022-09-01,190.0,191.0,186.0,191.0,6900
2022-09-02,190.0,190.0,185.0,187.0,55000
2022-09-05,190.0,224.0,187.0,208.0,181800
2022-09-06,206.0,206.0,194.0,194.0,131200
2022-09-07,194.0,194.0,187.0,187.0,204500
2022-09-08,189.0,190.0,187.0,189.0,64200
2022-09-09,190.0,190.0,187.0,187.0,28400
2022-09-12,187.0,188.0,187.0,188.0,16200
2022-09-13,188.0,190.0,187.0,190.0,32800
2022-09-14,190.0,190.0,187.0,187.0,33000
2022-09-15,190.0,190.0,186.0,186.0,11500
2022-09-16,186.0,187.0,186.0,186.0,36200
2022-09-19,186.0,186.0,173.0,182.0,47700
2022-09-20,182.0,186.0,177.0,177.0,3500
2022-09-21,182.0,200.0,176.0,191.0,114600
2022-09-22,191.0,191.0,184.0,184.0,10100
2022-09-23,184.0,187.0,172.0,181.0,27500
2022-09-26,181.0,181.0,171.0,180.0,53100
2022-09-27,176.0,180.0,176.0,179.0,39500
2022-09-28,180.0,180.0,176.0,180.0,9900
2022-09-29,180.0,185.0,174.0,181.0,3600
2022-09-30,176.0,195.0,176.0,181.0,5200
2022-10-03,178.0,181.0,178.0,181.0,3700
2022-10-04,181.0,181.0,170.0,179.0,45400
2022-10-05,178.0,183.0,178.0,178.0,7700
2022-10-06,183.0,183.0,178.0,183.0,5900
2022-10-07,183.0,185.0,183.0,183.0,2200
2022-10-10,183.0,195.0,183.0,193.0,4300
2022-10-11,193.0,193.0,180.0,189.0,43000
2022-10-12,183.0,188.0,183.0,188.0,600
2022-10-13,188.0,195.0,183.0,188.0,14300
2022-10-14,187.0,188.0,181.0,185.0,34000
2022-10-17,185.0,191.0,173.0,184.0,103700
2022-10-18,175.0,187.0,172.0,184.0,128800
2022-10-19,178.0,193.0,173.0,184.0,97900
2022-10-20,175.0,184.0,172.0,180.0,83000
2022-10-21,180.0,182.0,176.0,177.0,11100
2022-10-24,178.0,198.0,175.0,190.0,40000
2022-10-25,189.0,189.0,177.0,178.0,103300
2022-10-26,185.0,185.0,179.0,180.0,44600
2022-10-27,183.0,200.0,179.0,181.0,48900
2022-10-28,180.0,181.0,179.0,181.0,2800
2022-10-31,181.0,181.0,181.0,181.0,100
2022-11-01,180.0,180.0,176.0,177.0,8100
2022-11-02,176.0,176.0,175.0,175.0,44800
2022-11-03,175.0,187.0,175.0,177.0,27000
2022-11-04,177.0,182.0,175.0,181.0,57800
2022-11-07,181.0,185.0,180.0,185.0,12200
2022-11-08,185.0,185.0,184.0,184.0,200
2022-11-09,180.0,200.0,178.0,181.0,55300
2022-11-10,181.0,183.0,178.0,178.0,7000
2022-11-11,178.0,185.0,178.0,180.0,3500
2022-11-14,186.0,187.0,179.0,179.0,3700
2022-11-15,179.0,179.0,179.0,179.0,8500
2022-11-16,179.0,185.0,175.0,179.0,185400
2022-11-17,179.0,179.0,179.0,179.0,2000
2022-11-18,179.0,179.0,179.0,179.0,900
2022-11-21,183.0,183.0,182.0,182.0,600
2022-11-22,183.0,197.0,180.0,180.0,18300
2022-11-23,187.0,216.0,179.0,185.0,64600
2022-11-24,185.0,195.0,183.0,185.0,44900
2022-11-25,187.0,200.0,182.0,183.0,19700
2022-11-28,173.0,208.0,171.0,206.0,84700
2022-11-29,200.0,200.0,192.0,192.0,14400
2022-11-30,181.0,200.0,181.0,194.0,13100
2022-12-01,194.0,194.0,181.0,182.0,56900
2022-12-02,182.0,191.0,182.0,189.0,65600
2022-12-05,189.0,189.0,189.0,189.0,0
2022-12-06,188.0,188.0,176.0,187.0,68200
2022-12-07,186.0,186.0,181.0,186.0,1400
2022-12-08,186.0,186.0,186.0,186.0,0
2022-12-09,174.0,200.0,173.0,189.0,25200
2022-12-12,189.0,193.0,187.0,187.0,11600
2022-12-13,188.0,200.0,182.0,189.0,31200
2022-12-14,189.0,189.0,176.0,189.0,26200
2022-12-15,198.0,198.0,181.0,189.0,7500
2022-12-16,189.0,189.0,189.0,189.0,0
2022-12-19,183.0,187.0,181.0,187.0,4200
2022-12-20,187.0,187.0,187.0,187.0,0
2022-12-21,187.0,187.0,180.0,186.0,3400
