date,open,high,low,close,volume
2022-07-04,6000.0,6175.0,5800.0,5900.0,619500
2022-07-05,6000.0,6500.0,6000.0,6475.0,325200
2022-07-06,6500.0,6500.0,6175.0,6300.0,245400
2022-07-07,6300.0,6350.0,6175.0,6300.0,196100
2022-07-08,6300.0,6525.0,6300.0,6400.0,264700
2022-07-11,6475.0,6600.0,6250.0,6600.0,184800
2022-07-12,6600.0,6725.0,6400.0,6600.0,239400
2022-07-13,6650.0,6750.0,6325.0,6375.0,267300
2022-07-14,6425.0,6500.0,6300.0,6450.0,144200
2022-07-15,6450.0,6450.0,6325.0,6350.0,188600
2022-07-18,6200.0,6400.0,6100.0,6250.0,211800
2022-07-19,6250.0,6450.0,6225.0,6400.0,138300
2022-07-20,6475.0,6600.0,6475.0,6575.0,132600
2022-07-21,6575.0,6650.0,6525.0,6550.0,91700
2022-07-22,6550.0,6725.0,6550.0,6675.0,239700
2022-07-25,6675.0,7050.0,6650.0,6925.0,337600
2022-07-26,6950.0,7150.0,6900.0,6975.0,369500
2022-07-27,7050.0,7375.0,6975.0,7300.0,465400
2022-07-28,7325.0,7400.0,7150.0,7325.0,412200
2022-07-29,7775.0,8400.0,7700.0,8100.0,1670100
2022-08-01,8150.0,8175.0,7950.0,8100.0,389800
2022-08-02,8125.0,8150.0,7775.0,8000.0,597100
2022-08-03,8025.0,8300.0,8000.0,8250.0,665600
2022-08-04,8250.0,8275.0,8100.0,8125.0,326700
2022-08-05,8000.0,8125.0,7900.0,8000.0,460700
2022-08-08,8000.0,8100.0,7850.0,7950.0,353600
2022-08-09,8000.0,8150.0,8000.0,8100.0,347700
2022-08-10,8200.0,8225.0,8100.0,8200.0,211200
2022-08-11,8250.0,8875.0,8125.0,8175.0,924000
2022-08-12,8175.0,8325.0,8100.0,8275.0,199300
2022-08-15,8275.0,8425.0,8200.0,8200.0,201500
2022-08-16,8200.0,8350.0,8050.0,8100.0,260100
2022-08-18,8125.0,8250.0,8100.0,8125.0,149400
2022-08-19,8150.0,8225.0,8125.0,8200.0,108800
2022-08-22,8200.0,8225.0,8075.0,8100.0,111700
2022-08-23,8050.0,8250.0,8000.0,8125.0,182000
2022-08-24,8125.0,8225.0,8100.0,8200.0,120100
2022-08-25,8200.0,8275.0,8100.0,8175.0,316400
2022-08-26,8175.0,8225.0,8125.0,8150.0,86100
2022-08-29,8175.0,8225.0,8075.0,8175.0,121000
2022-08-30,8175.0,8275.0,8175.0,8250.0,196500
2022-08-31,8250.0,8350.0,8175.0,8200.0,195600
2022-09-01,8200.0,8650.0,8200.0,8500.0,362500
2022-09-02,8525.0,8725.0,8475.0,8700.0,383600
2022-09-05,8725.0,8900.0,8700.0,8900.0,760400
2022-09-06,9000.0,9425.0,8900.0,9325.0,681500
2022-09-07,9325.0,9450.0,9075.0,9250.0,330900
2022-09-08,9250.0,9350.0,9025.0,9200.0,157800
2022-09-09,9225.0,9300.0,9100.0,9200.0,114400
2022-09-12,9200.0,9300.0,9150.0,9275.0,188900
2022-09-13,9700.0,10050.0,9475.0,9950.0,1337200
2022-09-14,10025.0,10650.0,10000.0,10650.0,2137900
2022-09-15,10750.0,11050.0,10700.0,10900.0,1728000
2022-09-16,10950.0,10950.0,10500.0,10750.0,792900
2022-09-19,10750.0,10750.0,10500.0,10550.0,731500
2022-09-20,10500.0,10625.0,10100.0,10325.0,869100
2022-09-21,10325.0,10475.0,10100.0,10400.0,1101500
2022-09-22,10050.0,10050.0,9675.0,9675.0,140100
2022-09-23,9100.0,9350.0,9000.0,9250.0,798500
2022-09-26,9200.0,9250.0,8800.0,8900.0,690000
2022-09-27,8925.0,9175.0,8900.0,9075.0,220200
2022-09-28,9125.0,9125.0,8900.0,8900.0,188600
2022-09-29,8925.0,9025.0,8675.0,8700.0,361500
2022-09-30,8700.0,8700.0,8275.0,8700.0,460200
2022-10-03,8700.0,9050.0,8700.0,9050.0,242700
2022-10-04,9050.0,9100.0,8925.0,8975.0,262800
2022-10-05,9000.0,9175.0,8975.0,9125.0,189200
2022-10-06,9100.0,9350.0,9025.0,9075.0,208400
2022-10-07,9075.0,9100.0,8950.0,9100.0,127700
2022-10-10,8800.0,8900.0,8700.0,8800.0,249100
2022-10-11,8800.0,8825.0,8625.0,8650.0,323800
2022-10-12,8700.0,8825.0,8500.0,8650.0,200200
2022-10-13,8800.0,8825.0,8700.0,8700.0,85600
2022-10-14,8775.0,8800.0,8600.0,8625.0,121400
2022-10-17,8625.0,8675.0,8475.0,8575.0,303500
2022-10-18,8575.0,8725.0,8550.0,8575.0,159300
2022-10-19,8575.0,8650.0,8500.0,8500.0,121300
2022-10-20,8500.0,8900.0,8500.0,8700.0,152000
2022-10-21,8700.0,8875.0,8650.0,8825.0,123800
2022-10-24,8825.0,8900.0,8750.0,8750.0,78500
2022-10-25,8850.0,8850.0,8600.0,8625.0,137300
2022-10-26,8625.0,8775.0,8600.0,8775.0,107500
2022-10-27,8700.0,8825.0,8700.0,8725.0,140100
2022-10-28,8800.0,8800.0,8600.0,8650.0,122800
2022-10-31,8700.0,8700.0,8050.0,8050.0,1862900
2022-11-01,8075.0,8075.0,7500.0,7525.0,1541100
2022-11-02,7550.0,7700.0,7500.0,7600.0,446300
2022-11-03,7650.0,7650.0,7500.0,7600.0,201500
2022-11-04,7625.0,7625.0,7425.0,7500.0,291300
2022-11-07,7500.0,7550.0,7200.0,7550.0,383700
2022-11-08,7550.0,7550.0,7225.0,7300.0,415400
2022-11-09,7275.0,7300.0,7125.0,7150.0,458200
2022-11-10,7150.0,7150.0,6675.0,6750.0,779100
2022-11-11,6750.0,6950.0,6650.0,6900.0,329900
2022-11-14,6900.0,6925.0,6700.0,6850.0,136200
2022-11-15,6850.0,7000.0,6800.0,6950.0,84900
2022-11-16,7000.0,7500.0,6975.0,7250.0,320000
2022-11-17,7400.0,7400.0,7025.0,7075.0,167200
2022-11-18,7075.0,7200.0,7025.0,7150.0,91700
2022-11-21,7175.0,7350.0,7100.0,7225.0,365000
2022-11-22,7250.0,7475.0,7225.0,7475.0,275100
2022-11-23,7500.0,7600.0,7425.0,7450.0,215000
2022-11-24,7450.0,7550.0,7375.0,7400.0,177500
2022-11-25,7400.0,7400.0,7200.0,7300.0,113700
2022-11-28,7300.0,7475.0,7300.0,7400.0,88500
2022-11-29,7450.0,7700.0,7400.0,7600.0,273800
2022-11-30,7650.0,7700.0,7600.0,7650.0,307700
2022-12-01,7650.0,7800.0,7650.0,7775.0,221800
2022-12-02,7775.0,7775.0,7450.0,7600.0,165800
2022-12-05,7675.0,7700.0,7425.0,7525.0,170400
2022-12-06,7525.0,7525.0,7350.0,7375.0,116100
2022-12-07,7450.0,7500.0,7350.0,7375.0,56000
2022-12-08,7400.0,7400.0,6975.0,7250.0,224000
2022-12-09,7250.0,7250.0,7025.0,7075.0,73900
2022-12-12,7075.0,7425.0,7025.0,7350.0,92100
2022-12-13,7350.0,7375.0,7225.0,7325.0,60000
2022-12-14,7325.0,7575.0,7300.0,7550.0,202500
2022-12-15,7575.0,7825.0,7550.0,7675.0,366800
2022-12-16,7675.0,7675.0,7475.0,7575.0,65500
2022-12-19,7575.0,7575.0,7425.0,7425.0,73200
2022-12-20,7425.0,7500.0,7300.0,7450.0,105600
2022-12-21,7450.0,7450.0,7300.0,7325.0,44100
2022-12-22,7325.0,7400.0,7250.0,7350.0,71700
2022-12-23,7325.0,7350.0,7200.0,7325.0,65400
2022-12-26,7350.0,7375.0,7225.0,7275.0,63000
2022-12-27,7400.0,7400.0,7225.0,7250.0,133200
2022-12-28,7250.0,7275.0,7200.0,7225.0,43800
2022-12-29,7200.0,7375.0,7150.0,7375.0,78400
2022-12-30,7425.0,7675.0,7275.0,7625.0,233200
2023-01-02,7575.0,7600.0,7425.0,7500.0,120100
2023-01-03,7550.0,7575.0,7400.0,7425.0,64400
