Date,Open,High,Low,Close,Volume
2023-04-18 00:00:00,77.0,85.0,71.0,71.0,93380700
2023-04-26 00:00:00,64.0,64.0,64.0,64.0,102371600
2023-04-27 00:00:00,58.0,58.0,58.0,58.0,75101100
2023-04-28 00:00:00,53.0,53.0,53.0,53.0,67718700
2023-05-02 00:00:00,48.0,58.0,48.0,54.0,341016400
2023-05-03 00:00:00,54.0,55.0,51.0,52.0,30631900
2023-05-04 00:00:00,52.0,53.0,48.0,50.0,22299200
2023-05-05 00:00:00,49.0,51.0,45.0,50.0,63156800
2023-05-08 00:00:00,50.0,51.0,46.0,50.0,22380700
2023-05-09 00:00:00,48.0,50.0,48.0,50.0,9923800
2023-05-10 00:00:00,49.0,50.0,48.0,50.0,10065900
2023-05-11 00:00:00,50.0,50.0,48.0,50.0,10621700
2023-05-12 00:00:00,50.0,50.0,48.0,50.0,8223300
2023-05-15 00:00:00,49.0,50.0,47.0,47.0,12392900
2023-05-16 00:00:00,47.0,48.0,43.0,43.0,15930300
2023-05-17 00:00:00,42.0,44.0,39.0,43.0,23897800
2023-05-19 00:00:00,43.0,43.0,39.0,39.0,9553000
2023-05-22 00:00:00,39.0,42.0,36.0,42.0,85423700
2023-05-23 00:00:00,44.0,46.0,43.0,46.0,3588600
2023-05-24 00:00:00,50.0,50.0,49.0,50.0,7993800
2023-05-25 00:00:00,51.0,55.0,45.0,47.0,37908100
2023-05-26 00:00:00,46.0,51.0,44.0,49.0,40277100
2023-05-29 00:00:00,49.0,49.0,46.0,46.0,4176200
2023-05-30 00:00:00,44.0,48.0,43.0,45.0,3379600
2023-05-31 00:00:00,45.0,45.0,42.0,44.0,3914900
2023-06-05 00:00:00,44.0,45.0,42.0,43.0,1968300
2023-06-06 00:00:00,43.0,45.0,42.0,43.0,958600
2023-06-07 00:00:00,44.0,46.0,42.0,44.0,3066000
2023-06-08 00:00:00,44.0,45.0,43.0,43.0,983700
2023-06-09 00:00:00,43.0,45.0,43.0,43.0,2081000
2023-06-12 00:00:00,44.0,44.0,42.0,43.0,2907500
2023-06-13 00:00:00,43.0,47.0,43.0,47.0,7936100
2023-06-14 00:00:00,48.0,51.0,47.0,51.0,7376800
2023-06-15 00:00:00,52.0,56.0,52.0,56.0,16890900
2023-06-16 00:00:00,58.0,61.0,51.0,51.0,27826300
2023-06-19 00:00:00,51.0,53.0,46.0,50.0,9979800
2023-06-20 00:00:00,50.0,52.0,49.0,49.0,1018900
2023-06-21 00:00:00,49.0,50.0,47.0,49.0,1247500
2023-06-22 00:00:00,49.0,51.0,48.0,49.0,6516900
2023-06-23 00:00:00,49.0,50.0,46.0,47.0,2480600
2023-06-26 00:00:00,47.0,51.0,43.0,46.0,6338100
2023-06-27 00:00:00,47.0,48.0,45.0,46.0,779500
