date,open,high,low,close,volume
2022-07-04,895.0,895.0,855.0,885.0,5357900
2022-07-05,885.0,900.0,885.0,895.0,5091300
2022-07-06,895.0,905.0,890.0,895.0,3590800
2022-07-07,890.0,905.0,870.0,890.0,6502200
2022-07-08,890.0,900.0,885.0,890.0,3523000
2022-07-11,890.0,895.0,885.0,885.0,4201900
2022-07-12,890.0,895.0,880.0,885.0,3325000
2022-07-13,885.0,895.0,880.0,890.0,4249900
2022-07-14,885.0,890.0,880.0,890.0,4398500
2022-07-15,890.0,890.0,870.0,890.0,4215400
2022-07-18,890.0,890.0,880.0,890.0,3681700
2022-07-19,890.0,905.0,885.0,890.0,4754300
2022-07-20,890.0,905.0,875.0,895.0,8532500
2022-07-21,895.0,920.0,895.0,905.0,7610400
2022-07-22,905.0,930.0,895.0,910.0,10247100
2022-07-25,910.0,915.0,885.0,895.0,5708000
2022-07-26,875.0,900.0,875.0,895.0,4496800
2022-07-27,895.0,895.0,870.0,890.0,6104100
2022-07-28,890.0,895.0,870.0,890.0,3586200
2022-07-29,890.0,900.0,875.0,880.0,2541900
2022-08-01,880.0,900.0,880.0,890.0,3908100
2022-08-02,890.0,900.0,885.0,895.0,3807000
2022-08-03,890.0,910.0,885.0,895.0,3539100
2022-08-04,895.0,910.0,895.0,905.0,7498200
2022-08-05,905.0,915.0,900.0,910.0,4302300
2022-08-08,910.0,920.0,900.0,900.0,3210900
2022-08-09,900.0,920.0,895.0,905.0,5035800
2022-08-10,905.0,910.0,905.0,905.0,4244400
2022-08-11,905.0,920.0,905.0,920.0,3632100
2022-08-12,920.0,920.0,905.0,915.0,4408900
2022-08-15,915.0,920.0,905.0,910.0,3797900
2022-08-16,910.0,920.0,900.0,905.0,3617900
2022-08-18,905.0,920.0,900.0,900.0,4328600
2022-08-19,900.0,910.0,890.0,900.0,4500900
2022-08-22,900.0,905.0,885.0,900.0,4024100
2022-08-23,900.0,905.0,885.0,905.0,4161600
2022-08-24,905.0,910.0,885.0,895.0,2573300
2022-08-25,895.0,895.0,875.0,875.0,3924600
2022-08-26,875.0,880.0,850.0,870.0,4773400
2022-08-29,870.0,875.0,855.0,870.0,5200600
2022-08-30,870.0,875.0,860.0,875.0,4441000
2022-08-31,875.0,875.0,860.0,875.0,2413600
2022-09-01,875.0,875.0,855.0,860.0,2760500
2022-09-02,865.0,875.0,850.0,860.0,1808700
2022-09-05,860.0,860.0,840.0,850.0,2911400
2022-09-06,845.0,845.0,820.0,840.0,4005600
2022-09-07,835.0,840.0,815.0,835.0,4601400
2022-09-08,830.0,840.0,805.0,840.0,3783000
2022-09-09,840.0,845.0,815.0,845.0,3618000
2022-09-12,845.0,845.0,820.0,830.0,3416800
2022-09-13,830.0,840.0,830.0,835.0,3442900
2022-09-14,835.0,850.0,825.0,840.0,2673500
2022-09-15,840.0,845.0,820.0,840.0,4382600
2022-09-16,845.0,845.0,835.0,845.0,3014600
2022-09-19,850.0,855.0,825.0,845.0,3542100
2022-09-20,850.0,850.0,825.0,845.0,4690900
2022-09-21,845.0,850.0,835.0,850.0,5487800
2022-09-22,855.0,870.0,825.0,845.0,5725800
2022-09-23,845.0,850.0,825.0,845.0,6100900
2022-09-26,850.0,850.0,830.0,830.0,4968300
2022-09-27,830.0,860.0,825.0,860.0,12523400
2022-09-28,865.0,865.0,835.0,840.0,5328200
2022-09-29,840.0,845.0,830.0,830.0,6465000
2022-09-30,835.0,845.0,825.0,835.0,4463900
2022-10-03,840.0,840.0,815.0,820.0,3608300
2022-10-04,820.0,825.0,800.0,820.0,3657800
2022-10-05,820.0,825.0,795.0,805.0,4071100
2022-10-06,815.0,820.0,785.0,820.0,6098100
2022-10-07,815.0,820.0,790.0,795.0,3385000
2022-10-10,795.0,825.0,790.0,825.0,5592700
2022-10-11,820.0,840.0,800.0,840.0,3148000
2022-10-12,840.0,845.0,795.0,840.0,5809100
2022-10-13,840.0,840.0,815.0,825.0,4049700
2022-10-14,820.0,820.0,805.0,815.0,3540500
2022-10-17,815.0,820.0,810.0,820.0,3346600
2022-10-18,820.0,820.0,795.0,815.0,3903700
2022-10-19,815.0,815.0,795.0,810.0,3592700
2022-10-20,810.0,810.0,790.0,800.0,4157800
2022-10-21,800.0,800.0,780.0,795.0,3686400
2022-10-24,795.0,795.0,785.0,790.0,3802000
2022-10-25,790.0,800.0,770.0,800.0,4250200
2022-10-26,805.0,805.0,775.0,800.0,4954600
2022-10-27,800.0,800.0,785.0,795.0,3458100
2022-10-28,795.0,800.0,780.0,800.0,3380300
2022-10-31,800.0,815.0,780.0,800.0,5110200
2022-11-01,800.0,805.0,780.0,800.0,4568900
2022-11-02,800.0,810.0,780.0,810.0,4514200
2022-11-03,815.0,815.0,785.0,790.0,3886500
2022-11-04,785.0,785.0,765.0,780.0,5134900
2022-11-07,780.0,780.0,755.0,770.0,4679000
2022-11-08,770.0,775.0,750.0,775.0,5065900
2022-11-09,770.0,770.0,760.0,770.0,4302700
2022-11-10,770.0,780.0,750.0,780.0,5371000
2022-11-11,780.0,795.0,770.0,795.0,7412000
2022-11-14,795.0,815.0,785.0,810.0,9732300
2022-11-15,810.0,825.0,795.0,815.0,7368000
2022-11-16,810.0,815.0,790.0,805.0,4836400
2022-11-17,805.0,805.0,785.0,805.0,8745400
2022-11-18,805.0,805.0,775.0,795.0,9688400
2022-11-21,795.0,845.0,795.0,845.0,21186400
2022-11-22,850.0,850.0,805.0,815.0,9720000
2022-11-23,815.0,815.0,790.0,805.0,7084500
2022-11-24,805.0,810.0,785.0,810.0,12296700
2022-11-25,810.0,845.0,805.0,830.0,10595100
2022-11-28,830.0,850.0,830.0,845.0,8488400
2022-11-29,845.0,860.0,840.0,855.0,5415300
2022-11-30,855.0,870.0,835.0,860.0,6859600
2022-12-01,860.0,860.0,840.0,840.0,3856100
2022-12-02,840.0,855.0,835.0,840.0,5287100
2022-12-05,840.0,855.0,820.0,850.0,12809200
2022-12-06,850.0,855.0,820.0,825.0,12977000
2022-12-07,825.0,830.0,795.0,800.0,7240800
2022-12-08,800.0,815.0,770.0,805.0,11604300
2022-12-09,805.0,810.0,795.0,800.0,6928400
2022-12-12,800.0,800.0,780.0,790.0,9918800
2022-12-13,790.0,800.0,780.0,790.0,7529600
2022-12-14,790.0,790.0,770.0,785.0,9081100
2022-12-15,785.0,785.0,760.0,775.0,8692800
2022-12-16,775.0,795.0,775.0,785.0,6542400
2022-12-19,785.0,805.0,775.0,795.0,11199100
2022-12-20,790.0,805.0,780.0,805.0,6427300
2022-12-21,805.0,810.0,790.0,800.0,5741900
2022-12-22,800.0,810.0,785.0,805.0,6016600
2022-12-23,805.0,810.0,795.0,810.0,5790300
2022-12-26,810.0,825.0,805.0,825.0,7020700
2022-12-27,825.0,840.0,820.0,840.0,6785500
2022-12-28,840.0,840.0,820.0,835.0,6538400
2022-12-29,830.0,835.0,820.0,830.0,5832300
2022-12-30,825.0,845.0,820.0,845.0,7156400
2023-01-02,845.0,850.0,825.0,840.0,6256100
2023-01-03,840.0,855.0,825.0,855.0,16156100
2023-01-04,855.0,855.0,820.0,845.0,6445600
2023-01-05,850.0,850.0,800.0,800.0,5845500
2023-01-06,800.0,800.0,785.0,790.0,3949400
2023-01-09,790.0,800.0,770.0,800.0,6861700
2023-01-10,800.0,800.0,775.0,800.0,3376500
2023-01-11,800.0,805.0,785.0,790.0,4373100
2023-01-12,790.0,795.0,765.0,775.0,5789000
2023-01-13,775.0,775.0,760.0,770.0,4873900
2023-01-16,770.0,790.0,770.0,790.0,5269100
2023-01-17,790.0,800.0,780.0,790.0,4469300
2023-01-18,790.0,800.0,770.0,785.0,5952800
2023-01-19,785.0,805.0,765.0,800.0,10121800
2023-01-20,800.0,825.0,780.0,820.0,13895900
2023-01-24,820.0,830.0,785.0,795.0,5468900
2023-01-25,795.0,795.0,770.0,785.0,6820100
2023-01-26,785.0,790.0,765.0,775.0,8230000
2023-01-27,775.0,785.0,760.0,785.0,10801600
2023-01-30,780.0,785.0,765.0,780.0,7112100
2023-01-31,780.0,800.0,765.0,780.0,16164300
2023-02-01,780.0,795.0,775.0,790.0,5479600
2023-02-02,790.0,825.0,785.0,825.0,14601900
2023-02-03,825.0,830.0,800.0,825.0,6757000
2023-02-06,825.0,825.0,805.0,820.0,6411500
2023-02-07,820.0,850.0,820.0,845.0,9735800
2023-02-08,845.0,845.0,825.0,840.0,3825300
2023-02-09,845.0,845.0,820.0,835.0,4727100
2023-02-10,835.0,840.0,815.0,835.0,6633600
2023-02-13,830.0,860.0,830.0,845.0,9381100
2023-02-14,845.0,850.0,840.0,850.0,4522700
2023-02-15,850.0,855.0,840.0,855.0,5102700
2023-02-16,855.0,865.0,845.0,860.0,5538600
2023-02-17,860.0,860.0,845.0,845.0,4351200
2023-02-20,845.0,860.0,830.0,855.0,7300400
2023-02-21,855.0,860.0,840.0,845.0,4879400
2023-02-22,845.0,855.0,825.0,840.0,8921700
2023-02-23,840.0,850.0,815.0,835.0,7124100
2023-02-24,835.0,865.0,825.0,860.0,6239200
2023-02-27,860.0,870.0,855.0,860.0,4157000
2023-02-28,860.0,865.0,850.0,860.0,5456800
2023-03-01,860.0,865.0,850.0,865.0,3887900
2023-03-02,865.0,880.0,865.0,870.0,5286000
2023-03-03,870.0,875.0,860.0,870.0,5202900
2023-03-06,870.0,875.0,855.0,870.0,5200000
2023-03-07,870.0,880.0,855.0,865.0,4627500
