date,open,high,low,close,volume
2022-07-04,9700.0,9700.0,9250.0,9250.0,77700
2022-07-05,9250.0,9575.0,9250.0,9400.0,13600
2022-07-06,9400.0,10000.0,9100.0,9300.0,86400
2022-07-07,9300.0,9650.0,9300.0,9350.0,23400
2022-07-08,9375.0,9675.0,9375.0,9575.0,8200
2022-07-11,9575.0,9600.0,9350.0,9475.0,13000
2022-07-12,9450.0,9500.0,9250.0,9325.0,31100
2022-07-13,9325.0,9350.0,9000.0,9275.0,67100
2022-07-14,9275.0,9475.0,9150.0,9400.0,15900
2022-07-15,9525.0,9525.0,9200.0,9475.0,12700
2022-07-18,9475.0,9650.0,8925.0,9200.0,40300
2022-07-19,9475.0,9475.0,8950.0,9075.0,74400
2022-07-20,9125.0,9200.0,9100.0,9175.0,34500
2022-07-21,9175.0,9325.0,9150.0,9150.0,13300
2022-07-22,9175.0,9200.0,9100.0,9150.0,15800
2022-07-25,9175.0,9425.0,9150.0,9375.0,9300
2022-07-26,9425.0,9425.0,9100.0,9200.0,29200
2022-07-27,9200.0,9250.0,9125.0,9175.0,31800
2022-07-28,9175.0,9250.0,9150.0,9175.0,39000
2022-07-29,9200.0,9450.0,9075.0,9450.0,200700
2022-08-01,9500.0,9500.0,9250.0,9300.0,35900
2022-08-02,9300.0,9400.0,9150.0,9200.0,16100
2022-08-03,9200.0,9200.0,9150.0,9175.0,15500
2022-08-04,9175.0,9250.0,9175.0,9250.0,3500
2022-08-05,9250.0,9275.0,9200.0,9200.0,13400
2022-08-08,9250.0,9400.0,9100.0,9200.0,114500
2022-08-09,9300.0,9350.0,9075.0,9200.0,124000
2022-08-10,9200.0,9275.0,9150.0,9200.0,7900
2022-08-11,9200.0,9300.0,9175.0,9275.0,12200
2022-08-12,9325.0,9325.0,9250.0,9275.0,18400
2022-08-15,9275.0,9325.0,9200.0,9300.0,39600
2022-08-16,9300.0,9300.0,9150.0,9200.0,64700
2022-08-18,9200.0,9400.0,9175.0,9250.0,56000
2022-08-19,9250.0,9250.0,9175.0,9225.0,46900
2022-08-22,9225.0,9300.0,9075.0,9100.0,58800
2022-08-23,9100.0,9125.0,9050.0,9125.0,24500
2022-08-24,9175.0,9200.0,9125.0,9125.0,14500
2022-08-25,9125.0,9150.0,9100.0,9150.0,21200
2022-08-26,9150.0,9200.0,9125.0,9150.0,14800
2022-08-29,9150.0,9200.0,9100.0,9150.0,43600
2022-08-30,9150.0,9150.0,9100.0,9150.0,39900
2022-08-31,9150.0,9250.0,9050.0,9225.0,48600
2022-09-01,9225.0,9225.0,9100.0,9225.0,163900
2022-09-02,9225.0,9225.0,9100.0,9175.0,102300
2022-09-05,9175.0,9175.0,9100.0,9175.0,53800
2022-09-06,9175.0,9175.0,9000.0,9100.0,52800
2022-09-07,9100.0,9125.0,9025.0,9025.0,54700
2022-09-08,9100.0,9100.0,9000.0,9025.0,76800
2022-09-09,9025.0,9050.0,9000.0,9025.0,29100
2022-09-12,9025.0,9050.0,8975.0,9000.0,31200
2022-09-13,9000.0,9050.0,8975.0,9000.0,91700
2022-09-14,9050.0,9050.0,8950.0,9025.0,28800
2022-09-15,9025.0,9050.0,8975.0,9000.0,51300
2022-09-16,9000.0,9000.0,8925.0,8925.0,47600
2022-09-19,8925.0,8975.0,8900.0,8900.0,18500
2022-09-20,8900.0,9000.0,8900.0,8900.0,53600
2022-09-21,8900.0,8900.0,8800.0,8850.0,37500
2022-09-22,8850.0,8900.0,8800.0,8850.0,202900
2022-09-23,8875.0,8925.0,8850.0,8925.0,38500
2022-09-26,8900.0,8900.0,8700.0,8825.0,58700
2022-09-27,8825.0,8875.0,8675.0,8825.0,87100
2022-09-28,8825.0,8875.0,8700.0,8725.0,17300
2022-09-29,8725.0,8850.0,8625.0,8625.0,42700
2022-09-30,8625.0,8625.0,8500.0,8625.0,104900
2022-10-03,8650.0,8775.0,8600.0,8600.0,23800
2022-10-04,8675.0,8675.0,8525.0,8650.0,98000
2022-10-05,8650.0,8700.0,8575.0,8650.0,19400
2022-10-06,8600.0,8650.0,8550.0,8600.0,21500
2022-10-07,8600.0,8650.0,8500.0,8625.0,97000
2022-10-10,8625.0,8625.0,8500.0,8600.0,27000
2022-10-11,8600.0,8625.0,8500.0,8600.0,62700
2022-10-12,8600.0,8750.0,8500.0,8600.0,39300
2022-10-13,8600.0,8600.0,8450.0,8575.0,12100
2022-10-14,8575.0,8575.0,8475.0,8500.0,32100
2022-10-17,8525.0,8525.0,8475.0,8500.0,17900
2022-10-18,8500.0,8575.0,8500.0,8575.0,41500
2022-10-19,8575.0,9000.0,8525.0,8600.0,182000
2022-10-20,8625.0,8675.0,8575.0,8625.0,16900
2022-10-21,8625.0,8725.0,8600.0,8650.0,59500
2022-10-24,8750.0,8750.0,8650.0,8725.0,56400
2022-10-25,8825.0,8875.0,8650.0,8725.0,23200
2022-10-26,8725.0,8900.0,8700.0,8775.0,170800
2022-10-27,8775.0,9100.0,8775.0,9100.0,172500
2022-10-28,9100.0,9200.0,8950.0,9125.0,199000
2022-10-31,9125.0,9925.0,9125.0,9325.0,166600
2022-11-01,9750.0,9800.0,9100.0,9300.0,109800
2022-11-02,9300.0,9300.0,9000.0,9050.0,39500
2022-11-03,9200.0,9200.0,8950.0,8950.0,67000
2022-11-04,8975.0,9100.0,8850.0,9075.0,277000
2022-11-07,9075.0,9300.0,9075.0,9200.0,58200
2022-11-08,9200.0,9250.0,9150.0,9150.0,6600
2022-11-09,9150.0,9375.0,9150.0,9250.0,17000
2022-11-10,9250.0,9250.0,9025.0,9100.0,62200
2022-11-11,9100.0,9200.0,9050.0,9075.0,16900
2022-11-14,9150.0,9150.0,9025.0,9050.0,18400
2022-11-15,9000.0,9025.0,8950.0,9000.0,48900
2022-11-16,9025.0,9150.0,9025.0,9100.0,57400
2022-11-17,9125.0,9200.0,9050.0,9100.0,28500
2022-11-18,9100.0,9100.0,9025.0,9100.0,7100
2022-11-21,9100.0,9100.0,9050.0,9100.0,41900
2022-11-22,9125.0,9125.0,8975.0,9100.0,49400
2022-11-23,9100.0,9125.0,9000.0,9125.0,13200
2022-11-24,9125.0,9150.0,9025.0,9100.0,52700
2022-11-25,9100.0,9150.0,9025.0,9125.0,13100
2022-11-28,9125.0,9175.0,9100.0,9125.0,7300
2022-11-29,9100.0,9150.0,9025.0,9150.0,22200
2022-11-30,9150.0,9225.0,9125.0,9200.0,36200
2022-12-01,9200.0,9225.0,9125.0,9200.0,106600
2022-12-02,9175.0,9200.0,9100.0,9200.0,35200
2022-12-05,9200.0,9350.0,9200.0,9350.0,55100
2022-12-06,9375.0,9375.0,9200.0,9250.0,43900
2022-12-07,9200.0,9225.0,9175.0,9200.0,72900
2022-12-08,9200.0,9200.0,9050.0,9150.0,34500
2022-12-09,9150.0,9175.0,9050.0,9050.0,96800
2022-12-12,9050.0,9075.0,9000.0,9050.0,96700
2022-12-13,9050.0,9050.0,8900.0,8975.0,214400
2022-12-14,8975.0,9025.0,8950.0,8950.0,84500
2022-12-15,8950.0,8950.0,8825.0,8875.0,203500
2022-12-16,8875.0,9000.0,8825.0,8900.0,50700
2022-12-19,8900.0,8900.0,8800.0,8850.0,36400
2022-12-20,8850.0,8875.0,8650.0,8650.0,110500
2022-12-21,8650.0,8650.0,8575.0,8575.0,268400
2022-12-22,8575.0,8850.0,8550.0,8725.0,23500
2022-12-23,8725.0,8975.0,8725.0,8925.0,30900
2022-12-26,8950.0,8950.0,8850.0,8925.0,19500
2022-12-27,8950.0,9000.0,8900.0,8900.0,95900
2022-12-28,9000.0,9000.0,8900.0,8925.0,14100
2022-12-29,8975.0,9000.0,8775.0,8800.0,20600
2022-12-30,8800.0,8950.0,8800.0,8950.0,31700
2023-01-02,8875.0,8950.0,8850.0,8850.0,3600
2023-01-03,8850.0,8950.0,8800.0,8875.0,59000
2023-01-04,8875.0,8925.0,8875.0,8875.0,152500
2023-01-05,8900.0,9000.0,8800.0,8950.0,61900
