date,open,high,low,close,volume
2022-07-04,190.0,195.0,180.0,180.0,64027600
2022-07-05,182.0,187.0,175.0,180.0,55769600
2022-07-06,180.0,182.0,171.0,175.0,27224300
2022-07-07,175.0,185.0,175.0,175.0,31556700
2022-07-08,175.0,186.0,174.0,182.0,45680900
2022-07-11,183.0,188.0,179.0,186.0,36161300
2022-07-12,188.0,200.0,185.0,194.0,97644100
2022-07-13,195.0,200.0,190.0,190.0,60034700
2022-07-14,189.0,190.0,177.0,179.0,48642000
2022-07-15,180.0,185.0,179.0,180.0,33417800
2022-07-18,182.0,193.0,181.0,185.0,51468800
2022-07-19,185.0,191.0,185.0,187.0,20589900
2022-07-20,187.0,204.0,187.0,204.0,108209300
2022-07-21,204.0,214.0,202.0,204.0,81041500
2022-07-22,206.0,218.0,200.0,210.0,65051300
2022-07-25,212.0,218.0,206.0,208.0,38181400
2022-07-26,210.0,224.0,204.0,220.0,106202500
2022-07-27,220.0,224.0,208.0,216.0,88079600
2022-07-28,218.0,226.0,216.0,220.0,52217600
2022-07-29,222.0,228.0,216.0,222.0,50799500
2022-08-01,220.0,228.0,216.0,218.0,29499800
2022-08-02,218.0,218.0,206.0,206.0,39380000
2022-08-03,206.0,216.0,206.0,208.0,31680800
2022-08-04,208.0,228.0,208.0,226.0,100604600
2022-08-05,226.0,248.0,226.0,230.0,162611600
2022-08-08,232.0,232.0,220.0,224.0,33464400
2022-08-09,224.0,232.0,222.0,226.0,36638300
2022-08-10,226.0,228.0,214.0,218.0,38671400
2022-08-11,218.0,226.0,210.0,216.0,54916500
2022-08-12,216.0,220.0,212.0,220.0,17663600
2022-08-15,222.0,222.0,214.0,214.0,36803600
2022-08-16,214.0,220.0,202.0,204.0,70640800
2022-08-18,206.0,210.0,202.0,208.0,24561300
2022-08-19,210.0,214.0,206.0,206.0,23126600
2022-08-22,204.0,206.0,192.0,192.0,84213500
2022-08-23,190.0,194.0,187.0,193.0,16703000
2022-08-24,194.0,195.0,187.0,188.0,28549400
2022-08-25,189.0,192.0,185.0,189.0,34314600
2022-08-26,190.0,191.0,176.0,180.0,72891600
2022-08-29,179.0,184.0,176.0,178.0,28056100
2022-08-30,180.0,192.0,178.0,190.0,58357000
2022-08-31,191.0,191.0,185.0,186.0,27929400
2022-09-01,186.0,186.0,182.0,184.0,17713500
2022-09-02,185.0,185.0,182.0,184.0,11920900
2022-09-05,184.0,186.0,181.0,182.0,28126100
2022-09-06,182.0,183.0,174.0,179.0,55965600
2022-09-07,179.0,185.0,179.0,181.0,28736300
2022-09-08,182.0,194.0,181.0,189.0,72655600
2022-09-09,191.0,192.0,185.0,185.0,19311800
2022-09-12,180.0,191.0,180.0,185.0,24769400
2022-09-13,187.0,188.0,182.0,185.0,15837000
2022-09-14,183.0,188.0,180.0,182.0,33425200
2022-09-15,184.0,187.0,181.0,182.0,23324000
2022-09-16,182.0,183.0,173.0,174.0,47876200
2022-09-19,174.0,179.0,169.0,171.0,33442700
2022-09-20,170.0,173.0,166.0,168.0,26926400
2022-09-21,168.0,168.0,159.0,160.0,27027100
2022-09-22,160.0,164.0,156.0,160.0,16905000
2022-09-23,161.0,166.0,159.0,161.0,28088000
2022-09-26,152.0,162.0,150.0,151.0,43844200
2022-09-27,151.0,155.0,144.0,154.0,36062900
2022-09-28,155.0,156.0,145.0,146.0,51365400
2022-09-29,148.0,150.0,139.0,140.0,40037400
2022-09-30,140.0,140.0,131.0,131.0,85354100
2022-10-03,131.0,136.0,130.0,133.0,26281500
2022-10-04,134.0,140.0,133.0,133.0,43463700
2022-10-05,134.0,141.0,134.0,137.0,54067600
2022-10-06,138.0,150.0,138.0,150.0,68529500
2022-10-07,152.0,152.0,143.0,147.0,67584000
2022-10-10,137.0,144.0,137.0,139.0,42766600
2022-10-11,139.0,140.0,133.0,133.0,24600200
2022-10-12,133.0,137.0,131.0,132.0,17723200
2022-10-13,133.0,134.0,123.0,125.0,39244600
2022-10-14,126.0,129.0,123.0,125.0,17710400
2022-10-17,125.0,126.0,119.0,125.0,23487600
