date,open,high,low,close,volume
2022-07-04,211.13,211.13,203.46,205.38,1793796
2022-07-05,205.38,207.29,203.46,207.29,844016
2022-07-06,209.21,209.21,203.46,203.46,1236224
2022-07-07,205.38,207.29,203.46,205.38,1041996
2022-07-08,207.29,207.29,203.46,205.38,932794
2022-07-11,205.38,205.38,203.46,205.38,1070234
2022-07-12,205.38,205.38,199.62,199.62,1393773
2022-07-13,199.62,199.62,195.78,197.7,918311
2022-07-14,195.78,197.7,191.94,193.86,2318024
2022-07-15,193.86,195.78,190.98,190.98,1526315
2022-07-18,190.98,190.98,188.1,188.1,1471715
2022-07-19,189.06,199.62,188.1,197.7,2422640
2022-07-20,201.54,214.97,199.62,213.05,5343564
2022-07-21,213.05,218.81,211.13,216.89,3423061
2022-07-22,218.81,236.09,213.05,234.17,13443103
2022-07-25,234.17,234.17,222.65,228.41,1614677
2022-07-26,222.65,230.33,216.89,220.73,1046372
2022-07-27,220.73,230.33,216.89,230.33,2819641
2022-07-28,230.33,238.0,224.57,236.09,10328785
2022-07-29,236.09,238.0,230.33,236.09,4073996
2022-08-01,236.09,238.0,230.33,236.09,3335846
2022-08-02,236.09,236.09,226.49,226.49,1686574
2022-08-03,226.49,226.49,211.13,218.81,3770671
2022-08-04,218.81,226.49,216.89,218.81,3460156
2022-08-05,216.89,218.81,211.13,218.81,1308642
2022-08-08,218.81,218.81,207.29,207.29,1881740
2022-08-09,207.29,209.21,205.38,207.29,1594358
2022-08-10,207.29,207.29,203.46,205.38,1198295
2022-08-11,203.46,216.89,203.46,211.13,2614993
2022-08-12,211.13,213.05,199.62,199.62,4341372
2022-08-15,201.54,203.46,197.7,199.62,3087955
2022-08-16,199.62,201.54,197.7,197.7,2008134
2022-08-18,197.7,199.62,195.78,197.7,1988545
2022-08-19,199.62,205.38,197.7,205.38,1976353
2022-08-22,205.38,209.21,199.62,207.29,6023674
2022-08-23,207.29,209.21,199.62,205.38,7187792
2022-08-24,205.38,209.21,201.54,205.38,5396705
2022-08-25,205.38,207.29,203.46,203.46,873922
2022-08-26,203.46,207.29,201.54,207.29,3928533
2022-08-29,207.29,207.29,201.54,205.38,7021594
2022-08-30,205.38,205.38,201.54,205.38,2772959
2022-08-31,205.38,205.38,201.54,205.38,3897690
2022-09-01,205.38,205.38,203.46,205.38,2311980
2022-09-02,205.38,205.38,201.54,203.46,2674178
2022-09-05,201.54,205.38,201.54,205.38,2696373
2022-09-06,203.46,205.38,203.46,203.46,2506417
2022-09-07,203.46,207.29,203.46,207.29,3288435
2022-09-08,207.29,214.97,205.38,214.97,7597609
2022-09-09,214.97,224.57,211.13,224.57,13053188
2022-09-12,224.57,239.92,222.65,234.17,23437512
2022-09-13,234.17,251.44,232.25,241.84,35709725
2022-09-14,236.09,238.0,228.41,234.17,6634701
2022-09-15,234.17,247.6,234.17,245.68,21265055
2022-09-16,243.76,243.76,236.09,236.09,4657618
2022-09-19,236.09,259.12,232.25,259.12,29804733
2022-09-20,261.04,272.55,253.36,253.36,24771059
2022-09-21,253.36,255.28,243.76,243.76,4575092
2022-09-22,245.68,257.2,239.92,257.2,8102144
2022-09-23,259.12,268.72,253.36,268.72,13820097
2022-09-26,268.72,270.63,259.12,259.12,5843097
2022-09-27,259.12,285.99,257.2,284.07,25357078
2022-09-28,284.07,291.75,278.31,278.31,17085192
2022-09-29,278.31,287.91,276.39,276.39,9257718
2022-09-30,276.39,278.31,266.8,270.63,4445571
2022-10-03,272.55,278.31,270.63,278.31,2742533
2022-10-04,278.31,293.67,276.39,287.91,13806343
2022-10-05,287.91,297.51,285.99,289.83,11149670
2022-10-06,289.83,289.83,282.15,282.15,3440775
2022-10-07,284.07,284.07,276.39,276.39,2255817
2022-10-10,278.31,278.31,270.63,270.63,3839963
2022-10-11,270.63,280.23,264.88,280.23,5352421
2022-10-12,280.23,284.07,276.39,282.15,10220001
2022-10-13,282.15,289.83,278.31,289.83,9772151
2022-10-14,289.83,299.43,282.15,282.15,12828638
2022-10-17,282.15,282.15,272.55,276.39,2996468
2022-10-18,276.39,285.99,274.47,278.31,4946667
2022-10-19,278.31,280.23,274.47,274.47,2128693
2022-10-20,276.39,280.23,274.47,280.23,1475674
2022-10-21,280.23,305.18,278.31,299.43,14062466
2022-10-24,299.43,309.02,297.51,307.1,10783825
2022-10-25,307.1,309.02,297.51,299.43,4201223
2022-10-26,299.43,305.18,297.51,297.51,2150054
2022-10-27,297.51,324.38,297.51,320.54,10989307
2022-10-28,320.54,330.14,318.62,328.22,5069831
2022-10-31,330.14,374.28,328.22,370.44,17711953
2022-11-01,370.44,381.96,351.25,358.93,15480310
2022-11-02,358.93,362.77,351.25,357.01,3790260
2022-11-03,357.01,358.93,351.25,351.25,4369714
2022-11-04,353.17,355.09,337.81,355.09,5801729
2022-11-07,355.09,355.09,332.05,335.89,7351177
2022-11-08,333.97,335.89,318.62,318.62,5937189
2022-11-09,318.62,326.3,318.62,326.3,2970939
2022-11-10,326.3,326.3,318.62,322.46,2616243
2022-11-11,326.3,345.49,326.3,345.49,7447666
2022-11-14,347.41,358.93,345.49,357.01,5087441
2022-11-15,357.01,366.6,353.17,364.68,7670341
2022-11-16,366.6,374.28,360.85,372.36,8371083
2022-11-17,372.36,399.23,370.44,389.64,9790073
2022-11-18,389.64,397.31,387.72,397.31,6649185
2022-11-21,397.31,404.99,393.48,399.23,6995857
2022-11-22,399.23,414.59,395.39,412.67,5747233
2022-11-23,412.67,420.35,410.75,412.67,3042941
2022-11-24,412.67,426.11,408.83,424.19,4866538
2022-11-25,424.19,426.11,420.35,420.35,2305937
2022-11-28,420.35,433.78,418.43,433.78,4482354
2022-11-29,433.78,439.54,431.86,437.62,1865068
2022-11-30,439.54,447.22,437.62,447.22,2371062
2022-12-01,447.22,454.9,447.22,451.06,2049918
2022-12-02,452.98,452.98,433.78,435.7,3780361
2022-12-05,435.7,435.7,406.91,406.91,5468603
2022-12-06,403.07,404.99,380.04,380.04,3680955
2022-12-07,378.12,380.04,355.09,362.77,1568829
