date,open,high,low,close,volume
2022-07-04,810.0,820.0,760.0,790.0,10776800
2022-07-05,790.0,830.0,775.0,815.0,3394200
2022-07-06,810.0,815.0,785.0,800.0,3440200
2022-07-07,800.0,835.0,780.0,830.0,4218200
2022-07-08,830.0,910.0,820.0,865.0,28232700
2022-07-11,865.0,875.0,840.0,870.0,4201200
2022-07-12,870.0,890.0,855.0,880.0,4327700
2022-07-13,850.0,890.0,850.0,870.0,8916800
2022-07-14,870.0,900.0,830.0,840.0,19508500
2022-07-15,840.0,865.0,810.0,825.0,5278700
2022-07-18,785.0,840.0,785.0,820.0,2403200
2022-07-19,820.0,850.0,820.0,840.0,2498800
2022-07-20,840.0,845.0,830.0,840.0,2472100
2022-07-21,835.0,870.0,830.0,870.0,3472200
2022-07-22,870.0,880.0,850.0,850.0,4296800
2022-07-25,855.0,855.0,820.0,830.0,5434300
2022-07-26,830.0,835.0,820.0,830.0,1736900
2022-07-27,830.0,835.0,800.0,820.0,7194200
2022-07-28,825.0,845.0,815.0,840.0,3555000
2022-07-29,840.0,855.0,830.0,835.0,3468400
2022-08-01,840.0,880.0,840.0,880.0,11537100
2022-08-02,885.0,905.0,860.0,875.0,8286300
2022-08-03,870.0,960.0,870.0,960.0,25764500
2022-08-04,965.0,1045.0,960.0,1030.0,27756400
2022-08-05,1030.0,1095.0,1015.0,1080.0,19081600
2022-08-08,1075.0,1095.0,1020.0,1040.0,9918600
2022-08-09,1050.0,1080.0,1030.0,1070.0,6002800
2022-08-10,1080.0,1235.0,1080.0,1230.0,37191400
2022-08-11,1230.0,1245.0,1160.0,1160.0,16005200
2022-08-12,1160.0,1220.0,1130.0,1175.0,14140800
2022-08-15,1175.0,1185.0,1095.0,1095.0,14926200
2022-08-16,1095.0,1110.0,1050.0,1070.0,7462500
2022-08-18,1070.0,1095.0,1040.0,1080.0,3795800
2022-08-19,1080.0,1110.0,1050.0,1065.0,4827200
2022-08-22,1070.0,1150.0,1020.0,1125.0,21616100
2022-08-23,1130.0,1150.0,1070.0,1125.0,23472900
2022-08-24,1120.0,1160.0,1115.0,1125.0,13633400
2022-08-25,1130.0,1145.0,1100.0,1125.0,9122000
2022-08-26,1105.0,1125.0,1070.0,1080.0,7599600
2022-08-29,1040.0,1090.0,1030.0,1075.0,4721300
2022-08-30,1075.0,1085.0,1055.0,1075.0,4212800
2022-08-31,1075.0,1130.0,1070.0,1090.0,14502300
2022-09-01,1105.0,1140.0,1085.0,1120.0,9378000
2022-09-02,1120.0,1195.0,1120.0,1160.0,25556700
2022-09-05,1160.0,1170.0,1120.0,1150.0,10207800
2022-09-06,1150.0,1170.0,1130.0,1145.0,8171900
2022-09-07,1145.0,1145.0,1080.0,1100.0,10841900
2022-09-08,1100.0,1140.0,1090.0,1125.0,4997000
2022-09-09,1125.0,1125.0,1100.0,1115.0,4501400
2022-09-12,1115.0,1130.0,1105.0,1115.0,3597000
2022-09-13,1115.0,1210.0,1115.0,1195.0,23380200
2022-09-14,1180.0,1350.0,1170.0,1310.0,37160800
2022-09-15,1310.0,1425.0,1305.0,1400.0,31619600
2022-09-16,1400.0,1470.0,1380.0,1400.0,20710400
2022-09-19,1400.0,1445.0,1305.0,1385.0,11713200
2022-09-20,1385.0,1420.0,1345.0,1370.0,8112400
2022-09-21,1370.0,1430.0,1355.0,1410.0,17734500
2022-09-22,1400.0,1420.0,1360.0,1360.0,13056100
2022-09-23,1365.0,1540.0,1365.0,1495.0,41510800
2022-09-26,1485.0,1495.0,1395.0,1395.0,48021500
2022-09-27,1395.0,1425.0,1355.0,1400.0,13252900
2022-09-28,1400.0,1435.0,1385.0,1405.0,19179400
2022-09-29,1405.0,1420.0,1310.0,1310.0,18078800
2022-09-30,1300.0,1325.0,1245.0,1315.0,10739300
2022-10-03,1315.0,1335.0,1275.0,1315.0,5182200
2022-10-04,1320.0,1360.0,1315.0,1335.0,4960300
2022-10-05,1340.0,1360.0,1300.0,1325.0,3173500
2022-10-06,1325.0,1410.0,1315.0,1400.0,15704500
2022-10-07,1405.0,1450.0,1360.0,1375.0,17821100
2022-10-10,1375.0,1415.0,1340.0,1395.0,9299000
2022-10-11,1395.0,1445.0,1375.0,1400.0,10433700
2022-10-12,1415.0,1415.0,1335.0,1400.0,11060000
2022-10-13,1400.0,1495.0,1390.0,1475.0,20877200
2022-10-14,1475.0,1625.0,1465.0,1615.0,36074500
2022-10-17,1605.0,1635.0,1575.0,1615.0,14151100
2022-10-18,1615.0,1625.0,1590.0,1600.0,6440300
2022-10-19,1610.0,1715.0,1585.0,1710.0,30945500
2022-10-20,1710.0,1720.0,1660.0,1695.0,14468400
2022-10-21,1680.0,1955.0,1680.0,1915.0,41921000
2022-10-24,1930.0,2130.0,1915.0,2070.0,51746200
2022-10-25,2090.0,2170.0,2010.0,2150.0,20919900
2022-10-26,2170.0,2210.0,2040.0,2130.0,23203300
2022-10-27,2130.0,2180.0,2060.0,2110.0,13761100
2022-10-28,2110.0,2170.0,1965.0,1965.0,35546900
2022-10-31,1950.0,1950.0,1830.0,1875.0,48503100
2022-11-01,1875.0,1975.0,1745.0,1745.0,33338000
2022-11-02,1705.0,1750.0,1625.0,1695.0,41154200
2022-11-03,1670.0,1765.0,1670.0,1715.0,17407200
2022-11-04,1715.0,1735.0,1595.0,1595.0,27217600
2022-11-07,1570.0,1610.0,1495.0,1540.0,18438900
2022-11-08,1540.0,1655.0,1540.0,1605.0,16292400
2022-11-09,1605.0,1610.0,1500.0,1560.0,14404300
2022-11-10,1550.0,1580.0,1505.0,1510.0,6786600
2022-11-11,1520.0,1565.0,1505.0,1525.0,6938400
2022-11-14,1525.0,1555.0,1420.0,1420.0,14123800
