date,open,high,low,close,volume
2022-07-04,940.0,990.0,940.0,990.0,300
2022-07-05,990.0,990.0,925.0,960.0,2800
2022-07-06,930.0,960.0,895.0,895.0,129700
2022-07-07,895.0,990.0,835.0,885.0,295300
2022-07-08,1050.0,1050.0,825.0,825.0,187000
2022-07-11,925.0,925.0,825.0,825.0,462700
2022-07-12,875.0,1000.0,825.0,825.0,837800
2022-07-13,875.0,875.0,805.0,825.0,460700
2022-07-14,870.0,870.0,795.0,825.0,447600
2022-07-15,870.0,870.0,800.0,800.0,641100
2022-07-18,825.0,825.0,800.0,800.0,586400
2022-07-19,825.0,825.0,805.0,810.0,682900
2022-07-20,815.0,815.0,795.0,810.0,728800
2022-07-21,820.0,820.0,795.0,795.0,537400
2022-07-22,820.0,820.0,795.0,805.0,1439300
2022-07-25,810.0,840.0,795.0,810.0,1609900
2022-07-26,815.0,815.0,795.0,810.0,948000
2022-07-27,810.0,810.0,795.0,800.0,1344800
2022-07-28,805.0,805.0,790.0,800.0,1211100
2022-07-29,805.0,820.0,795.0,810.0,1654400
2022-08-01,835.0,840.0,810.0,820.0,1841800
2022-08-02,820.0,825.0,800.0,800.0,1562900
2022-08-03,815.0,820.0,790.0,805.0,1863300
2022-08-04,820.0,820.0,805.0,810.0,1983100
2022-08-05,815.0,820.0,795.0,810.0,1463700
2022-08-08,810.0,815.0,805.0,810.0,1485000
2022-08-09,815.0,815.0,800.0,810.0,1795200
2022-08-10,810.0,815.0,805.0,810.0,1640600
2022-08-11,815.0,815.0,805.0,810.0,1729400
2022-08-12,810.0,810.0,795.0,810.0,1731100
2022-08-15,810.0,810.0,800.0,805.0,1796400
2022-08-16,805.0,845.0,800.0,840.0,3169500
2022-08-18,840.0,855.0,815.0,815.0,1999100
2022-08-19,815.0,830.0,815.0,825.0,2206400
2022-08-22,830.0,845.0,820.0,830.0,2183300
2022-08-23,835.0,840.0,815.0,820.0,2017000
2022-08-24,820.0,825.0,815.0,820.0,1818600
2022-08-25,825.0,825.0,820.0,820.0,1679600
2022-08-26,820.0,830.0,800.0,800.0,2156000
2022-08-29,800.0,815.0,800.0,800.0,1847000
2022-08-30,800.0,815.0,790.0,815.0,2036100
2022-08-31,815.0,815.0,795.0,800.0,1393600
2022-09-01,810.0,810.0,790.0,795.0,2006600
2022-09-02,810.0,820.0,800.0,800.0,2051700
2022-09-05,805.0,815.0,790.0,800.0,2652400
2022-09-06,800.0,805.0,795.0,800.0,2774000
2022-09-07,805.0,820.0,800.0,815.0,1602000
2022-09-08,820.0,820.0,800.0,815.0,1554900
2022-09-09,810.0,850.0,795.0,815.0,3986500
2022-09-12,875.0,895.0,830.0,850.0,2173600
2022-09-13,855.0,885.0,840.0,885.0,1635400
2022-09-14,885.0,885.0,850.0,860.0,1477000
2022-09-15,865.0,870.0,845.0,860.0,1520700
2022-09-16,865.0,880.0,850.0,875.0,1517400
2022-09-19,865.0,865.0,850.0,860.0,1333700
2022-09-20,860.0,875.0,860.0,865.0,1470600
2022-09-21,865.0,885.0,855.0,855.0,1682700
2022-09-22,865.0,875.0,850.0,850.0,1492700
2022-09-23,870.0,870.0,850.0,850.0,1081600
