date,open,high,low,close,volume
2022-07-04,1030.0,1030.0,1010.0,1030.0,21700
2022-07-05,1015.0,1030.0,1015.0,1030.0,20600
2022-07-06,1030.0,1030.0,1020.0,1030.0,31800
2022-07-07,1005.0,1030.0,1005.0,1030.0,2700
2022-07-08,1030.0,1030.0,1005.0,1030.0,22600
2022-07-11,1000.0,1030.0,1000.0,1030.0,127000
2022-07-12,1030.0,1075.0,1030.0,1045.0,487900
2022-07-13,1065.0,1065.0,1005.0,1045.0,68200
2022-07-14,1045.0,1065.0,1020.0,1045.0,99300
2022-07-15,1025.0,1045.0,1015.0,1030.0,123800
2022-07-18,1030.0,1045.0,1020.0,1035.0,37800
2022-07-19,1025.0,1050.0,1020.0,1020.0,101000
2022-07-20,1025.0,1030.0,1015.0,1020.0,31000
2022-07-21,1010.0,1020.0,1000.0,1020.0,105700
2022-07-22,1020.0,1045.0,1015.0,1045.0,114800
2022-07-25,1050.0,1050.0,1010.0,1015.0,83300
2022-07-26,1015.0,1035.0,1010.0,1015.0,111900
2022-07-27,1020.0,1025.0,1005.0,1020.0,47600
2022-07-28,1030.0,1030.0,1015.0,1020.0,58100
2022-07-29,1020.0,1035.0,1005.0,1020.0,19200
2022-08-01,1025.0,1025.0,1020.0,1020.0,8600
2022-08-02,1030.0,1030.0,1005.0,1015.0,45000
2022-08-03,1015.0,1020.0,1000.0,1020.0,42800
2022-08-04,1030.0,1035.0,1005.0,1025.0,44600
2022-08-05,1035.0,1035.0,1005.0,1015.0,22700
2022-08-08,1025.0,1030.0,1005.0,1030.0,12700
2022-08-09,1015.0,1025.0,1010.0,1020.0,58900
2022-08-10,1020.0,1025.0,1005.0,1025.0,46900
2022-08-11,1035.0,1035.0,1010.0,1025.0,7400
2022-08-12,1025.0,1025.0,1025.0,1025.0,1033600
2022-08-15,1030.0,1030.0,1000.0,1025.0,4500
2022-08-16,1020.0,1035.0,1000.0,1025.0,2089500
2022-08-18,1025.0,1030.0,1005.0,1025.0,1529600
2022-08-19,1025.0,1025.0,1010.0,1020.0,10800
2022-08-22,1045.0,1045.0,1015.0,1030.0,25400
2022-08-23,1030.0,1030.0,1015.0,1020.0,8300
2022-08-24,1020.0,1020.0,960.0,1000.0,398800
2022-08-25,1000.0,1005.0,1000.0,1000.0,25800
2022-08-26,1000.0,1000.0,980.0,980.0,168100
2022-08-29,980.0,995.0,980.0,980.0,26200
2022-08-30,985.0,985.0,970.0,980.0,15500
2022-08-31,980.0,990.0,980.0,980.0,27300
2022-09-01,980.0,1000.0,980.0,980.0,110300
2022-09-02,995.0,995.0,975.0,980.0,5300
2022-09-05,980.0,980.0,965.0,975.0,42200
2022-09-06,975.0,975.0,920.0,935.0,195100
2022-09-07,930.0,970.0,925.0,955.0,24100
2022-09-08,955.0,955.0,940.0,955.0,27100
2022-09-09,950.0,950.0,930.0,935.0,33900
2022-09-12,935.0,935.0,915.0,915.0,29800
2022-09-13,925.0,940.0,920.0,930.0,6600
2022-09-14,930.0,955.0,920.0,945.0,23200
2022-09-15,945.0,975.0,920.0,925.0,19700
2022-09-16,930.0,940.0,925.0,940.0,7600
2022-09-19,935.0,945.0,905.0,920.0,68300
2022-09-20,915.0,920.0,905.0,915.0,28200
2022-09-21,905.0,905.0,880.0,900.0,38100
2022-09-22,885.0,915.0,875.0,890.0,24400
2022-09-23,900.0,900.0,885.0,895.0,5000
2022-09-26,890.0,900.0,890.0,900.0,15800
2022-09-27,945.0,945.0,900.0,900.0,27500
2022-09-28,900.0,920.0,900.0,920.0,3800
2022-09-29,900.0,920.0,875.0,905.0,17300
2022-09-30,900.0,910.0,895.0,910.0,15200
2022-10-03,905.0,905.0,880.0,880.0,2800
2022-10-04,885.0,910.0,885.0,885.0,1300
2022-10-05,890.0,905.0,890.0,900.0,5400
2022-10-06,895.0,920.0,895.0,920.0,12500
2022-10-07,885.0,915.0,885.0,915.0,600
2022-10-10,915.0,915.0,870.0,905.0,10900
2022-10-11,905.0,905.0,905.0,905.0,0
2022-10-12,900.0,900.0,895.0,900.0,5700
2022-10-13,895.0,900.0,895.0,900.0,1000
2022-10-14,895.0,895.0,875.0,875.0,3300
2022-10-17,875.0,895.0,875.0,895.0,20300
2022-10-18,895.0,895.0,890.0,895.0,7500
2022-10-19,850.0,895.0,850.0,885.0,5500
2022-10-20,880.0,885.0,865.0,885.0,9800
2022-10-21,875.0,900.0,875.0,885.0,13000
2022-10-24,875.0,900.0,840.0,900.0,19200
2022-10-25,900.0,900.0,900.0,900.0,2700
2022-10-26,885.0,900.0,885.0,900.0,7000
2022-10-27,900.0,900.0,895.0,895.0,2500
2022-10-28,900.0,900.0,900.0,900.0,1400
2022-10-31,875.0,900.0,870.0,900.0,12900
2022-11-01,900.0,900.0,885.0,900.0,11700
2022-11-02,900.0,950.0,900.0,945.0,16500
2022-11-03,940.0,940.0,880.0,895.0,22700
2022-11-04,920.0,920.0,890.0,920.0,400
2022-11-07,900.0,910.0,890.0,910.0,3000
2022-11-08,890.0,940.0,890.0,890.0,43600
2022-11-09,890.0,920.0,890.0,905.0,7300
2022-11-10,890.0,915.0,890.0,915.0,4000
2022-11-11,915.0,935.0,900.0,900.0,5300
2022-11-14,895.0,1100.0,890.0,980.0,953700
2022-11-15,985.0,1010.0,915.0,915.0,387200
2022-11-16,900.0,950.0,900.0,925.0,79600
2022-11-17,925.0,950.0,910.0,910.0,20000
2022-11-18,910.0,940.0,880.0,920.0,121700
2022-11-21,920.0,940.0,900.0,920.0,17000
2022-11-22,945.0,945.0,920.0,935.0,7500
2022-11-23,935.0,935.0,920.0,920.0,2100
2022-11-24,920.0,925.0,900.0,920.0,15600
2022-11-25,925.0,930.0,925.0,930.0,200
2022-11-28,935.0,935.0,920.0,930.0,2200
2022-11-29,930.0,940.0,900.0,940.0,16100
2022-11-30,920.0,940.0,915.0,940.0,16500
2022-12-01,1000.0,1015.0,935.0,965.0,436100
2022-12-02,965.0,1060.0,950.0,985.0,423400
2022-12-05,985.0,990.0,940.0,965.0,66200
2022-12-06,960.0,995.0,930.0,970.0,30000
2022-12-07,970.0,980.0,925.0,970.0,3500
2022-12-08,975.0,980.0,940.0,950.0,12100
2022-12-09,940.0,980.0,910.0,940.0,32100
2022-12-12,940.0,995.0,925.0,970.0,5200
2022-12-13,940.0,955.0,940.0,940.0,3300
2022-12-14,955.0,960.0,905.0,955.0,35400
2022-12-15,950.0,950.0,950.0,950.0,1100
2022-12-16,950.0,970.0,940.0,940.0,6800
2022-12-19,940.0,965.0,915.0,915.0,23100
2022-12-20,940.0,950.0,900.0,940.0,26100
2022-12-21,935.0,975.0,890.0,890.0,265700
2022-12-22,905.0,905.0,865.0,885.0,44600
2022-12-23,890.0,905.0,885.0,895.0,12500
2022-12-26,895.0,900.0,885.0,900.0,3900
2022-12-27,915.0,915.0,895.0,895.0,4500
2022-12-28,885.0,885.0,855.0,860.0,30200
2022-12-29,855.0,865.0,850.0,865.0,4800
2022-12-30,855.0,880.0,845.0,865.0,11400
2023-01-02,865.0,865.0,840.0,860.0,22100
2023-01-03,865.0,870.0,850.0,855.0,38000
2023-01-04,860.0,880.0,855.0,855.0,5900
2023-01-05,855.0,885.0,850.0,875.0,6800
2023-01-06,875.0,875.0,855.0,855.0,1400
2023-01-09,855.0,860.0,855.0,855.0,2100
2023-01-10,860.0,860.0,840.0,840.0,15500
2023-01-11,850.0,850.0,825.0,830.0,9700
2023-01-12,860.0,885.0,835.0,840.0,7900
2023-01-13,845.0,880.0,840.0,855.0,5600
2023-01-16,860.0,870.0,830.0,865.0,24700
2023-01-17,855.0,895.0,855.0,870.0,5200
2023-01-18,875.0,895.0,865.0,885.0,4700
2023-01-19,890.0,900.0,880.0,900.0,5700
2023-01-20,910.0,910.0,900.0,900.0,13100
2023-01-24,910.0,910.0,880.0,880.0,6200
2023-01-25,875.0,880.0,860.0,880.0,4900
2023-01-26,855.0,855.0,830.0,850.0,10000
2023-01-27,840.0,850.0,840.0,850.0,173300
2023-01-30,845.0,845.0,830.0,840.0,63500
2023-01-31,840.0,860.0,830.0,860.0,120200
2023-02-01,860.0,880.0,855.0,880.0,9600
2023-02-02,850.0,880.0,850.0,855.0,203800
2023-02-03,875.0,875.0,870.0,870.0,8200
2023-02-06,855.0,855.0,840.0,845.0,3200
2023-02-07,845.0,875.0,840.0,850.0,411700
2023-02-08,850.0,865.0,850.0,865.0,1000
2023-02-09,860.0,870.0,860.0,870.0,36300
2023-02-10,870.0,870.0,870.0,870.0,100
2023-02-13,870.0,870.0,830.0,860.0,53200
2023-02-14,855.0,855.0,845.0,845.0,1900
2023-02-15,845.0,870.0,845.0,870.0,4800
2023-02-16,870.0,870.0,855.0,870.0,3800
2023-02-17,865.0,870.0,855.0,870.0,1200
2023-02-20,880.0,910.0,880.0,910.0,74300
2023-02-21,900.0,900.0,870.0,890.0,14900
2023-02-22,875.0,890.0,875.0,890.0,1000
2023-02-23,890.0,910.0,890.0,910.0,66400
