date,open,high,low,close,volume
2022-07-04,66.0,66.0,62.0,63.0,8848800
2022-07-05,63.0,64.0,62.0,63.0,1768400
2022-07-06,64.0,66.0,63.0,63.0,4773200
2022-07-07,63.0,66.0,63.0,63.0,5338500
2022-07-08,63.0,64.0,62.0,63.0,3377200
2022-07-11,63.0,64.0,63.0,63.0,1836900
2022-07-12,63.0,64.0,63.0,64.0,4268200
2022-07-13,64.0,64.0,61.0,62.0,5454100
2022-07-14,62.0,63.0,58.0,59.0,9656500
2022-07-15,60.0,62.0,59.0,59.0,2912200
2022-07-18,61.0,61.0,58.0,59.0,3211200
2022-07-19,59.0,61.0,58.0,60.0,5625600
2022-07-20,60.0,60.0,59.0,59.0,3626900
2022-07-21,59.0,60.0,58.0,59.0,1659100
2022-07-22,59.0,61.0,59.0,59.0,7973100
2022-07-25,59.0,64.0,59.0,62.0,27992900
2022-07-26,63.0,65.0,62.0,65.0,19800500
2022-07-27,65.0,69.0,64.0,67.0,33874700
2022-07-28,68.0,78.0,67.0,72.0,128762600
2022-07-29,73.0,73.0,67.0,69.0,30048300
2022-08-01,69.0,73.0,69.0,71.0,15918300
2022-08-02,75.0,75.0,69.0,71.0,8836700
2022-08-03,71.0,71.0,68.0,69.0,17884100
2022-08-04,69.0,72.0,68.0,70.0,10046200
2022-08-05,70.0,72.0,69.0,70.0,7095700
2022-08-08,70.0,71.0,68.0,68.0,15487200
2022-08-09,68.0,75.0,68.0,73.0,62804900
2022-08-10,73.0,75.0,72.0,73.0,26535100
2022-08-11,75.0,75.0,72.0,72.0,15636300
2022-08-12,72.0,74.0,70.0,72.0,12544800
2022-08-15,72.0,73.0,70.0,71.0,5675800
2022-08-16,71.0,72.0,68.0,69.0,22873500
2022-08-18,69.0,70.0,67.0,68.0,19644000
2022-08-19,67.0,68.0,66.0,67.0,6258800
2022-08-22,67.0,69.0,64.0,65.0,17250400
2022-08-23,65.0,67.0,63.0,65.0,23351700
2022-08-24,66.0,68.0,65.0,67.0,9162400
2022-08-25,67.0,68.0,65.0,66.0,32362900
2022-08-26,66.0,67.0,63.0,63.0,10247000
2022-08-29,63.0,66.0,62.0,65.0,8550100
2022-08-30,75.0,75.0,63.0,65.0,11501300
2022-08-31,65.0,66.0,63.0,63.0,6810300
2022-09-01,63.0,65.0,63.0,65.0,5463100
2022-09-02,65.0,68.0,64.0,66.0,10703300
2022-09-05,66.0,74.0,65.0,73.0,79786000
2022-09-06,73.0,88.0,73.0,85.0,239334300
2022-09-07,87.0,88.0,80.0,80.0,74650900
2022-09-08,76.0,85.0,75.0,82.0,105974200
2022-09-09,83.0,85.0,79.0,80.0,39180000
2022-09-12,80.0,84.0,80.0,81.0,24215600
2022-09-13,82.0,83.0,80.0,81.0,11179600
2022-09-14,80.0,82.0,78.0,81.0,21191500
2022-09-15,82.0,83.0,80.0,81.0,16617400
2022-09-16,80.0,82.0,76.0,78.0,31078800
2022-09-19,78.0,81.0,76.0,77.0,9849300
2022-09-20,78.0,92.0,77.0,83.0,211304600
2022-09-21,85.0,85.0,78.0,78.0,34405800
2022-09-22,79.0,82.0,77.0,82.0,21044400
2022-09-23,82.0,85.0,80.0,83.0,50505200
2022-09-26,83.0,87.0,79.0,80.0,57778200
2022-09-27,83.0,85.0,78.0,81.0,65448200
2022-09-28,81.0,81.0,78.0,78.0,26730600
2022-09-29,78.0,82.0,75.0,76.0,36955200
2022-09-30,76.0,76.0,73.0,75.0,32520800
2022-10-03,74.0,79.0,74.0,75.0,16852800
2022-10-04,75.0,79.0,75.0,76.0,13164800
2022-10-05,77.0,80.0,77.0,78.0,12408900
2022-10-06,79.0,80.0,77.0,79.0,8598800
2022-10-07,80.0,84.0,78.0,78.0,53581600
2022-10-10,78.0,80.0,75.0,76.0,20817400
2022-10-11,77.0,78.0,75.0,77.0,12495400
2022-10-12,78.0,81.0,76.0,81.0,34730900
2022-10-13,82.0,82.0,78.0,80.0,18163200
