date,open,high,low,close,volume
2024-02-07,135.0,168.0,82.0,130.0,2228650800
2024-02-12,132.0,143.0,108.0,113.0,394427400
2024-02-13,105.0,117.0,97.0,97.0,51949100
2024-02-15,91.0,110.0,87.0,96.0,152550000
2024-02-16,97.0,99.0,92.0,93.0,75351200
2024-02-19,93.0,95.0,79.0,86.0,34402900
2024-02-20,77.0,94.0,77.0,85.0,17233300
2024-02-21,85.0,86.0,74.0,75.0,17441500
2024-02-22,74.0,82.0,71.0,75.0,159325000
2024-02-23,76.0,97.0,75.0,81.0,117466800
2024-02-26,81.0,88.0,78.0,84.0,41895600
2024-02-27,85.0,93.0,82.0,90.0,214007700
2024-02-28,91.0,92.0,86.0,88.0,48059800
2024-02-29,88.0,98.0,86.0,96.0,193844600
2024-03-01,98.0,101.0,90.0,92.0,254204100
2024-03-04,92.0,95.0,90.0,94.0,53931100
2024-03-05,95.0,100.0,94.0,100.0,79343300
2024-03-06,105.0,105.0,98.0,101.0,63506600
2024-03-07,102.0,116.0,100.0,112.0,303135700
2024-03-08,115.0,115.0,97.0,98.0,159148500
2024-03-13,98.0,104.0,98.0,103.0,76944000
2024-03-14,103.0,106.0,102.0,105.0,214410000
2024-03-15,105.0,106.0,101.0,103.0,43929800
2024-03-18,104.0,114.0,103.0,114.0,128783500
2024-03-19,116.0,120.0,108.0,120.0,211572000
2024-03-20,119.0,125.0,111.0,116.0,193669700
2024-03-21,116.0,121.0,110.0,113.0,210717700
2024-03-22,114.0,114.0,109.0,112.0,153067800
2024-03-25,112.0,112.0,112.0,112.0,0
2024-03-26,112.0,112.0,112.0,112.0,0
2024-03-27,91.0,93.0,90.0,91.0,164188700
2024-03-28,91.0,92.0,88.0,88.0,128954600
2024-04-01,88.0,93.0,87.0,89.0,77073400
2024-04-02,89.0,92.0,88.0,88.0,190562400
2024-04-03,89.0,90.0,86.0,87.0,348651300
2024-04-04,87.0,90.0,86.0,87.0,305782000
2024-04-05,87.0,93.0,87.0,93.0,94540800
2024-04-16,93.0,94.0,87.0,91.0,179168100
2024-04-17,91.0,93.0,87.0,91.0,124829300
2024-04-18,91.0,91.0,88.0,89.0,280597800
2024-04-19,89.0,89.0,79.0,84.0,253059200
2024-04-22,84.0,86.0,76.0,76.0,175637100
2024-04-23,76.0,77.0,65.0,72.0,103212500
2024-04-24,50.0,76.0,50.0,74.0,259953200
2024-04-25,74.0,81.0,72.0,80.0,455202100
2024-04-26,80.0,81.0,68.0,70.0,404479600
2024-04-29,70.0,72.0,67.0,71.0,151735200
2024-04-30,71.0,72.0,67.0,69.0,241895300
2024-05-02,69.0,70.0,64.0,68.0,261765900
2024-05-03,67.0,68.0,63.0,66.0,287381100
2024-05-06,66.0,68.0,63.0,64.0,123661400
2024-05-07,64.0,65.0,60.0,65.0,284581900
2024-05-08,65.0,70.0,62.0,69.0,433417400
2024-05-13,69.0,72.0,66.0,68.0,361100800
2024-05-14,68.0,68.0,65.0,67.0,291379200
2024-05-15,67.0,68.0,63.0,65.0,338336600
2024-05-16,65.0,66.0,64.0,64.0,148209800
2024-05-17,65.0,65.0,62.0,63.0,115860400
2024-05-20,63.0,64.0,62.0,62.0,251804000
2024-05-21,62.0,64.0,59.0,63.0,371234900
2024-05-22,63.0,66.0,61.0,63.0,416322900
2024-05-27,62.0,71.0,61.0,68.0,233248100
2024-05-28,69.0,69.0,61.0,63.0,165261400
2024-05-29,63.0,63.0,60.0,62.0,241780100
2024-05-30,62.0,63.0,57.0,63.0,314262100
2024-05-31,63.0,64.0,61.0,63.0,64018900
2024-06-03,63.0,63.0,58.0,59.0,306818500
2024-06-04,50.0,61.0,50.0,60.0,92200900
2024-06-05,60.0,63.0,58.0,60.0,263717200
2024-06-06,60.0,61.0,58.0,60.0,188750700
2024-06-07,60.0,62.0,58.0,60.0,251676200
2024-06-10,60.0,60.0,58.0,60.0,100635500
2024-06-11,59.0,62.0,59.0,62.0,182114600
2024-06-12,62.0,63.0,60.0,61.0,299440300
2024-06-13,61.0,65.0,60.0,63.0,301089500
2024-06-14,63.0,64.0,59.0,60.0,135046200
2024-06-19,59.0,62.0,57.0,61.0,152363200
2024-06-20,61.0,64.0,59.0,61.0,263463700
2024-06-21,61.0,63.0,59.0,62.0,305117400
2024-06-24,62.0,65.0,61.0,64.0,280206900
2024-06-25,64.0,64.0,61.0,61.0,290651500
2024-06-26,61.0,62.0,59.0,61.0,239579900
2024-06-27,62.0,62.0,60.0,60.0,121935900
2024-06-28,60.0,61.0,59.0,59.0,441644800
2024-07-01,59.0,61.0,57.0,61.0,442612100
2024-07-02,61.0,61.0,57.0,57.0,104981900
2024-07-03,57.0,59.0,56.0,57.0,266212300
2024-07-04,57.0,58.0,50.0,50.0,283051600
2024-07-05,50.0,50.0,50.0,50.0,3439400
2024-07-08,50.0,50.0,50.0,50.0,1189200
2024-07-09,50.0,50.0,50.0,50.0,776900
2024-07-10,50.0,50.0,50.0,50.0,174300
2024-07-11,50.0,50.0,50.0,50.0,19200
2024-07-12,67.0,67.0,50.0,51.0,26480000
2024-07-15,60.0,60.0,50.0,50.0,37264200
2024-07-16,51.0,51.0,50.0,50.0,193300
2024-07-17,50.0,50.0,50.0,50.0,133800
2024-07-18,53.0,53.0,50.0,50.0,468500
2024-07-19,50.0,50.0,50.0,50.0,173900
2024-07-22,50.0,50.0,50.0,50.0,27800
2024-07-23,59.0,59.0,50.0,50.0,75800
2024-07-24,50.0,50.0,50.0,50.0,161300
2024-07-25,50.0,50.0,50.0,50.0,61700
2024-07-26,50.0,50.0,50.0,50.0,118300
2024-07-29,50.0,50.0,50.0,50.0,172300
2024-07-30,50.0,50.0,50.0,50.0,101000
2024-07-31,50.0,50.0,50.0,50.0,9800
2024-08-01,50.0,50.0,50.0,50.0,21800
2024-08-02,50.0,50.0,50.0,50.0,34100
2024-08-05,50.0,50.0,50.0,50.0,62600
2024-08-06,50.0,50.0,50.0,50.0,53600
2024-08-07,50.0,50.0,50.0,50.0,14700
2024-08-08,50.0,50.0,50.0,50.0,150200
2024-08-09,50.0,50.0,50.0,50.0,67700
2024-08-12,50.0,50.0,50.0,50.0,59400
2024-08-13,50.0,50.0,50.0,50.0,218900
2024-08-14,50.0,53.0,50.0,51.0,170809500
