date,open,high,low,close,volume
2022-07-04,266.0,272.0,256.0,264.0,331900
2022-07-05,264.0,272.0,264.0,266.0,154700
2022-07-06,266.0,280.0,266.0,270.0,325900
2022-07-07,272.0,274.0,262.0,268.0,418800
2022-07-08,268.0,282.0,266.0,270.0,227000
2022-07-11,270.0,270.0,262.0,270.0,382100
2022-07-12,270.0,272.0,264.0,268.0,97400
2022-07-13,268.0,290.0,266.0,274.0,273000
2022-07-14,276.0,278.0,268.0,276.0,99700
2022-07-15,276.0,276.0,266.0,274.0,160000
2022-07-18,274.0,274.0,264.0,266.0,193400
2022-07-19,266.0,270.0,260.0,264.0,239000
2022-07-20,264.0,280.0,260.0,274.0,360400
2022-07-21,274.0,278.0,270.0,270.0,289500
2022-07-22,270.0,278.0,266.0,272.0,148700
2022-07-25,272.0,276.0,270.0,272.0,466700
2022-07-26,272.0,272.0,268.0,272.0,367100
2022-07-27,272.0,280.0,272.0,278.0,359300
2022-07-28,278.0,280.0,268.0,274.0,624200
2022-07-29,278.0,278.0,266.0,272.0,1042400
2022-08-01,276.0,282.0,274.0,280.0,1410000
2022-08-02,282.0,286.0,278.0,286.0,1560500
2022-08-03,286.0,288.0,280.0,282.0,927600
2022-08-04,282.0,288.0,276.0,288.0,797600
2022-08-05,288.0,290.0,276.0,280.0,1887800
2022-08-08,280.0,282.0,276.0,280.0,580600
2022-08-09,280.0,282.0,278.0,280.0,324800
2022-08-10,280.0,282.0,278.0,280.0,295000
2022-08-11,280.0,282.0,276.0,278.0,371500
2022-08-12,278.0,278.0,272.0,272.0,1476600
2022-08-15,272.0,272.0,262.0,270.0,730200
2022-08-16,270.0,274.0,266.0,270.0,285500
2022-08-18,270.0,272.0,266.0,272.0,286700
2022-08-19,272.0,274.0,268.0,272.0,121900
2022-08-22,272.0,272.0,266.0,268.0,300600
2022-08-23,266.0,270.0,264.0,264.0,354200
2022-08-24,270.0,272.0,260.0,268.0,437200
2022-08-25,268.0,270.0,262.0,266.0,404200
2022-08-26,268.0,270.0,266.0,268.0,154400
2022-08-29,262.0,272.0,258.0,270.0,214500
2022-08-30,272.0,272.0,268.0,270.0,122200
2022-08-31,270.0,270.0,266.0,268.0,247400
2022-09-01,270.0,270.0,264.0,264.0,326500
2022-09-02,264.0,268.0,260.0,262.0,575900
2022-09-05,262.0,264.0,260.0,260.0,681000
2022-09-06,264.0,264.0,258.0,258.0,452700
2022-09-07,258.0,260.0,258.0,258.0,386200
2022-09-08,260.0,260.0,258.0,258.0,346400
2022-09-09,260.0,266.0,250.0,264.0,1208400
2022-09-12,264.0,264.0,250.0,254.0,1308800
2022-09-13,254.0,262.0,254.0,260.0,410400
2022-09-14,258.0,262.0,258.0,260.0,134200
2022-09-15,260.0,262.0,258.0,260.0,330600
2022-09-16,260.0,264.0,258.0,260.0,300200
2022-09-19,262.0,286.0,258.0,270.0,4698400
2022-09-20,270.0,280.0,270.0,274.0,2425900
2022-09-21,274.0,280.0,268.0,270.0,1397900
2022-09-22,272.0,274.0,258.0,268.0,541700
2022-09-23,268.0,270.0,262.0,270.0,248900
2022-09-26,270.0,270.0,254.0,262.0,1479600
2022-09-27,262.0,262.0,258.0,260.0,300400
2022-09-28,262.0,264.0,258.0,258.0,300700
2022-09-29,262.0,262.0,256.0,256.0,682600
2022-09-30,256.0,258.0,250.0,256.0,622200
2022-10-03,258.0,260.0,256.0,260.0,89800
2022-10-04,262.0,262.0,260.0,262.0,160500
2022-10-05,262.0,262.0,258.0,258.0,338900
2022-10-06,260.0,262.0,258.0,258.0,74100
2022-10-07,258.0,262.0,258.0,258.0,156600
2022-10-10,260.0,262.0,256.0,258.0,125300
2022-10-11,260.0,260.0,256.0,258.0,41200
2022-10-12,260.0,260.0,252.0,252.0,323000
2022-10-13,254.0,256.0,250.0,254.0,236900
2022-10-14,254.0,256.0,250.0,250.0,362100
2022-10-17,252.0,254.0,244.0,252.0,386500
2022-10-18,252.0,254.0,252.0,252.0,125500
2022-10-19,252.0,254.0,250.0,250.0,344200
2022-10-20,250.0,254.0,250.0,252.0,103500
2022-10-21,254.0,254.0,250.0,252.0,217200
2022-10-24,254.0,254.0,250.0,254.0,224200
2022-10-25,254.0,256.0,252.0,252.0,205200
2022-10-26,264.0,298.0,258.0,276.0,5712300
2022-10-27,278.0,280.0,266.0,268.0,1246700
2022-10-28,270.0,276.0,264.0,270.0,1261200
2022-10-31,272.0,274.0,266.0,270.0,356800
2022-11-01,270.0,270.0,264.0,270.0,441200
2022-11-02,270.0,272.0,264.0,268.0,373800
2022-11-03,268.0,270.0,264.0,266.0,373300
2022-11-04,266.0,276.0,266.0,270.0,825200
2022-11-07,270.0,276.0,268.0,272.0,802500
2022-11-08,272.0,276.0,268.0,272.0,419300
2022-11-09,272.0,274.0,270.0,272.0,694400
2022-11-10,272.0,272.0,268.0,272.0,262000
2022-11-11,274.0,276.0,268.0,270.0,641300
2022-11-14,270.0,272.0,266.0,270.0,326200
2022-11-15,272.0,272.0,270.0,270.0,276600
2022-11-16,270.0,274.0,270.0,272.0,224300
2022-11-17,272.0,272.0,270.0,270.0,343400
2022-11-18,270.0,274.0,270.0,272.0,202700
2022-11-21,272.0,278.0,270.0,278.0,2340000
2022-11-22,280.0,292.0,276.0,280.0,7162300
2022-11-23,282.0,284.0,276.0,280.0,1410300
2022-11-24,280.0,284.0,272.0,278.0,1405200
2022-11-25,280.0,280.0,272.0,274.0,1314500
2022-11-28,276.0,280.0,274.0,274.0,2725500
2022-11-29,276.0,280.0,270.0,276.0,6122800
2022-11-30,268.0,276.0,268.0,274.0,2690900
2022-12-01,274.0,276.0,272.0,272.0,906900
2022-12-02,274.0,274.0,270.0,272.0,620000
2022-12-05,274.0,284.0,274.0,284.0,4698100
2022-12-06,284.0,290.0,280.0,282.0,1159000
2022-12-07,282.0,286.0,278.0,280.0,929800
2022-12-08,282.0,284.0,278.0,282.0,605100
2022-12-09,280.0,284.0,274.0,280.0,1041100
2022-12-12,280.0,280.0,276.0,276.0,403200
2022-12-13,276.0,280.0,276.0,280.0,797200
2022-12-14,278.0,278.0,276.0,278.0,677100
2022-12-15,278.0,278.0,276.0,276.0,411300
2022-12-16,276.0,278.0,266.0,274.0,1403500
2022-12-19,274.0,278.0,272.0,274.0,254600
2022-12-20,274.0,276.0,272.0,272.0,403000
2022-12-21,272.0,276.0,268.0,268.0,474400
2022-12-22,268.0,270.0,266.0,268.0,442800
2022-12-23,268.0,274.0,266.0,268.0,170200
2022-12-26,272.0,272.0,266.0,270.0,187200
2022-12-27,272.0,274.0,268.0,272.0,923000
2022-12-28,272.0,274.0,270.0,270.0,151700
2022-12-29,276.0,276.0,270.0,270.0,176100
2022-12-30,270.0,272.0,268.0,270.0,145900
2023-01-02,272.0,276.0,272.0,274.0,111000
2023-01-03,274.0,274.0,268.0,272.0,299300
2023-01-04,270.0,274.0,270.0,272.0,159800
2023-01-05,274.0,274.0,258.0,266.0,1049000
2023-01-06,266.0,266.0,260.0,264.0,786100
2023-01-09,258.0,266.0,258.0,264.0,215500
2023-01-10,266.0,266.0,262.0,262.0,229100
2023-01-11,262.0,266.0,262.0,264.0,70900
2023-01-12,266.0,270.0,262.0,268.0,235000
2023-01-13,270.0,270.0,264.0,266.0,112200
2023-01-16,266.0,268.0,262.0,266.0,230200
2023-01-17,266.0,270.0,266.0,270.0,331300
2023-01-18,270.0,272.0,268.0,270.0,366400
2023-01-19,270.0,270.0,268.0,268.0,79100
2023-01-20,268.0,270.0,264.0,264.0,428700
2023-01-24,266.0,270.0,264.0,268.0,72700
2023-01-25,270.0,270.0,264.0,268.0,237200
2023-01-26,268.0,270.0,262.0,268.0,318200
2023-01-27,266.0,270.0,264.0,268.0,843100
2023-01-30,268.0,272.0,266.0,270.0,624200
2023-01-31,270.0,270.0,264.0,266.0,523000
2023-02-01,268.0,270.0,266.0,268.0,149800
2023-02-02,268.0,268.0,266.0,268.0,240300
2023-02-03,268.0,270.0,266.0,266.0,525800
2023-02-06,268.0,270.0,266.0,268.0,208400
2023-02-07,270.0,270.0,266.0,268.0,253100
2023-02-08,270.0,270.0,268.0,268.0,469100
2023-02-09,270.0,270.0,268.0,270.0,149700
2023-02-10,270.0,270.0,266.0,270.0,302200
2023-02-13,268.0,272.0,268.0,268.0,144700
2023-02-14,268.0,270.0,266.0,270.0,179900
2023-02-15,270.0,270.0,268.0,270.0,100800
2023-02-16,270.0,270.0,268.0,270.0,558500
2023-02-17,270.0,270.0,266.0,270.0,197200
2023-02-20,270.0,270.0,256.0,260.0,3505200
2023-02-21,258.0,262.0,256.0,260.0,496800
2023-02-22,260.0,262.0,258.0,260.0,464400
2023-02-23,260.0,264.0,260.0,262.0,423700
2023-02-24,260.0,262.0,260.0,262.0,359600
2023-02-27,262.0,264.0,262.0,262.0,154200
2023-02-28,264.0,264.0,262.0,262.0,192900
2023-03-01,262.0,262.0,260.0,262.0,245200
2023-03-02,262.0,264.0,260.0,262.0,285600
2023-03-03,262.0,264.0,260.0,262.0,343600
2023-03-06,262.0,262.0,260.0,262.0,144200
2023-03-07,262.0,262.0,260.0,262.0,229500
2023-03-08,262.0,262.0,260.0,262.0,334800
2023-03-09,262.0,262.0,258.0,262.0,218300
2023-03-10,262.0,262.0,258.0,262.0,246600
2023-03-13,262.0,262.0,256.0,260.0,193600
2023-03-14,260.0,262.0,256.0,256.0,312500
2023-03-15,254.0,262.0,254.0,258.0,313100
