date,open,high,low,close,volume
2022-07-04,672.5,672.5,662.5,672.5,393000
2022-07-05,672.5,675.0,672.5,675.0,706400
2022-07-06,675.0,677.5,670.0,670.0,208800
2022-07-07,670.0,672.5,650.0,657.5,881200
2022-07-08,657.5,665.0,655.0,657.5,636800
2022-07-11,657.5,660.0,642.5,642.5,1110600
2022-07-12,645.0,652.5,642.5,652.5,183200
2022-07-13,652.5,660.0,652.5,657.5,401000
2022-07-14,657.5,660.0,647.5,660.0,252600
2022-07-15,660.0,667.5,657.5,665.0,518400
2022-07-18,657.5,660.0,652.5,657.5,420800
2022-07-19,657.5,660.0,652.5,657.5,150800
2022-07-20,657.5,657.5,655.0,655.0,353200
2022-07-21,655.0,660.0,655.0,657.5,395800
2022-07-22,657.5,657.5,655.0,657.5,335800
2022-07-25,657.5,657.5,652.5,657.5,536200
2022-07-26,657.5,660.0,655.0,657.5,466000
2022-07-27,657.5,657.5,650.0,652.5,544200
2022-07-28,655.0,667.5,655.0,665.0,2610400
2022-07-29,665.0,685.0,665.0,682.5,3364400
2022-08-01,682.5,712.5,680.0,705.0,4518000
2022-08-02,705.0,705.0,685.0,692.5,1505600
2022-08-03,692.5,715.0,692.5,707.5,1921400
2022-08-04,707.5,710.0,695.0,705.0,614000
2022-08-05,705.0,710.0,695.0,697.5,986600
2022-08-08,697.5,707.5,697.5,702.5,866600
2022-08-09,705.0,740.0,702.5,727.5,2383400
2022-08-10,727.5,737.5,715.0,730.0,991200
2022-08-11,730.0,742.5,730.0,742.5,1444000
2022-08-12,742.5,760.0,730.0,760.0,3618600
2022-08-15,760.0,780.0,760.0,767.5,3080000
2022-08-16,767.5,802.5,767.5,775.0,4915400
2022-08-18,762.5,787.5,762.5,765.0,1282400
2022-08-19,765.0,805.0,762.5,782.5,5194400
2022-08-22,785.0,792.5,775.0,785.0,2630400
2022-08-23,785.0,792.5,782.5,787.5,3749000
2022-08-24,790.0,830.0,787.5,827.5,6362800
2022-08-25,822.5,910.0,822.5,905.0,4207600
2022-08-26,900.0,950.0,880.0,925.0,5027400
2022-08-29,920.0,995.0,917.5,955.0,3675600
2022-08-30,955.0,1045.0,955.0,982.5,7753600
2022-08-31,977.5,1175.0,977.5,1175.0,17753000
2022-09-01,1200.0,1465.0,1190.0,1300.0,29327000
2022-09-02,1295.0,1370.0,1215.0,1300.0,13038600
2022-09-05,1300.0,1325.0,1255.0,1295.0,4678000
2022-09-06,1295.0,1475.0,1275.0,1350.0,21215600
2022-09-07,1375.0,1375.0,1275.0,1275.0,11594800
2022-09-08,1275.0,1395.0,1195.0,1300.0,15273000
2022-09-09,1320.0,1425.0,1315.0,1380.0,21226600
2022-09-12,1385.0,1515.0,1380.0,1430.0,21721800
2022-09-13,1435.0,1485.0,1425.0,1430.0,18312200
2022-09-14,1420.0,1675.0,1410.0,1675.0,17077600
2022-09-15,1675.0,1745.0,1575.0,1620.0,7168400
2022-09-16,1620.0,1620.0,1545.0,1620.0,4777200
2022-09-19,1620.0,1620.0,1520.0,1545.0,3935200
2022-09-20,1575.0,1580.0,1440.0,1440.0,11749600
2022-09-21,1365.0,1440.0,1340.0,1410.0,19432400
2022-09-22,1400.0,1425.0,1345.0,1420.0,2025000
2022-09-23,1425.0,1450.0,1370.0,1395.0,2324600
2022-09-26,1350.0,1365.0,1300.0,1300.0,10075800
2022-09-27,1275.0,1320.0,1235.0,1300.0,2810800
2022-09-28,1300.0,1325.0,1270.0,1270.0,1354400
2022-09-29,1265.0,1275.0,1185.0,1185.0,11388000
2022-09-30,1175.0,1325.0,1105.0,1285.0,6087000
2022-10-03,1280.0,1315.0,1265.0,1295.0,8730600
2022-10-04,1310.0,1315.0,1265.0,1300.0,16070600
2022-10-05,1300.0,1325.0,1275.0,1305.0,17539000
2022-10-06,1310.0,1505.0,1275.0,1440.0,49330800
2022-10-07,1440.0,1450.0,1345.0,1345.0,25550200
2022-10-10,1340.0,1340.0,1260.0,1320.0,8591800
2022-10-11,1315.0,1320.0,1275.0,1295.0,3738600
2022-10-12,1290.0,1300.0,1250.0,1300.0,6786000
2022-10-13,1300.0,1315.0,1275.0,1315.0,2137800
2022-10-14,1320.0,1340.0,1260.0,1300.0,10125600
2022-10-17,1295.0,1295.0,1235.0,1250.0,3263000
2022-10-18,1255.0,1280.0,1230.0,1270.0,2383800
2022-10-19,1270.0,1275.0,1230.0,1275.0,1661800
2022-10-20,1275.0,1305.0,1250.0,1300.0,3200400
2022-10-21,1300.0,1370.0,1260.0,1285.0,6998000
2022-10-24,1265.0,1305.0,1200.0,1250.0,4365600
2022-10-25,1255.0,1255.0,1180.0,1180.0,3693200
2022-10-26,1180.0,1185.0,1125.0,1135.0,3929800
2022-10-27,1130.0,1135.0,1060.0,1105.0,9946600
2022-10-28,1105.0,1205.0,1080.0,1195.0,7230000
2022-10-31,1200.0,1205.0,1150.0,1190.0,3252000
2022-11-01,1145.0,1185.0,1110.0,1125.0,7718000
2022-11-02,1130.0,1130.0,1050.0,1070.0,5691400
2022-11-03,1070.0,1070.0,1025.0,1065.0,4168000
2022-11-04,1040.0,1070.0,992.5,1065.0,3726400
2022-11-07,1065.0,1095.0,1050.0,1050.0,1231800
2022-11-08,1050.0,1075.0,1035.0,1070.0,1196400
2022-11-09,1075.0,1075.0,1045.0,1070.0,855400
2022-11-10,1060.0,1065.0,1035.0,1035.0,1468800
2022-11-11,1040.0,1125.0,1040.0,1125.0,4823600
2022-11-14,1130.0,1155.0,1085.0,1110.0,1316000
2022-11-15,1110.0,1145.0,1090.0,1115.0,1053600
2022-11-16,1115.0,1115.0,1050.0,1110.0,1866600
2022-11-17,1105.0,1110.0,1070.0,1105.0,1120400
2022-11-18,1085.0,1095.0,1075.0,1095.0,924400
2022-11-21,1090.0,1090.0,1050.0,1070.0,1139600
2022-11-22,1070.0,1070.0,1060.0,1070.0,190000
2022-11-23,1075.0,1075.0,1055.0,1055.0,310400
2022-11-24,1065.0,1100.0,1050.0,1095.0,953000
2022-11-25,1090.0,1095.0,1060.0,1075.0,1034600
2022-11-28,1065.0,1070.0,1025.0,1025.0,1569600
2022-11-29,1025.0,1050.0,997.5,1025.0,1061800
2022-11-30,1030.0,1045.0,1015.0,1015.0,412000
2022-12-01,1005.0,1015.0,977.5,1005.0,2713600
2022-12-02,1005.0,1005.0,975.0,987.5,1317600
2022-12-05,987.5,997.5,965.0,980.0,792200
2022-12-06,967.5,967.5,912.5,912.5,2864800
2022-12-07,912.5,912.5,850.0,850.0,4085000
2022-12-08,850.0,850.0,792.5,800.0,4143200
2022-12-09,800.0,900.0,760.0,810.0,4296000
2022-12-12,815.0,825.0,792.5,802.5,3141600
2022-12-13,802.5,870.0,792.5,870.0,3036800
2022-12-14,870.0,890.0,850.0,872.5,2253200
2022-12-15,872.5,875.0,830.0,830.0,893400
2022-12-16,830.0,830.0,795.0,805.0,2297400
