date,open,high,low,close,volume
2022-07-04,1057.62,1089.19,982.64,1065.51,15723216
2022-07-05,1069.46,1069.46,994.48,994.48,11855825
2022-07-06,978.69,986.58,927.39,927.39,103513
2022-07-07,864.25,864.25,864.25,864.25,992694
2022-07-08,883.98,883.98,805.05,805.05,1727047
2022-07-11,749.8,856.35,749.8,809.0,7315531
2022-07-12,812.94,824.78,753.75,753.75,8024797
2022-07-13,718.23,745.86,702.45,702.45,15014456
2022-07-14,694.55,726.12,659.04,666.93,18255442
2022-07-15,666.93,741.91,662.98,734.02,33249374
2022-07-18,737.96,899.76,714.29,872.14,38674794
2022-07-19,876.09,970.8,812.94,848.46,55175189
2022-07-20,860.3,998.42,844.51,998.42,29815930
2022-07-21,1010.26,1112.86,1002.37,1104.97,27953694
2022-07-22,1116.81,1164.17,1029.99,1029.99,18281796
2022-07-25,958.96,958.96,958.96,958.96,293817
2022-07-26,891.87,923.44,891.87,891.87,15191076
2022-07-27,887.92,887.92,832.68,832.68,2476858
2022-07-28,832.68,832.68,777.43,777.43,6555331
2022-07-29,769.53,809.0,734.02,789.27,6217295
2022-08-01,789.27,805.05,734.02,734.02,6817727
2022-08-02,734.02,745.86,690.61,741.91,17549597
2022-08-03,749.8,749.8,690.61,690.61,13216710
2022-08-04,690.61,702.45,655.09,690.61,24961547
2022-08-05,698.5,698.5,662.98,670.88,19194543
2022-08-08,678.77,690.61,647.2,662.98,18144453
2022-08-09,666.93,674.82,647.2,647.2,19387760
2022-08-10,651.14,651.14,603.79,603.79,10051997
2022-08-11,576.16,627.47,564.33,607.73,34987064
2022-08-12,611.68,631.41,591.95,599.84,26256674
2022-08-15,599.84,611.68,560.38,560.38,25063033
2022-08-16,560.38,580.11,524.86,564.33,36473255
2022-08-18,568.27,576.16,524.86,524.86,25765458
2022-08-19,524.86,540.65,489.34,489.34,33068066
2022-08-22,485.4,489.34,465.67,489.34,17852283
2022-08-23,485.4,516.97,469.61,481.45,12549761
2022-08-24,477.51,501.18,449.88,449.88,23904108
2022-08-25,422.26,461.72,422.26,457.77,12868919
2022-08-26,430.15,473.56,426.2,426.2,23558598
2022-08-29,453.83,453.83,406.47,422.26,30423710
2022-08-30,418.31,441.99,406.47,422.26,18318032
2022-08-31,449.88,449.88,394.63,394.63,30080860
2022-09-01,394.63,406.47,367.8,367.8,15340836
2022-09-02,355.17,355.17,342.54,347.28,14296574
2022-09-05,342.54,350.43,329.91,333.07,15820648
2022-09-06,329.91,339.38,329.91,339.38,8212060
2022-09-07,337.81,398.58,329.91,363.06,47319916
2022-09-08,355.17,370.96,353.59,363.06,8972387
2022-09-09,355.17,363.06,355.17,363.06,2151112
2022-09-12,356.75,374.11,356.75,364.64,4428925
2022-09-13,364.64,402.53,363.06,378.85,18958881
2022-09-14,363.06,389.9,363.06,380.43,7841716
2022-09-15,380.43,393.05,374.11,382.0,12084392
2022-09-16,378.85,393.05,375.69,383.58,11958706
2022-09-19,383.58,422.26,382.0,386.74,31525113
2022-09-20,370.96,391.48,370.96,382.0,13575271
2022-09-21,378.85,406.47,378.85,398.58,15527211
2022-09-22,377.27,497.24,377.27,497.24,31499773
2022-09-23,520.92,580.11,497.24,497.24,44612590
2022-09-26,497.24,505.13,465.67,465.67,4467442
2022-09-27,434.1,449.88,434.1,434.1,3380862
2022-09-28,406.47,418.31,406.47,406.47,3694191
2022-09-29,378.85,385.16,378.85,378.85,3625773
2022-09-30,353.59,382.0,353.59,364.64,25571100
2022-10-03,364.64,374.11,356.75,356.75,6137221
2022-10-04,356.75,366.22,353.59,356.75,3797199
2022-10-05,356.75,378.85,356.75,364.64,6956083
2022-10-06,364.64,394.63,361.48,389.9,12650868
2022-10-07,389.9,402.53,370.96,380.43,11602552
2022-10-10,380.43,391.48,370.96,370.96,9368198
2022-10-11,370.96,382.0,367.8,374.11,6041309
2022-10-12,374.11,383.58,370.96,372.53,8583038
2022-10-13,374.11,383.58,367.8,377.27,12880955
2022-10-14,377.27,453.83,370.96,388.32,102510562
2022-10-17,388.32,398.58,361.48,361.48,42171588
2022-10-18,359.91,359.91,336.23,339.38,26327373
2022-10-19,339.38,345.7,318.86,340.96,30192990
2022-10-20,340.96,347.28,336.23,344.12,19803590
