date,open,high,low,close,volume
2022-07-04,1450.0,1455.0,1415.0,1425.0,1114800
2022-07-05,1430.0,1445.0,1430.0,1435.0,561200
2022-07-06,1435.0,1445.0,1435.0,1445.0,187700
2022-07-07,1445.0,1455.0,1435.0,1440.0,259500
2022-07-08,1440.0,1450.0,1430.0,1445.0,381200
2022-07-11,1440.0,1465.0,1440.0,1450.0,360600
2022-07-12,1450.0,1455.0,1430.0,1450.0,552800
2022-07-13,1450.0,1460.0,1440.0,1440.0,149200
2022-07-14,1445.0,1445.0,1425.0,1435.0,561500
2022-07-15,1440.0,1440.0,1425.0,1430.0,405100
2022-07-18,1400.0,1440.0,1350.0,1430.0,310700
2022-07-19,1430.0,1450.0,1425.0,1435.0,216300
2022-07-20,1435.0,1455.0,1435.0,1450.0,305800
2022-07-21,1455.0,1455.0,1440.0,1450.0,207700
2022-07-22,1450.0,1455.0,1445.0,1445.0,227500
2022-07-25,1445.0,1460.0,1440.0,1460.0,377000
2022-07-26,1460.0,1475.0,1445.0,1450.0,953000
2022-07-27,1450.0,1470.0,1440.0,1470.0,317200
2022-07-28,1470.0,1480.0,1455.0,1460.0,525900
2022-07-29,1460.0,1460.0,1445.0,1455.0,905800
2022-08-01,1455.0,1465.0,1445.0,1455.0,2100000
2022-08-02,1460.0,1475.0,1455.0,1470.0,591400
2022-08-03,1465.0,1500.0,1465.0,1490.0,1935500
2022-08-04,1490.0,1490.0,1450.0,1475.0,661500
2022-08-05,1475.0,1510.0,1465.0,1500.0,607800
2022-08-08,1505.0,1510.0,1485.0,1490.0,332800
2022-08-09,1490.0,1505.0,1475.0,1500.0,679900
2022-08-10,1500.0,1510.0,1495.0,1500.0,1164300
2022-08-11,1500.0,1515.0,1490.0,1495.0,776100
2022-08-12,1500.0,1500.0,1485.0,1490.0,204200
2022-08-15,1490.0,1490.0,1475.0,1485.0,298500
2022-08-16,1485.0,1485.0,1475.0,1485.0,93800
2022-08-18,1480.0,1495.0,1480.0,1485.0,93200
2022-08-19,1485.0,1490.0,1475.0,1480.0,555100
2022-08-22,1480.0,1495.0,1480.0,1480.0,489100
2022-08-23,1485.0,1490.0,1450.0,1485.0,369000
2022-08-24,1480.0,1490.0,1475.0,1485.0,177200
2022-08-25,1485.0,1490.0,1480.0,1480.0,271600
2022-08-26,1480.0,1485.0,1475.0,1485.0,535000
2022-08-29,1490.0,1490.0,1470.0,1480.0,103200
2022-08-30,1480.0,1485.0,1470.0,1480.0,129500
2022-08-31,1480.0,1480.0,1470.0,1475.0,320400
