date,open,high,low,close,volume
2022-07-04,166.0,171.0,160.0,168.0,62800
2022-07-05,168.0,168.0,158.0,165.0,82100
2022-07-06,165.0,165.0,161.0,161.0,16900
2022-07-07,165.0,166.0,161.0,165.0,41500
2022-07-08,165.0,165.0,160.0,160.0,31000
2022-07-11,165.0,167.0,161.0,167.0,26700
2022-07-12,167.0,173.0,167.0,167.0,9800
2022-07-13,173.0,173.0,165.0,169.0,3600
2022-07-14,173.0,173.0,164.0,170.0,500
2022-07-15,173.0,173.0,170.0,170.0,600
2022-07-18,161.0,169.0,161.0,163.0,19900
2022-07-19,167.0,167.0,161.0,167.0,5600
2022-07-20,167.0,168.0,164.0,164.0,5300
2022-07-21,169.0,169.0,165.0,165.0,2700
2022-07-22,170.0,170.0,164.0,164.0,5600
2022-07-25,170.0,170.0,167.0,167.0,2600
2022-07-26,170.0,170.0,162.0,168.0,7100
2022-07-27,170.0,170.0,164.0,164.0,7700
2022-07-28,170.0,170.0,165.0,165.0,4900
2022-07-29,170.0,170.0,163.0,168.0,21900
2022-08-01,168.0,168.0,163.0,167.0,6600
2022-08-02,171.0,171.0,166.0,166.0,25200
2022-08-03,171.0,171.0,166.0,166.0,15500
2022-08-04,166.0,168.0,166.0,166.0,22400
2022-08-05,170.0,170.0,166.0,168.0,4000
2022-08-08,174.0,174.0,167.0,167.0,16200
2022-08-09,167.0,169.0,167.0,167.0,4200
2022-08-10,168.0,170.0,167.0,168.0,700
2022-08-11,168.0,171.0,168.0,168.0,13200
2022-08-12,173.0,173.0,167.0,167.0,18600
2022-08-15,170.0,170.0,167.0,167.0,11900
2022-08-16,172.0,172.0,166.0,169.0,14900
2022-08-18,169.0,170.0,169.0,170.0,46300
2022-08-19,173.0,173.0,163.0,169.0,5600
2022-08-22,173.0,173.0,165.0,165.0,5100
2022-08-23,170.0,170.0,165.0,166.0,17100
2022-08-24,166.0,168.0,161.0,164.0,63200
2022-08-25,170.0,170.0,163.0,165.0,3900
2022-08-26,170.0,170.0,161.0,166.0,38400
2022-08-29,170.0,170.0,163.0,166.0,104100
2022-08-30,170.0,170.0,164.0,164.0,25800
2022-08-31,170.0,170.0,164.0,169.0,159000
2022-09-01,175.0,175.0,163.0,169.0,1700
2022-09-02,173.0,173.0,164.0,168.0,6900
2022-09-05,171.0,171.0,168.0,169.0,1200
2022-09-06,174.0,174.0,164.0,166.0,176700
2022-09-07,169.0,170.0,165.0,170.0,4000
2022-09-08,170.0,170.0,168.0,169.0,16800
2022-09-09,173.0,173.0,166.0,167.0,13400
2022-09-12,171.0,171.0,165.0,168.0,26500
2022-09-13,173.0,173.0,165.0,167.0,137400
2022-09-14,167.0,168.0,167.0,168.0,5300
2022-09-15,166.0,170.0,164.0,170.0,485400
2022-09-16,165.0,168.0,165.0,166.0,12700
2022-09-19,166.0,166.0,166.0,166.0,1400
2022-09-20,165.0,165.0,163.0,163.0,204300
2022-09-21,165.0,165.0,165.0,165.0,800
2022-09-22,170.0,170.0,162.0,163.0,38600
2022-09-23,169.0,169.0,163.0,163.0,2400
2022-09-26,163.0,165.0,159.0,165.0,71400
2022-09-27,165.0,165.0,160.0,161.0,5800
2022-09-28,166.0,166.0,162.0,162.0,19800
2022-09-29,162.0,165.0,162.0,165.0,1100
2022-09-30,165.0,172.0,165.0,168.0,88200
2022-10-03,172.0,172.0,166.0,166.0,42500
2022-10-04,166.0,166.0,158.0,161.0,306000
2022-10-05,157.0,161.0,152.0,154.0,262300
2022-10-06,154.0,166.0,150.0,155.0,232900
2022-10-07,155.0,159.0,155.0,157.0,4600
2022-10-10,160.0,166.0,151.0,155.0,135000
2022-10-11,151.0,161.0,151.0,154.0,6300
2022-10-12,160.0,166.0,153.0,159.0,20100
2022-10-13,159.0,159.0,148.0,151.0,157300
2022-10-14,150.0,150.0,150.0,150.0,38900
2022-10-17,153.0,156.0,150.0,150.0,14800
2022-10-18,150.0,154.0,150.0,154.0,5000
2022-10-19,158.0,158.0,150.0,150.0,33100
2022-10-20,150.0,150.0,150.0,150.0,1100
2022-10-21,153.0,184.0,150.0,152.0,1725300
2022-10-24,152.0,155.0,150.0,152.0,116500
2022-10-25,151.0,151.0,148.0,149.0,107700
2022-10-26,151.0,151.0,140.0,145.0,975700
2022-10-27,145.0,145.0,141.0,143.0,50400
2022-10-28,149.0,149.0,141.0,146.0,25500
2022-10-31,142.0,146.0,142.0,145.0,34700
2022-11-01,147.0,147.0,143.0,143.0,13300
2022-11-02,148.0,148.0,146.0,147.0,28600
2022-11-03,153.0,153.0,145.0,148.0,18300
2022-11-04,154.0,154.0,143.0,148.0,2300
2022-11-07,154.0,154.0,142.0,145.0,5100
2022-11-08,149.0,149.0,143.0,143.0,38700
2022-11-09,149.0,149.0,143.0,143.0,5800
2022-11-10,149.0,149.0,139.0,146.0,56300
2022-11-11,150.0,150.0,140.0,141.0,7600
2022-11-14,148.0,148.0,145.0,145.0,6700
2022-11-15,149.0,149.0,143.0,146.0,22100
2022-11-16,146.0,146.0,140.0,140.0,5400
