date,open,high,low,close,volume
2022-07-04,1425.0,1425.0,1330.0,1330.0,52300
2022-07-05,1265.0,1330.0,1240.0,1240.0,113600
2022-07-06,1240.0,1255.0,1155.0,1245.0,89500
2022-07-07,1240.0,1325.0,1225.0,1250.0,31900
2022-07-08,1250.0,1315.0,1250.0,1285.0,8800
2022-07-11,1285.0,1500.0,1280.0,1425.0,80300
2022-07-12,1425.0,1435.0,1330.0,1380.0,61300
2022-07-13,1375.0,1400.0,1345.0,1395.0,42900
2022-07-14,1395.0,1395.0,1330.0,1340.0,8800
2022-07-15,1345.0,1380.0,1325.0,1340.0,13500
2022-07-18,1340.0,1340.0,1250.0,1295.0,15900
2022-07-19,1300.0,1310.0,1270.0,1310.0,29700
2022-07-20,1310.0,1345.0,1305.0,1325.0,31400
2022-07-21,1325.0,1330.0,1305.0,1305.0,27500
2022-07-22,1305.0,1385.0,1300.0,1385.0,18800
2022-07-25,1380.0,1450.0,1375.0,1440.0,48000
2022-07-26,1435.0,1450.0,1390.0,1450.0,34900
2022-07-27,1450.0,1485.0,1430.0,1430.0,9500
2022-07-28,1435.0,1500.0,1435.0,1470.0,35900
2022-07-29,1470.0,1490.0,1450.0,1470.0,28500
2022-08-01,1470.0,1475.0,1425.0,1445.0,29000
2022-08-02,1445.0,1595.0,1445.0,1515.0,193600
2022-08-03,1520.0,1655.0,1515.0,1655.0,193400
2022-08-04,1655.0,1680.0,1600.0,1640.0,122700
2022-08-05,1640.0,1640.0,1605.0,1620.0,30700
2022-08-08,1620.0,1620.0,1600.0,1615.0,106400
2022-08-09,1620.0,1625.0,1600.0,1625.0,21500
2022-08-10,1615.0,1615.0,1540.0,1545.0,21400
2022-08-11,1550.0,1550.0,1530.0,1530.0,20800
2022-08-12,1530.0,1575.0,1510.0,1575.0,26700
2022-08-15,1575.0,1575.0,1540.0,1540.0,16900
2022-08-16,1540.0,1570.0,1520.0,1535.0,10000
2022-08-18,1535.0,1565.0,1515.0,1545.0,23400
2022-08-19,1545.0,1555.0,1525.0,1555.0,11100
2022-08-22,1555.0,1560.0,1500.0,1540.0,125200
2022-08-23,1500.0,1540.0,1500.0,1535.0,19100
2022-08-24,1530.0,1530.0,1500.0,1520.0,20700
2022-08-25,1520.0,1520.0,1500.0,1505.0,13000
2022-08-26,1520.0,1595.0,1500.0,1540.0,186100
2022-08-29,1540.0,1565.0,1520.0,1545.0,165500
2022-08-30,1545.0,1570.0,1530.0,1545.0,154300
2022-08-31,1550.0,1575.0,1530.0,1530.0,29500
2022-09-01,1530.0,1675.0,1530.0,1645.0,211100
2022-09-02,1650.0,1675.0,1540.0,1635.0,37300
2022-09-05,1610.0,1640.0,1610.0,1615.0,49100
2022-09-06,1615.0,1620.0,1595.0,1600.0,37500
2022-09-07,1600.0,1615.0,1585.0,1590.0,153200
2022-09-08,1600.0,1600.0,1550.0,1590.0,66400
2022-09-09,1600.0,1615.0,1590.0,1600.0,64800
2022-09-12,1600.0,1680.0,1590.0,1650.0,93400
2022-09-13,1650.0,1900.0,1645.0,1720.0,181600
2022-09-14,1720.0,1720.0,1660.0,1685.0,86400
2022-09-15,1685.0,1720.0,1670.0,1700.0,62000
2022-09-16,1670.0,1700.0,1660.0,1660.0,17200
2022-09-19,1660.0,1685.0,1640.0,1640.0,113800
2022-09-20,1640.0,1655.0,1615.0,1615.0,44400
2022-09-21,1615.0,1635.0,1575.0,1635.0,9400
2022-09-22,1630.0,1630.0,1600.0,1600.0,25400
2022-09-23,1620.0,1620.0,1605.0,1605.0,32300
2022-09-26,1500.0,1600.0,1500.0,1600.0,40800
2022-09-27,1600.0,1700.0,1585.0,1700.0,32800
2022-09-28,1695.0,1900.0,1620.0,1780.0,134400
2022-09-29,1775.0,1780.0,1660.0,1710.0,87000
2022-09-30,1710.0,1710.0,1600.0,1635.0,48000
2022-10-03,1635.0,1660.0,1610.0,1615.0,58000
2022-10-04,1610.0,1650.0,1605.0,1620.0,26000
2022-10-05,1620.0,1645.0,1550.0,1620.0,30200
2022-10-06,1610.0,1650.0,1580.0,1620.0,22900
2022-10-07,1600.0,1620.0,1555.0,1605.0,34600
2022-10-10,1605.0,1605.0,1515.0,1560.0,44100
2022-10-11,1575.0,1600.0,1545.0,1580.0,66300
2022-10-12,1580.0,1580.0,1510.0,1510.0,40600
2022-10-13,1515.0,1545.0,1480.0,1480.0,15000
2022-10-14,1480.0,1560.0,1475.0,1480.0,26000
2022-10-17,1485.0,1545.0,1435.0,1535.0,81800
2022-10-18,1505.0,1560.0,1465.0,1465.0,28000
2022-10-19,1465.0,1560.0,1405.0,1495.0,54100
2022-10-20,1505.0,1600.0,1465.0,1600.0,33000
2022-10-21,1590.0,1595.0,1500.0,1525.0,31100
2022-10-24,1525.0,1545.0,1470.0,1495.0,81900
2022-10-25,1520.0,1520.0,1460.0,1485.0,47500
2022-10-26,1530.0,1690.0,1465.0,1595.0,102800
2022-10-27,1560.0,1570.0,1500.0,1505.0,61500
2022-10-28,1505.0,1510.0,1475.0,1485.0,23500
2022-10-31,1490.0,1515.0,1405.0,1485.0,36600
2022-11-01,1525.0,1565.0,1410.0,1470.0,10300
2022-11-02,1420.0,1525.0,1420.0,1475.0,17200
2022-11-03,1485.0,1535.0,1465.0,1480.0,6900
2022-11-04,1475.0,1495.0,1435.0,1435.0,46500
2022-11-07,1480.0,1485.0,1350.0,1370.0,71300
2022-11-08,1370.0,1480.0,1370.0,1385.0,19500
2022-11-09,1385.0,1455.0,1385.0,1395.0,8700
2022-11-10,1395.0,1430.0,1370.0,1370.0,11500
2022-11-11,1375.0,1690.0,1355.0,1400.0,60700
2022-11-14,1400.0,1470.0,1400.0,1400.0,17400
2022-11-15,1430.0,1595.0,1405.0,1435.0,30000
2022-11-16,1455.0,1455.0,1410.0,1410.0,17300
2022-11-17,1410.0,1440.0,1385.0,1385.0,26600
2022-11-18,1390.0,1440.0,1350.0,1365.0,92900
2022-11-21,1365.0,1390.0,1305.0,1385.0,78100
2022-11-22,1375.0,1400.0,1350.0,1385.0,58200
2022-11-23,1390.0,1410.0,1375.0,1405.0,16000
