date,open,high,low,close,volume
2022-07-04,178.73,179.72,168.86,171.82,100529443
2022-07-05,171.82,176.76,171.82,174.78,62312649
2022-07-06,174.78,176.76,172.81,173.8,29408182
2022-07-07,173.8,176.76,172.81,173.8,36748101
2022-07-08,174.78,179.72,174.78,177.75,60308450
2022-07-11,177.75,189.6,177.75,187.62,172841315
2022-07-12,187.62,201.45,186.63,199.47,249679165
2022-07-13,201.45,205.4,194.53,196.51,305778505
2022-07-14,196.51,201.45,193.55,194.53,93534039
2022-07-15,194.53,213.29,194.53,199.47,700099541
2022-07-18,201.45,203.42,196.51,197.5,179801174
2022-07-19,197.5,205.4,195.52,205.4,187701511
2022-07-20,211.32,211.32,199.47,201.45,209304852
2022-07-21,201.45,207.37,197.5,201.45,168070570
2022-07-22,201.45,205.4,197.5,199.47,130665542
2022-07-25,199.47,201.45,195.52,197.5,116693569
2022-07-26,197.5,199.47,185.65,187.62,313235692
2022-07-27,179.72,193.55,179.72,190.58,137559880
2022-07-28,190.58,194.53,190.58,191.57,91745744
2022-07-29,187.62,193.55,187.62,189.6,63368674
2022-08-01,190.58,190.58,182.68,184.66,108707255
2022-08-02,184.66,188.61,182.68,185.65,78027245
2022-08-03,185.65,188.61,184.66,186.63,56981689
2022-08-04,186.63,190.58,185.65,187.62,69243546
2022-08-05,187.62,189.6,186.63,188.61,36322977
2022-08-08,188.61,189.6,187.62,187.62,42238964
2022-08-09,187.62,190.58,186.63,190.58,75035580
2022-08-10,190.58,190.58,185.65,185.65,51877063
2022-08-11,185.65,190.58,185.65,187.62,88354981
2022-08-12,187.62,188.61,185.65,185.65,42956854
2022-08-15,185.65,189.6,185.65,185.65,54078735
2022-08-16,185.65,188.61,185.65,185.65,52769540
2022-08-18,185.65,186.63,184.66,185.65,45387594
2022-08-19,185.65,188.61,184.66,185.65,46436328
2022-08-22,185.65,186.63,182.68,183.67,61303410
2022-08-23,183.67,184.66,180.71,182.68,59120169
2022-08-24,183.67,184.66,180.71,181.7,52794553
2022-08-25,182.68,183.67,179.72,180.71,57995687
2022-08-26,181.7,182.68,178.73,180.71,70742011
2022-08-29,179.72,179.72,177.75,178.73,31137944
2022-08-30,178.73,179.72,177.75,177.75,39258742
2022-08-31,178.73,183.67,177.75,180.71,136286433
2022-09-01,180.71,181.7,178.73,178.73,35794965
2022-09-02,178.73,181.7,177.75,178.73,34067937
2022-09-05,178.73,178.73,174.78,175.77,85442913
2022-09-06,175.77,176.76,174.78,174.78,44740086
2022-09-07,174.78,175.77,171.82,175.77,59501545
2022-09-08,175.77,176.76,173.8,174.78,44159515
2022-09-09,174.78,177.75,173.8,174.78,51094867
2022-09-12,174.78,176.76,173.8,174.78,29461956
2022-09-13,174.78,176.76,173.8,174.78,57795075
2022-09-14,173.8,175.77,171.82,173.8,40674370
2022-09-15,173.8,190.58,172.81,185.65,574185502
2022-09-16,185.65,192.56,182.68,182.68,186522141
2022-09-19,182.68,185.65,176.76,176.76,102299510
2022-09-20,177.75,179.72,173.8,174.78,90967903
2022-09-21,174.78,175.77,172.81,172.81,40934832
2022-09-22,174.78,175.77,172.81,174.78,41958451
2022-09-23,174.78,177.75,173.8,173.8,31112627
2022-09-26,173.8,174.78,170.83,171.82,52053573
2022-09-27,172.81,172.81,169.85,170.83,51302467
2022-09-28,170.83,173.8,168.86,168.86,125680210
2022-09-29,168.86,170.83,165.9,166.88,57381091
2022-09-30,165.9,166.88,158.0,160.96,96473450
2022-10-03,160.96,162.93,158.98,159.97,31386153
2022-10-04,159.97,162.93,159.97,162.93,40965719
2022-10-05,162.93,164.91,160.96,160.96,52256414
2022-10-06,160.96,164.91,158.98,159.97,55425703
2022-10-07,160.96,160.96,158.0,158.98,36028489
2022-10-10,158.98,159.97,154.05,156.02,66544850
2022-10-11,156.02,158.0,154.05,154.05,22098543
2022-10-12,154.05,157.01,150.1,151.08,84557322
2022-10-13,151.08,151.08,147.13,147.13,76165429
2022-10-14,147.13,148.12,137.26,137.26,183607947
2022-10-17,138.25,138.25,128.37,134.3,167447163
2022-10-18,135.28,143.18,133.31,138.25,162747306
2022-10-19,138.25,140.22,131.33,134.3,143833648
2022-10-20,134.3,137.26,133.31,135.28,35700988
2022-10-21,135.28,141.21,135.28,136.27,95934298
2022-10-24,136.27,144.17,135.28,141.21,130365687
2022-10-25,141.21,157.01,141.21,147.13,615219172
2022-10-26,147.13,148.12,140.22,141.21,184222138
2022-10-27,141.21,143.18,136.27,136.27,109994273
2022-10-28,136.27,138.25,134.3,134.3,58594993
2022-10-31,134.3,138.25,133.31,133.31,61478301
2022-11-01,133.31,136.27,133.31,133.31,37994712
2022-11-02,133.31,133.31,130.35,130.35,52925189
2022-11-03,130.35,130.35,127.38,129.36,130845090
2022-11-04,129.36,132.32,127.38,129.36,60858742
2022-11-07,129.36,132.32,128.37,130.35,70982422
2022-11-08,130.35,135.28,130.35,132.32,82863713
2022-11-09,132.32,134.3,130.35,131.33,90266114
2022-11-10,131.33,133.31,130.35,130.35,51710679
2022-11-11,129.36,134.3,129.36,131.33,112422887
2022-11-14,131.33,133.31,130.35,130.35,70734923
2022-11-15,130.35,137.26,130.35,133.31,150486057
2022-11-16,133.31,134.3,130.35,131.33,60092850
2022-11-17,131.33,132.32,130.35,130.35,47081406
2022-11-18,130.35,133.31,130.35,130.35,54460415
2022-11-21,130.35,132.32,130.35,130.35,63290292
2022-11-22,131.33,133.31,129.36,130.35,65310694
2022-11-23,130.35,132.32,129.36,130.35,40635686
2022-11-24,130.35,131.33,129.36,130.35,48037176
2022-11-25,130.35,131.33,128.37,129.36,47295892
2022-11-28,129.36,130.35,127.38,128.37,47820968
2022-11-29,128.37,128.37,123.43,126.4,119957443
2022-11-30,126.4,127.38,124.42,127.38,57157794
2022-12-01,127.38,127.38,124.42,125.41,50861647
2022-12-02,125.41,125.41,123.43,124.42,45014725
2022-12-05,124.42,125.41,116.52,118.5,157038109
2022-12-06,118.5,118.5,111.58,112.57,65598802
2022-12-07,112.57,112.57,107.63,108.62,50620426
2022-12-08,108.62,109.61,103.69,108.62,68243522
2022-12-09,108.62,110.6,106.65,107.63,57090856
2022-12-12,107.63,114.55,106.65,110.6,77803949
