date,open,high,low,close,volume
2022-07-04,1340.0,1450.0,1265.0,1345.0,269400
2022-07-05,1345.0,1360.0,1310.0,1345.0,17600
2022-07-06,1350.0,1660.0,1330.0,1405.0,389200
2022-07-07,1385.0,1385.0,1310.0,1350.0,276600
2022-07-08,1335.0,1650.0,1260.0,1445.0,112200
2022-07-11,1445.0,1445.0,1355.0,1400.0,13400
2022-07-12,1345.0,1590.0,1315.0,1510.0,54600
2022-07-13,1450.0,1510.0,1405.0,1465.0,68800
2022-07-14,1465.0,1465.0,1365.0,1400.0,75300
2022-07-15,1350.0,1375.0,1305.0,1305.0,310400
2022-07-18,1255.0,1255.0,1215.0,1215.0,333700
2022-07-19,1205.0,1360.0,1130.0,1150.0,648000
2022-07-20,1185.0,1250.0,1070.0,1070.0,115200
2022-07-21,1070.0,1085.0,1000.0,1000.0,95800
2022-07-22,950.0,1000.0,930.0,935.0,431200
2022-07-25,960.0,975.0,920.0,920.0,73400
2022-07-26,925.0,950.0,915.0,925.0,14800
2022-07-27,950.0,960.0,880.0,935.0,35600
2022-07-28,940.0,940.0,910.0,915.0,22100
2022-07-29,925.0,935.0,920.0,920.0,13200
2022-08-01,930.0,930.0,900.0,900.0,9500
2022-08-02,900.0,915.0,880.0,910.0,15400
2022-08-03,910.0,910.0,870.0,885.0,8200
2022-08-04,890.0,890.0,845.0,850.0,8600
2022-08-05,850.0,890.0,850.0,890.0,8800
2022-08-08,895.0,900.0,855.0,855.0,25500
2022-08-09,850.0,860.0,845.0,850.0,12300
2022-08-10,850.0,855.0,850.0,850.0,3600
2022-08-11,850.0,880.0,850.0,860.0,700
2022-08-12,890.0,900.0,860.0,880.0,3100
2022-08-15,880.0,885.0,880.0,885.0,5000
2022-08-16,920.0,920.0,885.0,885.0,1700
2022-08-18,885.0,885.0,860.0,870.0,6400
2022-08-19,870.0,870.0,870.0,870.0,1600
2022-08-22,870.0,870.0,865.0,865.0,1400
2022-08-23,865.0,900.0,865.0,880.0,5800
2022-08-24,870.0,870.0,870.0,870.0,2100
2022-08-25,875.0,890.0,860.0,860.0,1600
2022-08-26,850.0,860.0,850.0,860.0,8000
2022-08-29,860.0,860.0,825.0,860.0,7700
2022-08-30,825.0,1030.0,810.0,820.0,67000
2022-08-31,845.0,845.0,845.0,845.0,100
2022-09-01,895.0,895.0,870.0,875.0,3200
2022-09-02,870.0,870.0,850.0,850.0,400
2022-09-05,850.0,875.0,810.0,840.0,18100
2022-09-06,805.0,840.0,800.0,815.0,21900
2022-09-07,870.0,870.0,800.0,800.0,13100
2022-09-08,825.0,835.0,805.0,815.0,3400
2022-09-09,805.0,805.0,800.0,805.0,1200
2022-09-12,810.0,825.0,800.0,815.0,9400
2022-09-13,815.0,825.0,805.0,810.0,5800
2022-09-14,830.0,830.0,815.0,815.0,700
2022-09-15,815.0,815.0,795.0,815.0,800
2022-09-16,795.0,810.0,795.0,800.0,3900
2022-09-19,810.0,820.0,810.0,820.0,2500
2022-09-20,820.0,820.0,820.0,820.0,100
2022-09-21,815.0,815.0,810.0,810.0,4600
2022-09-22,805.0,810.0,800.0,800.0,6000
2022-09-23,800.0,820.0,795.0,820.0,16300
2022-09-26,815.0,825.0,800.0,825.0,14100
2022-09-27,810.0,810.0,810.0,810.0,500
2022-09-28,835.0,885.0,835.0,835.0,12500
2022-09-29,875.0,875.0,825.0,825.0,5700
2022-09-30,870.0,870.0,785.0,810.0,11400
2022-10-03,810.0,815.0,775.0,805.0,1100
2022-10-04,810.0,900.0,795.0,795.0,84600
2022-10-05,820.0,820.0,795.0,815.0,18500
2022-10-06,820.0,870.0,805.0,805.0,64400
2022-10-07,795.0,825.0,785.0,800.0,351100
2022-10-10,780.0,785.0,780.0,780.0,5300
2022-10-11,800.0,800.0,755.0,755.0,62500
2022-10-12,740.0,740.0,730.0,730.0,4900
2022-10-13,880.0,880.0,705.0,730.0,5600
2022-10-14,730.0,730.0,715.0,720.0,5400
2022-10-17,755.0,870.0,715.0,725.0,1800
2022-10-18,750.0,750.0,750.0,750.0,100
2022-10-19,750.0,750.0,750.0,750.0,500
2022-10-20,785.0,785.0,700.0,720.0,22300
2022-10-21,725.0,725.0,720.0,720.0,2000
2022-10-24,715.0,720.0,700.0,700.0,1300
2022-10-25,705.0,705.0,705.0,705.0,200
2022-10-26,705.0,710.0,705.0,710.0,6100
2022-10-27,720.0,720.0,700.0,705.0,3100
2022-10-28,715.0,755.0,715.0,745.0,8800
2022-10-31,745.0,780.0,730.0,730.0,4100
2022-11-01,730.0,730.0,705.0,705.0,2600
2022-11-02,705.0,710.0,705.0,710.0,1100
2022-11-03,710.0,710.0,710.0,710.0,0
2022-11-04,700.0,705.0,700.0,705.0,5700
2022-11-07,725.0,730.0,725.0,730.0,200
2022-11-08,695.0,700.0,695.0,695.0,1400
2022-11-09,700.0,700.0,695.0,700.0,6100
2022-11-10,700.0,710.0,700.0,700.0,4300
2022-11-11,700.0,875.0,700.0,875.0,19700
2022-11-14,940.0,940.0,815.0,815.0,50300
2022-11-15,820.0,835.0,810.0,810.0,16700
2022-11-16,790.0,790.0,775.0,775.0,14000
2022-11-17,780.0,780.0,775.0,775.0,1100
2022-11-18,775.0,780.0,750.0,780.0,1100
2022-11-21,780.0,800.0,760.0,770.0,500
2022-11-22,770.0,770.0,770.0,770.0,0
2022-11-23,770.0,770.0,745.0,750.0,1200
2022-11-24,750.0,790.0,750.0,790.0,1800
2022-11-25,790.0,810.0,790.0,790.0,7600
2022-11-28,790.0,790.0,790.0,790.0,200
2022-11-29,785.0,785.0,785.0,785.0,100
2022-11-30,810.0,810.0,755.0,760.0,3100
2022-12-01,760.0,760.0,720.0,720.0,6400
2022-12-02,720.0,775.0,720.0,775.0,500
2022-12-05,750.0,750.0,725.0,725.0,2500
2022-12-06,725.0,725.0,680.0,685.0,15500
2022-12-07,695.0,845.0,690.0,845.0,4000
2022-12-08,840.0,865.0,790.0,795.0,21300
2022-12-09,745.0,810.0,740.0,740.0,4500
2022-12-12,740.0,745.0,740.0,740.0,2500
2022-12-13,755.0,785.0,755.0,765.0,500
2022-12-14,765.0,785.0,750.0,750.0,15500
2022-12-15,750.0,785.0,705.0,785.0,2100
2022-12-16,735.0,765.0,735.0,735.0,1300
2022-12-19,795.0,795.0,795.0,795.0,100
2022-12-20,795.0,795.0,745.0,745.0,200
2022-12-21,745.0,745.0,745.0,745.0,0
2022-12-22,745.0,810.0,700.0,810.0,1100
2022-12-23,800.0,800.0,770.0,800.0,3500
2022-12-26,800.0,800.0,755.0,795.0,1600
2022-12-27,805.0,805.0,745.0,745.0,2900
2022-12-28,755.0,755.0,745.0,745.0,600
2022-12-29,745.0,745.0,745.0,745.0,0
2022-12-30,745.0,745.0,745.0,745.0,600
2023-01-02,745.0,745.0,745.0,745.0,1100
2023-01-03,735.0,735.0,735.0,735.0,100
2023-01-04,760.0,760.0,740.0,740.0,400
2023-01-05,735.0,750.0,735.0,750.0,2100
2023-01-06,715.0,715.0,715.0,715.0,100
2023-01-09,725.0,735.0,725.0,725.0,3000
2023-01-10,720.0,720.0,720.0,720.0,300
2023-01-11,720.0,720.0,720.0,720.0,0
2023-01-12,735.0,765.0,735.0,765.0,200
2023-01-13,760.0,760.0,760.0,760.0,400
2023-01-16,760.0,760.0,760.0,760.0,0
2023-01-17,735.0,785.0,735.0,785.0,200
2023-01-18,785.0,785.0,780.0,780.0,1400
2023-01-19,735.0,775.0,735.0,775.0,1400
2023-01-20,745.0,745.0,740.0,745.0,1000
2023-01-24,765.0,765.0,765.0,765.0,100
2023-01-25,765.0,765.0,720.0,735.0,1200
2023-01-26,735.0,735.0,730.0,735.0,900
2023-01-27,735.0,735.0,735.0,735.0,200
2023-01-30,735.0,740.0,735.0,740.0,1100
2023-01-31,740.0,740.0,740.0,740.0,3200
2023-02-01,750.0,750.0,740.0,740.0,1000
2023-02-02,740.0,825.0,740.0,825.0,3300
2023-02-03,825.0,825.0,770.0,770.0,10600
2023-02-06,770.0,795.0,755.0,755.0,1100
2023-02-07,755.0,815.0,755.0,815.0,2100
2023-02-08,785.0,795.0,760.0,780.0,6100
2023-02-09,785.0,785.0,755.0,770.0,500
2023-02-10,760.0,770.0,730.0,770.0,1000
2023-02-13,770.0,770.0,745.0,755.0,800
2023-02-14,730.0,750.0,730.0,750.0,800
2023-02-15,760.0,760.0,735.0,735.0,600
2023-02-16,735.0,735.0,735.0,735.0,0
2023-02-17,735.0,735.0,695.0,695.0,400
2023-02-20,700.0,700.0,700.0,700.0,100
2023-02-21,700.0,715.0,700.0,710.0,600
2023-02-22,710.0,725.0,710.0,725.0,200
2023-02-23,720.0,720.0,720.0,720.0,200
2023-02-24,715.0,720.0,715.0,720.0,300
2023-02-27,720.0,750.0,720.0,720.0,1000
2023-02-28,720.0,745.0,720.0,725.0,500
2023-03-01,725.0,725.0,725.0,725.0,200
2023-03-02,745.0,745.0,725.0,725.0,600
2023-03-03,725.0,725.0,710.0,710.0,2700
2023-03-06,710.0,710.0,710.0,710.0,200
2023-03-07,710.0,770.0,710.0,715.0,3500
