date,open,high,low,close,volume
2022-07-04,312.0,312.0,292.0,306.0,28200
2022-07-05,298.0,306.0,296.0,302.0,13800
2022-07-06,312.0,312.0,296.0,312.0,201200
2022-07-07,308.0,308.0,300.0,306.0,19600
2022-07-08,312.0,316.0,292.0,304.0,12600
2022-07-11,304.0,316.0,304.0,312.0,38800
2022-07-12,312.0,312.0,300.0,300.0,5100
2022-07-13,300.0,312.0,300.0,310.0,6200
2022-07-14,310.0,316.0,308.0,316.0,20100
2022-07-15,316.0,316.0,302.0,314.0,2000
2022-07-18,314.0,320.0,294.0,314.0,10800
2022-07-19,296.0,316.0,296.0,312.0,4300
2022-07-20,316.0,316.0,302.0,314.0,7300
2022-07-21,316.0,316.0,300.0,314.0,700
2022-07-22,314.0,316.0,300.0,312.0,21700
2022-07-25,314.0,314.0,304.0,304.0,2300
2022-07-26,310.0,340.0,306.0,328.0,273700
2022-07-27,328.0,328.0,318.0,322.0,43000
2022-07-28,322.0,336.0,318.0,332.0,52600
2022-07-29,326.0,338.0,326.0,336.0,32800
2022-08-01,332.0,338.0,322.0,338.0,37200
2022-08-02,338.0,340.0,328.0,340.0,5100
2022-08-03,338.0,400.0,338.0,388.0,1100900
2022-08-04,388.0,404.0,376.0,396.0,307700
2022-08-05,396.0,408.0,390.0,400.0,67000
2022-08-08,400.0,412.0,384.0,410.0,36600
2022-08-09,410.0,410.0,392.0,402.0,51000
2022-08-10,402.0,410.0,374.0,384.0,5200
2022-08-11,384.0,418.0,380.0,396.0,45400
2022-08-12,396.0,398.0,372.0,382.0,11400
2022-08-15,380.0,400.0,372.0,376.0,149700
2022-08-16,376.0,398.0,364.0,388.0,36100
2022-08-18,388.0,410.0,366.0,372.0,176600
2022-08-19,384.0,390.0,370.0,380.0,56700
2022-08-22,380.0,386.0,378.0,378.0,52400
2022-08-23,378.0,400.0,378.0,400.0,106900
2022-08-24,390.0,390.0,378.0,378.0,50100
2022-08-25,378.0,390.0,378.0,388.0,7300
2022-08-26,390.0,390.0,390.0,390.0,18000
2022-08-29,380.0,392.0,378.0,392.0,19200
2022-08-30,392.0,394.0,390.0,390.0,12300
2022-08-31,390.0,390.0,370.0,390.0,29900
2022-09-01,390.0,400.0,390.0,400.0,4300
2022-09-02,400.0,400.0,382.0,400.0,3100
2022-09-05,400.0,400.0,400.0,400.0,1700
2022-09-06,386.0,386.0,386.0,386.0,100
2022-09-07,396.0,396.0,380.0,392.0,4000
2022-09-08,394.0,400.0,382.0,386.0,12800
2022-09-09,388.0,398.0,378.0,388.0,6100
2022-09-12,378.0,394.0,378.0,394.0,15100
2022-09-13,394.0,410.0,380.0,400.0,980800
2022-09-14,386.0,398.0,380.0,382.0,655100
2022-09-15,390.0,398.0,376.0,398.0,148100
2022-09-16,396.0,396.0,378.0,380.0,43800
2022-09-19,380.0,390.0,380.0,380.0,98400
2022-09-20,382.0,382.0,374.0,376.0,2200
2022-09-21,378.0,390.0,378.0,382.0,51300
2022-09-22,380.0,390.0,378.0,390.0,26900
2022-09-23,388.0,388.0,384.0,384.0,700
2022-09-26,384.0,384.0,378.0,378.0,2500
2022-09-27,378.0,386.0,368.0,386.0,11700
2022-09-28,366.0,390.0,366.0,390.0,38200
2022-09-29,390.0,390.0,390.0,390.0,2200
2022-09-30,378.0,388.0,366.0,388.0,19200
2022-10-03,388.0,390.0,378.0,378.0,1500
2022-10-04,384.0,384.0,358.0,378.0,4100
2022-10-05,378.0,396.0,370.0,380.0,11600
2022-10-06,380.0,384.0,370.0,384.0,11900
2022-10-07,374.0,386.0,374.0,386.0,16500
2022-10-10,378.0,390.0,376.0,382.0,12400
2022-10-11,384.0,396.0,380.0,380.0,207400
2022-10-12,384.0,384.0,372.0,378.0,10600
2022-10-13,378.0,386.0,378.0,386.0,15800
2022-10-14,376.0,396.0,376.0,396.0,16700
2022-10-17,396.0,418.0,372.0,376.0,99500
2022-10-18,382.0,388.0,380.0,388.0,20000
2022-10-19,390.0,440.0,382.0,414.0,319700
2022-10-20,408.0,418.0,400.0,416.0,8200
2022-10-21,416.0,440.0,402.0,430.0,972000
2022-10-24,428.0,450.0,416.0,440.0,121900
2022-10-25,438.0,440.0,420.0,430.0,54300
2022-10-26,432.0,432.0,422.0,428.0,27000
2022-10-27,444.0,444.0,426.0,438.0,34600
2022-10-28,428.0,440.0,428.0,440.0,100000
2022-10-31,426.0,440.0,426.0,440.0,2600
2022-11-01,426.0,438.0,424.0,438.0,7000
2022-11-02,436.0,440.0,408.0,434.0,168000
2022-11-03,406.0,436.0,406.0,436.0,800
2022-11-04,436.0,436.0,420.0,424.0,22600
2022-11-07,436.0,436.0,396.0,436.0,277300
2022-11-08,416.0,438.0,416.0,438.0,9000
2022-11-09,436.0,464.0,418.0,444.0,44300
2022-11-10,442.0,444.0,424.0,436.0,16200
2022-11-11,436.0,444.0,436.0,442.0,7300
2022-11-14,440.0,440.0,430.0,430.0,1900
2022-11-15,430.0,446.0,430.0,438.0,2400
2022-11-16,436.0,436.0,436.0,436.0,500
2022-11-17,446.0,446.0,438.0,444.0,124400
2022-11-18,444.0,444.0,420.0,442.0,131000
2022-11-21,430.0,444.0,428.0,436.0,25700
2022-11-22,436.0,436.0,430.0,432.0,1300
2022-11-23,432.0,436.0,426.0,436.0,99800
2022-11-24,436.0,436.0,424.0,436.0,2800
2022-11-25,440.0,444.0,430.0,440.0,7300
2022-11-28,438.0,444.0,438.0,440.0,2700
2022-11-29,440.0,446.0,440.0,444.0,3300
2022-11-30,444.0,444.0,432.0,444.0,1900
2022-12-01,442.0,444.0,430.0,440.0,32300
2022-12-02,440.0,446.0,430.0,444.0,3300
2022-12-05,428.0,452.0,428.0,448.0,84200
2022-12-06,448.0,448.0,432.0,432.0,600
2022-12-07,440.0,446.0,438.0,446.0,600
2022-12-08,446.0,446.0,444.0,444.0,8200
2022-12-09,446.0,448.0,428.0,448.0,43900
2022-12-12,448.0,448.0,430.0,448.0,134000
2022-12-13,448.0,450.0,438.0,448.0,142400
2022-12-14,448.0,448.0,436.0,448.0,45400
2022-12-15,448.0,448.0,446.0,446.0,200
2022-12-16,436.0,446.0,436.0,438.0,13100
2022-12-19,438.0,446.0,432.0,446.0,7800
2022-12-20,444.0,462.0,430.0,448.0,81500
2022-12-21,448.0,448.0,434.0,444.0,46400
