date,open,high,low,close,volume
2022-11-08,690.0,860.0,690.0,860.0,42598400
2022-11-09,910.0,1045.0,800.0,930.0,56761600
2022-11-10,925.0,960.0,875.0,920.0,18815200
2022-11-11,920.0,925.0,860.0,860.0,6998700
2022-11-14,820.0,860.0,800.0,835.0,6504200
2022-11-15,835.0,850.0,795.0,805.0,3143600
2022-11-16,770.0,810.0,770.0,800.0,1237000
2022-11-17,800.0,835.0,790.0,830.0,1330500
2022-11-18,830.0,835.0,810.0,810.0,766700
2022-11-21,810.0,820.0,805.0,810.0,1633600
2022-11-22,810.0,820.0,810.0,815.0,858300
2022-11-23,815.0,820.0,810.0,820.0,689000
2022-11-24,825.0,835.0,820.0,825.0,605900
2022-11-25,820.0,825.0,805.0,820.0,240700
2022-11-28,820.0,820.0,800.0,810.0,996800
2022-11-29,800.0,820.0,800.0,815.0,814700
2022-11-30,815.0,895.0,805.0,855.0,1556000
2022-12-01,855.0,855.0,815.0,855.0,984000
2022-12-02,850.0,880.0,850.0,870.0,1121100
2022-12-05,880.0,1085.0,855.0,1085.0,14648500
2022-12-06,1160.0,1325.0,1050.0,1100.0,16194800
2022-12-07,1100.0,1335.0,1100.0,1300.0,5834200
2022-12-08,1310.0,1475.0,1240.0,1420.0,5511300
2022-12-09,1425.0,1450.0,1350.0,1355.0,4772600
2022-12-12,1360.0,1475.0,1355.0,1475.0,2547200
2022-12-13,1475.0,1555.0,1425.0,1535.0,2356200
2022-12-14,1535.0,1600.0,1500.0,1505.0,3779000
2022-12-15,1505.0,1570.0,1505.0,1515.0,924000
2022-12-16,1520.0,1725.0,1520.0,1665.0,7548300
2022-12-19,1675.0,1675.0,1550.0,1550.0,1412800
2022-12-20,1445.0,1450.0,1445.0,1445.0,953400
2022-12-21,1345.0,1745.0,1345.0,1745.0,19415900
2022-12-22,1750.0,1750.0,1725.0,1745.0,3810500
2022-12-23,1745.0,1860.0,1735.0,1845.0,18496300
2022-12-26,1865.0,1875.0,1745.0,1855.0,10089800
2022-12-27,1850.0,1930.0,1745.0,1920.0,6019000
2022-12-28,1920.0,1920.0,1880.0,1900.0,954600
2022-12-29,1900.0,1990.0,1790.0,1970.0,6929000
2022-12-30,1980.0,2250.0,1910.0,2180.0,7236300
2023-01-02,2180.0,2290.0,2040.0,2240.0,1360400
2023-01-03,2230.0,2520.0,2200.0,2240.0,1914400
2023-01-04,2240.0,2380.0,2090.0,2160.0,1342700
2023-01-05,2160.0,2160.0,2010.0,2080.0,1412200
2023-01-06,2080.0,2080.0,1935.0,1935.0,3590300
2023-01-09,1800.0,2020.0,1800.0,1900.0,1709800
2023-01-10,1900.0,2000.0,1820.0,1860.0,4144400
2023-01-11,1860.0,1915.0,1820.0,1825.0,283600
2023-01-12,1825.0,1880.0,1820.0,1825.0,260400
2023-01-13,1835.0,1980.0,1835.0,1905.0,700200
2023-01-16,1905.0,1960.0,1835.0,1845.0,403800
2023-01-17,1880.0,1880.0,1805.0,1830.0,245200
2023-01-18,1825.0,1910.0,1720.0,1855.0,904100
2023-01-19,1850.0,1885.0,1845.0,1875.0,159500
2023-01-20,1870.0,1870.0,1830.0,1830.0,60700
2023-01-24,1830.0,2000.0,1810.0,1945.0,477900
2023-01-25,1950.0,2000.0,1950.0,1980.0,203300
2023-01-26,1980.0,2050.0,1950.0,2010.0,381800
2023-01-27,2010.0,2050.0,2010.0,2040.0,386100
2023-01-30,2040.0,2080.0,2040.0,2050.0,232400
2023-01-31,2050.0,2050.0,1910.0,1990.0,688000
2023-02-01,1970.0,2080.0,1910.0,1995.0,568900
2023-02-02,1990.0,2030.0,1980.0,2000.0,131100
2023-02-03,2040.0,2050.0,1990.0,1990.0,270500
2023-02-06,1990.0,2050.0,1990.0,1995.0,97600
2023-02-07,2020.0,2020.0,1950.0,1960.0,236100
2023-02-08,1960.0,1990.0,1900.0,1955.0,108300
2023-02-09,1955.0,2010.0,1955.0,2000.0,264400
2023-02-10,2000.0,2050.0,1990.0,2000.0,176400
2023-02-13,1990.0,2040.0,1985.0,1995.0,98400
2023-02-14,2030.0,2040.0,1995.0,2000.0,39900
2023-02-15,1995.0,2030.0,1990.0,1990.0,180700
2023-02-16,2000.0,2020.0,1985.0,2000.0,56500
2023-02-17,2000.0,2000.0,1980.0,1985.0,83700
2023-02-20,1985.0,2000.0,1980.0,1985.0,107600
2023-02-21,1985.0,1985.0,1965.0,1970.0,38400
2023-02-22,1970.0,1995.0,1965.0,1965.0,32700
2023-02-23,1965.0,1975.0,1935.0,1935.0,63900
2023-02-24,1935.0,1950.0,1920.0,1925.0,66700
2023-02-27,1920.0,1925.0,1820.0,1850.0,140500
2023-02-28,1850.0,1955.0,1845.0,1895.0,132300
2023-03-01,1895.0,1895.0,1865.0,1865.0,36700
2023-03-02,1870.0,1895.0,1865.0,1885.0,45300
2023-03-03,1865.0,1885.0,1765.0,1785.0,42800
2023-03-06,1760.0,1835.0,1665.0,1810.0,492900
2023-03-07,1785.0,1905.0,1785.0,1870.0,198800
2023-03-08,1910.0,1930.0,1905.0,1905.0,177900
2023-03-09,1905.0,1940.0,1900.0,1905.0,127400
2023-03-10,1905.0,1940.0,1840.0,1840.0,17400
2023-03-13,1840.0,1900.0,1800.0,1860.0,53000
2023-03-14,1900.0,1935.0,1870.0,1880.0,44600
2023-03-15,1910.0,1910.0,1860.0,1885.0,215100
2023-03-16,1900.0,1900.0,1755.0,1835.0,26500
2023-03-17,1835.0,1835.0,1765.0,1830.0,68200
2023-03-20,1790.0,1790.0,1705.0,1705.0,146500
2023-03-21,1700.0,1805.0,1700.0,1730.0,55600
2023-03-24,1745.0,1805.0,1680.0,1695.0,137200
2023-03-27,1695.0,1750.0,1670.0,1710.0,86900
2023-03-28,1760.0,1975.0,1705.0,1780.0,224700
2023-03-29,1780.0,1820.0,1750.0,1785.0,64200
2023-03-30,1775.0,1940.0,1750.0,1925.0,158300
2023-03-31,1925.0,2020.0,1855.0,2020.0,652800
2023-04-03,2050.0,2050.0,1890.0,1900.0,162700
2023-04-04,1855.0,1875.0,1825.0,1850.0,39700
2023-04-05,1820.0,1830.0,1775.0,1775.0,58900
2023-04-06,1775.0,1800.0,1740.0,1740.0,81500
2023-04-10,1740.0,1775.0,1695.0,1745.0,77000
2023-04-11,1745.0,1790.0,1745.0,1790.0,57700
2023-04-12,1790.0,1800.0,1760.0,1770.0,20300
2023-04-13,1760.0,1775.0,1665.0,1775.0,161900
2023-04-14,1775.0,1805.0,1735.0,1790.0,43900
2023-04-17,1790.0,1825.0,1705.0,1810.0,51000
2023-04-18,1810.0,1820.0,1750.0,1810.0,6300
2023-04-26,1755.0,1950.0,1720.0,1865.0,41500
2023-04-27,1830.0,1950.0,1760.0,1900.0,14600
2023-04-28,1885.0,1950.0,1885.0,1940.0,98200
2023-05-02,1940.0,1940.0,1810.0,1890.0,26100
2023-05-03,1890.0,1940.0,1890.0,1935.0,5200
2023-05-04,1945.0,1950.0,1880.0,1940.0,100700
2023-05-05,1940.0,1965.0,1930.0,1930.0,77800
2023-05-08,1965.0,1990.0,1900.0,1985.0,104700
2023-05-09,1985.0,2090.0,1965.0,2080.0,228100
2023-05-10,2000.0,2240.0,1990.0,2240.0,154200
2023-05-11,2260.0,2280.0,2200.0,2240.0,56300
2023-05-12,2250.0,2250.0,2150.0,2170.0,97200
2023-05-15,2170.0,2170.0,2020.0,2110.0,151700
2023-05-16,2110.0,2290.0,2110.0,2260.0,136700
2023-05-17,2280.0,2350.0,2110.0,2140.0,145400
2023-05-19,2240.0,2240.0,1995.0,2030.0,175300
2023-05-22,2030.0,2130.0,2030.0,2040.0,45400
2023-05-23,2090.0,2200.0,2090.0,2150.0,56400
2023-05-24,2050.0,2100.0,2030.0,2040.0,25400
2023-05-25,2040.0,2140.0,2030.0,2120.0,54800
2023-05-26,2070.0,2100.0,2070.0,2080.0,57800
2023-05-29,1985.0,2040.0,1935.0,1935.0,101400
2023-05-30,2010.0,2050.0,1935.0,2050.0,12100
2023-05-31,2050.0,2050.0,1910.0,1910.0,101800
2023-06-05,1930.0,1965.0,1855.0,1965.0,31900
2023-06-06,1965.0,1965.0,1930.0,1955.0,23400
2023-06-07,1955.0,1960.0,1910.0,1920.0,14900
2023-06-08,1955.0,2150.0,1935.0,1965.0,28700
2023-06-09,1950.0,2000.0,1950.0,2000.0,6500
2023-06-12,1990.0,1995.0,1955.0,1970.0,65600
2023-06-13,1990.0,1990.0,1950.0,1970.0,15100
2023-06-14,1970.0,1970.0,1910.0,1920.0,21000
2023-06-15,1955.0,2000.0,1910.0,1995.0,13100
2023-06-16,1995.0,1995.0,1990.0,1990.0,200
2023-06-19,1950.0,1995.0,1950.0,1995.0,16200
2023-06-20,1990.0,2010.0,1980.0,2000.0,79700
2023-06-21,1990.0,2070.0,1930.0,2070.0,159100
2023-06-22,2070.0,2100.0,2000.0,2100.0,88900
2023-06-23,2100.0,2310.0,2010.0,2270.0,300900
2023-06-26,2270.0,2290.0,2160.0,2290.0,183800
2023-06-27,2300.0,2450.0,2200.0,2420.0,333400
2023-07-03,2420.0,2420.0,2060.0,2370.0,371500
2023-07-04,2300.0,2590.0,2210.0,2450.0,503200
2023-07-05,2450.0,2450.0,2320.0,2430.0,440200
2023-07-06,2430.0,2480.0,2360.0,2480.0,346400
2023-07-07,2480.0,2690.0,2360.0,2690.0,494300
2023-07-10,2700.0,2990.0,2700.0,2910.0,211200
2023-07-11,2940.0,2940.0,2490.0,2900.0,326200
2023-07-12,2900.0,3190.0,2700.0,2960.0,336700
2023-07-13,2960.0,2960.0,2830.0,2840.0,25000
2023-07-14,2800.0,2830.0,2730.0,2740.0,60100
2023-07-17,2690.0,2690.0,2530.0,2610.0,71400
2023-07-18,2610.0,2990.0,2560.0,2900.0,72500
2023-07-20,2900.0,2970.0,2740.0,2800.0,44000
2023-07-21,2800.0,2800.0,2640.0,2740.0,31300
2023-07-24,2730.0,2810.0,2730.0,2750.0,12600
2023-07-25,2750.0,2750.0,2600.0,2690.0,19400
2023-07-26,2690.0,2690.0,2560.0,2630.0,74900
2023-07-27,2620.0,2700.0,2530.0,2670.0,144100
2023-07-28,2540.0,2630.0,2530.0,2530.0,18900
2023-07-31,2510.0,2750.0,2410.0,2700.0,64600
2023-08-01,2700.0,2720.0,2500.0,2520.0,53200
2023-08-02,2500.0,2800.0,2330.0,2700.0,126500
2023-08-03,2700.0,2760.0,2700.0,2700.0,24300
