date,open,high,low,close,volume
2022-07-04,1120.0,1120.0,1070.0,1090.0,131400
2022-07-05,1090.0,1105.0,1080.0,1095.0,74000
2022-07-06,1105.0,1105.0,1095.0,1100.0,33200
2022-07-07,1090.0,1110.0,1080.0,1100.0,34600
2022-07-08,1105.0,1105.0,1085.0,1105.0,125100
2022-07-11,1105.0,1120.0,1100.0,1105.0,13800
2022-07-12,1115.0,1115.0,1095.0,1110.0,92000
2022-07-13,1110.0,1120.0,1105.0,1115.0,66500
2022-07-14,1110.0,1115.0,1100.0,1110.0,81400
2022-07-15,1110.0,1120.0,1110.0,1120.0,161100
2022-07-18,1120.0,1145.0,1105.0,1145.0,421800
2022-07-19,1155.0,1160.0,1115.0,1125.0,491900
2022-07-20,1130.0,1135.0,1105.0,1120.0,308600
2022-07-21,1120.0,1125.0,1110.0,1120.0,229700
2022-07-22,1120.0,1130.0,1120.0,1125.0,306700
2022-07-25,1125.0,1145.0,1125.0,1135.0,656500
2022-07-26,1160.0,1170.0,1135.0,1145.0,956700
2022-07-27,1145.0,1155.0,1130.0,1135.0,1730000
2022-07-28,1070.0,1070.0,1060.0,1060.0,768500
2022-07-29,1060.0,1065.0,1030.0,1045.0,435700
2022-08-01,1045.0,1045.0,1005.0,1020.0,685700
2022-08-02,1025.0,1030.0,1015.0,1015.0,101500
2022-08-03,1015.0,1015.0,1005.0,1015.0,116000
2022-08-04,1015.0,1030.0,1015.0,1030.0,61700
2022-08-05,1030.0,1030.0,1020.0,1025.0,45800
2022-08-08,1025.0,1025.0,1015.0,1020.0,63500
2022-08-09,1020.0,1020.0,995.0,1010.0,465500
2022-08-10,1010.0,1010.0,1000.0,1005.0,91500
2022-08-11,1000.0,1020.0,1000.0,1015.0,102500
2022-08-12,1015.0,1015.0,1000.0,1005.0,64100
2022-08-15,1010.0,1010.0,1000.0,1000.0,75000
2022-08-16,1000.0,1010.0,990.0,1000.0,361200
2022-08-18,1000.0,1005.0,980.0,1000.0,377200
2022-08-19,1000.0,1000.0,995.0,1000.0,69600
2022-08-22,1000.0,1000.0,995.0,1000.0,72700
2022-08-23,1000.0,1000.0,995.0,1000.0,60200
2022-08-24,1000.0,1000.0,975.0,980.0,491300
2022-08-25,975.0,990.0,945.0,950.0,1028500
2022-08-26,960.0,970.0,950.0,965.0,148100
2022-08-29,965.0,965.0,920.0,935.0,396000
2022-08-30,935.0,945.0,920.0,935.0,195400
2022-08-31,935.0,935.0,925.0,930.0,75200
2022-09-01,935.0,935.0,920.0,930.0,61700
2022-09-02,940.0,940.0,930.0,935.0,59900
2022-09-05,940.0,940.0,925.0,935.0,74600
2022-09-06,935.0,945.0,930.0,935.0,47200
2022-09-07,935.0,940.0,930.0,935.0,47100
2022-09-08,940.0,955.0,935.0,955.0,60000
2022-09-09,955.0,960.0,945.0,960.0,20600
2022-09-12,960.0,970.0,925.0,950.0,357600
2022-09-13,945.0,950.0,940.0,950.0,100800
2022-09-14,950.0,955.0,945.0,950.0,49300
2022-09-15,945.0,960.0,945.0,955.0,50500
2022-09-16,955.0,970.0,950.0,955.0,181900
2022-09-19,955.0,965.0,950.0,960.0,52200
2022-09-20,960.0,960.0,955.0,955.0,57400
2022-09-21,960.0,960.0,950.0,950.0,29400
2022-09-22,950.0,950.0,945.0,950.0,12400
2022-09-23,950.0,955.0,945.0,955.0,59100
2022-09-26,950.0,955.0,935.0,950.0,93200
2022-09-27,940.0,950.0,935.0,940.0,69600
2022-09-28,940.0,940.0,930.0,935.0,48500
2022-09-29,935.0,955.0,925.0,930.0,93500
2022-09-30,930.0,930.0,915.0,920.0,203100
2022-10-03,920.0,935.0,915.0,935.0,18300
2022-10-04,935.0,950.0,925.0,930.0,25600
2022-10-05,935.0,935.0,930.0,930.0,77900
2022-10-06,940.0,940.0,925.0,935.0,31100
2022-10-07,935.0,935.0,915.0,925.0,61900
2022-10-10,930.0,930.0,910.0,915.0,102000
2022-10-11,915.0,920.0,905.0,910.0,82800
2022-10-12,900.0,920.0,890.0,895.0,172600
2022-10-13,895.0,895.0,875.0,875.0,205400
2022-10-14,875.0,880.0,850.0,875.0,108600
2022-10-17,875.0,875.0,865.0,875.0,57800
2022-10-18,880.0,880.0,865.0,870.0,18300
2022-10-19,870.0,885.0,860.0,860.0,99300
2022-10-20,865.0,885.0,860.0,880.0,15400
2022-10-21,880.0,890.0,880.0,890.0,39700
2022-10-24,885.0,900.0,880.0,895.0,42000
2022-10-25,900.0,905.0,890.0,900.0,12400
2022-10-26,905.0,905.0,890.0,895.0,42400
2022-10-27,895.0,905.0,895.0,900.0,38100
2022-10-28,960.0,1000.0,945.0,960.0,395800
2022-10-31,965.0,975.0,945.0,955.0,309000
2022-11-01,950.0,955.0,940.0,950.0,51900
2022-11-02,950.0,950.0,935.0,940.0,43600
2022-11-03,935.0,940.0,935.0,940.0,43500
2022-11-04,940.0,940.0,930.0,930.0,33800
2022-11-07,940.0,955.0,930.0,940.0,61500
2022-11-08,950.0,950.0,940.0,945.0,8500
2022-11-09,945.0,960.0,945.0,955.0,132300
2022-11-10,955.0,955.0,930.0,950.0,69000
2022-11-11,950.0,955.0,945.0,950.0,55800
2022-11-14,950.0,955.0,945.0,955.0,33200
2022-11-15,955.0,955.0,945.0,950.0,61600
2022-11-16,945.0,955.0,945.0,945.0,26300
2022-11-17,945.0,950.0,945.0,945.0,38100
2022-11-18,950.0,955.0,945.0,955.0,18800
2022-11-21,950.0,960.0,945.0,950.0,31800
2022-11-22,950.0,960.0,950.0,950.0,29900
2022-11-23,955.0,960.0,950.0,960.0,50500
2022-11-24,960.0,960.0,955.0,955.0,29300
2022-11-25,960.0,960.0,950.0,955.0,10100
2022-11-28,950.0,960.0,950.0,955.0,14900
2022-11-29,955.0,955.0,950.0,950.0,35800
2022-11-30,945.0,955.0,945.0,945.0,65100
2022-12-01,945.0,955.0,945.0,950.0,14200
2022-12-02,950.0,960.0,945.0,945.0,86400
2022-12-05,950.0,950.0,940.0,940.0,48000
2022-12-06,940.0,955.0,935.0,945.0,86200
2022-12-07,945.0,945.0,935.0,940.0,22500
2022-12-08,940.0,940.0,930.0,940.0,14500
2022-12-09,940.0,940.0,930.0,935.0,15800
2022-12-12,930.0,945.0,925.0,945.0,14100
2022-12-13,955.0,955.0,940.0,940.0,313200
2022-12-14,940.0,940.0,935.0,935.0,69100
2022-12-15,935.0,940.0,930.0,935.0,35400
2022-12-16,935.0,945.0,930.0,935.0,42900
2022-12-19,940.0,940.0,935.0,935.0,51500
2022-12-20,935.0,940.0,935.0,935.0,27800
2022-12-21,935.0,940.0,925.0,930.0,52600
2022-12-22,940.0,950.0,930.0,935.0,44100
2022-12-23,940.0,945.0,935.0,940.0,6300
2022-12-26,940.0,950.0,930.0,935.0,52200
2022-12-27,935.0,935.0,930.0,935.0,40800
2022-12-28,935.0,955.0,935.0,940.0,39500
2022-12-29,950.0,950.0,935.0,935.0,17100
2022-12-30,945.0,945.0,930.0,935.0,13300
2023-01-02,945.0,945.0,930.0,935.0,56300
2023-01-03,935.0,935.0,930.0,935.0,89100
2023-01-04,935.0,935.0,920.0,935.0,76500
2023-01-05,925.0,930.0,910.0,910.0,112300
2023-01-06,910.0,935.0,910.0,925.0,32200
2023-01-09,925.0,925.0,915.0,925.0,72100
2023-01-10,925.0,925.0,915.0,915.0,33100
2023-01-11,915.0,925.0,910.0,925.0,165200
2023-01-12,925.0,945.0,920.0,940.0,226300
2023-01-13,940.0,945.0,925.0,940.0,89600
2023-01-16,940.0,945.0,925.0,940.0,64800
2023-01-17,940.0,940.0,925.0,935.0,12400
2023-01-18,935.0,935.0,930.0,930.0,60100
2023-01-19,940.0,945.0,935.0,935.0,17800
2023-01-20,935.0,945.0,935.0,940.0,6800
2023-01-24,940.0,945.0,930.0,945.0,48900
2023-01-25,945.0,945.0,930.0,935.0,28800
2023-01-26,940.0,945.0,935.0,940.0,16400
2023-01-27,940.0,955.0,930.0,935.0,157200
2023-01-30,945.0,945.0,935.0,935.0,41200
2023-01-31,940.0,945.0,935.0,940.0,42500
2023-02-01,940.0,950.0,940.0,945.0,89600
2023-02-02,945.0,950.0,935.0,945.0,82000
2023-02-03,945.0,950.0,940.0,945.0,71400
2023-02-06,950.0,960.0,940.0,945.0,151000
2023-02-07,945.0,955.0,945.0,950.0,27500
2023-02-08,960.0,960.0,945.0,950.0,44900
2023-02-09,950.0,950.0,945.0,950.0,30300
2023-02-10,950.0,950.0,945.0,950.0,56100
2023-02-13,955.0,955.0,950.0,950.0,19900
2023-02-14,950.0,975.0,945.0,960.0,72100
2023-02-15,950.0,955.0,950.0,955.0,31800
2023-02-16,955.0,955.0,945.0,950.0,61000
2023-02-17,950.0,965.0,950.0,955.0,102500
2023-02-20,955.0,960.0,955.0,955.0,139100
2023-02-21,950.0,960.0,950.0,955.0,51500
2023-02-22,955.0,955.0,950.0,950.0,164700
2023-02-23,960.0,960.0,950.0,950.0,98900
2023-02-24,950.0,960.0,950.0,955.0,117300
2023-02-27,955.0,960.0,955.0,960.0,38200
2023-02-28,960.0,965.0,955.0,960.0,143800
2023-03-01,960.0,960.0,955.0,955.0,260000
2023-03-02,960.0,965.0,955.0,965.0,149400
2023-03-03,965.0,970.0,960.0,965.0,139300
2023-03-06,965.0,970.0,960.0,960.0,55000
2023-03-07,960.0,965.0,955.0,955.0,45100
2023-03-08,960.0,965.0,945.0,950.0,32200
2023-03-09,950.0,960.0,950.0,960.0,317900
2023-03-10,960.0,965.0,955.0,960.0,260600
2023-03-13,960.0,960.0,945.0,955.0,46800
2023-03-14,955.0,955.0,945.0,955.0,28100
2023-03-15,955.0,955.0,950.0,955.0,36300
2023-03-16,950.0,950.0,925.0,940.0,184400
2023-03-17,940.0,940.0,925.0,940.0,56700
2023-03-20,935.0,945.0,935.0,945.0,9800
2023-03-21,945.0,950.0,940.0,945.0,25500
2023-03-24,945.0,950.0,945.0,945.0,38600
2023-03-27,945.0,950.0,940.0,945.0,89100
