date,open,high,low,close,volume
2022-07-04,602.26,622.17,562.45,602.26,130289
2022-07-05,592.31,647.06,592.31,612.22,54245
2022-07-06,612.22,622.17,592.31,617.2,111403
2022-07-07,597.29,642.08,597.29,617.2,72728
2022-07-08,617.2,622.17,597.29,597.29,58966
2022-07-11,597.29,632.13,597.29,597.29,95531
2022-07-12,602.26,617.2,602.26,617.2,16976
2022-07-13,617.2,617.2,597.29,602.26,30638
2022-07-14,612.22,617.2,602.26,602.26,118636
2022-07-15,637.11,647.06,602.26,607.24,24711
2022-07-18,607.24,632.13,602.26,617.2,43998
2022-07-19,617.2,637.11,612.22,637.11,129987
2022-07-20,637.11,647.06,612.22,637.11,681280
2022-07-21,637.11,647.06,632.13,647.06,181621
2022-07-22,647.06,666.97,647.06,661.99,807350
2022-07-25,676.93,686.88,642.08,661.99,213766
2022-07-26,666.97,666.97,647.06,666.97,812975
2022-07-27,666.97,666.97,647.06,666.97,91915
2022-07-28,666.97,671.95,661.99,666.97,1447444
2022-07-29,666.97,686.88,652.04,686.88,392976
2022-08-01,686.88,806.34,676.93,741.63,472536
2022-08-02,741.63,925.8,741.63,841.18,1025034
2022-08-03,836.2,900.91,786.43,801.36,588259
2022-08-04,801.36,836.2,781.45,811.32,112307
2022-08-05,816.29,816.29,761.54,776.47,350886
2022-08-08,786.43,796.38,746.61,776.47,373890
2022-08-09,771.5,791.41,746.61,761.54,52738
2022-08-10,756.56,846.16,746.61,751.59,126974
2022-08-11,776.47,836.2,701.81,786.43,196990
2022-08-12,786.43,846.16,771.5,796.38,99248
2022-08-15,786.43,856.11,776.47,831.22,211958
2022-08-16,816.29,831.22,776.47,781.45,1434686
2022-08-18,781.45,781.45,766.52,766.52,520352
2022-08-19,766.52,791.41,766.52,786.43,138928
2022-08-22,786.43,786.43,766.52,771.5,65295
2022-08-23,776.47,786.43,766.52,781.45,79157
2022-08-24,781.45,791.41,766.52,781.45,342548
2022-08-25,796.38,801.36,776.47,791.41,58263
2022-08-26,776.47,796.38,771.5,786.43,268112
2022-08-29,796.38,851.13,771.5,826.25,339535
2022-08-30,821.27,851.13,791.41,836.2,224012
2022-08-31,836.2,955.66,796.38,876.02,651646
2022-09-01,876.02,895.93,876.02,881.0,158617
2022-09-02,895.93,895.93,876.02,895.93,65797
2022-09-05,895.93,895.93,851.13,851.13,196287
2022-09-06,851.13,856.11,801.36,831.22,904991
2022-09-07,846.16,846.16,796.38,826.25,103970
2022-09-08,826.25,965.61,806.34,895.93,141138
2022-09-09,895.93,895.93,836.2,856.11,191365
2022-09-12,856.11,876.02,831.22,861.09,99349
2022-09-13,861.09,861.09,831.22,831.22,389159
2022-09-14,831.22,836.2,806.34,826.25,232149
2022-09-15,831.22,831.22,781.45,816.29,178306
2022-09-16,796.38,816.29,766.52,786.43,669024
2022-09-19,781.45,801.36,781.45,796.38,123458
2022-09-20,791.41,806.34,791.41,801.36,326074
2022-09-21,796.38,920.82,791.41,841.18,290513
2022-09-22,821.27,856.11,821.27,851.13,598305
2022-09-23,851.13,876.02,841.18,861.09,337626
2022-09-26,861.09,861.09,831.22,851.13,457568
2022-09-27,841.18,876.02,841.18,861.09,475047
2022-09-28,871.04,885.98,866.07,885.98,290011
2022-09-29,885.98,885.98,851.13,861.09,69916
2022-09-30,846.16,866.07,801.36,821.27,272532
2022-10-03,821.27,846.16,821.27,841.18,85486
2022-10-04,841.18,846.16,816.29,831.22,44199
2022-10-05,841.18,876.02,821.27,836.2,527987
2022-10-06,836.2,861.09,836.2,861.09,411058
2022-10-07,861.09,861.09,846.16,846.16,221401
2022-10-10,846.16,866.07,791.41,861.09,971994
2022-10-11,866.07,866.07,846.16,846.16,473340
2022-10-12,846.16,871.04,826.25,871.04,553803
2022-10-13,871.04,876.02,821.27,861.09,145357
2022-10-14,841.18,861.09,826.25,856.11,196990
2022-10-17,856.11,866.07,796.38,821.27,463294
2022-10-18,821.27,861.09,821.27,846.16,1093343
2022-10-19,831.22,851.13,831.22,841.18,123860
2022-10-20,831.22,866.07,811.32,861.09,689115
2022-10-21,861.09,871.04,846.16,861.09,268514
2022-10-24,871.04,871.04,841.18,856.11,229035
2022-10-25,856.11,866.07,846.16,861.09,153192
2022-10-26,861.09,861.09,836.2,836.2,250733
2022-10-27,846.16,861.09,811.32,846.16,432957
2022-10-28,851.13,861.09,816.29,841.18,120946
2022-10-31,836.2,846.16,796.38,811.32,349681
2022-11-01,811.32,846.16,791.41,811.32,810163
2022-11-02,811.32,846.16,786.43,811.32,564552
2022-11-03,811.32,846.16,776.47,776.47,638386
2022-11-04,776.47,846.16,726.7,806.34,1423938
2022-11-07,806.34,831.22,771.5,831.22,374995
2022-11-08,826.25,831.22,796.38,826.25,59770
2022-11-09,826.25,841.18,796.38,811.32,13259
2022-11-10,811.32,831.22,756.56,806.34,483285
2022-11-11,811.32,811.32,781.45,801.36,21396
2022-11-14,801.36,811.32,771.5,811.32,241592
2022-11-15,811.32,811.32,791.41,811.32,3616
2022-11-16,791.41,806.34,781.45,781.45,43597
2022-11-17,781.45,791.41,766.52,771.5,274641
2022-11-18,771.5,796.38,756.56,786.43,278057
2022-11-21,786.43,801.36,731.68,786.43,2260118
2022-11-22,786.43,806.34,766.52,796.38,107385
2022-11-23,796.38,806.34,791.41,801.36,242898
2022-11-24,796.38,796.38,746.61,781.45,101961
2022-11-25,771.5,781.45,771.5,776.47,41889
2022-11-28,776.47,796.38,761.54,796.38,484691
2022-11-29,796.38,806.34,771.5,776.47,121348
2022-11-30,776.47,796.38,771.5,791.41,147366
2022-12-01,791.41,791.41,776.47,791.41,359927
2022-12-02,796.38,816.29,786.43,816.29,757223
2022-12-05,816.29,826.25,806.34,816.29,322156
2022-12-06,826.25,826.25,786.43,796.38,110800
2022-12-07,796.38,796.38,781.45,796.38,198397
2022-12-08,776.47,796.38,776.47,796.38,137421
2022-12-09,776.47,796.38,776.47,796.38,42793
2022-12-12,781.45,796.38,741.63,796.38,1886931
2022-12-13,776.47,801.36,746.61,796.38,340137
2022-12-14,796.38,796.38,791.41,796.38,137823
2022-12-15,791.41,796.38,756.56,796.38,988770
2022-12-16,791.41,796.38,766.52,796.38,275646
2022-12-19,791.41,796.38,786.43,796.38,65897
2022-12-20,786.43,796.38,781.45,796.38,251436
2022-12-21,786.43,796.38,786.43,796.38,275144
2022-12-22,796.38,796.38,786.43,796.38,23305
2022-12-23,796.38,801.36,786.43,796.38,97340
2022-12-26,786.43,796.38,781.45,796.38,95431
2022-12-27,786.43,786.43,771.5,776.47,786857
2022-12-28,776.47,776.47,756.56,756.56,157713
2022-12-29,741.63,756.56,736.65,751.59,319544
2022-12-30,751.59,881.0,731.68,811.32,1950217
2023-01-02,811.32,811.32,776.47,796.38,23204
2023-01-03,781.45,781.45,771.5,771.5,10849
2023-01-04,781.45,786.43,761.54,781.45,143348
2023-01-05,776.47,781.45,756.56,756.56,163338
2023-01-06,756.56,776.47,756.56,776.47,93924
2023-01-09,766.52,766.52,756.56,761.54,197794
2023-01-10,761.54,761.54,756.56,761.54,195684
