date,open,high,low,close,volume
2024-11-11,1000.0,1100.0,1000.0,1100.0,1924800
2024-11-12,1375.0,1375.0,1375.0,1375.0,929800
2024-11-13,1715.0,1715.0,1715.0,1715.0,1785100
2024-11-14,2000.0,2140.0,2000.0,2140.0,6391800
2024-11-15,2250.0,2670.0,2240.0,2670.0,24184000
2024-11-18,2670.0,3330.0,2520.0,3330.0,55406700
2024-11-19,3330.0,3330.0,3330.0,3330.0,0
2024-11-20,3350.0,4150.0,3340.0,4150.0,36491500
2024-11-21,4150.0,4150.0,4150.0,4150.0,0
2024-11-22,4150.0,4150.0,4150.0,4150.0,0
2024-11-25,3760.0,3760.0,3740.0,3740.0,3831900
2024-11-26,3740.0,4110.0,3740.0,4110.0,6927500
2024-11-28,3950.0,3960.0,3950.0,3950.0,2630500
2024-11-29,3750.0,3750.0,3670.0,3680.0,3860300
2024-12-02,3790.0,3790.0,3720.0,3740.0,1620200
2024-12-03,3810.0,4110.0,3810.0,4110.0,3676700
2024-12-04,4120.0,4520.0,4120.0,4520.0,2250200
2024-12-05,4520.0,4990.0,4020.0,4340.0,33407300
2024-12-06,4340.0,4790.0,4260.0,4780.0,16812000
2024-12-09,4850.0,5975.0,4800.0,5975.0,37974700
2024-12-10,6250.0,6500.0,5100.0,5900.0,35220100
2024-12-11,6000.0,6725.0,6000.0,6225.0,19445400
2024-12-12,6350.0,6525.0,5100.0,5500.0,19408600
2024-12-13,5650.0,5825.0,5175.0,5500.0,10050900
2024-12-16,5550.0,5575.0,5200.0,5275.0,6632300
2024-12-17,5300.0,5875.0,5275.0,5575.0,12682100
2024-12-18,5650.0,5850.0,5500.0,5625.0,8732800
2024-12-19,5700.0,5700.0,5000.0,5150.0,11455600
2024-12-20,5050.0,5275.0,4470.0,4700.0,18437700
2024-12-23,4720.0,4800.0,4190.0,4200.0,10363500
2024-12-24,4220.0,5025.0,3800.0,4780.0,31026300
2024-12-27,4820.0,5100.0,4620.0,4770.0,12481100
2024-12-30,4840.0,4890.0,4660.0,4660.0,3238300
2025-01-02,4660.0,4950.0,4650.0,4830.0,5960600
2025-01-03,4870.0,4880.0,4550.0,4550.0,4689800
2025-01-06,4590.0,4590.0,4240.0,4300.0,3654100
2025-01-07,4310.0,4490.0,4140.0,4170.0,4436100
2025-01-08,4170.0,4850.0,4080.0,4450.0,13835700
2025-01-09,4480.0,4510.0,4250.0,4310.0,4238700
2025-01-10,4310.0,4540.0,4250.0,4450.0,3511500
2025-01-13,4440.0,5550.0,4350.0,5550.0,25327500
2025-01-14,5825.0,6450.0,5700.0,5850.0,26069600
2025-01-15,5925.0,6250.0,5700.0,5775.0,7155700
2025-01-16,5900.0,6925.0,4990.0,6850.0,18067700
2025-01-17,6900.0,7075.0,6300.0,6625.0,19074100
2025-01-20,6750.0,7300.0,6725.0,6800.0,11581500
2025-01-21,6925.0,7250.0,6625.0,6700.0,10165000
2025-01-22,6750.0,6925.0,6500.0,6550.0,4813900
2025-01-23,6625.0,6750.0,6075.0,6550.0,5260600
2025-01-24,6650.0,6825.0,6375.0,6400.0,4150500
2025-01-30,6400.0,6450.0,6150.0,6200.0,2159400
2025-01-31,6225.0,6750.0,6150.0,6375.0,4247900
2025-02-03,6200.0,6800.0,6150.0,6600.0,4728900
2025-02-04,6750.0,7100.0,6575.0,6775.0,6890400
2025-02-05,6875.0,7450.0,6875.0,7225.0,10247400
2025-02-06,7400.0,7425.0,6900.0,6950.0,5487000
2025-02-07,6200.0,6650.0,5800.0,6100.0,12776500
2025-02-10,6200.0,6400.0,5375.0,6150.0,8146200
2025-02-11,6200.0,6325.0,5350.0,5400.0,7891900
2025-02-12,5500.0,5875.0,5500.0,5800.0,2742100
2025-02-13,5875.0,5875.0,5600.0,5700.0,1298500
2025-02-14,5700.0,5875.0,5650.0,5700.0,2053600
2025-02-17,5800.0,6175.0,5800.0,6050.0,4540900
2025-02-18,6225.0,6350.0,6050.0,6125.0,2641200
2025-02-19,6200.0,6225.0,5900.0,6025.0,2272700
2025-02-20,6075.0,6650.0,6025.0,6600.0,6285000
2025-02-21,6575.0,6625.0,6375.0,6400.0,2789300
2025-02-24,6475.0,6475.0,6175.0,6175.0,3055800
2025-02-25,6175.0,6325.0,5850.0,6000.0,4731100
2025-02-26,6000.0,6125.0,5800.0,5800.0,1064300
2025-02-27,5925.0,6200.0,5300.0,5400.0,9040600
2025-02-28,5350.0,5350.0,4960.0,5000.0,4209900
2025-03-03,5200.0,5625.0,5175.0,5350.0,3515300
2025-03-04,5350.0,5350.0,4650.0,4860.0,4718400
2025-03-05,4920.0,5075.0,4880.0,4940.0,1767500
2025-03-06,5000.0,5350.0,5000.0,5200.0,1045900
2025-03-07,5200.0,5350.0,5100.0,5175.0,692800
2025-03-10,5200.0,5350.0,5175.0,5250.0,542400
2025-03-11,5075.0,5100.0,4880.0,4910.0,1305100
2025-03-12,4890.0,4940.0,4500.0,4770.0,2171000
2025-03-13,4810.0,4830.0,4520.0,4540.0,927800
2025-03-14,4540.0,4540.0,4200.0,4320.0,2370100
2025-03-17,4300.0,4390.0,4050.0,4140.0,930100
2025-03-18,4180.0,4240.0,3110.0,3820.0,3223900
2025-03-19,3820.0,4220.0,3690.0,4200.0,1461200
2025-03-20,4200.0,4490.0,4000.0,4400.0,2475000
2025-03-21,4400.0,4400.0,4020.0,4160.0,1431000
2025-03-24,4170.0,4200.0,3800.0,3800.0,1138600
2025-03-25,3800.0,3990.0,3500.0,3540.0,2166700
2025-03-26,3550.0,3830.0,3510.0,3670.0,1304400
2025-03-27,3750.0,3760.0,3600.0,3610.0,722200
2025-04-08,3460.0,3460.0,3070.0,3070.0,912700
2025-04-09,3000.0,3000.0,2610.0,2670.0,3024800
2025-04-10,2900.0,3140.0,2890.0,2960.0,1451900
2025-04-11,2990.0,3090.0,2800.0,2910.0,874900
2025-04-14,2910.0,3210.0,2910.0,3170.0,1344200
2025-04-15,3230.0,3670.0,3230.0,3440.0,2406800
2025-04-16,3460.0,3550.0,3290.0,3320.0,1270700
2025-04-17,3330.0,3410.0,3300.0,3360.0,586200
2025-04-21,3370.0,3460.0,3330.0,3430.0,634900
2025-04-22,3490.0,4280.0,3470.0,4280.0,6576600
2025-04-23,4530.0,4690.0,4040.0,4110.0,8892700
2025-04-24,4110.0,4230.0,4010.0,4020.0,1837500
2025-04-25,4050.0,4170.0,3930.0,4030.0,2264100
2025-04-28,4090.0,4160.0,4000.0,4020.0,2347000
