date,open,high,low,close,volume
2022-07-04,815.0,825.0,795.0,810.0,32300
2022-07-05,810.0,830.0,805.0,830.0,8400
2022-07-06,825.0,825.0,800.0,815.0,1300
2022-07-07,825.0,825.0,815.0,815.0,3900
2022-07-08,810.0,825.0,810.0,825.0,1300
2022-07-11,825.0,825.0,825.0,825.0,1500
2022-07-12,820.0,820.0,805.0,820.0,2800
2022-07-13,820.0,820.0,800.0,800.0,7700
2022-07-14,805.0,815.0,800.0,810.0,8900
2022-07-15,810.0,815.0,805.0,815.0,2400
2022-07-18,820.0,820.0,820.0,820.0,3200
2022-07-19,820.0,830.0,805.0,830.0,43100
2022-07-20,800.0,835.0,800.0,825.0,16300
2022-07-21,825.0,825.0,805.0,825.0,1700
2022-07-22,825.0,830.0,800.0,830.0,32700
2022-07-25,830.0,830.0,810.0,825.0,14400
2022-07-26,825.0,825.0,805.0,825.0,45800
2022-07-27,825.0,825.0,810.0,810.0,9900
2022-07-28,810.0,820.0,810.0,820.0,5900
2022-07-29,820.0,830.0,810.0,820.0,22100
2022-08-01,820.0,820.0,815.0,820.0,5800
2022-08-02,820.0,820.0,820.0,820.0,0
2022-08-03,800.0,815.0,800.0,815.0,2900
2022-08-04,815.0,815.0,810.0,815.0,4300
2022-08-05,815.0,815.0,800.0,805.0,43000
2022-08-08,815.0,815.0,810.0,815.0,2500
2022-08-09,815.0,815.0,805.0,810.0,35600
2022-08-10,810.0,830.0,800.0,810.0,17800
2022-08-11,810.0,815.0,805.0,815.0,58600
2022-08-12,815.0,815.0,815.0,815.0,1700
2022-08-15,815.0,820.0,810.0,815.0,8400
2022-08-16,815.0,820.0,815.0,820.0,11400
2022-08-18,820.0,820.0,800.0,805.0,20800
2022-08-19,820.0,820.0,820.0,820.0,500
2022-08-22,820.0,820.0,805.0,820.0,3300
2022-08-23,820.0,825.0,805.0,825.0,1800
2022-08-24,825.0,825.0,825.0,825.0,2100
2022-08-25,810.0,825.0,810.0,825.0,3400
2022-08-26,825.0,825.0,805.0,820.0,1100
2022-08-29,825.0,825.0,810.0,820.0,800
2022-08-30,820.0,820.0,820.0,820.0,0
2022-08-31,820.0,825.0,820.0,825.0,2500
2022-09-01,815.0,820.0,815.0,820.0,2400
2022-09-02,815.0,825.0,815.0,820.0,27900
2022-09-05,820.0,825.0,810.0,825.0,19400
2022-09-06,825.0,825.0,815.0,815.0,4900
2022-09-07,820.0,825.0,820.0,825.0,300
2022-09-08,825.0,825.0,815.0,820.0,26300
2022-09-09,820.0,825.0,810.0,825.0,14400
2022-09-12,825.0,825.0,825.0,825.0,3700
2022-09-13,810.0,825.0,810.0,825.0,24200
2022-09-14,825.0,825.0,810.0,825.0,3800
2022-09-15,825.0,825.0,810.0,825.0,4300
2022-09-16,825.0,825.0,805.0,815.0,58300
2022-09-19,815.0,825.0,805.0,805.0,26500
2022-09-20,810.0,815.0,805.0,815.0,12900
2022-09-21,815.0,815.0,810.0,815.0,2900
2022-09-22,815.0,820.0,805.0,815.0,20700
2022-09-23,815.0,815.0,810.0,815.0,400
2022-09-26,805.0,815.0,805.0,815.0,800
2022-09-27,810.0,840.0,805.0,830.0,18800
2022-09-28,825.0,830.0,825.0,825.0,22500
2022-09-29,825.0,825.0,815.0,825.0,7600
2022-09-30,825.0,830.0,820.0,825.0,15800
2022-10-03,820.0,825.0,820.0,825.0,4700
2022-10-04,825.0,825.0,815.0,820.0,8400
2022-10-05,820.0,825.0,820.0,820.0,16600
2022-10-06,825.0,840.0,825.0,830.0,146500
2022-10-07,840.0,880.0,835.0,850.0,257600
2022-10-10,850.0,865.0,830.0,845.0,93400
2022-10-11,850.0,880.0,815.0,830.0,83800
2022-10-12,840.0,840.0,810.0,825.0,38800
2022-10-13,835.0,840.0,815.0,815.0,6000
2022-10-14,810.0,830.0,800.0,820.0,52100
2022-10-17,805.0,815.0,800.0,810.0,53300
2022-10-18,810.0,815.0,805.0,815.0,13000
2022-10-19,815.0,815.0,805.0,815.0,18700
2022-10-20,815.0,815.0,800.0,805.0,13300
2022-10-21,820.0,825.0,810.0,825.0,10300
2022-10-24,820.0,820.0,815.0,820.0,4600
2022-10-25,830.0,840.0,830.0,835.0,1400
2022-10-26,810.0,835.0,810.0,835.0,3800
2022-10-27,810.0,840.0,810.0,830.0,12000
2022-10-28,835.0,835.0,805.0,825.0,30000
2022-10-31,825.0,830.0,810.0,825.0,4600
2022-11-01,810.0,820.0,810.0,820.0,10900
2022-11-02,820.0,820.0,810.0,820.0,16500
2022-11-03,820.0,820.0,810.0,820.0,1400
2022-11-04,805.0,815.0,805.0,815.0,7900
2022-11-07,810.0,815.0,805.0,815.0,72000
2022-11-08,810.0,825.0,805.0,825.0,11500
2022-11-09,820.0,825.0,820.0,825.0,3000
2022-11-10,825.0,835.0,805.0,825.0,23500
2022-11-11,815.0,825.0,810.0,820.0,12500
2022-11-14,810.0,825.0,810.0,825.0,4300
2022-11-15,825.0,825.0,825.0,825.0,200
2022-11-16,815.0,825.0,810.0,825.0,4800
2022-11-17,810.0,825.0,810.0,825.0,2200
2022-11-18,825.0,830.0,810.0,830.0,11100
2022-11-21,830.0,830.0,810.0,820.0,4800
2022-11-22,830.0,830.0,805.0,825.0,29300
2022-11-23,820.0,825.0,810.0,825.0,1200
2022-11-24,820.0,820.0,810.0,815.0,10000
2022-11-25,815.0,815.0,805.0,815.0,400
2022-11-28,810.0,820.0,805.0,815.0,13500
2022-11-29,815.0,820.0,810.0,815.0,4900
2022-11-30,815.0,820.0,810.0,815.0,6600
2022-12-01,815.0,820.0,810.0,820.0,16000
2022-12-02,815.0,820.0,815.0,820.0,31100
2022-12-05,820.0,820.0,810.0,815.0,1200
2022-12-06,810.0,815.0,805.0,815.0,7800
2022-12-07,810.0,825.0,775.0,780.0,106700
2022-12-08,780.0,810.0,780.0,800.0,29000
2022-12-09,800.0,800.0,745.0,785.0,260000
2022-12-12,785.0,805.0,775.0,805.0,12900
2022-12-13,785.0,800.0,775.0,790.0,30700
2022-12-14,790.0,790.0,750.0,775.0,142500
2022-12-15,775.0,790.0,775.0,790.0,9600
2022-12-16,790.0,790.0,770.0,790.0,26000
2022-12-19,790.0,790.0,765.0,790.0,11300
2022-12-20,785.0,790.0,785.0,790.0,3000
2022-12-21,790.0,795.0,790.0,795.0,4600
2022-12-22,790.0,800.0,790.0,790.0,8600
2022-12-23,795.0,795.0,775.0,795.0,28200
2022-12-26,795.0,875.0,790.0,845.0,45000
2022-12-27,845.0,845.0,800.0,830.0,6000
2022-12-28,825.0,830.0,785.0,805.0,135800
2022-12-29,830.0,830.0,820.0,820.0,700
2022-12-30,815.0,815.0,805.0,815.0,3600
2023-01-02,815.0,815.0,815.0,815.0,100
2023-01-03,815.0,820.0,810.0,815.0,76100
2023-01-04,810.0,815.0,810.0,815.0,900
2023-01-05,815.0,815.0,815.0,815.0,400
2023-01-06,815.0,825.0,815.0,825.0,900
2023-01-09,815.0,830.0,800.0,800.0,18100
2023-01-10,780.0,800.0,780.0,795.0,2400
2023-01-11,795.0,800.0,785.0,800.0,5400
2023-01-12,800.0,830.0,795.0,810.0,4300
2023-01-13,810.0,830.0,810.0,830.0,300
2023-01-16,830.0,830.0,795.0,825.0,1400
2023-01-17,825.0,825.0,795.0,815.0,3700
2023-01-18,810.0,810.0,800.0,810.0,3500
2023-01-19,810.0,825.0,800.0,825.0,6800
2023-01-20,825.0,825.0,820.0,820.0,15300
2023-01-24,815.0,815.0,800.0,815.0,34100
2023-01-25,810.0,810.0,800.0,800.0,18200
2023-01-26,795.0,805.0,795.0,805.0,18200
2023-01-27,805.0,805.0,800.0,805.0,4100
2023-01-30,805.0,805.0,800.0,800.0,3000
2023-01-31,800.0,800.0,800.0,800.0,3200
2023-02-01,815.0,815.0,815.0,815.0,200
2023-02-02,810.0,810.0,785.0,810.0,9400
2023-02-03,800.0,810.0,800.0,810.0,300
2023-02-06,810.0,810.0,800.0,810.0,1700
2023-02-07,800.0,800.0,795.0,810.0,45700
2023-02-08,800.0,810.0,795.0,805.0,18800
2023-02-09,795.0,805.0,795.0,805.0,1000
2023-02-10,795.0,805.0,795.0,805.0,1400
2023-02-13,805.0,805.0,800.0,805.0,2400
2023-02-14,800.0,805.0,800.0,805.0,300
2023-02-15,800.0,800.0,795.0,800.0,3200
2023-02-16,800.0,805.0,795.0,805.0,2300
2023-02-17,805.0,810.0,805.0,810.0,1000
2023-02-20,810.0,810.0,800.0,810.0,2200
2023-02-21,795.0,805.0,795.0,800.0,2700
2023-02-22,800.0,810.0,800.0,805.0,3900
2023-02-23,805.0,805.0,790.0,800.0,26700
2023-02-24,800.0,805.0,800.0,805.0,6100
2023-02-27,805.0,805.0,800.0,805.0,14000
2023-02-28,795.0,805.0,790.0,805.0,2300
2023-03-01,805.0,805.0,805.0,805.0,3100
2023-03-02,795.0,805.0,795.0,805.0,1300
2023-03-03,800.0,805.0,800.0,805.0,600
2023-03-06,805.0,805.0,800.0,805.0,1300
2023-03-07,805.0,805.0,795.0,805.0,1200
2023-03-08,805.0,805.0,800.0,805.0,1500
2023-03-09,805.0,805.0,805.0,805.0,200
2023-03-10,805.0,805.0,800.0,800.0,500
2023-03-13,800.0,805.0,795.0,805.0,4400
2023-03-14,800.0,800.0,795.0,800.0,1400
2023-03-15,800.0,800.0,790.0,790.0,8900
2023-03-16,795.0,805.0,785.0,805.0,12200
2023-03-17,805.0,805.0,785.0,805.0,3400
2023-03-20,805.0,805.0,790.0,805.0,3700
2023-03-21,800.0,805.0,800.0,805.0,2100
2023-03-24,795.0,805.0,790.0,805.0,3100
2023-03-27,800.0,800.0,800.0,800.0,1100
2023-03-28,800.0,805.0,790.0,800.0,5500
2023-03-29,795.0,795.0,790.0,795.0,9500
2023-03-30,790.0,800.0,780.0,795.0,42200
2023-03-31,800.0,815.0,790.0,815.0,19100
2023-04-03,790.0,815.0,790.0,805.0,900
2023-04-04,800.0,800.0,785.0,795.0,11300
2023-04-05,795.0,805.0,790.0,805.0,5900
2023-04-06,800.0,805.0,800.0,805.0,4500
2023-04-10,805.0,805.0,790.0,795.0,1700
2023-04-11,795.0,795.0,790.0,795.0,7400
2023-04-12,795.0,800.0,795.0,800.0,4800
2023-04-13,795.0,800.0,795.0,800.0,400
2023-04-14,800.0,800.0,800.0,800.0,100
2023-04-17,795.0,795.0,790.0,795.0,24800
2023-04-18,795.0,800.0,795.0,800.0,78000
2023-04-26,800.0,805.0,795.0,805.0,19000
2023-04-27,805.0,805.0,790.0,805.0,2000
2023-04-28,795.0,805.0,795.0,805.0,400
2023-05-02,805.0,805.0,790.0,800.0,6200
2023-05-03,795.0,805.0,780.0,805.0,36900
2023-05-04,790.0,805.0,790.0,805.0,500
