date,open,high,low,close,volume
2022-07-04,198.0,210.0,192.0,192.0,576400
2022-07-05,198.0,204.0,192.0,199.0,749000
2022-07-06,199.0,200.0,195.0,200.0,443000
2022-07-07,200.0,216.0,192.0,206.0,576700
2022-07-08,206.0,216.0,196.0,204.0,576700
2022-07-11,204.0,216.0,199.0,204.0,436300
2022-07-12,204.0,206.0,199.0,200.0,414900
2022-07-13,200.0,200.0,198.0,198.0,408400
2022-07-14,198.0,200.0,198.0,198.0,351000
2022-07-15,198.0,198.0,198.0,198.0,344600
2022-07-18,198.0,198.0,198.0,198.0,337300
2022-07-19,198.0,206.0,198.0,206.0,447700
2022-07-20,206.0,208.0,199.0,199.0,732700
2022-07-21,199.0,210.0,199.0,210.0,353700
2022-07-22,210.0,210.0,204.0,208.0,356200
2022-07-25,208.0,210.0,208.0,208.0,131300
2022-07-26,208.0,208.0,202.0,206.0,387200
2022-07-27,206.0,206.0,204.0,206.0,348100
2022-07-28,206.0,206.0,204.0,206.0,303200
2022-07-29,206.0,206.0,204.0,206.0,333600
2022-08-01,206.0,206.0,206.0,206.0,298500
2022-08-02,206.0,206.0,200.0,204.0,333900
2022-08-03,204.0,206.0,204.0,204.0,298500
2022-08-04,204.0,204.0,204.0,204.0,298500
2022-08-05,204.0,204.0,200.0,200.0,307900
2022-08-08,200.0,200.0,200.0,200.0,353600
2022-08-09,200.0,200.0,193.0,193.0,375000
2022-08-10,196.0,196.0,192.0,193.0,316100
2022-08-11,193.0,194.0,193.0,194.0,400100
2022-08-12,194.0,196.0,193.0,195.0,399400
2022-08-15,195.0,195.0,195.0,195.0,404000
2022-08-16,195.0,204.0,195.0,202.0,2176600
2022-08-18,202.0,204.0,202.0,202.0,418300
2022-08-19,202.0,202.0,202.0,202.0,403900
2022-08-22,202.0,202.0,202.0,202.0,414300
2022-08-23,202.0,204.0,202.0,202.0,402600
2022-08-24,202.0,202.0,202.0,202.0,418800
2022-08-25,202.0,202.0,202.0,202.0,451300
2022-08-26,202.0,202.0,202.0,202.0,454500
2022-08-29,202.0,204.0,202.0,204.0,402900
2022-08-30,206.0,210.0,204.0,204.0,484900
2022-08-31,204.0,206.0,204.0,204.0,451100
2022-09-01,204.0,204.0,199.0,200.0,2719100
2022-09-02,200.0,200.0,200.0,200.0,397200
2022-09-05,200.0,202.0,200.0,202.0,399800
2022-09-06,202.0,210.0,202.0,210.0,1960000
2022-09-07,210.0,210.0,208.0,210.0,446800
2022-09-08,210.0,210.0,208.0,208.0,333600
2022-09-09,208.0,208.0,206.0,206.0,294700
2022-09-12,206.0,206.0,204.0,206.0,301000
2022-09-13,206.0,206.0,204.0,206.0,300800
2022-09-14,206.0,206.0,204.0,204.0,297000
2022-09-15,204.0,204.0,204.0,204.0,150000
2022-09-16,204.0,206.0,204.0,204.0,293300
2022-09-19,204.0,204.0,204.0,204.0,258800
2022-09-20,204.0,206.0,204.0,204.0,368400
