date,open,high,low,close,volume
2022-07-04,9650.0,9700.0,9650.0,9700.0,2700
2022-07-05,9500.0,11000.0,9500.0,10725.0,2200
2022-07-06,10650.0,10650.0,10650.0,10650.0,200
2022-07-07,10650.0,10650.0,10650.0,10650.0,0
2022-07-08,10650.0,10650.0,10650.0,10650.0,0
2022-07-11,10650.0,10650.0,10650.0,10650.0,0
2022-07-12,10350.0,10350.0,10350.0,10350.0,200
2022-07-13,10350.0,10350.0,10350.0,10350.0,0
2022-07-14,10350.0,10350.0,10350.0,10350.0,0
2022-07-15,9650.0,9650.0,9650.0,9650.0,100
2022-07-18,9650.0,9650.0,9650.0,9650.0,0
2022-07-19,9600.0,9600.0,9575.0,9600.0,600
2022-07-20,9600.0,9600.0,9600.0,9600.0,0
2022-07-21,9050.0,9050.0,8950.0,8950.0,300
2022-07-22,8500.0,8525.0,8500.0,8500.0,5200
2022-07-25,8500.0,8500.0,8500.0,8500.0,0
2022-07-26,8300.0,9475.0,8250.0,9475.0,900
2022-07-27,8825.0,8825.0,8825.0,8825.0,500
2022-07-28,8300.0,8300.0,8225.0,8225.0,2000
2022-07-29,8225.0,8225.0,8225.0,8225.0,300
2022-08-01,8250.0,9450.0,8225.0,9450.0,3000
2022-08-02,9450.0,10000.0,9450.0,9700.0,7300
2022-08-03,9875.0,10275.0,9875.0,10100.0,9000
2022-08-04,10300.0,10575.0,10000.0,10000.0,46200
2022-08-05,9825.0,10000.0,9825.0,9950.0,2300
2022-08-08,9925.0,9925.0,9275.0,9275.0,3700
2022-08-09,9275.0,9275.0,9150.0,9150.0,1700
2022-08-10,8825.0,8825.0,8525.0,8575.0,1900
2022-08-11,8525.0,9450.0,8400.0,8575.0,5000
2022-08-12,8575.0,8575.0,8025.0,8550.0,1200
2022-08-15,8550.0,9125.0,8550.0,8850.0,900
2022-08-16,8750.0,8850.0,8750.0,8750.0,2900
2022-08-18,8750.0,8750.0,8750.0,8750.0,300
2022-08-19,8525.0,8525.0,8525.0,8525.0,600
2022-08-22,8525.0,8525.0,8125.0,8125.0,600
2022-08-23,8225.0,8825.0,7600.0,8825.0,2800
2022-08-24,8525.0,8800.0,8225.0,8800.0,700
2022-08-25,8700.0,8700.0,8200.0,8400.0,2200
2022-08-26,8225.0,8225.0,8200.0,8200.0,400
2022-08-29,8675.0,8675.0,8050.0,8175.0,600
2022-08-30,8200.0,8200.0,8175.0,8200.0,400
2022-08-31,8200.0,8200.0,8200.0,8200.0,0
2022-09-01,8200.0,8600.0,8200.0,8575.0,500
2022-09-02,8500.0,8500.0,8500.0,8500.0,100
2022-09-05,8500.0,8500.0,7925.0,8125.0,4600
2022-09-06,8125.0,8125.0,8075.0,8075.0,1400
2022-09-07,8075.0,8075.0,8025.0,8075.0,700
2022-09-08,8075.0,8150.0,7875.0,7900.0,1700
2022-09-09,7900.0,7900.0,7600.0,7600.0,800
2022-09-12,7700.0,7900.0,7300.0,7900.0,1900
2022-09-13,7875.0,7875.0,7700.0,7700.0,700
2022-09-14,7600.0,7875.0,7350.0,7875.0,2400
2022-09-15,7600.0,7975.0,7600.0,7850.0,600
2022-09-16,7850.0,7850.0,7850.0,7850.0,400
2022-09-19,7500.0,7500.0,7500.0,7500.0,200
2022-09-20,7600.0,7700.0,7400.0,7675.0,500
2022-09-21,7550.0,7650.0,7350.0,7400.0,1100
2022-09-22,6925.0,7125.0,6925.0,7125.0,600
2022-09-23,7200.0,7200.0,7200.0,7200.0,100
2022-09-26,6825.0,7025.0,6825.0,6825.0,1600
2022-09-27,6850.0,7375.0,6850.0,7375.0,800
2022-09-28,7375.0,7375.0,7375.0,7375.0,0
2022-09-29,7350.0,7350.0,7025.0,7025.0,2100
2022-09-30,7025.0,7025.0,7000.0,7000.0,300
2022-10-03,6700.0,6850.0,6700.0,6700.0,900
2022-10-04,6700.0,6875.0,6450.0,6875.0,1600
2022-10-05,6850.0,6875.0,6600.0,6675.0,1300
2022-10-06,6675.0,6675.0,6450.0,6600.0,800
2022-10-07,6400.0,6500.0,6400.0,6500.0,800
2022-10-10,6350.0,6500.0,6350.0,6400.0,600
2022-10-11,6650.0,7375.0,6650.0,6750.0,5100
2022-10-12,6400.0,6675.0,6400.0,6675.0,200
2022-10-13,6675.0,6675.0,6675.0,6675.0,0
2022-10-14,6525.0,6525.0,6525.0,6525.0,100
2022-10-17,6400.0,6400.0,6225.0,6275.0,1400
2022-10-18,6375.0,6400.0,6025.0,6275.0,700
2022-10-19,6025.0,6450.0,6025.0,6150.0,1300
2022-10-20,6450.0,6875.0,6050.0,6450.0,1200
2022-10-21,7250.0,7250.0,6500.0,6650.0,1600
2022-10-24,6275.0,6700.0,6275.0,6700.0,900
2022-10-25,6675.0,6675.0,6525.0,6525.0,800
2022-10-26,6550.0,6750.0,6550.0,6750.0,900
2022-10-27,6700.0,7000.0,6300.0,6300.0,1000
2022-10-28,6050.0,6575.0,6050.0,6575.0,700
2022-10-31,6400.0,7000.0,6400.0,7000.0,2400
2022-11-01,6700.0,6750.0,6525.0,6525.0,4000
2022-11-02,6150.0,7600.0,6100.0,6950.0,4500
2022-11-03,6950.0,7500.0,6500.0,6500.0,3000
2022-11-04,6500.0,6525.0,6175.0,6175.0,800
2022-11-07,6300.0,6300.0,6300.0,6300.0,5700
2022-11-08,6100.0,6850.0,6100.0,6575.0,2600
2022-11-09,6575.0,6575.0,6575.0,6575.0,0
2022-11-10,6500.0,6875.0,6450.0,6625.0,1800
2022-11-11,6475.0,6600.0,6225.0,6600.0,1000
2022-11-14,6550.0,6600.0,6550.0,6600.0,700
2022-11-15,6600.0,6600.0,6600.0,6600.0,0
2022-11-16,6525.0,6525.0,6500.0,6500.0,200
2022-11-17,6500.0,6500.0,6500.0,6500.0,0
2022-11-18,6450.0,6450.0,6450.0,6450.0,100
2022-11-21,6500.0,6975.0,6325.0,6600.0,3200
2022-11-22,6550.0,6600.0,6550.0,6600.0,300
2022-11-23,6600.0,6600.0,6600.0,6600.0,0
2022-11-24,6600.0,6600.0,6600.0,6600.0,0
2022-11-25,6550.0,6550.0,6550.0,6550.0,100
2022-11-28,6300.0,6300.0,6175.0,6175.0,900
2022-11-29,6250.0,6250.0,6250.0,6250.0,200
