date,open,high,low,close,volume
2022-07-04,1350.0,1360.0,1295.0,1320.0,117500
2022-07-05,1310.0,1355.0,1295.0,1310.0,120800
2022-07-06,1310.0,1350.0,1310.0,1310.0,8800
2022-07-07,1300.0,1300.0,1280.0,1300.0,1400
2022-07-08,1280.0,1400.0,1255.0,1345.0,8400
2022-07-11,1345.0,1365.0,1340.0,1365.0,10100
2022-07-12,1370.0,1405.0,1270.0,1325.0,13400
2022-07-13,1305.0,1325.0,1275.0,1320.0,7300
2022-07-14,1315.0,1325.0,1315.0,1315.0,1000
2022-07-15,1320.0,1320.0,1315.0,1315.0,700
2022-07-18,1270.0,1315.0,1230.0,1315.0,8500
2022-07-19,1285.0,1285.0,1230.0,1235.0,7400
2022-07-20,1270.0,1270.0,1260.0,1260.0,400
2022-07-21,1235.0,1250.0,1235.0,1240.0,1100
2022-07-22,1240.0,1270.0,1240.0,1270.0,500
2022-07-25,1275.0,1290.0,1275.0,1290.0,1100
2022-07-26,1280.0,1295.0,1265.0,1285.0,1000
2022-07-27,1290.0,1300.0,1275.0,1275.0,1800
2022-07-28,1250.0,1285.0,1225.0,1280.0,7100
2022-07-29,1280.0,1280.0,1220.0,1220.0,2200
2022-08-01,1240.0,1240.0,1220.0,1235.0,4400
2022-08-02,1235.0,1235.0,1230.0,1230.0,200
2022-08-03,1230.0,1230.0,1230.0,1230.0,100
2022-08-04,1230.0,1230.0,1230.0,1230.0,100
2022-08-05,1210.0,1220.0,1150.0,1175.0,5200
2022-08-08,1220.0,1220.0,1175.0,1180.0,3500
2022-08-09,1225.0,1225.0,1185.0,1190.0,4600
2022-08-10,1190.0,1190.0,1185.0,1190.0,1700
2022-08-11,1200.0,1245.0,1195.0,1195.0,1800
2022-08-12,1240.0,1240.0,1160.0,1175.0,6300
2022-08-15,1240.0,1360.0,1230.0,1285.0,9900
2022-08-16,1290.0,1380.0,1240.0,1315.0,21700
2022-08-18,1315.0,1315.0,1255.0,1260.0,800
2022-08-19,1260.0,1270.0,1250.0,1250.0,600
2022-08-22,1250.0,1270.0,1250.0,1270.0,2800
2022-08-23,1270.0,1270.0,1225.0,1225.0,1400
2022-08-24,1210.0,1260.0,1150.0,1260.0,6200
2022-08-25,1260.0,1260.0,1260.0,1260.0,0
2022-08-26,1260.0,1285.0,1260.0,1285.0,4100
2022-08-29,1250.0,1250.0,1230.0,1230.0,900
2022-08-30,1220.0,1220.0,1210.0,1210.0,3400
2022-08-31,1210.0,1210.0,1210.0,1210.0,200
2022-09-01,1205.0,1230.0,1130.0,1130.0,24200
2022-09-02,1130.0,1130.0,1055.0,1055.0,31800
2022-09-05,1010.0,1130.0,1010.0,1060.0,8600
2022-09-06,1080.0,1080.0,1070.0,1080.0,4400
2022-09-07,1100.0,1120.0,1100.0,1100.0,4700
2022-09-08,1110.0,1150.0,1100.0,1110.0,3900
2022-09-09,1150.0,1150.0,1120.0,1120.0,7500
2022-09-12,1120.0,1125.0,1120.0,1120.0,2000
2022-09-13,1120.0,1120.0,1120.0,1120.0,1400
2022-09-14,1100.0,1135.0,1085.0,1135.0,10300
2022-09-15,1135.0,1135.0,1135.0,1135.0,11500
2022-09-16,1105.0,1105.0,1105.0,1105.0,300
