date,open,high,low,close,volume
2022-07-04,78.0,78.0,73.0,73.0,13696400
2022-07-05,74.0,77.0,73.0,75.0,10443900
2022-07-06,75.0,78.0,74.0,76.0,13009500
2022-07-07,76.0,77.0,74.0,75.0,5155200
2022-07-08,75.0,87.0,74.0,76.0,120437100
2022-07-11,76.0,78.0,76.0,76.0,10300500
2022-07-12,77.0,77.0,76.0,76.0,5523300
2022-07-13,76.0,78.0,76.0,76.0,7769100
2022-07-14,77.0,78.0,76.0,76.0,5958900
2022-07-15,77.0,77.0,75.0,75.0,7871200
2022-07-18,76.0,76.0,75.0,75.0,2261600
2022-07-19,75.0,78.0,75.0,75.0,10830100
2022-07-20,75.0,76.0,75.0,75.0,2505800
2022-07-21,75.0,76.0,75.0,76.0,2376600
2022-07-22,75.0,76.0,75.0,75.0,1422900
2022-07-25,76.0,76.0,75.0,75.0,1034200
2022-07-26,75.0,79.0,75.0,76.0,19786500
2022-07-27,77.0,77.0,75.0,77.0,3091500
2022-07-28,77.0,77.0,76.0,76.0,1638000
2022-07-29,76.0,78.0,76.0,77.0,8250400
2022-08-01,77.0,78.0,75.0,76.0,9344600
2022-08-02,76.0,77.0,76.0,76.0,1795700
2022-08-03,76.0,77.0,75.0,75.0,4041800
2022-08-04,76.0,79.0,75.0,76.0,14938000
2022-08-05,76.0,77.0,75.0,77.0,1955800
2022-08-08,77.0,77.0,75.0,76.0,4341500
2022-08-09,76.0,77.0,75.0,75.0,3929900
2022-08-10,75.0,76.0,74.0,74.0,4374800
2022-08-11,75.0,75.0,73.0,74.0,4956600
2022-08-12,74.0,75.0,74.0,75.0,908500
2022-08-15,75.0,75.0,73.0,74.0,1994800
2022-08-16,74.0,75.0,73.0,73.0,2350000
2022-08-18,74.0,74.0,73.0,74.0,1633100
2022-08-19,74.0,74.0,72.0,73.0,1812200
2022-08-22,73.0,73.0,71.0,72.0,3360100
2022-08-23,72.0,73.0,71.0,72.0,1711300
2022-08-24,72.0,74.0,71.0,72.0,3416400
2022-08-25,72.0,74.0,72.0,74.0,487100
2022-08-26,74.0,77.0,72.0,73.0,24404400
2022-08-29,73.0,74.0,72.0,73.0,3924800
