date,open,high,low,close,volume
2022-07-04,108.0,109.0,98.0,109.0,29300
2022-07-05,104.0,110.0,103.0,110.0,4700
2022-07-06,116.0,116.0,104.0,106.0,8600
2022-07-07,105.0,111.0,105.0,111.0,1800
2022-07-08,111.0,111.0,100.0,109.0,4800
2022-07-11,110.0,110.0,103.0,103.0,1600
2022-07-12,107.0,110.0,103.0,110.0,600
2022-07-13,103.0,108.0,99.0,102.0,2900
2022-07-14,108.0,112.0,105.0,105.0,15700
2022-07-15,103.0,110.0,102.0,110.0,500
2022-07-18,103.0,120.0,103.0,117.0,4300
2022-07-19,117.0,117.0,106.0,115.0,5500
2022-07-20,106.0,116.0,106.0,114.0,1400
2022-07-21,114.0,116.0,108.0,115.0,3500
2022-07-22,115.0,115.0,109.0,114.0,5100
2022-07-25,108.0,116.0,108.0,116.0,400
2022-07-26,108.0,118.0,108.0,116.0,800
2022-07-27,111.0,115.0,109.0,115.0,2100
2022-07-28,112.0,115.0,112.0,115.0,6900
2022-07-29,115.0,115.0,115.0,115.0,100
2022-08-01,115.0,115.0,115.0,115.0,14200
2022-08-02,112.0,112.0,112.0,112.0,4200
2022-08-03,112.0,112.0,107.0,111.0,9500
2022-08-04,107.0,112.0,107.0,107.0,700
2022-08-05,105.0,117.0,105.0,117.0,15100
2022-08-08,110.0,115.0,106.0,113.0,9300
2022-08-09,108.0,112.0,108.0,112.0,600
2022-08-10,111.0,123.0,101.0,105.0,1000
2022-08-11,106.0,109.0,106.0,106.0,4100
2022-08-12,116.0,116.0,116.0,116.0,139200
2022-08-15,127.0,127.0,127.0,127.0,238900
2022-08-16,139.0,139.0,127.0,139.0,1332200
2022-08-18,149.0,152.0,126.0,126.0,187300
2022-08-19,126.0,126.0,114.0,114.0,214600
2022-08-22,115.0,124.0,114.0,119.0,14300
2022-08-23,119.0,124.0,119.0,124.0,18900
2022-08-24,124.0,124.0,112.0,124.0,62600
2022-08-25,124.0,126.0,115.0,117.0,1100
2022-08-26,117.0,123.0,117.0,120.0,10200
2022-08-29,121.0,127.0,111.0,115.0,61200
2022-08-30,116.0,123.0,110.0,123.0,12000
2022-08-31,122.0,122.0,116.0,120.0,10200
2022-09-01,114.0,120.0,114.0,119.0,14500
2022-09-02,120.0,120.0,115.0,120.0,10700
2022-09-05,114.0,123.0,114.0,119.0,13300
2022-09-06,114.0,116.0,113.0,116.0,6000
2022-09-07,117.0,125.0,115.0,119.0,10400
2022-09-08,122.0,125.0,117.0,118.0,51900
2022-09-09,118.0,121.0,118.0,121.0,20700
