date,open,high,low,close,volume
2022-07-04,300.0,300.0,284.0,286.0,4261600
2022-07-05,282.0,290.0,282.0,288.0,1049000
2022-07-06,288.0,288.0,282.0,282.0,878600
2022-07-07,284.0,290.0,282.0,286.0,1663700
2022-07-08,286.0,290.0,280.0,284.0,1841300
2022-07-11,282.0,288.0,282.0,284.0,675800
2022-07-12,284.0,284.0,282.0,284.0,728900
2022-07-13,268.0,286.0,268.0,282.0,853200
2022-07-14,282.0,284.0,278.0,284.0,820700
2022-07-15,284.0,286.0,280.0,280.0,784600
2022-07-18,282.0,286.0,282.0,284.0,800300
2022-07-19,284.0,284.0,280.0,282.0,2044300
2022-07-20,282.0,286.0,280.0,282.0,2869200
2022-07-21,282.0,286.0,282.0,282.0,849700
2022-07-22,284.0,292.0,282.0,288.0,1168000
2022-07-25,288.0,290.0,282.0,286.0,445600
2022-07-26,288.0,288.0,284.0,284.0,697200
2022-07-27,284.0,286.0,282.0,282.0,714500
2022-07-28,282.0,288.0,282.0,286.0,853600
2022-07-29,286.0,288.0,282.0,284.0,1514700
2022-08-01,286.0,286.0,284.0,286.0,288200
2022-08-02,286.0,286.0,282.0,282.0,853400
2022-08-03,282.0,286.0,280.0,284.0,1044600
2022-08-04,284.0,284.0,282.0,284.0,524100
2022-08-05,284.0,284.0,282.0,284.0,530800
2022-08-08,284.0,284.0,282.0,284.0,1385100
2022-08-09,284.0,286.0,282.0,282.0,671700
2022-08-10,282.0,284.0,280.0,282.0,517700
2022-08-11,282.0,286.0,282.0,284.0,356900
2022-08-12,284.0,294.0,284.0,290.0,1901300
2022-08-15,296.0,296.0,286.0,288.0,684200
2022-08-16,288.0,290.0,284.0,284.0,556800
2022-08-18,286.0,288.0,284.0,288.0,336200
2022-08-19,288.0,290.0,284.0,288.0,735400
2022-08-22,288.0,290.0,286.0,290.0,1393200
2022-08-23,288.0,290.0,284.0,288.0,775900
2022-08-24,288.0,288.0,284.0,286.0,886100
2022-08-25,286.0,288.0,284.0,286.0,1051800
2022-08-26,284.0,288.0,282.0,286.0,969300
2022-08-29,286.0,300.0,282.0,288.0,2013900
2022-08-30,288.0,314.0,282.0,290.0,24909100
2022-08-31,292.0,296.0,286.0,290.0,1387500
2022-09-01,292.0,292.0,288.0,290.0,721900
2022-09-02,290.0,292.0,288.0,292.0,854800
2022-09-05,290.0,294.0,286.0,290.0,1202100
2022-09-06,288.0,290.0,282.0,286.0,2683100
2022-09-07,286.0,290.0,284.0,284.0,1791100
2022-09-08,286.0,288.0,282.0,284.0,1644700
2022-09-09,284.0,288.0,284.0,284.0,793900
2022-09-12,286.0,294.0,284.0,286.0,2666100
2022-09-13,288.0,290.0,284.0,286.0,1466200
2022-09-14,286.0,288.0,282.0,288.0,1084000
2022-09-15,288.0,288.0,276.0,286.0,4476100
2022-09-16,286.0,288.0,284.0,284.0,818600
2022-09-19,284.0,286.0,282.0,284.0,640900
2022-09-20,284.0,284.0,282.0,284.0,704000
2022-09-21,284.0,286.0,282.0,282.0,991900
2022-09-22,282.0,286.0,282.0,284.0,566400
2022-09-23,284.0,286.0,282.0,284.0,1147400
2022-09-26,284.0,284.0,280.0,280.0,1727900
2022-09-27,280.0,282.0,280.0,282.0,398700
2022-09-28,282.0,282.0,278.0,278.0,1871700
2022-09-29,278.0,282.0,278.0,278.0,980600
2022-09-30,278.0,282.0,270.0,274.0,2784600
2022-10-03,276.0,282.0,274.0,278.0,970000
2022-10-04,278.0,280.0,278.0,280.0,292700
2022-10-05,280.0,282.0,278.0,280.0,242000
2022-10-06,280.0,282.0,278.0,278.0,249900
2022-10-07,278.0,282.0,278.0,278.0,529400
2022-10-10,278.0,280.0,276.0,278.0,416700
2022-10-11,278.0,280.0,274.0,276.0,1130300
2022-10-12,276.0,278.0,272.0,276.0,889500
2022-10-13,276.0,276.0,272.0,274.0,542300
2022-10-14,274.0,274.0,270.0,270.0,1315600
2022-10-17,252.0,272.0,252.0,268.0,923000
2022-10-18,268.0,272.0,268.0,270.0,277000
2022-10-19,270.0,272.0,268.0,268.0,245700
2022-10-20,268.0,274.0,268.0,272.0,495000
2022-10-21,272.0,278.0,272.0,276.0,716900
2022-10-24,276.0,280.0,276.0,280.0,524400
2022-10-25,280.0,280.0,276.0,278.0,328100
2022-10-26,278.0,280.0,276.0,278.0,199100
2022-10-27,278.0,280.0,272.0,274.0,952900
2022-10-28,276.0,280.0,274.0,278.0,395000
2022-10-31,278.0,280.0,270.0,280.0,1469700
2022-11-01,280.0,304.0,280.0,292.0,33374500
