date,open,high,low,close,volume
2022-07-04,476.0,480.0,458.0,470.0,2755000
2022-07-05,470.0,472.0,462.0,472.0,1393400
2022-07-06,472.0,472.0,464.0,472.0,512200
2022-07-07,472.0,476.0,466.0,476.0,1314300
2022-07-08,476.0,476.0,470.0,476.0,770600
2022-07-11,476.0,476.0,468.0,476.0,692100
2022-07-12,476.0,476.0,470.0,474.0,352800
2022-07-13,474.0,474.0,468.0,472.0,388500
2022-07-14,472.0,476.0,468.0,472.0,1096100
2022-07-15,472.0,474.0,468.0,474.0,988400
2022-07-18,476.0,476.0,470.0,474.0,913300
2022-07-19,474.0,474.0,470.0,474.0,1205800
2022-07-20,474.0,476.0,472.0,476.0,816000
2022-07-21,476.0,478.0,474.0,476.0,1125900
2022-07-22,476.0,476.0,470.0,476.0,1395400
2022-07-25,476.0,480.0,472.0,480.0,662200
2022-07-26,480.0,482.0,476.0,482.0,905800
2022-07-27,482.0,482.0,474.0,478.0,966500
2022-07-28,478.0,482.0,474.0,482.0,741800
2022-07-29,478.0,484.0,476.0,484.0,1077900
2022-08-01,484.0,484.0,478.0,480.0,1231700
2022-08-02,480.0,484.0,478.0,482.0,989000
2022-08-03,482.0,484.0,476.0,484.0,978800
2022-08-04,484.0,484.0,478.0,480.0,1090600
2022-08-05,480.0,484.0,478.0,484.0,418300
2022-08-08,484.0,484.0,478.0,482.0,1547100
2022-08-09,482.0,482.0,478.0,482.0,1497500
2022-08-10,482.0,482.0,478.0,480.0,1832400
2022-08-11,480.0,480.0,478.0,480.0,1156800
2022-08-12,482.0,482.0,476.0,480.0,1393700
2022-08-15,482.0,484.0,480.0,484.0,1624400
2022-08-16,484.0,484.0,476.0,480.0,3467900
2022-08-18,480.0,480.0,476.0,480.0,3086100
2022-08-19,482.0,482.0,474.0,480.0,1819300
2022-08-22,480.0,480.0,474.0,480.0,1512300
2022-08-23,478.0,480.0,476.0,480.0,1061700
2022-08-24,480.0,480.0,476.0,478.0,1756200
2022-08-25,478.0,478.0,476.0,478.0,1236900
2022-08-26,480.0,480.0,474.0,478.0,1845700
2022-08-29,478.0,478.0,474.0,478.0,914800
2022-08-30,478.0,480.0,476.0,480.0,403800
2022-08-31,480.0,480.0,476.0,478.0,1414700
2022-09-01,478.0,480.0,474.0,478.0,839900
2022-09-02,478.0,478.0,474.0,478.0,1182000
2022-09-05,478.0,478.0,472.0,476.0,1533600
2022-09-06,476.0,476.0,472.0,476.0,2273300
2022-09-07,476.0,476.0,472.0,476.0,1508200
2022-09-08,478.0,478.0,472.0,476.0,1081100
2022-09-09,476.0,476.0,470.0,472.0,3097700
2022-09-12,474.0,474.0,466.0,468.0,4374900
2022-09-13,468.0,474.0,468.0,474.0,4946300
2022-09-14,474.0,474.0,470.0,474.0,1733800
2022-09-15,474.0,476.0,472.0,474.0,3833800
2022-09-16,474.0,474.0,468.0,470.0,2690600
2022-09-19,470.0,472.0,464.0,468.0,4455500
2022-09-20,468.0,470.0,466.0,470.0,2016900
2022-09-21,470.0,470.0,466.0,470.0,1744300
2022-09-22,470.0,470.0,464.0,470.0,4721600
2022-09-23,470.0,470.0,464.0,470.0,3881000
2022-09-26,472.0,472.0,464.0,470.0,1322000
2022-09-27,470.0,470.0,464.0,466.0,3468000
2022-09-28,466.0,466.0,460.0,464.0,7070500
2022-09-29,464.0,466.0,458.0,460.0,5954600
2022-09-30,460.0,462.0,454.0,462.0,2363100
2022-10-03,462.0,462.0,456.0,462.0,2346300
2022-10-04,462.0,462.0,456.0,460.0,2580200
2022-10-05,460.0,462.0,458.0,462.0,1594200
2022-10-06,462.0,462.0,458.0,460.0,1345300
2022-10-07,460.0,462.0,456.0,462.0,1627900
2022-10-10,462.0,462.0,456.0,460.0,1972500
2022-10-11,460.0,460.0,454.0,456.0,3245200
2022-10-12,458.0,462.0,454.0,462.0,2184500
2022-10-13,460.0,462.0,452.0,456.0,1158800
2022-10-14,458.0,460.0,456.0,458.0,1069500
2022-10-17,458.0,460.0,450.0,460.0,2348600
2022-10-18,460.0,462.0,454.0,460.0,1744300
2022-10-19,460.0,460.0,456.0,458.0,1719700
2022-10-20,458.0,462.0,456.0,462.0,1052100
2022-10-21,462.0,462.0,456.0,462.0,596100
2022-10-24,462.0,464.0,458.0,462.0,1257700
2022-10-25,462.0,464.0,458.0,464.0,1312500
2022-10-26,464.0,464.0,458.0,464.0,1028700
2022-10-27,464.0,466.0,460.0,462.0,1600500
2022-10-28,462.0,466.0,458.0,464.0,843200
2022-10-31,464.0,468.0,458.0,466.0,1726900
2022-11-01,466.0,468.0,458.0,466.0,3086700
2022-11-02,466.0,466.0,456.0,460.0,4276400
2022-11-03,460.0,460.0,452.0,460.0,5615100
2022-11-04,460.0,460.0,452.0,456.0,2870500
2022-11-07,456.0,456.0,450.0,454.0,6162600
2022-11-08,454.0,458.0,450.0,456.0,3350700
2022-11-09,456.0,458.0,454.0,456.0,1536800
2022-11-10,456.0,458.0,452.0,454.0,2352700
2022-11-11,456.0,456.0,450.0,454.0,5606700
2022-11-14,456.0,456.0,450.0,454.0,4115300
2022-11-15,454.0,454.0,450.0,454.0,2678300
2022-11-16,454.0,454.0,450.0,452.0,3463100
2022-11-17,452.0,454.0,450.0,454.0,4468300
2022-11-18,454.0,456.0,448.0,456.0,2985700
2022-11-21,456.0,456.0,450.0,450.0,4298100
2022-11-22,450.0,454.0,448.0,454.0,2123500
2022-11-23,454.0,454.0,448.0,454.0,4340000
2022-11-24,454.0,454.0,452.0,452.0,3077400
2022-11-25,452.0,454.0,450.0,452.0,2219900
2022-11-28,452.0,456.0,450.0,456.0,984500
2022-11-29,456.0,458.0,452.0,458.0,1199300
2022-11-30,458.0,464.0,454.0,464.0,905100
2022-12-01,464.0,464.0,456.0,460.0,2995100
2022-12-02,460.0,462.0,454.0,462.0,1818800
2022-12-05,462.0,462.0,448.0,460.0,5646200
2022-12-06,460.0,462.0,450.0,462.0,3474500
2022-12-07,462.0,462.0,452.0,462.0,3629200
2022-12-08,462.0,462.0,450.0,458.0,4494100
2022-12-09,458.0,460.0,454.0,460.0,1453900
2022-12-12,460.0,460.0,452.0,454.0,3574100
2022-12-13,454.0,462.0,452.0,462.0,1194500
2022-12-14,462.0,466.0,456.0,466.0,1085400
2022-12-15,466.0,470.0,456.0,470.0,817100
2022-12-16,466.0,470.0,460.0,468.0,2764700
2022-12-19,468.0,468.0,462.0,468.0,1913300
2022-12-20,468.0,468.0,462.0,468.0,3339000
2022-12-21,468.0,470.0,464.0,470.0,2571200
2022-12-22,470.0,480.0,466.0,476.0,2833600
2022-12-23,476.0,478.0,472.0,478.0,3269100
2022-12-26,478.0,480.0,474.0,480.0,2907700
2022-12-27,480.0,482.0,478.0,482.0,3127600
2022-12-28,482.0,484.0,478.0,484.0,4341100
2022-12-29,484.0,488.0,482.0,488.0,7114800
2022-12-30,488.0,500.0,486.0,500.0,2262500
2023-01-02,500.0,500.0,466.0,492.0,1198900
2023-01-03,492.0,492.0,472.0,490.0,1196300
2023-01-04,490.0,490.0,482.0,490.0,1501900
2023-01-05,490.0,490.0,476.0,486.0,2921000
2023-01-06,488.0,488.0,478.0,486.0,1047300
2023-01-09,486.0,486.0,480.0,486.0,1870400
2023-01-10,486.0,486.0,476.0,486.0,1231900
2023-01-11,486.0,486.0,478.0,482.0,972500
2023-01-12,482.0,484.0,478.0,484.0,1401100
2023-01-13,484.0,484.0,478.0,484.0,1380200
2023-01-16,484.0,484.0,480.0,484.0,921800
2023-01-17,484.0,488.0,478.0,488.0,1036600
2023-01-18,486.0,486.0,482.0,486.0,542300
2023-01-19,486.0,486.0,484.0,486.0,1127100
2023-01-20,486.0,488.0,482.0,488.0,1036600
2023-01-24,488.0,488.0,480.0,488.0,1632600
2023-01-25,488.0,488.0,480.0,488.0,1736700
2023-01-26,488.0,488.0,482.0,488.0,774000
2023-01-27,488.0,488.0,484.0,488.0,494800
2023-01-30,488.0,490.0,486.0,488.0,825300
2023-01-31,488.0,488.0,484.0,488.0,1156000
2023-02-01,488.0,490.0,484.0,490.0,1674500
2023-02-02,490.0,492.0,484.0,492.0,1398500
2023-02-03,492.0,494.0,488.0,494.0,1170200
2023-02-06,494.0,494.0,486.0,490.0,982600
2023-02-07,490.0,490.0,484.0,490.0,1853800
2023-02-08,490.0,490.0,486.0,490.0,1367100
2023-02-09,490.0,490.0,486.0,490.0,469200
2023-02-10,490.0,490.0,488.0,490.0,1002000
2023-02-13,490.0,492.0,488.0,492.0,901100
2023-02-14,492.0,492.0,488.0,490.0,569000
2023-02-15,490.0,490.0,488.0,490.0,721900
2023-02-16,490.0,492.0,486.0,492.0,976800
2023-02-17,492.0,492.0,484.0,492.0,1145000
2023-02-20,492.0,492.0,484.0,492.0,940200
2023-02-21,492.0,492.0,484.0,492.0,1138400
2023-02-22,490.0,492.0,486.0,492.0,597100
2023-02-23,492.0,492.0,488.0,492.0,717000
2023-02-24,492.0,492.0,490.0,492.0,501100
2023-02-27,492.0,494.0,486.0,492.0,723500
2023-02-28,492.0,496.0,488.0,494.0,744100
2023-03-01,494.0,496.0,492.0,494.0,568900
2023-03-02,494.0,496.0,492.0,494.0,412400
2023-03-03,492.0,496.0,486.0,494.0,593300
2023-03-06,492.0,496.0,488.0,496.0,443100
2023-03-07,496.0,496.0,494.0,496.0,580000
2023-03-08,496.0,496.0,490.0,496.0,641500
2023-03-09,496.0,498.0,494.0,496.0,508500
2023-03-10,496.0,498.0,494.0,496.0,177500
2023-03-13,496.0,496.0,492.0,494.0,606500
2023-03-14,496.0,498.0,490.0,496.0,1038100
2023-03-15,492.0,496.0,484.0,492.0,1938300
2023-03-16,492.0,492.0,480.0,490.0,1771400
2023-03-17,490.0,490.0,482.0,488.0,1335400
2023-03-20,488.0,490.0,484.0,490.0,473100
2023-03-21,490.0,492.0,484.0,492.0,632400
2023-03-24,492.0,492.0,488.0,490.0,626800
2023-03-27,490.0,490.0,486.0,490.0,1172900
2023-03-28,490.0,492.0,486.0,492.0,494500
2023-03-29,490.0,490.0,488.0,490.0,1646900
2023-03-30,490.0,490.0,486.0,490.0,706300
2023-03-31,490.0,490.0,486.0,490.0,510500
2023-04-03,490.0,490.0,486.0,490.0,962800
2023-04-04,490.0,490.0,486.0,490.0,606900
2023-04-05,490.0,492.0,486.0,492.0,1108300
2023-04-06,492.0,492.0,488.0,492.0,284700
2023-04-10,492.0,492.0,488.0,492.0,1103400
2023-04-11,492.0,494.0,490.0,494.0,936000
2023-04-12,494.0,498.0,492.0,498.0,1617200
2023-04-13,500.0,505.0,498.0,505.0,1329300
2023-04-14,505.0,510.0,498.0,510.0,1390300
2023-04-17,515.0,520.0,500.0,510.0,1698800
2023-04-18,510.0,510.0,498.0,510.0,1267000
2023-04-26,510.0,520.0,500.0,520.0,605900
2023-04-27,520.0,520.0,500.0,520.0,711300
2023-04-28,520.0,525.0,505.0,525.0,1171000
2023-05-02,525.0,530.0,515.0,520.0,841100
2023-05-03,525.0,530.0,515.0,520.0,1180300
2023-05-04,520.0,520.0,505.0,520.0,894300
2023-05-05,520.0,520.0,505.0,510.0,525000
2023-05-08,515.0,515.0,500.0,510.0,1773100
2023-05-09,510.0,520.0,505.0,510.0,1468000
2023-05-10,510.0,515.0,505.0,510.0,2809000
2023-05-11,510.0,520.0,505.0,510.0,3543900
2023-05-12,510.0,520.0,500.0,510.0,2116200
2023-05-15,510.0,510.0,505.0,510.0,979900
2023-05-16,510.0,515.0,500.0,515.0,1587400
2023-05-17,515.0,515.0,505.0,515.0,553000
2023-05-19,515.0,515.0,505.0,515.0,1378100
2023-05-22,515.0,520.0,510.0,520.0,844100
2023-05-23,520.0,520.0,510.0,515.0,1725300
2023-05-24,515.0,520.0,510.0,515.0,807100
2023-05-25,515.0,515.0,505.0,515.0,1007500
2023-05-26,515.0,515.0,505.0,510.0,1370100
2023-05-29,505.0,515.0,505.0,510.0,1107300
2023-05-30,510.0,510.0,500.0,510.0,3088200
2023-05-31,510.0,515.0,500.0,510.0,423800
2023-06-05,510.0,520.0,505.0,510.0,4133100
2023-06-06,510.0,515.0,505.0,510.0,887000
2023-06-07,515.0,520.0,505.0,520.0,1015100
2023-06-08,520.0,525.0,515.0,520.0,1102300
2023-06-09,525.0,525.0,515.0,525.0,374500
2023-06-12,525.0,525.0,510.0,525.0,648700
2023-06-13,525.0,530.0,520.0,525.0,1833300
2023-06-14,530.0,530.0,515.0,530.0,1518000
2023-06-15,530.0,530.0,520.0,525.0,966500
2023-06-16,525.0,525.0,520.0,525.0,942300
2023-06-19,520.0,525.0,505.0,520.0,1004600
2023-06-20,525.0,530.0,510.0,525.0,924500
2023-06-21,525.0,525.0,515.0,525.0,626800
2023-06-22,525.0,525.0,515.0,520.0,1039400
2023-06-23,520.0,520.0,510.0,520.0,864800
2023-06-26,520.0,525.0,515.0,520.0,1142800
2023-06-27,520.0,530.0,515.0,530.0,2852700
2023-07-03,535.0,535.0,525.0,535.0,1238800
2023-07-04,535.0,540.0,530.0,540.0,1105300
2023-07-05,545.0,545.0,535.0,540.0,1652500
2023-07-06,540.0,540.0,525.0,535.0,2243200
2023-07-07,540.0,540.0,525.0,535.0,1411400
2023-07-10,535.0,535.0,520.0,525.0,2416100
2023-07-11,530.0,535.0,525.0,535.0,692600
2023-07-12,535.0,540.0,530.0,535.0,795200
2023-07-13,535.0,540.0,530.0,540.0,505200
2023-07-14,540.0,540.0,530.0,540.0,1764700
2023-07-17,540.0,545.0,530.0,545.0,1461100
2023-07-18,545.0,555.0,535.0,535.0,2583000
2023-07-20,535.0,555.0,535.0,545.0,1215200
2023-07-21,545.0,555.0,535.0,545.0,1465100
2023-07-24,545.0,550.0,540.0,550.0,1032700
2023-07-25,550.0,550.0,535.0,550.0,2083700
2023-07-26,550.0,555.0,540.0,555.0,1663800
2023-07-27,555.0,555.0,545.0,555.0,960400
2023-07-28,550.0,555.0,545.0,555.0,865400
2023-07-31,560.0,565.0,555.0,565.0,1138900
2023-08-01,570.0,585.0,560.0,575.0,2978600
2023-08-02,575.0,575.0,560.0,575.0,800800
2023-08-03,575.0,575.0,565.0,570.0,1225200
2023-08-04,570.0,575.0,555.0,570.0,1706300
2023-08-07,570.0,575.0,560.0,575.0,1564600
2023-08-08,575.0,575.0,570.0,575.0,437900
2023-08-09,570.0,575.0,545.0,570.0,6011700
2023-08-10,560.0,570.0,555.0,570.0,3297000
2023-08-11,570.0,570.0,555.0,570.0,2540400
2023-08-14,570.0,575.0,560.0,575.0,328200
2023-08-15,570.0,575.0,570.0,575.0,522000
2023-08-16,575.0,585.0,570.0,585.0,1317600
2023-08-18,585.0,600.0,585.0,595.0,1059800
2023-08-21,595.0,595.0,585.0,595.0,1407200
2023-08-22,590.0,600.0,590.0,600.0,354500
2023-08-23,595.0,630.0,595.0,625.0,2580800
2023-08-24,625.0,630.0,615.0,620.0,979500
2023-08-25,620.0,620.0,595.0,605.0,3436900
2023-08-28,605.0,615.0,585.0,605.0,2670100
2023-08-29,605.0,610.0,595.0,610.0,3335200
2023-08-30,610.0,625.0,600.0,615.0,3179300
2023-08-31,615.0,625.0,610.0,625.0,797300
2023-09-01,630.0,630.0,605.0,610.0,5082500
2023-09-04,610.0,615.0,600.0,610.0,2515800
2023-09-05,610.0,615.0,605.0,610.0,1516900
2023-09-06,605.0,610.0,600.0,610.0,827000
2023-09-07,610.0,615.0,600.0,615.0,684400
2023-09-08,615.0,615.0,605.0,610.0,1953700
2023-09-11,605.0,610.0,600.0,610.0,1654600
2023-09-12,610.0,610.0,600.0,605.0,1163400
2023-09-13,605.0,610.0,605.0,610.0,1286000
2023-09-14,610.0,615.0,605.0,615.0,743900
2023-09-15,615.0,615.0,610.0,615.0,2020300
2023-09-18,615.0,625.0,610.0,615.0,1015300
2023-09-19,610.0,620.0,605.0,620.0,1563100
2023-09-20,620.0,620.0,610.0,620.0,840000
2023-09-21,620.0,620.0,610.0,620.0,1294400
2023-09-22,620.0,625.0,615.0,625.0,834200
2023-09-25,630.0,660.0,625.0,645.0,1057200
2023-09-26,650.0,650.0,630.0,645.0,1026500
2023-09-27,645.0,650.0,640.0,650.0,616600
2023-09-29,640.0,660.0,640.0,660.0,530300
2023-10-02,660.0,680.0,650.0,665.0,1632300
2023-10-03,660.0,675.0,650.0,665.0,926200
2023-10-04,660.0,670.0,655.0,665.0,899900
2023-10-05,660.0,670.0,655.0,665.0,664700
2023-10-06,665.0,670.0,660.0,670.0,607500
2023-10-09,670.0,670.0,660.0,670.0,799600
2023-10-10,665.0,680.0,660.0,675.0,929400
2023-10-11,675.0,680.0,665.0,675.0,522800
2023-10-12,680.0,715.0,680.0,685.0,843800
2023-10-13,685.0,700.0,660.0,670.0,2664500
2023-10-16,670.0,670.0,630.0,670.0,3182300
2023-10-17,670.0,680.0,665.0,670.0,1528900
2023-10-18,670.0,680.0,665.0,670.0,1645200
2023-10-19,670.0,680.0,665.0,670.0,798800
2023-10-20,665.0,675.0,665.0,670.0,806600
2023-10-23,665.0,670.0,650.0,660.0,5484200
2023-10-24,650.0,670.0,635.0,660.0,3342900
2023-10-25,660.0,670.0,640.0,665.0,3927900
2023-10-26,670.0,670.0,655.0,660.0,2755600
2023-10-27,660.0,680.0,660.0,680.0,503500
2023-10-30,680.0,695.0,680.0,685.0,359600
2023-10-31,690.0,715.0,680.0,695.0,1726000
2023-11-01,695.0,710.0,690.0,700.0,480400
2023-11-02,700.0,715.0,700.0,715.0,928900
2023-11-03,715.0,770.0,710.0,740.0,1897700
2023-11-06,740.0,750.0,690.0,730.0,2915200
2023-11-07,730.0,735.0,720.0,730.0,368800
2023-11-08,725.0,735.0,720.0,735.0,931800
2023-11-09,740.0,755.0,730.0,735.0,1014700
2023-11-10,730.0,735.0,720.0,735.0,717300
2023-11-13,735.0,745.0,720.0,745.0,511700
2023-11-14,745.0,750.0,740.0,740.0,725100
2023-11-15,735.0,745.0,720.0,740.0,2007900
2023-11-16,745.0,745.0,740.0,745.0,383800
2023-11-17,745.0,750.0,730.0,750.0,1331900
2023-11-20,750.0,750.0,735.0,745.0,1051300
2023-11-21,740.0,745.0,700.0,730.0,2736900
2023-11-22,730.0,735.0,725.0,730.0,564200
2023-11-23,730.0,745.0,710.0,730.0,2994500
2023-11-24,730.0,740.0,720.0,725.0,2227500
2023-11-27,715.0,735.0,715.0,725.0,2216400
