date,open,high,low,close,volume
2022-07-04,148.0,148.0,148.0,148.0,0
2022-07-05,148.0,148.0,148.0,148.0,100
2022-07-06,148.0,148.0,148.0,148.0,200
2022-07-07,148.0,148.0,148.0,148.0,0
2022-07-08,148.0,148.0,148.0,148.0,0
2022-07-11,151.0,151.0,151.0,151.0,1400
2022-07-12,148.0,148.0,148.0,148.0,1100
2022-07-13,151.0,151.0,148.0,148.0,300
2022-07-14,148.0,148.0,148.0,148.0,0
2022-07-15,148.0,148.0,148.0,148.0,100
2022-07-18,148.0,148.0,148.0,148.0,0
2022-07-19,151.0,151.0,150.0,150.0,3000
2022-07-20,150.0,150.0,150.0,150.0,0
2022-07-21,148.0,150.0,145.0,150.0,81800
2022-07-22,149.0,149.0,149.0,149.0,100
2022-07-25,148.0,149.0,148.0,149.0,29900
2022-07-26,149.0,149.0,149.0,149.0,0
2022-07-27,150.0,154.0,150.0,150.0,56100
2022-07-28,150.0,150.0,150.0,150.0,0
2022-07-29,150.0,150.0,150.0,150.0,0
2022-08-01,150.0,150.0,150.0,150.0,0
2022-08-02,150.0,150.0,149.0,149.0,500
2022-08-03,149.0,149.0,149.0,149.0,200
2022-08-04,149.0,149.0,149.0,149.0,1000
2022-08-05,149.0,149.0,149.0,149.0,0
2022-08-08,151.0,155.0,151.0,154.0,12900
2022-08-09,150.0,151.0,150.0,151.0,400
2022-08-10,154.0,154.0,154.0,154.0,1000
2022-08-11,154.0,154.0,154.0,154.0,5000
2022-08-12,149.0,155.0,149.0,155.0,16700
2022-08-15,155.0,160.0,155.0,160.0,113600
2022-08-16,152.0,152.0,152.0,152.0,100
2022-08-18,152.0,152.0,152.0,152.0,0
2022-08-19,158.0,158.0,158.0,158.0,100
2022-08-22,163.0,163.0,152.0,152.0,3300
2022-08-23,160.0,160.0,152.0,152.0,1800
2022-08-24,157.0,157.0,153.0,153.0,1500
2022-08-25,153.0,153.0,153.0,153.0,0
2022-08-26,153.0,153.0,153.0,153.0,0
2022-08-29,150.0,150.0,150.0,150.0,3200
2022-08-30,151.0,151.0,150.0,150.0,1700
2022-08-31,155.0,155.0,150.0,151.0,1200
2022-09-01,152.0,152.0,149.0,150.0,12000
2022-09-02,150.0,160.0,150.0,159.0,10400
2022-09-05,158.0,160.0,151.0,160.0,15300
2022-09-06,158.0,158.0,157.0,157.0,4800
2022-09-07,157.0,160.0,157.0,159.0,11400
2022-09-08,159.0,159.0,151.0,158.0,15000
2022-09-09,159.0,159.0,150.0,159.0,20000
2022-09-12,153.0,157.0,153.0,156.0,2700
2022-09-13,153.0,154.0,153.0,154.0,700
2022-09-14,155.0,155.0,154.0,154.0,2100
2022-09-15,154.0,154.0,154.0,154.0,0
2022-09-16,154.0,154.0,154.0,154.0,600
2022-09-19,151.0,151.0,151.0,151.0,1500
2022-09-20,154.0,154.0,154.0,154.0,600
2022-09-21,154.0,154.0,154.0,154.0,3900
2022-09-22,154.0,154.0,154.0,154.0,2700
2022-09-23,154.0,154.0,154.0,154.0,0
2022-09-26,154.0,154.0,154.0,154.0,0
2022-09-27,154.0,154.0,151.0,151.0,800
2022-09-28,151.0,151.0,151.0,151.0,2400
2022-09-29,151.0,151.0,151.0,151.0,0
2022-09-30,151.0,154.0,151.0,154.0,2300
2022-10-03,153.0,154.0,150.0,150.0,14700
2022-10-04,152.0,152.0,152.0,152.0,2100
2022-10-05,152.0,153.0,151.0,151.0,2900
2022-10-06,153.0,153.0,150.0,150.0,300
2022-10-07,147.0,147.0,145.0,145.0,2800
2022-10-10,145.0,145.0,142.0,142.0,159000
2022-10-11,150.0,150.0,143.0,143.0,3500
2022-10-12,143.0,143.0,143.0,143.0,400
2022-10-13,148.0,148.0,142.0,142.0,1100
2022-10-14,142.0,142.0,142.0,142.0,0
2022-10-17,142.0,143.0,142.0,143.0,500
2022-10-18,143.0,143.0,143.0,143.0,0
2022-10-19,143.0,143.0,143.0,143.0,0
2022-10-20,148.0,148.0,140.0,140.0,800
2022-10-21,142.0,145.0,142.0,145.0,1700
2022-10-24,145.0,145.0,145.0,145.0,0
2022-10-25,140.0,140.0,140.0,140.0,3100
2022-10-26,140.0,140.0,140.0,140.0,1100
2022-10-27,146.0,150.0,141.0,142.0,16800
2022-10-28,142.0,142.0,142.0,142.0,100
2022-10-31,142.0,144.0,135.0,140.0,174600
2022-11-01,140.0,140.0,135.0,135.0,14100
2022-11-02,135.0,135.0,135.0,135.0,0
2022-11-03,144.0,144.0,137.0,137.0,7500
2022-11-04,136.0,136.0,136.0,136.0,200
2022-11-07,136.0,136.0,136.0,136.0,300
2022-11-08,136.0,136.0,136.0,136.0,4000
2022-11-09,136.0,136.0,136.0,136.0,9400
2022-11-10,135.0,141.0,135.0,135.0,21900
2022-11-11,135.0,140.0,134.0,134.0,16700
2022-11-14,140.0,140.0,128.0,137.0,388700
2022-11-15,134.0,141.0,128.0,139.0,327600
2022-11-16,137.0,159.0,131.0,159.0,147600
2022-11-17,157.0,158.0,148.0,148.0,24300
2022-11-18,145.0,154.0,138.0,149.0,77500
2022-11-21,151.0,151.0,139.0,139.0,65200
2022-11-22,139.0,145.0,139.0,139.0,33300
2022-11-23,139.0,145.0,139.0,144.0,2500
2022-11-24,144.0,144.0,141.0,141.0,27500
2022-11-25,140.0,140.0,140.0,140.0,2000
2022-11-28,146.0,146.0,146.0,146.0,3000
2022-11-29,145.0,145.0,139.0,140.0,7500
2022-11-30,140.0,140.0,139.0,139.0,7500
2022-12-01,139.0,139.0,139.0,139.0,1800
2022-12-02,136.0,147.0,136.0,144.0,5700
2022-12-05,144.0,144.0,144.0,144.0,0
2022-12-06,137.0,137.0,135.0,136.0,25300
2022-12-07,129.0,135.0,129.0,135.0,158300
2022-12-08,134.0,135.0,134.0,135.0,7200
2022-12-09,135.0,135.0,135.0,135.0,0
2022-12-12,135.0,135.0,135.0,135.0,0
2022-12-13,135.0,135.0,135.0,135.0,0
2022-12-14,139.0,139.0,130.0,138.0,64700
2022-12-15,130.0,137.0,129.0,129.0,239700
2022-12-16,129.0,136.0,128.0,135.0,168300
2022-12-19,135.0,135.0,135.0,135.0,7400
2022-12-20,135.0,135.0,135.0,135.0,0
2022-12-21,134.0,134.0,133.0,134.0,2100
2022-12-22,134.0,140.0,134.0,136.0,17000
2022-12-23,140.0,140.0,130.0,131.0,2600
2022-12-26,130.0,130.0,130.0,130.0,200
2022-12-27,132.0,132.0,124.0,131.0,21100
2022-12-28,131.0,135.0,130.0,130.0,4500
2022-12-29,130.0,130.0,121.0,129.0,61100
2022-12-30,128.0,128.0,124.0,127.0,3700
2023-01-02,124.0,126.0,119.0,124.0,23700
2023-01-03,124.0,128.0,124.0,128.0,2000
2023-01-04,128.0,133.0,126.0,128.0,26900
2023-01-05,133.0,160.0,130.0,145.0,5934300
2023-01-06,146.0,148.0,135.0,138.0,881700
2023-01-09,133.0,135.0,129.0,129.0,1491800
2023-01-10,134.0,136.0,129.0,136.0,150700
2023-01-11,135.0,139.0,130.0,135.0,37700
2023-01-12,130.0,135.0,129.0,134.0,59400
2023-01-13,138.0,138.0,128.0,128.0,77700
2023-01-16,133.0,135.0,127.0,131.0,67900
2023-01-17,130.0,133.0,129.0,130.0,41000
2023-01-18,130.0,137.0,129.0,135.0,25300
2023-01-19,130.0,135.0,126.0,128.0,131800
2023-01-20,128.0,132.0,128.0,132.0,200
2023-01-24,128.0,131.0,127.0,130.0,67300
2023-01-25,130.0,138.0,127.0,128.0,161500
2023-01-26,127.0,130.0,127.0,128.0,62900
2023-01-27,128.0,134.0,127.0,132.0,71400
2023-01-30,132.0,132.0,126.0,128.0,86900
2023-01-31,134.0,145.0,126.0,131.0,41700
2023-02-01,129.0,135.0,129.0,129.0,48900
2023-02-02,129.0,133.0,129.0,130.0,25200
2023-02-03,132.0,133.0,130.0,132.0,8300
2023-02-06,133.0,133.0,129.0,130.0,16200
2023-02-07,133.0,133.0,129.0,131.0,37800
2023-02-08,131.0,132.0,122.0,122.0,1024900
