date,open,high,low,close,volume
2022-07-04,310.0,310.0,290.0,290.0,8791000
2022-07-05,290.0,294.0,285.0,285.0,1780000
2022-07-06,285.0,289.0,285.0,287.0,17025000
2022-07-07,286.0,298.0,286.0,286.0,4556000
2022-07-08,290.0,298.0,288.0,293.0,470000
2022-07-11,293.0,307.0,286.0,307.0,931000
2022-07-12,307.0,307.0,287.0,298.0,1090000
2022-07-13,304.0,314.0,285.0,287.0,2691000
2022-07-14,286.0,297.0,286.0,292.0,743000
2022-07-15,292.0,292.0,288.0,289.0,4590000
2022-07-18,293.0,293.0,287.0,292.0,643000
2022-07-19,292.0,303.0,288.0,289.0,140000
2022-07-20,290.0,299.0,290.0,297.0,400000
2022-07-21,295.0,302.0,295.0,300.0,1054000
2022-07-22,301.0,309.0,299.0,302.0,2941000
2022-07-25,309.0,310.0,301.0,301.0,1472000
2022-07-26,301.0,302.0,298.0,300.0,3441000
2022-07-27,300.0,310.0,298.0,310.0,1903000
2022-07-28,311.0,314.0,309.0,310.0,1655000
2022-07-29,310.0,325.0,309.0,324.0,6029000
2022-08-01,324.0,324.0,314.0,315.0,3055000
2022-08-02,315.0,324.0,314.0,315.0,2132000
2022-08-03,310.0,312.0,302.0,306.0,6532000
2022-08-04,306.0,306.0,299.0,300.0,5177000
2022-08-05,298.0,301.0,297.0,297.0,3938000
2022-08-08,305.0,341.0,300.0,307.0,24944000
2022-08-09,310.0,318.0,298.0,309.0,8187000
2022-08-10,309.0,309.0,298.0,299.0,13114000
2022-08-11,300.0,305.0,299.0,300.0,2846000
2022-08-12,301.0,302.0,299.0,301.0,3178000
2022-08-15,301.0,305.0,301.0,301.0,2238000
2022-08-16,301.0,304.0,299.0,302.0,2345000
2022-08-18,301.0,303.0,296.0,297.0,7738000
2022-08-19,298.0,320.0,297.0,319.0,8089000
2022-08-22,319.0,355.0,319.0,332.0,21714000
2022-08-23,332.0,337.0,328.0,332.0,5050000
2022-08-24,332.0,337.0,328.0,330.0,6630000
2022-08-25,330.0,333.0,328.0,330.0,13852000
2022-08-26,330.0,350.0,330.0,341.0,5672000
2022-08-29,337.0,341.0,328.0,330.0,15428000
2022-08-30,330.0,355.0,330.0,347.0,9617000
2022-08-31,346.0,349.0,333.0,340.0,6766000
2022-09-01,340.0,340.0,333.0,333.0,4223000
2022-09-02,333.0,338.0,332.0,334.0,1332000
2022-09-05,334.0,335.0,320.0,325.0,5815000
2022-09-06,325.0,331.0,311.0,325.0,4534000
2022-09-07,325.0,328.0,320.0,323.0,1759000
2022-09-08,323.0,333.0,316.0,332.0,3373000
2022-09-09,333.0,335.0,321.0,323.0,1785000
2022-09-12,323.0,330.0,319.0,322.0,6945000
2022-09-13,322.0,327.0,300.0,300.0,34353000
2022-09-14,305.0,311.0,300.0,306.0,11414000
2022-09-15,312.0,312.0,301.0,309.0,22769000
2022-09-16,308.0,310.0,304.0,306.0,6537000
2022-09-19,310.0,310.0,305.0,308.0,5990000
2022-09-20,308.0,312.0,307.0,309.0,7157000
2022-09-21,308.0,308.0,302.0,303.0,4376000
2022-09-22,303.0,303.0,298.0,299.0,13119000
2022-09-23,299.0,301.0,299.0,299.0,9251000
2022-09-26,299.0,299.0,291.0,298.0,7610000
2022-09-27,299.0,300.0,293.0,295.0,5609000
2022-09-28,294.0,297.0,290.0,290.0,5799000
2022-09-29,292.0,293.0,286.0,287.0,4453000
2022-09-30,287.0,288.0,280.0,283.0,6311000
2022-10-03,283.0,287.0,275.0,279.0,7208000
2022-10-04,279.0,285.0,276.0,277.0,17941000
2022-10-05,278.0,285.0,278.0,283.0,5542000
2022-10-06,284.0,285.0,279.0,283.0,12270000
2022-10-07,283.0,283.0,278.0,280.0,8359000
2022-10-10,277.0,280.0,268.0,271.0,17880000
2022-10-11,273.0,278.0,269.0,272.0,3989000
2022-10-12,272.0,280.0,270.0,279.0,8071000
2022-10-13,279.0,280.0,261.0,268.0,9903000
2022-10-14,272.0,272.0,266.0,270.0,10432000
2022-10-17,270.0,272.0,260.0,270.0,15824000
2022-10-18,271.0,273.0,265.0,267.0,6670000
2022-10-19,268.0,273.0,267.0,269.0,6231000
2022-10-20,270.0,274.0,269.0,273.0,16297000
2022-10-21,275.0,288.0,275.0,283.0,51787000
2022-10-24,284.0,294.0,282.0,294.0,25390000
2022-10-25,294.0,294.0,281.0,286.0,6534000
2022-10-26,287.0,294.0,283.0,290.0,11842000
2022-10-27,290.0,292.0,284.0,290.0,22369000
2022-10-28,290.0,292.0,287.0,288.0,6902000
2022-10-31,290.0,324.0,289.0,320.0,41657000
2022-11-01,331.0,359.0,331.0,336.0,126366000
2022-11-02,336.0,350.0,336.0,349.0,35132000
2022-11-03,349.0,349.0,332.0,335.0,12077000
2022-11-04,337.0,350.0,336.0,349.0,31031000
2022-11-07,349.0,358.0,340.0,358.0,18336000
2022-11-08,358.0,365.0,344.0,350.0,12981000
2022-11-09,350.0,360.0,344.0,354.0,16120000
2022-11-10,354.0,375.0,350.0,359.0,29918000
2022-11-11,359.0,360.0,348.0,350.0,15025000
2022-11-14,352.0,365.0,352.0,363.0,14157000
2022-11-15,360.0,360.0,354.0,355.0,4804000
2022-11-16,355.0,360.0,350.0,354.0,3641000
2022-11-17,354.0,359.0,350.0,354.0,12137000
2022-11-18,354.0,356.0,349.0,353.0,18961000
2022-11-21,353.0,384.0,353.0,384.0,28133000
2022-11-22,384.0,408.0,380.0,400.0,22243000
2022-11-23,402.0,419.0,395.0,404.0,19444000
2022-11-24,410.0,424.0,404.0,416.0,28221000
2022-11-25,417.0,420.0,401.0,413.0,11414000
2022-11-28,413.0,414.0,393.0,398.0,13793000
2022-11-29,398.0,425.0,396.0,424.0,25344000
2022-11-30,424.0,426.0,406.0,412.0,16032000
2022-12-01,412.0,420.0,401.0,407.0,9248000
2022-12-02,402.0,416.0,394.0,399.0,7495000
2022-12-05,402.0,414.0,395.0,407.0,11318000
2022-12-06,410.0,414.0,389.0,398.0,14659000
2022-12-07,390.0,404.0,383.0,387.0,8199000
2022-12-08,382.0,402.0,371.0,399.0,16523000
2022-12-09,399.0,405.0,393.0,398.0,5879000
2022-12-12,398.0,399.0,382.0,390.0,4972000
2022-12-13,382.0,407.0,382.0,402.0,5074000
2022-12-14,402.0,402.0,380.0,386.0,11894000
2022-12-15,386.0,392.0,375.0,379.0,21828000
2022-12-16,380.0,386.0,379.0,381.0,5118000
2022-12-19,383.0,385.0,379.0,381.0,5536000
2022-12-20,384.0,386.0,378.0,380.0,11000000
2022-12-21,385.0,385.0,379.0,380.0,6987000
2022-12-22,380.0,390.0,379.0,380.0,7442000
2022-12-23,385.0,385.0,372.0,375.0,3976000
2022-12-26,370.0,383.0,366.0,381.0,3115000
2022-12-27,381.0,389.0,380.0,381.0,2843000
2022-12-28,381.0,387.0,377.0,381.0,3124000
2022-12-29,381.0,386.0,375.0,386.0,2644000
2022-12-30,386.0,387.0,380.0,385.0,1001000
2023-01-02,388.0,396.0,375.0,380.0,4330000
2023-01-03,375.0,381.0,367.0,371.0,11103000
2023-01-04,371.0,379.0,360.0,360.0,18973000
2023-01-05,360.0,374.0,350.0,350.0,22774000
