date,open,high,low,close,volume
2023-04-12,1285.0,1410.0,1205.0,1305.0,657355200
2023-04-13,1320.0,1355.0,1305.0,1345.0,209767600
2023-04-14,1370.0,1380.0,1345.0,1375.0,190823800
2023-04-17,1375.0,1405.0,1365.0,1400.0,110227800
2023-04-18,1405.0,1470.0,1385.0,1445.0,219624500
2023-04-26,1445.0,1470.0,1345.0,1345.0,261585500
2023-04-27,1345.0,1395.0,1265.0,1365.0,94179000
2023-04-28,1370.0,1415.0,1370.0,1405.0,89338700
2023-05-02,1405.0,1435.0,1395.0,1405.0,135857600
2023-05-03,1405.0,1420.0,1310.0,1335.0,114751300
2023-05-04,1340.0,1370.0,1325.0,1365.0,74280900
2023-05-05,1370.0,1375.0,1270.0,1270.0,82025800
2023-05-08,1250.0,1355.0,1250.0,1350.0,176198300
2023-05-09,1350.0,1350.0,1260.0,1260.0,99623200
2023-05-10,1220.0,1280.0,1175.0,1200.0,97365700
2023-05-11,1190.0,1200.0,1120.0,1125.0,93310000
2023-05-12,1200.0,1200.0,1050.0,1050.0,49929700
2023-05-15,1000.0,1060.0,990.0,1040.0,79327100
2023-05-16,1030.0,1060.0,980.0,1010.0,65273700
2023-05-17,1005.0,1110.0,980.0,1075.0,89541800
2023-05-19,1095.0,1105.0,1000.0,1000.0,62671700
2023-05-22,1005.0,1020.0,930.0,930.0,84447000
2023-05-23,930.0,980.0,880.0,945.0,103821600
2023-05-24,940.0,950.0,880.0,880.0,61697300
2023-05-25,880.0,905.0,855.0,860.0,68383100
2023-05-26,865.0,915.0,865.0,885.0,31549800
2023-05-29,885.0,905.0,825.0,825.0,56635000
2023-05-30,805.0,830.0,770.0,775.0,104001400
2023-05-31,750.0,820.0,750.0,810.0,51611900
2023-06-05,810.0,915.0,810.0,895.0,132104700
2023-06-06,900.0,915.0,815.0,875.0,105564900
2023-06-07,875.0,905.0,870.0,895.0,57291800
2023-06-08,895.0,990.0,895.0,950.0,130586800
2023-06-09,955.0,955.0,890.0,900.0,113426800
2023-06-12,900.0,925.0,890.0,905.0,38496300
2023-06-13,915.0,920.0,900.0,905.0,16971900
2023-06-14,920.0,990.0,920.0,980.0,89666700
2023-06-15,995.0,1000.0,950.0,975.0,58096700
2023-06-16,980.0,1045.0,975.0,1030.0,60126000
2023-06-19,1030.0,1080.0,990.0,995.0,90334800
2023-06-20,1000.0,1010.0,955.0,955.0,50559600
2023-06-21,955.0,1010.0,955.0,1005.0,31554100
2023-06-22,1005.0,1020.0,985.0,1005.0,15581000
2023-06-23,1005.0,1015.0,995.0,995.0,18493000
2023-06-26,995.0,1000.0,965.0,990.0,20998800
2023-06-27,990.0,990.0,935.0,935.0,56315300
2023-07-03,935.0,995.0,935.0,955.0,33288400
2023-07-04,955.0,970.0,935.0,945.0,34603500
2023-07-05,945.0,955.0,925.0,925.0,47533600
2023-07-06,935.0,955.0,910.0,920.0,53245000
2023-07-07,920.0,975.0,910.0,965.0,48628000
2023-07-10,965.0,970.0,930.0,935.0,40414000
2023-07-11,925.0,940.0,905.0,905.0,46929600
