date,open,high,low,close,volume
2022-07-04,450.0,500.0,448.0,462.0,116600
2022-07-05,460.0,462.0,446.0,460.0,55600
2022-07-06,458.0,470.0,442.0,456.0,76100
2022-07-07,446.0,466.0,442.0,466.0,72500
2022-07-08,448.0,462.0,438.0,462.0,66100
2022-07-11,452.0,460.0,434.0,452.0,121000
2022-07-12,450.0,452.0,422.0,446.0,207900
2022-07-13,436.0,476.0,432.0,476.0,233200
2022-07-14,464.0,472.0,444.0,448.0,62400
2022-07-15,446.0,458.0,418.0,434.0,358900
2022-07-18,430.0,440.0,412.0,438.0,184500
2022-07-19,426.0,460.0,408.0,432.0,417000
2022-07-20,416.0,432.0,412.0,432.0,267100
2022-07-21,432.0,476.0,430.0,440.0,109100
2022-07-22,448.0,454.0,422.0,448.0,101900
2022-07-25,430.0,476.0,428.0,444.0,193700
2022-07-26,440.0,450.0,434.0,444.0,122100
2022-07-27,442.0,450.0,434.0,446.0,59500
2022-07-28,438.0,448.0,436.0,448.0,34000
2022-07-29,448.0,458.0,426.0,446.0,154600
2022-08-01,444.0,494.0,430.0,450.0,198400
2022-08-02,450.0,452.0,438.0,450.0,99900
2022-08-03,450.0,480.0,432.0,442.0,273900
2022-08-04,440.0,462.0,430.0,462.0,118000
2022-08-05,480.0,480.0,430.0,454.0,225800
2022-08-08,440.0,450.0,432.0,440.0,98900
2022-08-09,434.0,444.0,432.0,440.0,47900
2022-08-10,438.0,440.0,420.0,434.0,85100
2022-08-11,430.0,446.0,420.0,440.0,132500
2022-08-12,440.0,446.0,430.0,444.0,57400
2022-08-15,436.0,450.0,426.0,436.0,325300
2022-08-16,436.0,446.0,406.0,424.0,697100
2022-08-18,410.0,426.0,396.0,396.0,638100
2022-08-19,396.0,400.0,380.0,392.0,271500
2022-08-22,394.0,404.0,388.0,400.0,31300
2022-08-23,396.0,404.0,390.0,400.0,17900
2022-08-24,398.0,440.0,388.0,438.0,367600
2022-08-25,440.0,440.0,408.0,408.0,367500
2022-08-26,408.0,428.0,382.0,420.0,487900
2022-08-29,420.0,420.0,392.0,396.0,287600
2022-08-30,396.0,398.0,370.0,378.0,591400
2022-08-31,378.0,384.0,352.0,364.0,409300
2022-09-01,364.0,380.0,350.0,376.0,139600
2022-09-02,360.0,376.0,360.0,370.0,46600
2022-09-05,364.0,378.0,354.0,364.0,121200
2022-09-06,364.0,372.0,360.0,360.0,10700
2022-09-07,368.0,376.0,356.0,368.0,150600
2022-09-08,368.0,370.0,350.0,364.0,201600
2022-09-09,364.0,388.0,340.0,340.0,1780900
2022-09-12,346.0,350.0,320.0,344.0,168500
2022-09-13,350.0,354.0,334.0,354.0,1784300
2022-09-14,358.0,370.0,346.0,360.0,309200
2022-09-15,348.0,362.0,342.0,360.0,3167600
2022-09-16,360.0,388.0,360.0,382.0,694300
2022-09-19,376.0,386.0,364.0,378.0,365600
2022-09-20,360.0,384.0,356.0,384.0,2668100
2022-09-21,386.0,390.0,376.0,388.0,139100
2022-09-22,388.0,390.0,378.0,390.0,124900
2022-09-23,390.0,440.0,384.0,414.0,630000
2022-09-26,414.0,440.0,398.0,424.0,162800
2022-09-27,424.0,436.0,410.0,428.0,2126300
2022-09-28,428.0,446.0,420.0,446.0,496900
2022-09-29,444.0,444.0,416.0,440.0,1967500
2022-09-30,428.0,450.0,428.0,442.0,1296400
2022-10-03,444.0,444.0,420.0,434.0,101200
2022-10-04,430.0,434.0,410.0,428.0,193100
2022-10-05,428.0,474.0,414.0,430.0,369100
2022-10-06,428.0,436.0,400.0,430.0,241500
2022-10-07,428.0,434.0,400.0,426.0,361300
2022-10-10,404.0,428.0,398.0,428.0,257600
2022-10-11,412.0,428.0,400.0,400.0,406200
