date,open,high,low,close,volume
2022-11-08,254.0,254.0,210.0,252.0,1191179900
2022-11-09,238.0,266.0,238.0,252.0,546815200
2022-11-10,252.0,252.0,240.0,246.0,220275900
2022-11-11,246.0,260.0,242.0,252.0,248027400
2022-11-14,252.0,260.0,248.0,258.0,240345100
2022-11-15,256.0,264.0,254.0,264.0,240539400
2022-11-16,266.0,272.0,258.0,262.0,295752700
2022-11-17,262.0,272.0,258.0,272.0,240228700
2022-11-18,274.0,280.0,268.0,270.0,230530700
2022-11-21,270.0,272.0,260.0,264.0,254080700
2022-11-22,262.0,266.0,260.0,260.0,189010400
2022-11-23,260.0,264.0,258.0,264.0,100471100
2022-11-24,266.0,268.0,262.0,268.0,102546000
2022-11-25,270.0,274.0,266.0,270.0,188262200
2022-11-28,270.0,270.0,258.0,258.0,154743100
2022-11-29,254.0,268.0,250.0,260.0,95873900
2022-11-30,260.0,262.0,252.0,256.0,118259300
2022-12-01,256.0,262.0,250.0,254.0,95318400
2022-12-02,254.0,254.0,250.0,254.0,61196900
2022-12-05,252.0,258.0,248.0,250.0,90669400
2022-12-06,250.0,252.0,234.0,234.0,103045600
2022-12-07,232.0,238.0,218.0,238.0,86339800
2022-12-08,238.0,238.0,222.0,222.0,52444000
2022-12-09,210.0,222.0,208.0,218.0,182042700
2022-12-12,214.0,218.0,210.0,216.0,101725300
2022-12-13,216.0,218.0,206.0,206.0,60157600
2022-12-14,196.0,216.0,196.0,214.0,172021000
2022-12-15,214.0,230.0,212.0,230.0,283964600
2022-12-16,230.0,232.0,222.0,224.0,79116400
2022-12-19,224.0,226.0,218.0,220.0,58074700
2022-12-20,220.0,224.0,216.0,218.0,43190200
2022-12-21,218.0,220.0,212.0,212.0,60058400
2022-12-22,212.0,214.0,208.0,208.0,53897200
2022-12-23,208.0,218.0,206.0,216.0,146485800
2022-12-26,216.0,222.0,214.0,218.0,116083100
2022-12-27,218.0,220.0,214.0,218.0,73931500
2022-12-28,218.0,218.0,212.0,214.0,72633100
2022-12-29,214.0,216.0,210.0,214.0,40317000
2022-12-30,214.0,216.0,210.0,212.0,73027700
2023-01-02,214.0,214.0,210.0,214.0,40693400
2023-01-03,212.0,222.0,212.0,220.0,147456500
2023-01-04,220.0,226.0,218.0,220.0,118469300
2023-01-05,222.0,222.0,208.0,216.0,129336400
2023-01-06,216.0,220.0,208.0,220.0,197515600
2023-01-09,220.0,226.0,218.0,222.0,144880800
2023-01-10,224.0,224.0,218.0,220.0,109873500
2023-01-11,220.0,224.0,218.0,220.0,91825400
2023-01-12,220.0,226.0,216.0,224.0,172889500
2023-01-13,224.0,226.0,222.0,226.0,107385300
2023-01-16,226.0,232.0,224.0,232.0,188147600
2023-01-17,234.0,238.0,222.0,222.0,150059000
2023-01-18,222.0,226.0,214.0,214.0,73367400
2023-01-19,214.0,218.0,212.0,214.0,61524600
2023-01-20,214.0,216.0,208.0,212.0,101639600
2023-01-24,212.0,214.0,208.0,212.0,104739900
2023-01-25,212.0,212.0,206.0,208.0,190199400
2023-01-26,210.0,210.0,206.0,210.0,107566100
