date,open,high,low,close,volume
2022-12-08,135.0,135.0,99.0,110.0,1010583500
2022-12-09,113.0,120.0,103.0,104.0,86838000
2022-12-12,105.0,107.0,97.0,101.0,71520700
2022-12-13,98.0,111.0,94.0,97.0,225317600
2022-12-14,97.0,115.0,97.0,110.0,284996700
2022-12-15,112.0,114.0,103.0,107.0,97956200
2022-12-16,106.0,113.0,104.0,106.0,23690800
2022-12-19,106.0,110.0,99.0,104.0,63150100
2022-12-20,103.0,105.0,101.0,103.0,7045500
2022-12-21,102.0,125.0,101.0,122.0,405783100
2022-12-22,124.0,164.0,118.0,164.0,377791800
2022-12-23,175.0,220.0,162.0,220.0,387879300
2022-12-26,242.0,242.0,206.0,206.0,35660700
2022-12-27,192.0,232.0,192.0,204.0,174689800
2022-12-28,204.0,244.0,199.0,238.0,296171600
2022-12-29,238.0,282.0,234.0,272.0,386644900
2022-12-30,272.0,310.0,254.0,254.0,235459400
2023-01-02,252.0,274.0,238.0,270.0,219610700
2023-01-03,274.0,284.0,262.0,274.0,128977000
2023-01-04,274.0,290.0,256.0,280.0,176287100
2023-01-05,280.0,304.0,262.0,262.0,200955500
2023-01-06,302.0,302.0,244.0,244.0,70629000
2023-01-09,228.0,232.0,228.0,228.0,52651500
2023-01-10,214.0,242.0,214.0,214.0,46497600
2023-01-11,200.0,224.0,200.0,216.0,69303400
2023-01-12,216.0,228.0,208.0,210.0,95638300
2023-01-13,210.0,214.0,196.0,196.0,38664100
2023-01-16,198.0,216.0,183.0,210.0,170083600
2023-01-17,214.0,222.0,197.0,198.0,60037200
2023-01-18,195.0,208.0,195.0,200.0,125220200
2023-01-19,200.0,212.0,196.0,202.0,113657200
2023-01-20,204.0,212.0,200.0,202.0,137932400
2023-01-24,202.0,206.0,195.0,195.0,59641500
2023-01-25,195.0,196.0,182.0,182.0,14793200
2023-01-26,179.0,186.0,175.0,183.0,25457700
2023-01-27,183.0,198.0,172.0,197.0,102220400
2023-01-30,197.0,202.0,186.0,187.0,55587800
2023-01-31,187.0,190.0,182.0,187.0,32508900
2023-02-01,188.0,230.0,182.0,226.0,47395700
2023-02-02,228.0,234.0,212.0,212.0,86142600
2023-02-03,198.0,200.0,198.0,198.0,46019100
2023-02-06,196.0,206.0,185.0,185.0,143752700
2023-02-07,173.0,182.0,173.0,178.0,94212300
2023-02-08,180.0,188.0,168.0,171.0,143414000
2023-02-09,171.0,176.0,166.0,171.0,73855300
2023-02-10,171.0,179.0,168.0,174.0,140625900
2023-02-13,176.0,184.0,174.0,180.0,144513700
2023-02-14,181.0,187.0,180.0,185.0,74118100
2023-02-15,185.0,191.0,173.0,175.0,154439500
2023-02-16,174.0,174.0,163.0,164.0,71626600
2023-02-17,164.0,165.0,154.0,156.0,12546100
2023-02-20,158.0,163.0,146.0,147.0,46860900
2023-02-21,148.0,151.0,137.0,137.0,44953000
2023-02-22,136.0,148.0,128.0,129.0,178855200
2023-02-23,131.0,131.0,120.0,125.0,13104500
2023-02-24,125.0,136.0,125.0,132.0,97970400
2023-02-27,131.0,133.0,123.0,123.0,96339900
2023-02-28,124.0,124.0,115.0,115.0,46213500
2023-03-01,114.0,122.0,110.0,119.0,87791700
2023-03-02,119.0,120.0,114.0,116.0,6323200
2023-03-03,116.0,121.0,110.0,117.0,66082200
2023-03-06,116.0,120.0,113.0,120.0,42594700
2023-03-07,121.0,138.0,121.0,128.0,373780100
2023-03-08,129.0,130.0,120.0,120.0,64517200
2023-03-09,129.0,129.0,112.0,117.0,71697000
2023-03-10,118.0,120.0,109.0,117.0,59471000
2023-03-13,115.0,119.0,110.0,116.0,30995000
2023-03-14,115.0,118.0,111.0,116.0,32367600
2023-03-15,116.0,122.0,112.0,115.0,111134800
2023-03-16,115.0,125.0,112.0,116.0,57779500
2023-03-17,117.0,120.0,116.0,117.0,92585100
2023-03-20,117.0,120.0,113.0,117.0,93274300
2023-03-21,118.0,120.0,112.0,112.0,74159900
2023-03-24,110.0,113.0,110.0,110.0,38533800
2023-03-27,110.0,115.0,103.0,111.0,173873400
2023-03-28,111.0,114.0,107.0,110.0,80263000
2023-03-29,110.0,112.0,106.0,110.0,64154300
2023-03-30,110.0,112.0,107.0,110.0,70625300
2023-03-31,109.0,112.0,108.0,110.0,61050600
2023-04-03,110.0,111.0,108.0,109.0,84827500
2023-04-04,108.0,111.0,108.0,110.0,96807800
2023-04-05,110.0,111.0,108.0,110.0,16022100
2023-04-06,109.0,111.0,108.0,110.0,64356500
2023-04-10,108.0,114.0,108.0,113.0,162070200
2023-04-11,114.0,123.0,113.0,122.0,259417900
2023-04-12,122.0,164.0,120.0,159.0,627295300
2023-04-13,160.0,163.0,148.0,150.0,142682200
2023-04-14,150.0,188.0,148.0,165.0,890532200
2023-04-17,167.0,182.0,154.0,154.0,205172800
2023-04-18,144.0,157.0,144.0,144.0,255227100
2023-04-26,144.0,144.0,134.0,134.0,6019900
2023-04-27,125.0,132.0,125.0,126.0,90354100
2023-04-28,126.0,131.0,119.0,129.0,200330000
2023-05-02,129.0,142.0,120.0,121.0,376354600
2023-05-03,121.0,125.0,113.0,113.0,269972700
2023-05-04,114.0,117.0,106.0,108.0,421767300
2023-05-05,108.0,109.0,101.0,102.0,239263700
2023-05-08,98.0,105.0,98.0,103.0,35944700
2023-05-09,103.0,112.0,102.0,110.0,337171600
2023-05-10,110.0,114.0,103.0,105.0,347982300
2023-05-11,106.0,106.0,103.0,106.0,76187200
2023-05-12,106.0,106.0,104.0,106.0,28736500
2023-05-15,105.0,106.0,103.0,105.0,11395500
2023-05-16,105.0,111.0,105.0,111.0,157466200
2023-05-17,111.0,123.0,108.0,121.0,423408800
2023-05-19,120.0,122.0,115.0,118.0,168740600
2023-05-22,119.0,121.0,110.0,119.0,232197700
2023-05-23,120.0,122.0,119.0,121.0,305223500
2023-05-24,122.0,127.0,121.0,126.0,340966000
2023-05-25,126.0,148.0,122.0,138.0,524965100
2023-05-26,139.0,147.0,129.0,129.0,319586200
2023-05-29,120.0,126.0,120.0,125.0,201910800
2023-05-30,125.0,130.0,117.0,117.0,323811700
2023-05-31,116.0,124.0,109.0,109.0,301075700
2023-06-05,109.0,109.0,100.0,100.0,112233400
2023-06-06,100.0,105.0,85.0,86.0,311180600
2023-06-07,86.0,92.0,76.0,81.0,188572100
2023-06-08,81.0,84.0,69.0,82.0,596645400
2023-06-09,82.0,86.0,72.0,83.0,155576100
2023-06-12,82.0,90.0,81.0,85.0,119718900
2023-06-13,85.0,88.0,83.0,84.0,101085500
2023-06-14,84.0,86.0,77.0,80.0,102369600
2023-06-15,80.0,83.0,79.0,82.0,63972900
2023-06-16,83.0,109.0,79.0,90.0,449070400
2023-06-19,90.0,105.0,85.0,96.0,211802600
2023-06-20,97.0,103.0,92.0,93.0,121981700
2023-06-21,93.0,94.0,90.0,93.0,100633200
2023-06-22,93.0,98.0,91.0,92.0,120544600
2023-06-23,93.0,102.0,92.0,98.0,157252700
2023-06-26,98.0,107.0,93.0,96.0,244050000
2023-06-27,96.0,98.0,89.0,89.0,108503000
2023-07-03,91.0,93.0,88.0,89.0,191148100
2023-07-04,91.0,91.0,85.0,88.0,70581000
2023-07-05,91.0,91.0,87.0,88.0,56181500
2023-07-06,91.0,91.0,77.0,77.0,735233800
2023-07-07,78.0,82.0,77.0,78.0,278496600
2023-07-10,81.0,81.0,77.0,78.0,163146200
2023-07-11,81.0,81.0,69.0,70.0,508556600
2023-07-12,75.0,75.0,69.0,70.0,152435100
2023-07-13,73.0,73.0,60.0,60.0,536496500
2023-07-14,51.0,56.0,51.0,51.0,562004900
2023-07-17,61.0,61.0,50.0,50.0,252440400
2023-07-18,50.0,50.0,50.0,50.0,35784100
2023-07-20,50.0,50.0,50.0,50.0,1651700
2023-07-21,50.0,50.0,50.0,50.0,322900
2023-07-24,50.0,50.0,50.0,50.0,726000
2023-07-25,50.0,50.0,50.0,50.0,232800
2023-07-26,50.0,50.0,50.0,50.0,250400
2023-07-27,50.0,50.0,50.0,50.0,149000
2023-07-28,50.0,50.0,50.0,50.0,393000
2023-07-31,50.0,50.0,50.0,50.0,1022800
2023-08-01,50.0,50.0,50.0,50.0,1972700
2023-08-02,50.0,50.0,50.0,50.0,120700
2023-08-03,50.0,50.0,50.0,50.0,126600
2023-08-04,50.0,50.0,50.0,50.0,255800
2023-08-07,50.0,50.0,50.0,50.0,208000
2023-08-08,50.0,50.0,50.0,50.0,829000
2023-08-09,50.0,50.0,50.0,50.0,75000
2023-08-10,50.0,50.0,50.0,50.0,28700
2023-08-11,50.0,50.0,50.0,50.0,76300
2023-08-14,50.0,50.0,50.0,50.0,148400
2023-08-15,50.0,50.0,50.0,50.0,159000
2023-08-16,50.0,50.0,50.0,50.0,65600
2023-08-18,50.0,50.0,50.0,50.0,55100
2023-08-21,50.0,50.0,50.0,50.0,50700
2023-08-22,50.0,50.0,50.0,50.0,21500
2023-08-23,50.0,50.0,50.0,50.0,31500
2023-08-24,50.0,50.0,50.0,50.0,7300
2023-08-25,50.0,50.0,50.0,50.0,3911600
2023-08-28,50.0,50.0,50.0,50.0,133600
2023-08-29,50.0,50.0,50.0,50.0,4105500
2023-08-30,50.0,50.0,50.0,50.0,116800
2023-08-31,50.0,50.0,50.0,50.0,5515900
2023-09-01,50.0,50.0,50.0,50.0,46300
2023-09-04,50.0,50.0,50.0,50.0,91300
2023-09-05,50.0,50.0,50.0,50.0,3682400
2023-09-06,50.0,50.0,50.0,50.0,49900
2023-09-07,50.0,50.0,50.0,50.0,6600
2023-09-08,50.0,50.0,50.0,50.0,138700
2023-09-11,50.0,50.0,50.0,50.0,4600
2023-09-12,50.0,50.0,50.0,50.0,1288600
2023-09-13,50.0,50.0,50.0,50.0,13200
2023-09-14,50.0,50.0,50.0,50.0,11000
2023-09-15,50.0,50.0,50.0,50.0,4400
2023-09-18,50.0,50.0,50.0,50.0,10000
2023-09-19,50.0,50.0,50.0,50.0,7600
2023-09-20,50.0,50.0,50.0,50.0,6600
2023-09-21,50.0,50.0,50.0,50.0,270600
2023-09-22,50.0,50.0,50.0,50.0,29691800
2023-09-25,50.0,50.0,50.0,50.0,5257100
2023-09-26,50.0,50.0,50.0,50.0,300700
2023-09-27,50.0,50.0,50.0,50.0,259500
2023-09-29,50.0,50.0,50.0,50.0,55700
2023-10-02,50.0,50.0,50.0,50.0,1159200
2023-10-03,50.0,50.0,50.0,50.0,6673600
2023-10-04,50.0,50.0,50.0,50.0,55800
2023-10-05,50.0,50.0,50.0,50.0,5200
2023-10-06,50.0,50.0,50.0,50.0,52000
2023-10-09,50.0,50.0,50.0,50.0,13700
2023-10-10,50.0,50.0,50.0,50.0,15600
2023-10-11,50.0,50.0,50.0,50.0,20700
2023-10-12,50.0,50.0,50.0,50.0,28000
2023-10-13,50.0,50.0,50.0,50.0,34500
2023-10-16,50.0,50.0,50.0,50.0,59100
2023-10-17,50.0,50.0,50.0,50.0,19800
2023-10-18,50.0,50.0,50.0,50.0,21300
2023-10-19,50.0,50.0,50.0,50.0,104400
2023-10-20,50.0,50.0,50.0,50.0,2000
2023-10-23,50.0,50.0,50.0,50.0,36200
2023-10-24,50.0,50.0,50.0,50.0,33700
2023-10-25,50.0,50.0,50.0,50.0,2800
2023-10-26,50.0,50.0,50.0,50.0,48600
2023-10-27,50.0,50.0,50.0,50.0,16600
2023-10-30,50.0,50.0,50.0,50.0,24000
2023-10-31,50.0,50.0,50.0,50.0,7300
2023-11-01,50.0,50.0,50.0,50.0,11300
2023-11-02,50.0,50.0,50.0,50.0,34000
2023-11-03,50.0,50.0,50.0,50.0,22800
2023-11-06,50.0,50.0,50.0,50.0,4500
2023-11-07,50.0,50.0,50.0,50.0,80900
2023-11-08,50.0,50.0,50.0,50.0,48600
2023-11-09,50.0,50.0,50.0,50.0,22500
2023-11-10,50.0,50.0,50.0,50.0,1600
2023-11-13,50.0,50.0,50.0,50.0,30600
2023-11-14,50.0,50.0,50.0,50.0,12000
2023-11-15,50.0,50.0,50.0,50.0,54100
2023-11-16,50.0,50.0,50.0,50.0,28300
2023-11-17,50.0,50.0,50.0,50.0,21400
2023-11-20,50.0,50.0,50.0,50.0,4389800
2023-11-21,50.0,50.0,50.0,50.0,4578400
2023-11-22,50.0,50.0,50.0,50.0,8800
2023-11-23,50.0,50.0,50.0,50.0,239300
2023-11-24,50.0,50.0,50.0,50.0,63700
2023-11-27,50.0,50.0,50.0,50.0,25700
2023-11-28,50.0,50.0,50.0,50.0,14200
2023-11-29,50.0,50.0,50.0,50.0,37800
2023-11-30,50.0,50.0,50.0,50.0,2200
2023-12-01,50.0,50.0,50.0,50.0,16900
2023-12-04,50.0,50.0,50.0,50.0,15700
2023-12-05,50.0,50.0,50.0,50.0,30800
2023-12-06,50.0,50.0,50.0,50.0,39800
2023-12-07,50.0,50.0,50.0,50.0,160800
2023-12-08,50.0,50.0,50.0,50.0,400
2023-12-11,50.0,50.0,50.0,50.0,9000
2023-12-12,50.0,50.0,50.0,50.0,8500
2023-12-13,50.0,50.0,50.0,50.0,1500
2023-12-14,50.0,50.0,50.0,50.0,8300
2023-12-15,50.0,50.0,50.0,50.0,1500
2023-12-18,50.0,50.0,50.0,50.0,26500
2023-12-19,50.0,50.0,50.0,50.0,9200
2023-12-20,50.0,50.0,50.0,50.0,10800
2023-12-21,50.0,50.0,50.0,50.0,23600
2023-12-22,50.0,50.0,50.0,50.0,1500
2023-12-27,50.0,50.0,50.0,50.0,20500
2023-12-28,50.0,50.0,50.0,50.0,3800
2023-12-29,50.0,50.0,50.0,50.0,6700
2024-01-02,50.0,50.0,50.0,50.0,5600
2024-01-03,50.0,50.0,50.0,50.0,46700
2024-01-04,50.0,50.0,50.0,50.0,56400
2024-01-05,50.0,50.0,50.0,50.0,17300
2024-01-08,50.0,50.0,50.0,50.0,3600
2024-01-09,50.0,50.0,50.0,50.0,95100
2024-01-10,50.0,50.0,50.0,50.0,2100
2024-01-11,50.0,50.0,50.0,50.0,2800
2024-01-12,50.0,50.0,50.0,50.0,19700
2024-01-15,50.0,50.0,50.0,50.0,0
2024-01-16,50.0,50.0,50.0,50.0,3300
2024-01-17,50.0,50.0,50.0,50.0,17400
2024-01-18,50.0,50.0,50.0,50.0,3300
2024-01-19,50.0,50.0,50.0,50.0,4300
2024-01-22,50.0,50.0,50.0,50.0,13800
2024-01-23,50.0,50.0,50.0,50.0,3900
2024-01-24,50.0,50.0,50.0,50.0,1600
2024-01-25,50.0,50.0,50.0,50.0,6900
2024-01-26,50.0,50.0,50.0,50.0,172600
2024-01-29,50.0,50.0,50.0,50.0,2100
2024-01-30,50.0,50.0,50.0,50.0,1200
2024-01-31,50.0,50.0,50.0,50.0,5600
2024-02-01,50.0,50.0,50.0,50.0,1300
2024-02-02,50.0,50.0,50.0,50.0,3300
2024-02-05,50.0,50.0,50.0,50.0,400
2024-02-06,50.0,50.0,50.0,50.0,8000
2024-02-07,50.0,50.0,50.0,50.0,3300
2024-02-12,50.0,50.0,50.0,50.0,600
2024-02-13,50.0,50.0,50.0,50.0,100
2024-02-15,50.0,50.0,50.0,50.0,21100
2024-02-16,50.0,50.0,50.0,50.0,500
2024-02-19,50.0,50.0,50.0,50.0,700
2024-02-20,50.0,50.0,50.0,50.0,5000
2024-02-21,50.0,50.0,50.0,50.0,200
2024-02-22,50.0,50.0,50.0,50.0,300
2024-02-23,50.0,50.0,50.0,50.0,1000
2024-02-26,50.0,50.0,50.0,50.0,700
2024-02-27,50.0,50.0,50.0,50.0,14500
2024-02-28,50.0,50.0,50.0,50.0,1300
2024-02-29,50.0,50.0,50.0,50.0,100
2024-03-01,50.0,50.0,50.0,50.0,500
2024-03-04,50.0,50.0,50.0,50.0,2500
2024-03-05,50.0,50.0,50.0,50.0,1100
2024-03-06,50.0,50.0,50.0,50.0,200
2024-03-07,50.0,50.0,50.0,50.0,4666800
2024-03-08,50.0,50.0,50.0,50.0,100
2024-03-13,50.0,50.0,50.0,50.0,19200
2024-03-14,50.0,50.0,50.0,50.0,17400
2024-03-15,50.0,50.0,50.0,50.0,900
2024-03-18,50.0,50.0,50.0,50.0,2500
2024-03-19,50.0,50.0,50.0,50.0,2200
2024-03-20,50.0,50.0,50.0,50.0,4200
2024-03-21,50.0,50.0,50.0,50.0,1900
2024-03-22,50.0,50.0,50.0,50.0,8100
2024-03-25,50.0,50.0,50.0,50.0,0
2024-03-26,50.0,50.0,50.0,50.0,0
2024-03-27,50.0,50.0,50.0,50.0,0
2024-03-28,50.0,50.0,50.0,50.0,4200
2024-04-01,50.0,50.0,50.0,50.0,8700
2024-04-02,50.0,50.0,50.0,50.0,1100
2024-04-03,50.0,50.0,50.0,50.0,300
2024-04-04,50.0,50.0,50.0,50.0,1300
2024-04-05,50.0,50.0,50.0,50.0,2700
2024-04-16,50.0,50.0,50.0,50.0,400
2024-04-17,50.0,50.0,50.0,50.0,4500
2024-04-18,50.0,50.0,50.0,50.0,300
2024-04-19,50.0,50.0,50.0,50.0,5500
2024-04-22,50.0,50.0,50.0,50.0,200
2024-04-23,50.0,50.0,50.0,50.0,2200
2024-04-24,50.0,50.0,50.0,50.0,45400
2024-04-25,50.0,50.0,50.0,50.0,300
2024-04-26,50.0,50.0,50.0,50.0,400
2024-04-29,50.0,50.0,50.0,50.0,900
2024-04-30,50.0,50.0,50.0,50.0,112900
2024-05-02,50.0,50.0,50.0,50.0,13500
2024-05-03,50.0,50.0,50.0,50.0,2800
2024-05-06,50.0,50.0,50.0,50.0,19600
2024-05-07,50.0,50.0,50.0,50.0,400
2024-05-08,50.0,50.0,50.0,50.0,300
2024-05-13,50.0,50.0,50.0,50.0,4500
2024-05-14,50.0,50.0,50.0,50.0,1000
2024-05-15,50.0,50.0,50.0,50.0,5600
2024-05-16,50.0,50.0,50.0,50.0,700
2024-05-17,50.0,50.0,50.0,50.0,2000
2024-05-20,50.0,50.0,50.0,50.0,3100
2024-05-21,50.0,50.0,50.0,50.0,200
2024-05-22,50.0,50.0,50.0,50.0,500
2024-05-27,50.0,50.0,50.0,50.0,100
2024-05-28,50.0,50.0,50.0,50.0,500
2024-05-29,50.0,50.0,50.0,50.0,600
2024-05-30,50.0,50.0,50.0,50.0,4100
2024-05-31,45.0,45.0,45.0,45.0,57400
2024-06-03,41.0,41.0,41.0,41.0,39300
2024-06-04,37.0,37.0,37.0,37.0,87300
2024-06-05,34.0,34.0,34.0,34.0,237700
2024-06-06,31.0,31.0,31.0,31.0,97100
