date,open,high,low,close,volume
2022-07-04,492.0,492.0,492.0,492.0,100
2022-07-05,492.0,492.0,492.0,492.0,0
2022-07-06,535.0,535.0,535.0,535.0,700
2022-07-07,535.0,535.0,535.0,535.0,0
2022-07-08,535.0,535.0,535.0,535.0,0
2022-07-11,535.0,535.0,535.0,535.0,0
2022-07-12,530.0,530.0,498.0,505.0,900
2022-07-13,505.0,505.0,505.0,505.0,0
2022-07-14,505.0,505.0,505.0,505.0,0
2022-07-15,472.0,535.0,470.0,500.0,6500
2022-07-18,500.0,500.0,500.0,500.0,1600
2022-07-19,500.0,500.0,500.0,500.0,0
2022-07-20,530.0,530.0,482.0,510.0,400
2022-07-21,510.0,510.0,510.0,510.0,0
2022-07-22,555.0,555.0,476.0,515.0,500
2022-07-25,515.0,515.0,515.0,515.0,100
2022-07-26,480.0,515.0,480.0,515.0,1100
2022-07-27,515.0,515.0,515.0,515.0,0
2022-07-28,515.0,515.0,515.0,515.0,0
2022-07-29,515.0,515.0,515.0,515.0,0
2022-08-01,484.0,484.0,480.0,480.0,2700
2022-08-02,454.0,454.0,454.0,454.0,1000
2022-08-03,484.0,484.0,442.0,442.0,200
2022-08-04,422.0,476.0,414.0,450.0,2200
2022-08-05,484.0,484.0,450.0,450.0,900
2022-08-08,468.0,468.0,468.0,468.0,100
2022-08-09,450.0,460.0,436.0,436.0,2000
2022-08-10,436.0,458.0,408.0,458.0,44600
2022-08-11,458.0,458.0,458.0,458.0,0
2022-08-12,462.0,462.0,462.0,462.0,100
2022-08-15,462.0,462.0,462.0,462.0,100
2022-08-16,462.0,462.0,462.0,462.0,100
2022-08-18,464.0,464.0,464.0,464.0,100
2022-08-19,474.0,480.0,432.0,458.0,2600
2022-08-22,470.0,470.0,442.0,442.0,200
2022-08-23,448.0,470.0,434.0,456.0,2700
2022-08-24,432.0,472.0,432.0,450.0,2900
2022-08-25,434.0,434.0,428.0,430.0,400
2022-08-26,430.0,430.0,430.0,430.0,0
2022-08-29,430.0,430.0,430.0,430.0,0
2022-08-30,430.0,430.0,430.0,430.0,0
2022-08-31,430.0,430.0,430.0,430.0,0
2022-09-01,430.0,430.0,430.0,430.0,0
2022-09-02,472.0,472.0,472.0,472.0,1000
2022-09-05,476.0,476.0,476.0,476.0,300
2022-09-06,476.0,476.0,476.0,476.0,300
2022-09-07,476.0,476.0,476.0,476.0,0
2022-09-08,476.0,476.0,476.0,476.0,0
2022-09-09,476.0,476.0,476.0,476.0,0
2022-09-12,476.0,476.0,476.0,476.0,0
2022-09-13,456.0,466.0,446.0,466.0,1100
2022-09-14,464.0,464.0,464.0,464.0,800
2022-09-15,462.0,482.0,450.0,482.0,1400
2022-09-16,482.0,482.0,482.0,482.0,300
2022-09-19,482.0,482.0,482.0,482.0,0
2022-09-20,458.0,482.0,450.0,450.0,23300
2022-09-21,468.0,468.0,426.0,460.0,600
2022-09-22,458.0,462.0,458.0,462.0,300
2022-09-23,466.0,480.0,466.0,480.0,1000
2022-09-26,480.0,480.0,480.0,480.0,0
2022-09-27,480.0,480.0,480.0,480.0,0
2022-09-28,480.0,480.0,480.0,480.0,0
2022-09-29,456.0,456.0,456.0,456.0,100
2022-09-30,456.0,456.0,456.0,456.0,100
2022-10-03,500.0,500.0,500.0,500.0,1000
2022-10-04,500.0,500.0,500.0,500.0,0
2022-10-05,500.0,500.0,500.0,500.0,0
2022-10-06,474.0,500.0,474.0,500.0,400
2022-10-07,498.0,498.0,498.0,498.0,100
2022-10-10,498.0,498.0,498.0,498.0,0
2022-10-11,498.0,498.0,498.0,498.0,0
2022-10-12,498.0,498.0,498.0,498.0,0
2022-10-13,498.0,498.0,498.0,498.0,0
2022-10-14,498.0,498.0,498.0,498.0,0
2022-10-17,498.0,498.0,498.0,498.0,0
2022-10-18,498.0,498.0,498.0,498.0,0
2022-10-19,498.0,498.0,498.0,498.0,0
2022-10-20,466.0,496.0,464.0,496.0,600
2022-10-21,496.0,496.0,496.0,496.0,0
2022-10-24,540.0,540.0,540.0,540.0,600
2022-10-25,530.0,530.0,530.0,530.0,100
2022-10-26,530.0,530.0,530.0,530.0,0
2022-10-27,505.0,510.0,505.0,510.0,1900
2022-10-28,505.0,505.0,505.0,505.0,400
2022-10-31,505.0,520.0,505.0,520.0,700
2022-11-01,520.0,520.0,520.0,520.0,0
2022-11-02,520.0,520.0,520.0,520.0,0
2022-11-03,520.0,520.0,520.0,520.0,0
2022-11-04,505.0,505.0,505.0,505.0,200
2022-11-07,505.0,540.0,505.0,510.0,900
2022-11-08,505.0,505.0,505.0,505.0,3200
2022-11-09,505.0,505.0,505.0,505.0,0
2022-11-10,505.0,505.0,505.0,505.0,400
2022-11-11,505.0,505.0,505.0,505.0,0
2022-11-14,478.0,478.0,478.0,478.0,500
2022-11-15,464.0,464.0,464.0,464.0,19100
2022-11-16,464.0,464.0,464.0,464.0,0
2022-11-17,464.0,464.0,464.0,464.0,0
