date,open,high,low,close,volume
2022-07-04,675.0,680.0,655.0,670.0,10509300
2022-07-05,670.0,680.0,665.0,675.0,1685700
2022-07-06,680.0,685.0,670.0,685.0,3131500
2022-07-07,685.0,685.0,675.0,675.0,1168400
2022-07-08,680.0,680.0,675.0,680.0,1814100
2022-07-11,680.0,685.0,675.0,680.0,2525100
2022-07-12,680.0,685.0,675.0,685.0,1158900
2022-07-13,685.0,685.0,675.0,675.0,2248700
2022-07-14,675.0,675.0,655.0,670.0,2424600
2022-07-15,675.0,675.0,665.0,675.0,1327300
2022-07-18,675.0,680.0,665.0,680.0,2811800
2022-07-19,680.0,680.0,670.0,675.0,1064100
2022-07-20,675.0,680.0,675.0,680.0,2333900
2022-07-21,680.0,680.0,675.0,680.0,962900
2022-07-22,680.0,680.0,670.0,680.0,1638200
2022-07-25,680.0,680.0,670.0,680.0,2229700
2022-07-26,680.0,680.0,675.0,680.0,1673300
2022-07-27,675.0,685.0,675.0,685.0,1884900
2022-07-28,680.0,685.0,675.0,680.0,846900
2022-07-29,680.0,685.0,675.0,680.0,1792900
2022-08-01,680.0,680.0,665.0,675.0,6053800
2022-08-02,675.0,675.0,670.0,675.0,2427300
2022-08-03,680.0,680.0,670.0,675.0,2442700
2022-08-04,675.0,680.0,670.0,680.0,1440100
2022-08-05,680.0,680.0,670.0,670.0,4743600
2022-08-08,675.0,680.0,670.0,675.0,1182900
2022-08-09,675.0,685.0,675.0,680.0,3046100
2022-08-10,685.0,685.0,675.0,680.0,1540100
2022-08-11,680.0,685.0,675.0,680.0,1226500
2022-08-12,680.0,685.0,675.0,680.0,2372100
2022-08-15,680.0,685.0,675.0,680.0,1534700
2022-08-16,680.0,680.0,675.0,675.0,972800
2022-08-18,675.0,685.0,675.0,680.0,964300
2022-08-19,680.0,680.0,675.0,680.0,1973200
2022-08-22,680.0,680.0,675.0,680.0,824000
2022-08-23,675.0,680.0,670.0,675.0,1321200
2022-08-24,680.0,680.0,675.0,675.0,1235700
2022-08-25,675.0,680.0,675.0,675.0,733500
2022-08-26,675.0,680.0,675.0,675.0,967200
2022-08-29,675.0,680.0,670.0,675.0,1743300
2022-08-30,675.0,680.0,670.0,675.0,611700
2022-08-31,675.0,675.0,670.0,675.0,4078800
2022-09-01,675.0,680.0,670.0,670.0,1589000
2022-09-02,675.0,680.0,670.0,675.0,1870600
2022-09-05,675.0,680.0,670.0,680.0,5419200
2022-09-06,680.0,680.0,675.0,680.0,1871200
2022-09-07,680.0,680.0,675.0,680.0,3778700
2022-09-08,680.0,680.0,675.0,675.0,2259000
2022-09-09,680.0,680.0,670.0,675.0,1932800
2022-09-12,675.0,680.0,670.0,670.0,3044000
2022-09-13,670.0,680.0,670.0,680.0,3996100
2022-09-14,675.0,685.0,670.0,685.0,6392700
2022-09-15,690.0,715.0,685.0,705.0,9138200
2022-09-16,710.0,715.0,700.0,710.0,4237900
2022-09-19,720.0,730.0,710.0,725.0,7421500
2022-09-20,725.0,730.0,715.0,715.0,2807000
2022-09-21,715.0,715.0,700.0,710.0,2585900
2022-09-22,715.0,715.0,705.0,710.0,2363800
2022-09-23,710.0,715.0,705.0,710.0,1405900
2022-09-26,705.0,715.0,690.0,690.0,4464600
2022-09-27,695.0,705.0,685.0,700.0,2120600
2022-09-28,700.0,710.0,700.0,705.0,2128200
2022-09-29,710.0,710.0,690.0,695.0,3242400
2022-09-30,695.0,700.0,680.0,695.0,5450400
2022-10-03,695.0,700.0,685.0,695.0,1033700
2022-10-04,695.0,700.0,685.0,690.0,2099800
2022-10-05,690.0,710.0,690.0,705.0,3691700
2022-10-06,705.0,710.0,695.0,695.0,860400
2022-10-07,700.0,700.0,690.0,695.0,1173000
2022-10-10,695.0,700.0,690.0,690.0,963100
2022-10-11,690.0,700.0,685.0,685.0,1045500
2022-10-12,690.0,690.0,675.0,680.0,2632800
2022-10-13,680.0,680.0,670.0,675.0,1964700
2022-10-14,675.0,680.0,665.0,665.0,5201700
2022-10-17,670.0,670.0,660.0,665.0,2607200
2022-10-18,665.0,670.0,665.0,665.0,783400
2022-10-19,665.0,675.0,665.0,670.0,1253700
2022-10-20,675.0,680.0,665.0,675.0,1153800
2022-10-21,675.0,685.0,675.0,680.0,1355900
2022-10-24,680.0,685.0,675.0,680.0,1072800
2022-10-25,680.0,685.0,680.0,685.0,713900
2022-10-26,685.0,685.0,675.0,680.0,796000
2022-10-27,680.0,685.0,675.0,680.0,1246800
2022-10-28,685.0,685.0,675.0,685.0,767700
2022-10-31,685.0,690.0,680.0,680.0,2585800
2022-11-01,690.0,690.0,675.0,680.0,1133800
2022-11-02,680.0,685.0,675.0,675.0,714200
2022-11-03,680.0,685.0,670.0,685.0,1211200
2022-11-04,685.0,685.0,675.0,675.0,1260400
2022-11-07,685.0,685.0,665.0,665.0,4288300
2022-11-08,670.0,670.0,665.0,670.0,2938500
2022-11-09,670.0,685.0,670.0,680.0,1452800
2022-11-10,680.0,680.0,670.0,675.0,1682800
2022-11-11,675.0,675.0,670.0,675.0,2033100
2022-11-14,675.0,680.0,670.0,675.0,770000
2022-11-15,675.0,685.0,675.0,680.0,1851000
2022-11-16,680.0,685.0,675.0,675.0,1041000
2022-11-17,675.0,680.0,675.0,680.0,655600
2022-11-18,685.0,690.0,675.0,680.0,2269900
2022-11-21,685.0,690.0,680.0,680.0,1981100
2022-11-22,685.0,690.0,680.0,685.0,1530600
2022-11-23,685.0,690.0,685.0,685.0,1201400
2022-11-24,685.0,690.0,680.0,685.0,481700
2022-11-25,685.0,690.0,680.0,685.0,1054800
2022-11-28,685.0,690.0,680.0,685.0,1210700
2022-11-29,685.0,685.0,680.0,680.0,656400
2022-11-30,685.0,685.0,675.0,675.0,1481700
2022-12-01,675.0,685.0,675.0,680.0,1605500
2022-12-02,685.0,700.0,680.0,700.0,7691000
2022-12-05,690.0,710.0,690.0,690.0,3136200
2022-12-06,690.0,700.0,685.0,690.0,3170200
2022-12-07,690.0,695.0,685.0,685.0,2025200
2022-12-08,690.0,695.0,680.0,695.0,2860400
2022-12-09,695.0,695.0,675.0,680.0,9391800
2022-12-12,675.0,675.0,655.0,665.0,5904800
2022-12-13,665.0,670.0,660.0,670.0,2262500
2022-12-14,675.0,675.0,655.0,660.0,2538500
2022-12-15,665.0,665.0,660.0,665.0,875100
2022-12-16,670.0,670.0,655.0,665.0,797700
2022-12-19,665.0,665.0,650.0,660.0,2413700
2022-12-20,665.0,665.0,655.0,660.0,917600
2022-12-21,665.0,665.0,655.0,660.0,1626200
2022-12-22,660.0,665.0,655.0,665.0,1126300
2022-12-23,665.0,665.0,660.0,665.0,930100
2022-12-26,665.0,665.0,655.0,655.0,1585500
2022-12-27,655.0,660.0,655.0,655.0,957400
2022-12-28,660.0,660.0,655.0,660.0,1486000
2022-12-29,665.0,665.0,650.0,660.0,1409900
2022-12-30,665.0,665.0,655.0,660.0,1690100
2023-01-02,665.0,670.0,655.0,660.0,1150000
2023-01-03,665.0,665.0,655.0,665.0,1222800
2023-01-04,665.0,665.0,655.0,660.0,1148100
2023-01-05,665.0,665.0,650.0,650.0,3621700
2023-01-06,655.0,655.0,645.0,655.0,1895700
2023-01-09,655.0,665.0,650.0,660.0,2890300
2023-01-10,660.0,660.0,650.0,650.0,1654300
2023-01-11,650.0,660.0,650.0,655.0,376500
2023-01-12,660.0,660.0,655.0,655.0,400400
2023-01-13,660.0,660.0,655.0,660.0,503600
2023-01-16,660.0,665.0,655.0,655.0,855400
2023-01-17,655.0,665.0,655.0,660.0,680200
2023-01-18,660.0,665.0,655.0,660.0,542500
2023-01-19,660.0,665.0,660.0,665.0,756500
2023-01-20,665.0,665.0,660.0,660.0,449200
2023-01-24,660.0,670.0,660.0,660.0,935900
2023-01-25,660.0,670.0,660.0,665.0,931300
2023-01-26,665.0,670.0,660.0,665.0,1057000
2023-01-27,665.0,670.0,660.0,665.0,872800
2023-01-30,670.0,670.0,660.0,660.0,2505600
2023-01-31,665.0,665.0,660.0,660.0,522100
2023-02-01,665.0,665.0,660.0,665.0,1342000
2023-02-02,665.0,670.0,660.0,670.0,1120100
2023-02-03,670.0,670.0,660.0,665.0,1364900
2023-02-06,665.0,665.0,660.0,665.0,1374200
2023-02-07,665.0,675.0,665.0,665.0,2660700
2023-02-08,665.0,670.0,665.0,670.0,473000
2023-02-09,670.0,675.0,665.0,670.0,844300
2023-02-10,670.0,670.0,665.0,670.0,959300
2023-02-13,670.0,675.0,665.0,670.0,1248000
2023-02-14,670.0,675.0,670.0,675.0,1370700
2023-02-15,675.0,675.0,670.0,675.0,617500
2023-02-16,675.0,680.0,675.0,675.0,1754000
2023-02-17,675.0,690.0,675.0,685.0,1733900
2023-02-20,685.0,690.0,680.0,685.0,1158400
2023-02-21,685.0,690.0,680.0,680.0,1872900
2023-02-22,680.0,680.0,670.0,670.0,1431600
2023-02-23,670.0,685.0,670.0,675.0,795100
2023-02-24,680.0,680.0,670.0,670.0,1719000
2023-02-27,670.0,695.0,670.0,670.0,3592000
2023-02-28,670.0,685.0,670.0,680.0,1664500
2023-03-01,680.0,680.0,665.0,670.0,2478400
2023-03-02,670.0,675.0,665.0,670.0,1458600
2023-03-03,670.0,675.0,665.0,670.0,1159200
2023-03-06,670.0,675.0,665.0,670.0,1101100
2023-03-07,670.0,680.0,665.0,675.0,2833900
2023-03-08,675.0,675.0,665.0,670.0,1543900
2023-03-09,675.0,675.0,665.0,670.0,768800
