date,open,high,low,close,volume
2022-07-04,53.0,56.0,51.0,52.0,50265000
2022-07-05,52.0,56.0,52.0,54.0,19378700
2022-07-06,52.0,54.0,52.0,52.0,10568600
2022-07-07,52.0,53.0,52.0,53.0,4972100
2022-07-08,53.0,54.0,52.0,52.0,10090300
2022-07-11,52.0,53.0,51.0,52.0,11168300
2022-07-12,53.0,54.0,52.0,52.0,8394300
2022-07-13,53.0,62.0,52.0,58.0,177783200
2022-07-14,58.0,59.0,54.0,54.0,56366500
2022-07-15,54.0,55.0,53.0,53.0,11280000
2022-07-18,53.0,57.0,53.0,54.0,23108600
2022-07-19,54.0,56.0,54.0,55.0,8387400
2022-07-20,55.0,57.0,55.0,56.0,14125400
2022-07-21,56.0,57.0,55.0,56.0,11223100
2022-07-22,56.0,70.0,56.0,64.0,272660200
2022-07-25,68.0,68.0,62.0,64.0,63639500
2022-07-26,65.0,83.0,64.0,74.0,536811600
2022-07-27,75.0,75.0,69.0,74.0,114010100
2022-07-28,75.0,82.0,71.0,75.0,258718900
2022-07-29,75.0,78.0,73.0,74.0,63413900
2022-08-01,75.0,87.0,73.0,80.0,405454700
2022-08-02,81.0,82.0,77.0,78.0,65986800
2022-08-03,78.0,82.0,78.0,79.0,56506200
2022-08-04,79.0,80.0,74.0,75.0,45789800
2022-08-05,75.0,77.0,73.0,74.0,30375700
2022-08-08,74.0,79.0,74.0,75.0,57452400
2022-08-09,75.0,78.0,74.0,75.0,45822200
2022-08-10,76.0,84.0,75.0,82.0,238535100
2022-08-11,83.0,83.0,77.0,79.0,73945400
2022-08-12,80.0,85.0,78.0,78.0,104200900
2022-08-15,79.0,81.0,78.0,80.0,37924600
2022-08-16,82.0,89.0,80.0,81.0,454278700
2022-08-18,81.0,85.0,78.0,81.0,119163700
2022-08-19,81.0,84.0,81.0,82.0,38356300
2022-08-22,82.0,83.0,78.0,78.0,50848800
2022-08-23,78.0,81.0,78.0,78.0,36278400
2022-08-24,79.0,82.0,77.0,81.0,74507100
2022-08-25,81.0,83.0,80.0,80.0,52751800
2022-08-26,80.0,81.0,79.0,79.0,26472100
2022-08-29,79.0,79.0,76.0,76.0,32923300
2022-08-30,77.0,77.0,73.0,75.0,25781800
2022-08-31,76.0,78.0,74.0,74.0,24922700
2022-09-01,74.0,79.0,74.0,74.0,42095800
2022-09-02,74.0,77.0,74.0,75.0,21538600
2022-09-05,75.0,76.0,73.0,74.0,30706300
2022-09-06,75.0,80.0,74.0,75.0,108989800
2022-09-07,76.0,81.0,75.0,76.0,99035500
2022-09-08,76.0,78.0,75.0,77.0,17302300
2022-09-09,78.0,86.0,77.0,86.0,348049700
2022-09-12,87.0,96.0,86.0,92.0,513777900
2022-09-13,93.0,94.0,89.0,90.0,142670900
2022-09-14,90.0,103.0,88.0,102.0,424898500
2022-09-15,102.0,107.0,99.0,99.0,319550500
2022-09-16,100.0,106.0,97.0,98.0,138531000
2022-09-19,98.0,102.0,92.0,95.0,100411000
2022-09-20,95.0,104.0,95.0,100.0,234494200
2022-09-21,101.0,102.0,96.0,98.0,57971400
2022-09-22,99.0,110.0,97.0,105.0,348202500
2022-09-23,105.0,112.0,103.0,104.0,265306300
2022-09-26,104.0,104.0,97.0,97.0,90500500
2022-09-27,92.0,94.0,91.0,91.0,126130400
2022-09-28,90.0,94.0,85.0,85.0,137850000
2022-09-29,81.0,89.0,80.0,80.0,158329700
2022-09-30,76.0,86.0,75.0,86.0,126523000
2022-10-03,86.0,88.0,80.0,80.0,120764500
2022-10-04,79.0,86.0,77.0,83.0,110567900
2022-10-05,83.0,87.0,82.0,83.0,60333100
2022-10-06,83.0,90.0,83.0,88.0,178734300
2022-10-07,89.0,89.0,84.0,84.0,54516500
2022-10-10,84.0,87.0,81.0,82.0,46640500
2022-10-11,83.0,85.0,81.0,82.0,28359400
2022-10-12,82.0,83.0,77.0,78.0,56142500
2022-10-13,78.0,81.0,78.0,78.0,15482000
2022-10-14,79.0,81.0,78.0,78.0,15787600
2022-10-17,80.0,80.0,73.0,75.0,33282100
2022-10-18,75.0,79.0,75.0,78.0,22355000
2022-10-19,80.0,82.0,77.0,79.0,46877400
2022-10-20,80.0,81.0,78.0,80.0,23707700
2022-10-21,81.0,84.0,79.0,79.0,29740700
2022-10-24,80.0,82.0,79.0,81.0,17432200
2022-10-25,82.0,84.0,79.0,79.0,46235100
2022-10-26,80.0,84.0,79.0,81.0,50911100
2022-10-27,82.0,84.0,81.0,82.0,38233800
2022-10-28,83.0,84.0,79.0,80.0,34487100
2022-10-31,80.0,82.0,80.0,80.0,12050000
2022-11-01,80.0,81.0,77.0,79.0,16125000
2022-11-02,79.0,81.0,78.0,78.0,18388500
2022-11-03,78.0,79.0,76.0,77.0,9135000
