date,open,high,low,close,volume
2022-07-04,488.0,610.0,454.0,456.0,829300
2022-07-05,456.0,458.0,444.0,446.0,297500
2022-07-06,446.0,505.0,418.0,500.0,18400
2022-07-07,498.0,498.0,466.0,484.0,10200
2022-07-08,466.0,472.0,460.0,466.0,3100
2022-07-11,466.0,470.0,466.0,470.0,21100
2022-07-12,470.0,470.0,466.0,470.0,11300
2022-07-13,470.0,478.0,470.0,478.0,500
2022-07-14,478.0,478.0,478.0,478.0,1100
2022-07-15,478.0,496.0,446.0,446.0,36900
2022-07-18,446.0,498.0,444.0,448.0,18000
2022-07-19,448.0,460.0,444.0,450.0,26500
2022-07-20,450.0,450.0,440.0,450.0,30900
2022-07-21,450.0,452.0,422.0,422.0,124000
2022-07-22,422.0,478.0,422.0,478.0,15600
2022-07-25,478.0,482.0,476.0,476.0,8200
2022-07-26,484.0,484.0,482.0,482.0,6800
2022-07-27,482.0,482.0,462.0,478.0,800
2022-07-28,478.0,595.0,460.0,590.0,63600
2022-07-29,590.0,590.0,550.0,550.0,19400
2022-08-01,550.0,550.0,515.0,515.0,8300
2022-08-02,510.0,510.0,480.0,480.0,79600
2022-08-03,482.0,482.0,448.0,448.0,48500
2022-08-04,448.0,520.0,448.0,450.0,15400
2022-08-05,466.0,488.0,454.0,480.0,18200
2022-08-08,478.0,478.0,450.0,450.0,20300
2022-08-09,448.0,498.0,446.0,498.0,17300
2022-08-10,496.0,496.0,482.0,482.0,10700
2022-08-11,472.0,486.0,450.0,466.0,59600
2022-08-12,466.0,474.0,450.0,470.0,5100
2022-08-15,466.0,466.0,444.0,456.0,2100
2022-08-16,458.0,460.0,450.0,452.0,12700
2022-08-18,460.0,478.0,438.0,450.0,5200
2022-08-19,456.0,456.0,438.0,446.0,3000
2022-08-22,442.0,464.0,426.0,438.0,13600
2022-08-23,454.0,454.0,432.0,440.0,8700
2022-08-24,440.0,450.0,426.0,426.0,8400
2022-08-25,424.0,520.0,422.0,422.0,26800
2022-08-26,432.0,500.0,432.0,438.0,31600
2022-08-29,438.0,480.0,438.0,440.0,125100
2022-08-30,438.0,438.0,410.0,428.0,12500
2022-08-31,430.0,430.0,400.0,418.0,37900
2022-09-01,424.0,438.0,406.0,430.0,3500
2022-09-02,416.0,426.0,410.0,412.0,4300
2022-09-05,412.0,412.0,408.0,408.0,6700
2022-09-06,410.0,412.0,406.0,412.0,9800
2022-09-07,412.0,412.0,384.0,400.0,2900
2022-09-08,408.0,450.0,390.0,390.0,69100
2022-09-09,404.0,410.0,398.0,406.0,2800
2022-09-12,414.0,430.0,400.0,400.0,59700
2022-09-13,400.0,400.0,390.0,394.0,4200
2022-09-14,394.0,410.0,394.0,394.0,47800
2022-09-15,414.0,414.0,374.0,404.0,15200
2022-09-16,404.0,448.0,404.0,410.0,49100
2022-09-19,412.0,430.0,400.0,402.0,14500
2022-09-20,402.0,428.0,398.0,408.0,68400
2022-09-21,398.0,412.0,382.0,410.0,4700
2022-09-22,410.0,412.0,402.0,412.0,13200
2022-09-23,410.0,410.0,400.0,410.0,7300
2022-09-26,410.0,436.0,390.0,434.0,48200
2022-09-27,432.0,540.0,406.0,412.0,51300
2022-09-28,422.0,450.0,408.0,408.0,16100
2022-09-29,416.0,444.0,416.0,438.0,35300
2022-09-30,440.0,452.0,438.0,448.0,12600
